集号	行号	疑似误识	建议术语
P46	584	波细胞	壁细胞
P46	637	部点位	阈电位
P46	638	部点位	阈电位
P46	645	部点位	阈电位
P46	659	部点位	阈电位
P46	741	感觉指	感觉柱
P46	939	血氧保护度	血氧饱和度
P46	939	氧保护度	氧饱和度
P47	20	生物鞭	生物电
P47	21	纪细胞	壁细胞
P47	32	始复习	施呼吸
P47	33	始复习	施呼吸
P47	33	始复习	施呼吸
P47	45	机细胞	壁细胞
P47	83	经学每	凝血酶
P47	92	天器官	腱器官
P47	116	鼓弥录	骨泌素
P47	479	激松剂	激动剂
P47	830	眼眉呀	眼内压
P47	1054	据已知	去抑制
P47	1642	接壤机	拮抗剂
P47	1855	去反馈	负反馈
P48	461	脊细胞	壁细胞
P48	611	感受地点位	感受器电位
P48	612	感受地点位	感受器电位
P48	618	击细胞	壁细胞
P48	721	斯细胞	壁细胞
P48	727	脊细胞	壁细胞
P48	898	基细胞	壁细胞
P48	1182	基细胞	壁细胞
P48	1387	去形成	骨形成
P48	1589	经济细胞	精子细胞
P48	1589	济细胞	壁细胞
P48	1683	觉细胞	血细胞
P48	1686	白龟管	半规管
P48	1689	计划去	易化区
P48	1735	域化区	易化区
P48	1809	视看细胞	施万细胞
P48	1811	视蓝细胞	施万细胞
P48	1819	去刺激	阈刺激
P48	1960	食物细	施呼吸
P48	1961	食物细	施呼吸
P48	1998	视感继胞	视杆细胞
P48	2078	影示影	明适应
P48	2085	影视觉	明视觉
P48	2518	觉细胞	血细胞
P49	233	医学呀	低血压
P49	1151	传导听	传导性
P49	1985	感受极点位	感受器电位
P49	1987	感受极点位	感受器电位
P49	1988	感受极点位	感受器电位
P49	2034	去电位	阈电位
P49	2074	内部细	内呼吸
P49	2163	觉细胞	血细胞
P49	2164	觉细胞	血细胞
P49	2165	觉细胞	血细胞
P49	2167	极化去	易化区
P49	2470	实际刺激	适宜刺激
P50	310	脚反射	腱反射
P50	311	脚反射	腱反射
P50	317	高中枢	饱中枢
P50	443	中式神经系统	中枢神经系统
P50	448	中式神经系统	中枢神经系统
P50	487	益细胞	壁细胞
P50	490	霸细胞	壁细胞
P50	556	连接来	连接肽
P50	641	抑制部	抑制区
P50	719	神经基有接头	神经肌肉接头
P50	773	基感蛋白	肌钙蛋白
P50	777	登上自身调解	等长自身调节
P50	912	感受刺	感受器
P50	917	影激素	凝集素
P50	919	十方核	室旁核
P50	923	影激素	凝集素
P50	972	命纪元	凝集原
P50	1052	立长期	低常期
P50	1063	续计化	去极化
P50	1066	续计化	去极化
P50	1346	部点微	阈电位
P50	1361	静气电位	静息电位
P50	1429	去电位	阈电位
P50	1797	着细胞	主细胞
P50	1909	基细胞	壁细胞
P50	1931	周强运输	轴浆运输
P50	1936	周强运输	轴浆运输
P50	2090	狼狈节	郎飞结
P50	2092	神经较致	神经调质
P50	2097	风气连接	缝隙连接
P51	411	始复习	施呼吸
P51	626	神经粒质	神经递质
P51	663	防止严格	房室延搁
P51	708	使用生	失用症
P51	847	变突出	电突触
P51	857	变突出	电突触
P51	1040	市场盒	视上核
P51	1041	市场盒	视上核
P51	1132	神经体质	神经递质
P51	1795	感觉奇怪	感觉器官
P52	43	理学呀	低血压
P52	185	理学呀	低血压
P52	617	物垫位	阈电位
P52	749	变突出	电突触
P52	1000	传到另	传导性
P52	1083	变突出	电突触
P52	1306	气细胞	壁细胞
P52	1321	气细胞	壁细胞
P52	1574	神经体质	神经递质
P52	1758	充摄取	重摄取
P53	11	心路市场	心律失常
P53	41	呼吸障	呼吸商
P53	185	机动系	激动剂
P53	360	去激活	去极化
P53	366	谁听到	水通道
P53	385	重白点位	终板电位
P53	441	去刺激	阈刺激
P53	529	去刺激	阈刺激
P53	559	高中书	饱中枢
P53	594	去刺激	阈刺激
P53	672	力紧张	肌紧张
P53	949	中板变位	终板电位
P53	958	机动系	激动剂
P53	1027	中盘膜	终板膜
P53	1041	中盘膜	终板膜
P53	1530	呼吸手	骨吸收
P53	1786	始复习	施呼吸
P53	2140	神经移植	神经递质
P53	2210	代白基酶	蛋白激酶
P53	2211	代白基酶	蛋白激酶
P53	2233	超气化	超极化
P53	2273	谁听到	水通道
P53	2541	放电位	锋电位
P53	2711	连接再	连接肽
P54	62	道中枢	饱中枢
P54	103	必须包	壁细胞
P54	412	常积累	肠激酶
P54	468	互意志	去抑制
P54	584	结抗移	拮抗剂
P54	758	接抗期	拮抗剂
P54	930	传入测试意志	传入侧支抑制
P54	931	互意志	去抑制
P54	945	传入测试意志	传入侧支抑制
P54	963	传入测试意志	传入侧支抑制
P54	978	传入测试意志	传入侧支抑制
P54	1019	解放济	拮抗剂
P54	1030	揣入侧制意志	传入侧支抑制
P54	1061	传入测试意志	传入侧支抑制
P55	4	传入测试意志	传入侧支抑制
P55	24	意志四	抑制素
P55	60	意志四	抑制素
P55	81	半国管	半规管
P55	83	半国管	半规管
P55	84	半国管	半规管
P55	97	学习药	血细胞
P55	104	抑制死	抑制素
P55	128	抑制记录	抑制激素
P55	248	传入测试意志	传入侧支抑制
P55	259	趋地化	去极化
P55	278	趋地化	去极化
P55	290	趋地化	去极化
P55	292	趋地化	去极化
P55	293	趋地化	去极化
P55	295	趋地化	去极化
P55	297	趋地化	去极化
P55	301	趋地化	去极化
P55	301	趋地化	去极化
P55	302	趋地化	去极化
P55	303	趋地化	去极化
P55	317	趋地化	去极化
P55	322	趋地化	去极化
P55	333	趋地化	去极化
P55	335	摩天位	膜电位
P55	369	变突出	电突触
P55	383	变突出	电突触
P55	559	意志同	皮质酮
P55	1122	路传到	骨传导
P55	1142	束旁河	室旁核
P55	1255	有符合	后负荷
P55	1286	树旁核	室旁核
P55	1296	种树去	重摄取
P55	1448	机动系	激动剂
P55	1456	内脏疼	内脏痛
P56	18	机动系	激动剂
P56	30	机动系	激动剂
P56	69	感觉奇怪	感觉器官
P56	483	精细正立	静息张力
P56	540	皮层支	皮层柱
P56	540	皮层支	皮层柱
P56	561	同俗话	同步化
P56	712	觉精细	绝经期
P56	787	具体感觉	躯体感觉
P56	788	具体感觉	躯体感觉
P56	1030	渐突出	电突触
P56	1451	突出现意化	突触前易化
P56	1467	突出现意化	突触前易化
P56	1633	感觉奇怪	感觉器官
P56	1667	谁听到	水通道
P57	4	心知识	心指数
P57	65	动作变位	动作电位
P57	65	跳跃式转导	跳跃式传导
P57	75	心理失常	心律失常
P57	120	自己塑	雌激素
P57	174	些抗击	拮抗剂
P57	185	提层级随数	皮层脊髓束
P57	250	谁听到	水通道
P57	763	尿出流	尿潴留
P57	776	尿出流	尿潴留
P57	790	中枢去	重摄取
P57	814	尿储留	尿潴留
P57	821	尿储留	尿潴留
P57	911	皮层支	皮层柱
P57	937	脸反射	腱反射
P57	1035	鸟出流	尿潴留
P57	1206	尿储留	尿潴留
P57	1208	尿储留	尿潴留
P57	1225	尿储留	尿潴留
P57	1565	鸟处流	尿潴留
P57	1627	前反射	腱反射
P57	1738	肩板设	腱反射
P57	1854	尿处流	尿潴留
P58	14	帕金森定	帕金森病
P58	68	借反射	近反射
P58	195	脊丘科	脊休克
P58	196	脊丘科	脊休克
P58	342	尿储留	尿潴留
P58	343	鞭反射	腱反射
P58	353	尿储留	尿潴留
P58	355	鞭反射	腱反射
P58	357	尿储留	尿潴留
P58	486	连反射	腱反射
P58	571	间感射	腱反射
P58	852	去意识	去抑制
P58	894	较间反射	条件反射
P58	1043	心知识	心指数
P58	1203	感受缩	单收缩
P58	1207	感受缩	单收缩
P58	1344	谁听到	水通道
P58	1394	孙内基纤维	梭内肌纤维
P59	28	复习上	呼吸商
P59	39	谁听到	水通道
P59	209	借反射	近反射
P59	541	肌肉突	肌肉素
P59	972	复返回	负反馈
P59	1097	欠上反射	牵张反射
P59	1554	机动系	激动剂
P59	1928	皮层指	皮层柱
P60	49	皮层直	皮层柱
P60	51	皮层直	皮层柱
P60	52	皮层直	皮层柱
P60	93	怪戒眼	关节炎
P60	525	纳甲蚌	钠钾泵
P60	527	纳甲蚌	钠钾泵
P60	528	纳甲蚌	钠钾泵
P60	548	纳甲蚌	钠钾泵
P60	550	基细胞	壁细胞
P60	553	基细胞	壁细胞
P60	560	基细胞	壁细胞
P60	621	叫去抑制	交互抑制
P60	623	叫去抑制	交互抑制
P60	672	叫去抑制	交互抑制
P60	932	叫去意志	交互抑制
P60	968	叫去意志	交互抑制
P60	1089	学习考	血细胞
P60	1111	链解开	连接肽
P60	1126	低阴性	基因型
P60	1132	低阴性	基因型
P60	1135	低阴性	基因型
P60	1157	高中数	饱中枢
P60	1579	皮层只	皮层柱
P60	1760	谁听到	水通道
P60	1960	直接同理	直捷通路
P61	36	器小结	肌小节
P61	61	肌肉粗	肌肉素
P61	160	感觉奇怪	感觉器官
P61	207	器小节	肌小节
P61	306	去异化	去极化
P61	388	皮层支	皮层柱
P61	468	脊丘科	脊休克
P61	469	脊丘科	脊休克
P62	63	肌肉辅	肌肉素
P62	495	线体细胞	前体细胞
P62	504	到内分泌	胞内分泌
P62	653	代白尿	蛋白尿
P62	655	代白尿	蛋白尿
P62	722	蜜激素	雌激素
P62	959	叫失禁	尿失禁
P62	1100	高中枢	饱中枢
P62	1225	视膀盒	室旁核
P62	1229	视膀盒	室旁核
P62	1281	到内分泌	胞内分泌
P62	1350	高中数	饱中枢
P62	1496	高中枢	饱中枢
P62	1569	高种数	饱中枢
P62	1605	适合吸	施呼吸
P63	6	去形成	骨形成
P63	191	批层只	皮层柱
P63	1042	具体感觉	躯体感觉
P63	1093	图刺激	阈刺激
P63	1182	机动系	激动剂
P63	1279	面突出	电突触
P63	1280	突出后变位	突触后电位
P63	1330	种实验	正视眼
P63	1745	得第七	科蒂器
P64	46	意刺激	阈刺激
P64	107	学习到	血细胞
P64	249	四到周	胰岛轴
P64	359	叫反射	腱反射
P64	453	价反射	近反射
P64	460	价反射	近反射
P64	478	价反射	近反射
P64	479	价反射	近反射
P64	491	价反射	近反射
P64	494	价反射	近反射
P64	496	价反射	近反射
P64	504	价反射	近反射
P64	506	价反射	近反射
P64	658	前载起泊点	潜在起搏点
P64	1279	带收缩	单收缩
P64	1374	区刺激	阈刺激
P64	1588	诗语证	失读症
P64	1589	诗语证	失读症
P65	59	腺器官	腱器官
P65	111	释放核	室旁核
P65	125	蜜激素	雌激素
P65	129	蜜细胞	壁细胞
P65	202	胃蛋白胃元	胃蛋白酶原
P65	202	胃蛋白胃	胃蛋白酶
P65	203	胰蛋白胃元	胰蛋白酶原
P65	203	胰蛋白胃	胰蛋白酶
P65	284	肾肠腺素	肾上腺素
P65	291	肌激素	雌激素
P65	509	能激素	凝集素
P65	545	体化扩散	易化扩散
P65	818	到内分泌	胞内分泌
P65	845	主席好	主细胞
P65	954	代白磷酸化	蛋白磷酸化
P65	996	皮激素	雌激素
P65	1013	习细胞	壁细胞
P65	1056	去激活	去极化
P65	1100	性基素	凝集素
P65	1102	性基素	凝集素
P65	1108	细细胞	壁细胞
P66	102	机械堵	机械阈
P66	333	抗泌尿基素	抗利尿激素
P66	334	水泥尿	水利尿
P66	337	己分泌	自分泌
P66	361	释放核	室旁核
P66	741	沙上河	视上核
P66	878	皮质用	皮质酮
P66	901	到内分泌	胞内分泌
P66	923	气激素	雌激素
P66	927	气激素	雌激素
P66	988	去皮质	去抑制
P66	1172	感觉习惯	感觉器官
P66	1279	理激素	雌激素
P66	1433	八细胞	壁细胞
P66	1455	八细胞	壁细胞
P66	1548	蜜激素	雌激素
P66	1584	复返归	负反馈
P66	1619	蜜激素	雌激素
P66	1640	复返回	负反馈
P66	1646	复返回	负反馈
P66	1692	发现周	靶腺轴
P66	1765	复返会	负反馈
P66	1793	运气素	孕激素
P66	1797	蜜激素	雌激素
P66	1823	力转移	氯转移
P66	2027	释糖核	室旁核
P66	2028	释糖核	室旁核
P66	2142	抗泥尿激素	抗利尿激素
P66	2162	命激素	凝集素
P67	6	脾质激素	抑制激素
P67	30	到内分泌	胞内分泌
P67	361	纳甲梦	钠钾泵
P67	362	纳甲梦	钠钾泵
P67	368	纳甲梦	钠钾泵
P67	370	纳甲梦	钠钾泵
P67	386	纳甲梦	钠钾泵
P67	394	纳甲梦	钠钾泵
P67	549	打线轴	靶腺轴
P67	563	复返回	负反馈
P67	1171	气球蛋白	肌球蛋白
P67	1174	气球蛋白	肌球蛋白
P68	194	使用中	失用症
P68	313	应激素	凝集素
P68	315	氢化可提松	氢化可的松
P68	495	甲状腺几乎	甲状腺激素
P68	622	生长益素	生长激素
P68	627	生长益素	生长激素
P69	188	来火化	钙火花
P69	268	外活化	钙火花
P69	442	素激化	去极化
P69	471	强分子	腔分泌
P70	6	复返规	负反馈
P70	13	复返规	负反馈
P70	21	氢化可提松	氢化可的松
P70	28	复返会	负反馈
P70	46	氢化可提松	氢化可的松
P70	61	氢化可提松	氢化可的松
P70	64	氢化可提松	氢化可的松
P70	68	氢化可提松	氢化可的松
P70	77	氢化可提松	氢化可的松
P70	79	氢化可提松	氢化可的松
P70	81	氢化可提松	氢化可的松
P70	84	氢化可提松	氢化可的松
P70	94	氢化可提松	氢化可的松
P70	97	氢化可提松	氢化可的松
P70	101	氢化可提松	氢化可的松
P70	105	氢化可提松	氢化可的松
P70	130	蛋白叫	蛋白尿
P70	215	负点位	阈电位
P70	241	氢化可提松	氢化可的松
P70	242	氢化可提松	氢化可的松
P70	291	盐激素	孕激素
P70	358	视图几	树突棘
P70	558	胃蛋白胃	胃蛋白酶
P70	564	热剂负	热习服
P70	653	皮肌素	雌激素
P70	672	感觉舒	感觉柱
P70	762	怀基胎	缓激肽
P70	806	去皮质	去抑制
P70	828	去皮质	去抑制
P70	1283	脾脂激素	抑制激素
P70	1292	脾脂激素	抑制激素
P70	1303	脾脂激素	抑制激素
P70	1306	脾脂激素	抑制激素
P70	1309	脾脂激素	抑制激素
P70	1320	脾脂激素	抑制激素
P70	1325	全五统	醛固酮
P70	1326	脾脂激素	抑制激素
P70	1327	脾脂激素	抑制激素
P70	1333	去刺激	阈刺激
P70	1333	脾激素	雌激素
P70	1363	皮肌素	雌激素
P70	1388	性基素	凝集素
P70	1395	性基素	凝集素
P70	1546	屎膀核	室旁核
P70	1549	屎膀核	室旁核
P70	1558	屎膀核	室旁核
P70	1562	屎膀核	室旁核
P70	1571	屎膀核	室旁核
P70	1574	屎膀核	室旁核
P70	1609	复返回	负反馈
P70	1612	己调节	肌小节
P70	1614	生反馈	正反馈
P70	1617	生反馈	正反馈
P70	1646	脂肪激素	释放激素
P70	1655	皮质塑	抑制素
P70	1685	负反规	负反馈
P70	1704	皮激素	雌激素
P70	1707	皮激素	雌激素
P70	1709	皮激素	雌激素
P70	1724	皮激素	雌激素
P70	2030	收缩它	收缩压
P70	2106	皮激素	雌激素
P71	16	胰岛素算	胰岛素原
P71	81	乙细胞	壁细胞
P71	81	乙细胞	壁细胞
P71	81	乙细胞	壁细胞
P71	622	相分泌	腔分泌
P71	623	相分泌	腔分泌
P71	624	相分泌	腔分泌
P71	657	刺激育	雌激素
P71	690	神经款	神经元
P71	919	缩蛋狼素	缩胆囊素
P71	953	促刺激	阈刺激
P71	955	盐激素	孕激素
P71	955	肤激素	促激素
P71	958	皮肌素	雌激素
P71	965	腥肌素	凝集素
P72	629	摩天威	膜电位
P72	633	摩天威	膜电位
P72	994	抑制气	抑制区
P72	1358	着细胞	主细胞
P72	1387	熟细胞	主细胞
P72	1827	只细胞	主细胞
P72	1926	着细胞	主细胞
P72	1962	着细胞	主细胞
P72	2184	使取息	施呼吸
P72	2387	遇到素	胰岛素
P72	2478	着细胞	主细胞
P72	2479	着细胞	主细胞
P72	2490	保屏障	睾屏障
P73	71	习细胞	壁细胞
P73	186	衡点位	锋电位
P73	193	衡点位	锋电位
P73	603	心知识	心指数
P73	1531	软泡闭锁	卵泡闭锁
P73	1917	氧分泌	旁分泌
P73	1918	氧分泌	旁分泌
P73	2033	腹形成	骨形成
P73	2219	度雌激	阈刺激
P73	2257	氢激素	凝集素
P73	2273	向分泌	腔分泌
P73	2281	抑制器	抑制区
P73	2325	时候两	视后像
P73	2332	单手做	单收缩
P73	2589	素磁基	阈刺激
