# 源音频：P47-生理学本科教学及考研基础课 p47 感官2-视觉器官（折光）.m4a
# 时长：4966s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 好同学们,这节课咱们接着往下看一看这个视觉器官。
[00:24:22] 你或者那边比如说小时候产伤呀,或者胎儿失去点小外伤,或者什么,咱们这讲不清的原因。
[00:24:28] 但是里边有一个很小很小的一个小的一个小
[00:24:31] 小颗粒呀,小虚状物类似的。
[00:24:33] 我看偶尔网上出来说这个飞银针需要不需要治。你有病呀。
[00:24:38] 我有药。
[00:24:40] 你治它干嘛呀。
[00:24:42] 这样的话再往后面走,过了玻璃体以后
[00:24:45] 是吗不得。你看这是事实。
[00:24:46] 这是视神经啊。
[00:24:47] 你才发现视神经呀
[00:24:50] 是最后咱们整个视网膜的动作电位通过神经结细胞
[00:24:54] 它的周通
[00:24:55] 会离开眼球往中处走。所以最后在视网膜上所有的视神经纤维
[00:25:00] 离开眼球集中这个部位
[00:25:02] 叫视乳头。
[00:25:04] 视神经盘。
[00:25:05] 这个地方咱们生理学都学过,今天听课,
[00:25:08] 大多数同学都至少大二听过课了。
[00:25:10] 你知道
[00:25:11] 眼球上面有个地方
[00:25:13] 是不感光的。
[00:25:14] 我们称之为生理性的盲点。
[00:25:17] 为什么有生理性盲点?
[00:25:18] 因为视神经从这儿要传出。
[00:25:19] 这个地方在眼科学眼底
[00:25:21] 这块距脚
[00:25:22] 视神经乳头。
[00:25:24] 一旦大三同学学过诊断就明白了。
[00:25:26] 视乳头水肿
[00:25:27] 是点心颅内高压的表现。
[00:25:29] 视乳头水肿。
[00:25:30] 所以我们在临床的时候现在查的少。
[00:25:32] 临床我们经常口袋装一支液体镜
[00:25:35] 给别人看看眼睛。看完之后呀
[00:25:36] 你能知道
[00:25:37] 动脉周围印画的话,小动脉印画,眼睛动脉时候查一个印画。
[00:25:41] 正看上眼底里边
[00:25:43] 这边今天这儿我没看过,我放图了。
[00:25:46] 视神经不同的地方处理以后,
[00:25:47] 你们看有红色的动脉还有蓝色的静脉,这些血管分层分布的。
[00:25:52] 动脉血管位置稍微低一点,静脉血管位置稍微高,就稍微深一点,稍微浅一点。
[00:25:57] 那么动静脉实际上有很多地方在交叉,这个交叉无所谓,就交叉着。
[00:26:01] 但是一旦一个中年人动脉周围印画的时候,血管壁变硬。
[00:26:06] 这个时候他表起的静脉血管趴过动脉血管的时候,
[00:26:10] 就像李小巧一样,就有弯曲。
[00:26:12] 在
[00:26:13] 动脉周围印画的患者,你老年人患者的话,老年患者
[00:26:17] 身上,或者老年人
[00:26:19] 不用患者,你做健康体检查眼底,都能看到
[00:26:22] 动静脉打桥的现象。
[00:26:23] 这就是早期内科学上强调的
[00:26:25] 眼底血管打桥。
[00:26:27] 动脉周围印画血管硬化的一个表现。
[00:26:30] 这让你至少听一下视路头和视神经盘这个概念。
[00:26:34] 玻璃体在这儿。
[00:26:35] 下面这里边就是视网膜了。
[00:26:37] 视网膜外面还有脉络膜,最外面是供膜。
[00:26:40] 接迫血血过。
[00:26:41] 我这就先不啰嗦,往下走啊。
[00:26:43] 往下走。
[00:26:44] 眼球这准备学两个话题,遮光
[00:26:47] 和感光。
[00:26:48] 那么遮光是个什么意思,往下读。
[00:26:50] 物理学上你知道,这不正字面的,这功底,不用证明。
[00:26:54] 光线只有从一个媒介
[00:26:56] 进入另一个媒介的时候。
[00:26:58] 那么
[00:26:59] 如果这构成的是一个单球面的遮光体,
[00:27:02] 平面的没事。
[00:27:03] 球面,再曲面的。
[00:27:06] 那么光线就一定会折射。中学咱们学过
[00:27:08] 拿一个透明的玻璃杯,倒一杯水,老师拿起来口袋里一支笔,
[00:27:13] 中心笔也好,铅笔也好,杯子里一扔。
[00:27:15] 他的笔呀,筷子呀,西瓜,就弯了。
[00:27:17] 所以我讲课废话,不讲课。
[00:27:19] 要多说,说我不会游泳,老师我假期了,没事我学游泳去。
[00:27:22] 是啊,游泳池边上
[00:27:24] 会给你标的很清楚。
[00:27:25] 此处水深1.4,
[00:27:27] 此处水深2.2。
[00:27:29] 会游泳无所谓,还是跳下去游着走吧。
[00:27:31] 不会游泳的人一定不敢随便游着走。
[00:27:33] 老师你看,吃的这个水这么浅,
[00:27:35] 噎着我脚脚脖子,我跳下去试试吧。
[00:27:38] 看见噎着你脚脖子的水,下去把你脖子淹了,把脚子就没了。
[00:27:42] 为什么?
[00:27:43] 你视力
[00:27:45] 光线穿过
[00:27:46] 游泳池边的水的时候,
[00:27:50] 一眼
[00:27:51] 那时候光线发生折射了,
[00:27:52] 你看见水很浅,
[00:27:54] 你注意那是假象。
[00:27:56] 到这会儿,把你淹住后,你终于想起来一句话了,
[00:27:59] 谁他妈搞你眼见泪视。
[00:28:01] 光线是要折射的,所以一旦咱们也是看电影或者南方孩子有这种体会,
[00:28:06] 拿个小鱼叉子站在小溪里,
[00:28:08] 很浅的小河水中,
[00:28:10] 拿叉子插一条鱼,
[00:28:11] 你信不信?你一上午没插过一条鱼,
[00:28:14] 看着鱼插,插你自己脚,挨插上去。
[00:28:16] 为什么?
[00:28:16] 光线是要折射的,你记着。
[00:28:18] 所以下水用游客一定看看旁边飙的,
[00:28:21] 是1.4,2.2,你可不敢,老师我看这地方1.4,没有1.1吧,
[00:28:25] 下去,告诉你干嘛,
[00:28:26] 两杯,2.2,淹死你。
[00:28:28] 别说我没跟你讲,
[00:28:30] 折射,
[00:28:31] 肯定是要折射的。
[00:28:33] 而且这个折射呀,
[00:28:34] 它的强度还不一样,体会一下,
[00:28:38] 两个媒介物的密度反差越大,
[00:28:41] 那么这个交界面处,
[00:28:43] 折光的力气越强。
[00:28:44] 这个咱们是要熟悉的。
[00:28:47] 就是两个媒介物的密度反差越大,
[00:28:49] 这个意义上咱们体会一下,
[00:28:51] 光线如果从空气中要到我的视网膜上折光几次,
[00:28:54] 至少它首先从空气要经过
[00:28:57] 角膜,这是个去光的,
[00:29:00] 折射一次。
[00:29:01] 角膜出了以后
[00:29:02] 是防水,
[00:29:03] 中间这个瞳孔,瞳孔是个
[00:29:05] 孔道,它不折射。
[00:29:07] 所以在
[00:29:08] 角膜的前面和后面面折,折两次应该是。
[00:29:12] 就经过防水之后到金刚体,前面面折一次。
[00:29:15] 后面和玻璃交接处,折又变一次,又折一次。
[00:29:18] 所以经过
[00:29:19] 这么多次折射。
[00:29:20] 而且这写了空气到角膜的1.000,这是空气的
[00:29:25] 它的这个
[00:29:26] 折射率,空气它不折。
[00:29:27] 到角膜1.336,
[00:29:29] 然后到防水,
[00:29:31] 然后再到金刚体,再到玻璃,它每个地方不一样。
[00:29:35] 每个地方都不一样。
[00:29:37] 但不用我们实际上就能明白,
[00:29:39] 这里边折光的最强在哪个地方?
[00:29:41] 在空气和角膜的,就是角膜的前面面。为什么?
[00:29:44] 因为空气的密度最低,
[00:29:47] 角膜在这几个里边。
[00:29:49] 密度差不多最高。
[00:29:51] 最大的区别不是密度高低,
[00:29:53] 是空气和角膜这两个维界位,
[00:29:56] 密度的反差最大。
[00:29:59] 所以到这咱们事儿就是个终点了。老师我要背什么在这?你背一下。
[00:30:03] 尽管光线从外界最后到视网膜,经过多次折射,但是折光最强的那一次
[00:30:09] 一定是在角膜的前面。
[00:30:11] 而且你知道这个物体啊
[00:30:13] 它的折光的这个半径,
[00:30:15] 曲率半径
[00:30:16] 越小就是
[00:30:18] 它越突入。
[00:30:18] 它折光能力就越强。这是不言而喻的。
[00:30:22] 所以就有人想办法用激光的方法,
[00:30:25] 我拿手的你笔画,你激光不是地方,给它削头薄一点。
[00:30:31] 把中间这多小,旁边少些的,我画的狠一点,这样削下来,
[00:30:35] 削成平的。
[00:30:39] 就能
[00:30:40] 应该叫做增加
[00:30:42] 角膜的区光
[00:30:43] 曲率半径。
[00:30:45] 就能减弱角膜前面面和
[00:30:47] 空气
[00:30:48] 光线这个折射。
[00:30:49] 至于减轻折射以后,这个线条就不这样折了。
[00:30:52] 就
[00:30:53] 往后延续。
[00:30:54] 这一延续之后的焦点,你看
[00:30:56] 就会往后拉。
[00:30:58] 这就是临床上激光治疗近视的原理。
[00:31:02] 但注意同学们,代价是什么?代价是7早
[00:31:05] 挂号花钱。错!
[00:31:06] 代价是把我身上最敏感
[00:31:10] 最容易受损伤的角膜花切角人家,切薄了一点。
[00:31:17] 尽管各种宣传说切的六分之一就好了,激光切的很光滑,只切首付层。
[00:31:24] 这个不切非首付层
[00:31:25] 什么叫首付层?
[00:31:26] 你要是一旦需要做眼力线,比如静脏体摘处理
[00:31:29] 这个角膜咱们只能切开一半
[00:31:32] 不叫切开一半
[00:31:34] 叫缝合的时候,切开把精卫拿到后,只能缝一半。你拿一个针要这样缝
[00:31:39] 缝,缝
[00:31:40] 你把角膜扎穿了
[00:31:42] 所以只能从外面这
[00:31:43] 首付层
[00:31:44] 从这缝
[00:31:45] 缝完之后,里边闭合的很好
[00:31:47] 而且针眼在表面
[00:31:48] 不怕里边漏了,要不你防水漏了,说哥们你留一留眼泪,你把防水漏的眼球给扁了
[00:31:54] 那不行
[00:31:55] 半层缝合
[00:31:56] 而实际上静视眼首付切的是谁?
[00:31:58] 是我们角膜
[00:31:59] 最致密的这一块,有时候说你这聪明老师
[00:32:02] 把角膜这样掀开掀开以后,把里边缺点再缝回来
[00:32:06] 你意思是切完之后,角膜更厚更结实是不是?
[00:32:10] 我不知道,我到这为止
[00:32:12] 做医学几十年了,我实在找不到一个孩子
[00:32:15] 需要用手术来治疗静视眼的理由
[00:32:18] 我找不到
[00:32:19] 尽管手术的
[00:32:21] 临床观察和广告报道
[00:32:23] 说是手术的安全系数很大,我是说
[00:32:27] 戴一副眼镜就一定
[00:32:29] 更不萌命了吗?
[00:32:31] 有个词叫蒙着冰冰,有没有?
[00:32:33] 配一副好的镜子
[00:32:34] 有个好的镜框,用个什么DL的呀
[00:32:37] 阿玛尼的呀
[00:32:38] 再便宜点
[00:32:40] 用半雷盆的
[00:32:42] 镜子就很好呀
[00:32:43] 干嘛就不能戴,非要把角膜削薄一点
[00:32:45] 跟自己有仇呀
[00:32:48] 只报道做完手术效果不错,报名报道我做完手术失明的
[00:32:52] 没人报道我了是
[00:32:54] 合着你知道
[00:32:55] 报道出来的视线让你看的
[00:32:57] 不啰嗦了啊
[00:32:58] 说你讲这么多话,我都不说了
[00:32:59] 我啰嗦干嘛了,我再给你听一下,科普一下
[00:33:02] 角膜越凸
[00:33:05] 遮光能力越强
[00:33:06] 第二个
[00:33:08] 为什么切切角膜,治疗精神也效果还不错
[00:33:12] 因为
[00:33:13] 光线多次的折射过程中
[00:33:16] 角膜的前表面
[00:33:18] 是遮光能力最强的
[00:33:19] 把这儿改变一点
[00:33:21] 就能明显的改变光线在眼眉呀
[00:33:24] 聚焦手交点这个位置
[00:33:26] 角膜变得越扁平
[00:33:28] 遮光的
[00:33:29] 能力越弱
[00:33:30] 那么这个焦点就越往后拉
[00:33:33] 如果这个地方有同学会就解答,有同学还不会的话,提前听一下
[00:33:36] 到底什么叫近视
[00:33:38] 近视也近视
[00:33:39] 答案,近视就是不管什么原因
[00:33:42] 焦点落到了视网膜前面
[00:33:46] 没到视网膜提前聚焦
[00:33:48] 提前聚焦的叫近视
[00:33:50] 焦点太近了,你焦膜
[00:33:52] 那么,焦点如果你焦膜太远去了,视网膜后往后倒勺去了
[00:33:56] 叫远视
[00:33:57] 所以能不能开个玩笑说
[00:33:58] 为什么叫近视
[00:34:00] 焦点就叫近视
[00:34:01] 焦点离焦膜近的叫近视
[00:34:05] 焦点离焦膜远的
[00:34:07] 叫远视
[00:34:09] 我瞎说你瞎听啊
[00:34:10] 所以实际上到了后面一会儿我会讲一下
[00:34:12] 近视远视
[00:34:13] 不看近点
[00:34:15] 看远点
[00:34:17] 而口误
[00:34:18] 近视远视不看远点
[00:34:20] 看近点
[00:34:23] 近点变近的是近视
[00:34:25] 近点变远的
[00:34:27] 是远视,再说一遍,把这不小心嘴里就吐露了
[00:34:30] 近视还是远视
[00:34:32] 不看远点
[00:34:33] 看近点
[00:34:34] 看近过眼条节以后
[00:34:36] 能看清物质最小距离
[00:34:38] 最小物体拉近的
[00:34:40] 是近视
[00:34:41] 拉远的
[00:34:42] 是远视
[00:34:43] 再加半条
[00:34:44] 和老化
[00:34:46] 远视和老化
[00:34:47] 不看近
[00:34:48] 不看远点
[00:34:49] 看近点
[00:34:51] 这样
[00:34:52] 接着我下课这写了很有意义的一句话
[00:34:55] 当不带潜水镜潜水时候
[00:34:57] 水中事物就模糊原因是什么
[00:35:00] 是正常人外面是空气
[00:35:01] 脚膜里面有一层水和脚膜
[00:35:04] 那么实际上
[00:35:05] 光线是空气和脚膜折光之后让我那边折的
[00:35:08] 一带游泳池不带眼镜那么也外面确实水
[00:35:11] 游泳池里面水脏不脏不说了那是
[00:35:13] 卫生的事情
[00:35:14] 是城管的事咱不管它了
[00:35:16] 那么都是水的时候
[00:35:18] 你发现
[00:35:18] 光线从水里边穿过来再穿个脚膜出
[00:35:21] 这折光系数就不够了
[00:35:23] 焦点就变了
[00:35:24] 对了,这光率下降
[00:35:26] 那么焦点不再是往上了
[00:35:30] 改变了
[00:35:31] 就从正常人
[00:35:33] 空气和
[00:35:33] 脚膜折光变成水和脚膜折光了
[00:35:36] 所以在游泳池中不带眼镜看东西
[00:35:39] 是看不清楚在水里面潜水
[00:35:41] 是看不清楚的
[00:35:43] 多次折射
[00:35:44] 脚膜
[00:35:45] 最强
[00:35:46] 为胜
[00:35:48] 为出有才
[00:35:49] 与斯为胜
[00:35:53] 为了能够比较简单的研究一下整个眼的折光和感光的能力或生理学活动
[00:36:00] 特征
[00:36:01] 所以生理学家
[00:36:02] Lister
[00:36:03] 应该叫Listy
[00:36:04] 就设立了这么一个
[00:36:06] 随便解化眼的概念
[00:36:07] 就是
[00:36:09] 利用这个眼的
[00:36:10] 折射,你知道折射本身是多次
[00:36:13] 折光的
[00:36:13] 那么把多组这个
[00:36:15] 透射镜片
[00:36:16] 仿一形物理学换算一下
[00:36:18] 换算完了以后
[00:36:19] 咱们认为他就设立出一个模型来
[00:36:21] 设眼球为单球面折光点
[00:36:24] 不再是多个图镜了
[00:36:25] 一次指折一次,假定指折一次
[00:36:27] 那么眼球前后径是20个毫米
[00:36:30] 就两个厘米
[00:36:31] 折射率是1.33
[00:36:33] 曲率半径是5个毫米
[00:36:35] 也就是说
[00:36:36] 这个
[00:36:37] 角膜咱们认为他这个
[00:36:39] 球体
[00:36:40] 球形部位
[00:36:41] 在角膜后面的
[00:36:43] 5个毫米处
[00:36:44] 要这样算一算的话
[00:36:45] 算一下的话这个眼轴
[00:36:47] 总长是20毫米
[00:36:49] 节点到角膜是5个
[00:36:50] 那么后面还剩下多少
[00:36:51] 还剩下15个
[00:36:52] 是这个意思
[00:36:54] 前主焦点
[00:36:55] 在角膜前15毫米处
[00:36:57] 后主焦点
[00:36:58] 在后
[00:36:59] 节点后的
[00:37:00] 15毫米处
[00:37:01] 所以前焦后焦
[00:37:02] 这是成像的原理
[00:37:03] 不管它这个
[00:37:04] 到底实现了
[00:37:05] 什么样
[00:37:06] 但平行光线
[00:37:07] 就6米以外的
[00:37:08] 光线
[00:37:09] 进入解化液的时候
[00:37:10] 依次聚焦
[00:37:11] 正好落在视网膜上
[00:37:12] 成一个缩小的
[00:37:14] 道理的一个实相
[00:37:16] 所以到这引出咱们
[00:37:18] 感觉器官的一个基本知识点
[00:37:20] 哪一个呀
[00:37:21] 就是在视觉器官上学的内容
[00:37:23] 远物
[00:37:24] 和近物
[00:37:25] 日常这个问证教学
[00:37:27] 没有时候教学中
[00:37:28] 同学们知道
[00:37:30] 生理学上讲这个野球的成像
[00:37:32] 讲远物和近物
[00:37:33] 什么叫远物
[00:37:34] 远的就是远物
[00:37:35] 还有你说那还学医学干嘛
[00:37:37] 这提不起来
[00:37:38] 远物近物的封界点在哪里
[00:37:41] 在6米
[00:37:41] 为什么
[00:37:42] 因为6米之外的物体咱们可以认为呀
[00:37:45] 它是平行光线方式进来的
[00:37:47] 6米之内的
[00:37:49] 离得太近了
[00:37:50] 到角膜太近
[00:37:51] 那么这个物体
[00:37:52] 就是一扇扇光线是进来的
[00:37:54] 所以为什么一定要拿6米去分
[00:37:56] 6米之外咱们就认为
[00:37:58] 它不一定啊
[00:37:59] 就认为它是平行光
[00:38:01] 6米之内
[00:38:02] 它就是
[00:38:03] 不用认为了
[00:38:03] 它就是
[00:38:04] 扇扇光
[00:38:05] 你要扇扇光到平行光线以后自然聚焦
[00:38:08] 这光
[00:38:09] 就正好到视网膜去了
[00:38:10] 你假如要是一个
[00:38:11] 你看这个地方
[00:38:12] 平行光线进来
[00:38:14] 到视网膜去了
[00:38:15] 如果你要是一个
[00:38:16] 散
[00:38:17] 散射
[00:38:18] 散射光线的话
[00:38:19] 焦点就往视网膜后面移
[00:38:22] 就到不着视网膜
[00:38:23] 怎么办
[00:38:24] 野球需要辅助一下
[00:38:25] 6米之内物体
[00:38:27] 就需要野球辅助一下加强着光能力
[00:38:29] 把焦点拉回来
[00:38:31] 拉到视网膜
[00:38:32] 这个就是咱们这一节要讲的一个重点话题
[00:38:34] 引调节
[00:38:36] 6米之内的物体在野球成像的时候才需要调节
[00:38:41] 为什么
[00:38:42] 因为散射光就得去视网膜后面去了
[00:38:45] 调节调什么
[00:38:46] 把焦点重新拉到视网膜上
[00:38:49] 所以这一节在演的两个内容
[00:38:52] 折光和感光中
[00:38:53] 折光里面几乎唯一重点
[00:38:55] 就是演调节
[00:38:56] 要不一说想一想说
[00:38:57] 这本书读过读过之后一说调节咱不知道
[00:39:01] 作为老师其实很痛心
[00:39:02] 你说我这事你学什么去
[00:39:04] 就学这个内容演调节
[00:39:05] 不管
[00:39:06] 再听一个基本概念
[00:39:08] 视敏度也叫视力
[00:39:09] 什么叫视敏度视力
[00:39:10] 是人也分辨一个物体
[00:39:12] 看东西的时候
[00:39:13] 精细程度看得仔细不
[00:39:15] 这个药盒上写的
[00:39:17] 依此一片一日三次口服
[00:39:19] 注意事项
[00:39:20] 静极针
[00:39:21] 是吧
[00:39:22] 这个这个等等一些东西
[00:39:23] 出场日期
[00:39:24] 能看清楚不
[00:39:25] 节节号到底是
[00:39:27] 这个样子
[00:39:27] 视敏度视力
[00:39:29] 有简化也模型
[00:39:31] 根据已知的物据和物体大小
[00:39:33] 可以算出了五项
[00:39:34] 和视角大小
[00:39:35] 正常来说
[00:39:36] 人也在
[00:39:37] 光照良好
[00:39:38] 情况下
[00:39:39] 在视网膜上的物像大约等于
[00:39:41] 5个微米
[00:39:42] 在视网膜上五个微米的时候
[00:39:44] 那么视角大约等于
[00:39:46] 一度
[00:39:46] 可以产生
[00:39:48] 清晰的
[00:39:49] 视觉,咱们认为一个视锥细胞
[00:39:52] 直径在五个微米左右
[00:39:55] 这样你要是成像大于五个微米的话那么你这个像
[00:39:58] 至少会横跨
[00:39:59] 两个细胞之间
[00:40:01] 两个细胞之间会产生一个反差
[00:40:03] 然后产生视力
[00:40:04] 如果成像比五个微米还小
[00:40:06] 视网膜就看不清楚
[00:40:10] 这个一度角的物像可以分别刺激两个
[00:40:13] 相邻的
[00:40:14] 不同的感光细胞
[00:40:17] 原因在这
[00:40:18] 他们才有比较
[00:40:19] 你听了一句老话
[00:40:20] 没有比较就没有伤害
[00:40:22] 所以视网膜上能够分别物体最小的
[00:40:24] 大小是多少
[00:40:26] 是五个微米
[00:40:27] 就是一度
[00:40:28] 那么一度的话对应着视力表上应该就是
[00:40:31] 标准视力5.0
[00:40:32] 也可以叫1.0
[00:40:34] 那么视角
[00:40:36] 等于
[00:40:37] 10度的时候
[00:40:38] 就是打开正好0.1
[00:40:40] 对应着是3.3
[00:40:41] 所以这是一个视力表的设计原理
[00:40:45] 用能够分辨两点的最小的视网膜物像五个微米
[00:40:49] 或视角一度来表示
[00:40:51] 表示视力度的
[00:40:52] 这个高低
[00:40:53] 视力表是根据这个原理设计的
[00:40:55] 一则这个笔画粗细
[00:40:57] 和缺口
[00:40:58] 皆为
[00:40:59] 一度
[00:40:59] 一度就是
[00:41:00] 正好能看一看你看见哪一个吧
[00:41:02] 往下对应就完了
[00:41:04] 就是5.0标准视力
[00:41:07] 是它
[00:41:08] 听过就完了
[00:41:09] 这样的话咱们说
[00:41:11] 拿这么大一个篇幅引出来
[00:41:13] 这张内容为什么作为老师会这么感兴趣
[00:41:17] 你读完这一张头脑子里不是某一个细节啊
[00:41:20] 是这一张整个学什么学了四个话题
[00:41:22] 然后野球学什么学哲观和感光
[00:41:25] 那么耳朵学什么
[00:41:26] 传音和感应
[00:41:27] 这样你看看能不能闭着眼以后
[00:41:30] 像我电影一样
[00:41:31] 把这张内容整个过一遍
[00:41:33] 从这一个小章节
[00:41:34] 到循环啊呼吸啊神经啊
[00:41:37] 气包啊
[00:41:37] 这样大掌节
[00:41:38] 再从生理学这个
[00:41:39] 学科
[00:41:40] 到药理学
[00:41:41] 到病生中大学内科外科学
[00:41:43] 看看脑子里边能不能把这一本书一个学科
[00:41:45] 一下装进来
[00:41:47] 不求细节
[00:41:49] 先统一个
[00:41:50] 线索
[00:41:51] 和思路
[00:41:53] 接下来这张课就让我们开始看这个
[00:41:55] 野条节
[00:42:00] 好接着往下看
[00:42:02] 这野条节它意义在哪里
[00:42:03] 就像前面咱们阐述过一样
[00:42:05] 你看灵敏以外光线的时候
[00:42:07] 所谓的远雾
[00:42:09] 那么它的光线是一个平行光
[00:42:12] 这样的话按照正好咱们人的野球的结构
[00:42:15] 所以上帝设起人器官的时候
[00:42:17] 一切都是刚刚好
[00:42:19] 正好它经过自然的折射
[00:42:21] 按照刚才说1.333的这光系数
[00:42:23] 它就正好到视网膜上
[00:42:24] 就看清楚了
[00:42:26] 但是6米之内物体下下面是示意图一样
[00:42:28] 进物发出光线是辐射浪的
[00:42:31] 这样进入野球你要不管它呀
[00:42:33] 它焦点自然往后延
[00:42:35] 那么进物的焦点就落到视网膜之后了
[00:42:38] 视网膜之后我就看不见了
[00:42:40] 我必须得保证焦点正好落在视网膜后才能看出来
[00:42:43] 但野球长短不会变
[00:42:44] 怎么办
[00:42:45] 它就通过这个静光体变得更通
[00:42:48] 加强它的遮光能力
[00:42:50] 增加遮光系数
[00:42:51] 等于是把焦点往前拉
[00:42:53] 拉回到视网膜上
[00:42:55] 所以体会你要不管它
[00:42:56] 它就去视网膜后面
[00:42:57] 你拉把它拉回来
[00:42:59] 这个地方有一个很细腻的地方
[00:43:01] 这也是做老师几十年之后慢慢感受
[00:43:04] 所以学到这的时候突然发现
[00:43:06] 人体的很多器官
[00:43:07] 它对功能调节
[00:43:09] 是单向的
[00:43:10] 你比方说你学
[00:43:11] 胸怀生理学
[00:43:12] 心力储备
[00:43:13] 你结果是在心脏
[00:43:14] 把输出量 博出量
[00:43:16] 往小调 没有
[00:43:17] 你指挥越调越大
[00:43:19] 所以
[00:43:20] 在
[00:43:21] 基点内外化解发生改变的时候
[00:43:23] 心脏的输出量没风格总的博出量
[00:43:26] 博出量成心率
[00:43:27] 那么这个量
[00:43:28] 可以增加到近期时的
[00:43:30] 5到7倍
[00:43:31] 这个储备能力叫心力储备
[00:43:33] 所以你结果心力储备往上储备
[00:43:35] 没结果往下储备的
[00:43:38] 是肺通气的面积 换解的面积
[00:43:40] 也是这个样子
[00:43:41] 以至于咱们学到肾脏时候有个非常经济的
[00:43:44] 同学老提问
[00:43:45] 学完生理学大二时候老师
[00:43:47] 你说这个肾脏血液量增多的时候人家怎么调节
[00:43:50] 问题是你能借到肾血液量增多吗
[00:43:53] 永远借不到
[00:43:55] 你去到内外科学时候你更发现
[00:43:56] 你只要借到肾脏血液量变化
[00:43:58] 一定是减少的
[00:44:00] 那怎么就大红肾 肾脏就肾炎是吧
[00:44:02] 躁脑肾就多
[00:44:04] 它实际上是
[00:44:06] 咱们一直思考不到一个问题
[00:44:08] 肾脏
[00:44:08] 里面有一个很致命的被膜 里面还有很多网格的结构
[00:44:12] 这每个网格里面网的一些人
[00:44:14] 像咱们看的肾水质
[00:44:15] 像降落伞一摞一摞一摞
[00:44:18] 一组组肾小球
[00:44:20] 小球之间
[00:44:22] 小球周围包裹着各种肾小管
[00:44:25] 各种肾小球
[00:44:26] 内部的或周围的
[00:44:28] 一套和二套毛细血管
[00:44:29] 这个管道互相交织在一起
[00:44:32] 外面这个膜又很结实
[00:44:34] 所以实际上在肾脏发生的野症反应是
[00:44:36] 冶青细胞 精润呀是吧
[00:44:38] 有些冶青肾
[00:44:38] 肾脞呀
[00:44:39] 这些东西
[00:44:40] 就会造成
[00:44:41] 肾脏内部的各个结构和组织之间
[00:44:44] 相互挤压
[00:44:45] 你看见肾脏大了
[00:44:47] 但肾本质
[00:44:48] 是缺血的
[00:44:50] 所以实际上真正学会医学你才发现
[00:44:53] 肾脏你只能遭遇到血液量少的时候怎么办
[00:44:56] 你遭遇不到血液量
[00:44:57] 说那喝水多少血液量大呢不是
[00:44:59] 你记不记得静脉血管叫什么
[00:45:01] 叫容量血管
[00:45:03] 能喝水把人喝成心衰的给你宠作给人下术
[00:45:07] 输也输得太快
[00:45:08] 能确实
[00:45:09] 但是你见过哪个健康青年人
[00:45:12] 感冒了输两瓶清瘟素
[00:45:13] 输得心衰 没那事
[00:45:15] 只能输液时成心衰的
[00:45:16] 那肯定心脏本身有问题
[00:45:19] 对了
[00:45:19] 就像军训的把人军训死的
[00:45:21] 那一定是肥厚心肌病
[00:45:23] 哎呀你别跟
[00:45:24] 当然也有可能是中暑啊
[00:45:26] 中暑讲那句废话就给国家考虑到体重
[00:45:29] 中暑不是得热的
[00:45:30] 天热中暑不是
[00:45:32] 热不热不是毛病
[00:45:33] 湿不湿才是问题
[00:45:36] 湿度太大大到我皮肤表面的汗液就没法去清
[00:45:39] 这个生化没法气化
[00:45:42] 把这两袋走
[00:45:43] 只见出汗
[00:45:44] 不见散热
[00:45:45] 那才会中暑
[00:45:46] 对了
[00:45:47] 所以咱们实际上学医学我说有好多东西是多年之后返回来
[00:45:51] 慢慢体会到了
[00:45:52] 讲到这怎么突然发散了
[00:45:54] 实际上跟你听一下
[00:45:55] 眼条节其实是单向条节
[00:45:58] 焦点在视网膜后面的
[00:46:00] 角膜太远了
[00:46:01] 我可以通过我的经脑体电拖呀把焦点往回拉
[00:46:04] 一旦焦点落到视网膜前面了
[00:46:07] 你没有办法往回推
[00:46:08] 推不动
[00:46:09] 所以远视能看清东西
[00:46:13] 调一下
[00:46:15] 慢慢仔细体会远视野的人能看清不能
[00:46:18] 麻烦是麻烦是看远物的时候
[00:46:21] 咱们正常是近乎才调节
[00:46:24] 远物不用调就在视网膜上
[00:46:26] 远视野的人眼周太短
[00:46:27] 远物也得调
[00:46:29] 他看什么东西
[00:46:31] 焦点都在视网膜后面
[00:46:33] 远视野近乎调节尽管累点儿都要头疼
[00:46:35] 但能看清楚近视野累死你也看不见
[00:46:38] 那么近视野下看见东西怎么办
[00:46:40] 只能把脑袋凑到东西上
[00:46:42] 你走到这地方这一张课件一看
[00:46:44] 你的头部离物体越近
[00:46:46] 光线越散射
[00:46:48] 焦点就往后面移
[00:46:49] 对了
[00:46:50] 要么再拗劲
[00:46:51] 要么脑袋凑到物体上
[00:46:53] 你也不害怕看到眼里把拔不出来
[00:46:56] 单向啊
[00:46:58] 其实肺脏也是
[00:46:59] 肺袍永远就有一个
[00:47:01] 弹性回缩力
[00:47:03] 你什么时候见过肺袍会自己往开张没那事
[00:47:06] 所以弹性回缩力变差的时候
[00:47:08] 老年肺气肿
[00:47:10] 肺袍那不就有了
[00:47:11] 参加了就增加了
[00:47:13] 所以你现在慢慢咱们大二同学听这个课当我再瞎说
[00:47:17] 大三大四学过内外科学诊断学以后突然就发现发现什么
