# 源音频：P12-生理学本科教学及考研基础课 p12 血液生理第一节2-血液的理化特性.m4a
# 时长：2078s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 好,同学们,咱们上节课谈了一下血液这章的第一节,有关血液的构成和理化特性。
[00:20:33] 设想一分子白蛋白和一分子球蛋白,
[00:20:37] 构成渗透压是相等的,
[00:20:39] 但是一克白蛋白和一克球蛋白就完全不相同,
[00:20:43] 为什么?
[00:20:43] 白蛋白的分子量小,
[00:20:45] 大比方说一克白蛋白我称一下,
[00:20:47] 能数出来两千粒,
[00:20:49] 两千粒白蛋白,
[00:20:50] 那么一克球蛋白各自打百,
[00:20:52] 可能只有半颗,
[00:20:54] 所以同等的重量情况下,
[00:20:56] 谁分子量小,
[00:20:58] 谁的分子颗粒数多,
[00:20:59] 谁形成的渗透压高,
[00:21:02] 而在许阳龙上节课讲,
[00:21:03] 我们许阳总的蛋白量是80到90克每升,
[00:21:06] 这里边三分之二是白蛋白,
[00:21:09] 三分之一是球蛋白,
[00:21:11] 白球比值2比1,
[00:21:12] 第一个,
[00:21:13] 白蛋白本身重量比球蛋白就大,
[00:21:16] 第二个,
[00:21:16] 白蛋白分子量还小,
[00:21:19] 所以我们非常严格的强调一句话,
[00:21:22] 血浆的胶体渗透压是血浆白蛋白构成的,
[00:21:27] 而且上节课讲过,
[00:21:29] 所谓临床重要的低蛋白血浆的概念,
[00:21:32] 指的是低白蛋白血浆,
[00:21:34] 白在那一背,
[00:21:35] 你就白下了,
[00:21:36] 就这意思,
[00:21:37] 嗯,
[00:21:38] 这听下来啊,
[00:21:39] 渗透压的大小是和溶液中溶质的颗粒数相关的,
[00:21:45] 而与溶质的种类和颗粒大小无关,
[00:21:49] 不是说球蛋白各自打,
[00:21:51] 渗透压大,
[00:21:51] 不是,
[00:21:52] 是谁数量多,
[00:21:53] 你是100克还是1克,
[00:21:56] 是这样的,
[00:21:57] 这样的,
[00:21:57] 那的话,
[00:21:58] 血浆渗透压是两块,
[00:21:59] 晶体和胶体,
[00:22:01] 晶体渗透压就无非是无尽眼了,
[00:22:02] 包括这个钠粒,
[00:22:04] 主要是钠粒子,
[00:22:05] 还有糖分的一些晶体物质,
[00:22:07] 但是咱们也声明一下,
[00:22:08] 在生理情况下,
[00:22:09] 咱们谈到血浆晶体渗透压,
[00:22:11] 主要指的是钠,
[00:22:13] 可以这样说,
[00:22:14] 钠粒子就构成了血浆晶体渗透压,
[00:22:17] 还没有吧,
[00:22:18] 接着往下看,
[00:22:19] 正常的血浆渗透压总量是300个毫渗透,
[00:22:23] 不是毫毛,
[00:22:24] 毫渗透,
[00:22:25] 嗯,
[00:22:25] 毫毛也作为毫毛了,
[00:22:26] 毫升的大量,
[00:22:27] 或者770千帕,
[00:22:29] 而胶体渗透压只有1.3,
[00:22:33] 只有1.3,
[00:22:34] 你清楚看到了啊,
[00:22:36] 如果从数字上看,
[00:22:38] 晶体胶体渗透压,
[00:22:40] 胶体渗透压,
[00:22:42] 只占血浆渗透压总量0.4%,
[00:22:47] 31.2%
[00:22:49] 所以说就数字两个字来看,
[00:22:52] 胶生液完全可以忽略不计,
[00:22:54] 但是一旦发生干液化地带,
[00:22:56] 外外血浆,
[00:22:57] 浮水大量形成,
[00:22:59] 到这儿,
[00:22:59] 我们非常非常认真一辈子不能忘,
[00:23:02] 记一句话,
[00:23:03] 胶生液数字不大,
[00:23:05] 功能极大,
[00:23:09] 而且咱们接着往下看,
[00:23:11] 晶体渗透压维持着细胞膜内外的水的平衡,
[00:23:15] 把红细胞放到低渗液体中,
[00:23:17] 水就跑到膜内去了,
[00:23:19] 膜内渗透压高,
[00:23:20] 吸引水的能力强,
[00:23:21] 红细胞就肿胀了,
[00:23:22] 把红细胞放到低渗液体中,
[00:23:25] 低渗液体,
[00:23:26] 水就跑进去了,
[00:23:27] 把红细胞一旦放到高渗液体中,
[00:23:29] 水就被液体吸走了,
[00:23:30] 红细胞就肿缩了,
[00:23:32] 所以下节课咱们就看见了,
[00:23:33] 晶体渗透压维持细胞内外水的平衡,
[00:23:38] 而胶生液维持血管内外水的平衡,
[00:23:42] 刚才咱们弥补了上节课有同学弹幕上打的不让人理想的话题,
[00:23:47] 哪个话题啊?
[00:23:49] 急性脱水大多是等生或高生的,
[00:23:52] 什么叫高生脱水?
[00:23:54] 就是脱完水之后,
[00:23:55] 血浆渗透压比平时大,
[00:23:57] 那么就等生或高生,
[00:23:58] 就带来一个麻烦,
[00:24:00] 如果血浆的渗透压大,
[00:24:02] 组织液和血浆是连通的,
[00:24:04] 组织液渗透压就大,
[00:24:05] 那么细胞等于浸泡在高水的体中,
[00:24:08] 就把组织细胞水给拉走了,
[00:24:10] 所以体会一句话,
[00:24:11] 脱水可不仅仅是血污量少的问题,
[00:24:15] 组织细胞水也会少,
[00:24:18] 细胞内部如果没有水,
[00:24:20] 很多生化反应不能进行,
[00:24:22] 我敢不敢说句话,
[00:24:24] 脱水是要死人的,
[00:24:26] 接下来听,
[00:24:27] 而慢性脱水,
[00:24:29] 大多是低渗脱水,
[00:24:30] 低渗脱水的时候,
[00:24:31] 你把一个组织细胞放在低渗液体中,
[00:24:34] 细胞内部渗透压高,
[00:24:35] 把水渗透往里边引,
[00:24:38] 所以体会一下,
[00:24:39] 医学上最难的一个词,
[00:24:41] 叫水中毒,
[00:24:43] 记住,
[00:24:43] 水中毒可不是体内水多了,
[00:24:46] 而是细胞内水多了,
[00:24:51] 水中毒是低渗脱水的plus版,
[00:24:57] 再说一遍,
[00:24:58] 水中毒是低渗脱水的plus版,
[00:25:03] 可能,
[00:25:04] 可能是血浆越来越少,
[00:25:07] 细胞内液越来越多,
[00:25:10] 这才叫水中毒,
[00:25:13] 很可能你问你老师,
[00:25:15] 他也解释不了,
[00:25:16] 我都没有诋毁别人的意思,
[00:25:18] 因为这个词太难了,
[00:25:21] 一定把这个词水中毒三个字打在弹幕上,
[00:25:24] 因为这个词太难了,
[00:25:25] 如果你是大二,
[00:25:26] 你还意识不到,
[00:25:27] 到大五记着翻回来,
[00:25:28] 这口不删,
[00:25:29] 重新听你回心的收获,
[00:25:31] 嗯,
[00:25:32] 到这儿围绕着300和1.3,
[00:25:34] 咱们说句话,
[00:25:35] 构成血浆晶体生态的那,
[00:25:38] 就构成了所谓的血浆渗透压,
[00:25:41] 因为血浆渗透压几乎都是晶体渗透压,
[00:25:45] 而胶层压数字不大,
[00:25:48] 功能极大,
[00:25:49] 渗透压越往后面去,
[00:25:51] 不光生理学,
[00:25:52] 还有药理学,
[00:25:53] 还有病生,
[00:25:53] 诊断内外科,
[00:25:55] 越往后面去,
[00:25:55] 发现渗透压是个好词,
[00:25:58] 特别特别重要,
[00:26:00] 嗯,
[00:26:03] 所以渗透压,
[00:26:04] 刚才咱们解释了一下,
[00:26:05] 有这么几点说明,
[00:26:07] 晶体渗透压维持细胞内外质的平衡,
[00:26:09] 胶层压维持血管内外,
[00:26:11] 那么渗透压胶层压和水分的关系,
[00:26:13] 一旦肝硬化或是米综合征,
[00:26:16] 大耳小朋友可以听了,
[00:26:18] 肝硬化专门说过,
[00:26:19] 生物化学告诉咱们说,
[00:26:21] 白蛋白只能肝脏合成,
[00:26:23] 体外不能摄取,
[00:26:24] 肝硬化比例低蛋白血征,
[00:26:26] 使白蛋白合成少,
[00:26:28] 是米综合征大了蛋白尿,
[00:26:30] 每天的尿蛋白质超过3.5克,
[00:26:33] 所以说,
[00:26:34] 肝硬化低蛋白血征,
[00:26:35] 是蛋白质合成少,
[00:26:38] 是米综合征低蛋白血征,
[00:26:40] 是蛋白质丢失多,
[00:26:42] 一个是合成少,
[00:26:44] 来源少,
[00:26:44] 一个是丢失多,
[00:26:45] 去路多了,
[00:26:48] 医学上有两个经典的低蛋白血征,
[00:26:51] 肝硬化和是米综合征,
[00:26:54] 那么这样续肠蛋白质,
[00:26:55] 特别是白蛋白浓度下降,
[00:26:56] 胶水压降低,
[00:26:57] 水就向组织间隙转移,
[00:26:59] 像肝硬化把水就跑到腐末腔去了,
[00:27:01] 叫腐水,
[00:27:02] 是米综合征水就跑到血管外面去了,
[00:27:04] 所以是米综合征是会水肿的,
[00:27:07] 肾性水肿,
[00:27:09] 肾病性水肿,
[00:27:11] 嗯,
[00:27:11] 此外还有渗透压和溶液的关系,
[00:27:14] 等肾溶液,
[00:27:15] 因为0.85和0.9的硫化钠溶液,
[00:27:17] 和5%的葡萄糖溶液,
[00:27:19] 和许佳渗透压相近,
[00:27:21] 我们称之为等肾液,
[00:27:22] 所以到这再背一次,
[00:27:23] 前面说过,
[00:27:24] 5%的葡萄糖溶液是等肾液,
[00:27:27] 10%就是高肾,
[00:27:28] 而临床数的高糖,
[00:27:30] 指的是20毫升一支那个50%的葡萄糖,
[00:27:33] 喝了嘴里边特别甜,
[00:27:35] 解酒效果特别好,
[00:27:37] 将来有可能会学明白,
[00:27:39] 所谓的醉酒呀,
[00:27:41] 某种意义上看,
[00:27:42] 就是肝糖输出障碍,
[00:27:45] 低糖,
[00:27:46] 低血糖反应,
[00:27:47] 补上糖以后,
[00:27:49] 就好很多了,
[00:27:50] 我想喝走横琴,
[00:27:51] 是吗,
[00:27:51] 说这马上正好大过年了,
[00:27:53] 你别因为听了老师的课,
[00:27:54] 有时候老师我知道了,
[00:27:55] 喝完酒之后喝这糖就缓解了,
[00:27:56] 我买点这糖去给他喝酒去,
[00:27:58] 就没意思了,
[00:27:59] 啊哈,
[00:27:59] 就没意思了,
[00:28:00] 能管用不,
[00:28:01] 我确定,
[00:28:01] 肯定管用,
[00:28:03] 喝完酒之后难受,
[00:28:05] 喝浓茶不好吃,
[00:28:07] 喝浓糖水可是好事,
[00:28:09] 浓糖水也不如高盛糖溶液,
[00:28:11] 为什么,
[00:28:12] 百分之五的葡萄糖,
[00:28:13] 葡萄糖不用经过消化,
[00:28:15] 能直接吸收的,
[00:28:16] 有没有,
[00:28:16] 咱们食物是不是还得消化这糖,
[00:28:18] 还得变成葡萄糖再吸收,
[00:28:20] 对了,
[00:28:20] 消化吸收你学过,
[00:28:21] 我就不再解释了,
[00:28:22] 嗯,
[00:28:23] 到这咱们这一辈子记得一句话,
[00:28:25] 哪一句话呀,
[00:28:26] 等张的,
[00:28:28] 一定等盛,
[00:28:29] 等盛的,
[00:28:30] 不一定等不张,
[00:28:32] 绿花纳容也0.8,
[00:28:33] 50.9,
[00:28:34] 是连续,
[00:28:35] 既等盛也等张,
[00:28:36] 而1.9%尿素溶液只等盛,
[00:28:40] 不等张,
[00:28:41] 在很多场合咱们讲了五副词,
[00:28:43] 尿素溶液等盛1.9,
[00:28:45] 为什么就不等张,
[00:28:46] 因为尿素分子在细胞内涨血过了,
[00:28:49] 是单纯扩散的,
[00:28:51] 所以到这,
[00:28:52] 认真听一句话,
[00:28:53] 什么叫盛糖亚热,
[00:28:54] 是张力,
[00:28:55] 张力特质,
[00:28:57] 张力特质,
[00:28:59] 跨细胞膜,
[00:29:01] 跨过细胞膜啊,
[00:29:02] 跨细胞膜,
[00:29:04] 能够保持的渗透压,
[00:29:06] 哎,为什么绿花纳容液是渗透压,
[00:29:08] 跨过细胞膜就能保持,
[00:29:09] 尿素也就保持不了,
[00:29:11] 因为钠离子不可以随便跨越细胞膜,
[00:29:14] 它需要通到液化扩散,
[00:29:15] 通到开放,
[00:29:16] 尿素无所谓,
[00:29:17] 尿素是单纯扩散的,
[00:29:20] 所以尿素容液只等盛,
[00:29:22] 不等张,
[00:29:23] 绿花纳容液既等盛,
[00:29:25] 又等张,
[00:29:26] 糖液怎么样,
[00:29:27] 糖液更特殊,
[00:29:29] 在这背下来不要忘了,
[00:29:30] 葡萄糖容液5%,
[00:29:31] 等盛容液,
[00:29:33] 张力多少,
[00:29:34] 大,
[00:29:34] 葡萄糖液5%,
[00:29:36] 没有,
[00:29:36] 张力,
[00:29:37] 为什么,
[00:29:38] 糖是营养物,
[00:29:39] 进到细胞内部就别人吃了,
[00:29:41] 你还没吸引水,
[00:29:42] 细胞也把你吸引了,
[00:29:43] 你能听懂不,
[00:29:44] 糖进到细胞膜内就被消耗掉了,
[00:29:48] 学到这就可以博士毕业了,
[00:29:50] 博士毕业之后才发现不对,
[00:29:53] 糖咱们都学过,
[00:29:55] 载体一化扩散,
[00:29:56] 巴拉巴拉顺能度长,
[00:29:57] 我这宝宝没有毛病,
[00:29:58] 这儿注意啊,
[00:29:59] 实际上糖的顺能度体度,
[00:30:02] 载体一化扩散是有前提的,
[00:30:04] 要求胰岛素去激活糖的载体,
[00:30:08] 在临床发生严重的胰岛素的功能障碍,
[00:30:14] 就是糖尿病的急性并发症,
[00:30:17] 比如酮症,
[00:30:18] 比如高肾纹理,
[00:30:20] 因为胰岛素的功能障碍,
[00:30:22] 实际上糖液就不能随意跨过细胞膜了,
[00:30:26] 在病态情况下,
[00:30:28] 葡萄糖液是有张力的,
[00:30:30] 生理情况下没有张力,
[00:30:32] 生理情况下,
[00:30:34] 并没有,
[00:30:35] 没有张力,
[00:30:37] 人体有没有哪些细胞,
[00:30:38] 葡萄糖狂暴转运的时候,
[00:30:39] 就不需要胰岛素的参与,
[00:30:41] 可以,
[00:30:42] 拿一个就当做血液球,
[00:30:44] 金状体,
[00:30:45] 金状体的糖的转运,
[00:30:46] 它的载体是不需要胰岛素促进的,
[00:30:50] 所以一个糖尿病的患者,
[00:30:51] 最亮瞎的点是什么,
[00:30:53] 是病人不强盗的老眼昏花,
[00:30:56] 30多岁,
[00:30:57] 我这眼怎么花呢,
[00:30:58] 你如果60来岁了,
[00:30:59] 我眼花了,
[00:31:00] 太原一句老话说,
[00:31:01] 花不花,
[00:31:02] 48,
[00:31:03] 你说47、8岁我花了,
[00:31:04] 很正常,
[00:31:04] 别花了乱的,
[00:31:06] 那30多岁怎么眼花了,
[00:31:07] 实际上你仔细去看,
[00:31:09] 很多参与病患者,
[00:31:10] 因为视力发生问题,
[00:31:12] 来源就长的,
[00:31:13] 金状体糖的转运,
[00:31:15] 不依赖胰岛素,
[00:31:17] 这个内容,
[00:31:17] 在早期就读不到,
[00:31:18] 但讲到这我再讲一下,
[00:31:21] 绿化钠容易,
[00:31:22] 等生等障,
[00:31:23] 尿素容易,
[00:31:24] 等生,
[00:31:25] 不等障,
[00:31:26] 因为尿素分子单处扩散,
[00:31:27] 葡萄糖,
[00:31:28] 有渗透压,
[00:31:29] 而没有张力,
[00:31:31] 阔虎,
[00:31:31] 生理情况下,
[00:31:34] 这样的话,
[00:31:34] 在严重的,
[00:31:36] 高糖,
[00:31:36] 轻胯下,
[00:31:37] 糖突然带有张力,
[00:31:38] 有张力的话,
[00:31:39] 胯下膜微弛,
[00:31:40] 它就从膜外往回,
[00:31:41] 勾引水分,
[00:31:42] 设想一下,
[00:31:43] 高肾昏迷是怎么了,
[00:31:45] 是病人脑细胞脱水,
[00:31:47] 早晨昏迷的,
[00:31:49] 脑细胞脱水,
[00:31:50] 读过内科就明白,
[00:31:51] 没读过也没关系,
[00:31:52] 所以在这地方,
[00:31:53] 你脑子有个印象,
[00:31:54] 什么印象,
[00:31:54] 血细胞内涨的时候,
[00:31:56] 葡萄糖,
[00:31:56] 氨基酸,
[00:31:57] 瞬动度,
[00:31:58] 体度,
[00:31:58] 是最典型的载体化扩散,
[00:32:00] 在这要注意,
[00:32:01] 一道素一滴华化酸没毛病,
[00:32:03] 但一道素那个小,
[00:32:04] 不一道素那个糖,
[00:32:06] 一花块才没毛病,
[00:32:07] 但是糖那个载体,
[00:32:08] 是一道素,
[00:32:10] 一来的,
[00:32:11] 你越学越发一道素,
[00:32:14] 是个好东西,
[00:32:15] 对于渗透压这一块,
[00:32:17] 咱们专门做个小说明,
[00:32:18] 接着往下翻,
[00:32:19] 再下来在虚酸的,
[00:32:22] 滴华特性这儿,
[00:32:23] 还有所谓的学习粘度,
[00:32:25] 粘质度,
[00:32:25] 粘稠程度,
[00:32:26] 液体粘度是指液体中,
[00:32:29] 各种颗粒之间的一个摩擦力,
[00:32:31] 在37摄氏度的温度情况下,
[00:32:33] 血液和水去相比,
[00:32:35] 相对粘质性为4到5,
[00:32:36] 可就突然跑了,
[00:32:38] 嗯,
[00:32:40] 4到5比1,
[00:32:43] 血浆是1.6到2.4比1,
[00:32:45] 为什么血液这个粘度,
[00:32:47] 比血浆要大,
[00:32:49] 血浆比水要大,
[00:32:50] 有一句老话叫,
[00:32:51] 血浓于水,
[00:32:52] 因为实际上,
[00:32:53] 血比血浆多了一个血细胞,
[00:32:56] 血浆比水多了点血氧蛋白质,
[00:32:58] 是这样,
[00:32:59] 所以实际上全业确粘质性,
[00:33:01] 主要取决于一气困,
[00:33:02] 所含的红细胞素,
[00:33:04] 而血浆粘质性,
[00:33:05] 则主要取决于血浆蛋白的含量,
[00:33:09] 这样咱们在血液之语章的第一节,
[00:33:11] 有关血液的构成和理化特性,
[00:33:14] 这一小块内容等于讲了一下理化特性,
[00:33:16] 皮质质呀,
[00:33:17] 基础酸解毒呀,
[00:33:18] 是吧,
[00:33:19] 粘质性呀,
[00:33:20] 包括专门讲的加渗透压,
[00:33:22] 这一些话题,
[00:33:23] 嗯,
[00:33:24] 相关的,
[00:33:24] 又讲了一些与磷矿一切有关的一些东西,
[00:33:27] 我也是在想,
[00:33:28] 咱们有标准的大学教学课程,
[00:33:31] 而且每个月,
[00:33:32] 也有在搞所谓的整合医学,
[00:33:33] 什么叫整合,
[00:33:34] 整合不是几个老师同时你讲第一节和讲生理,
[00:33:38] 第二节和讲解剖,
[00:33:39] 它不是这样,
[00:33:39] 整合是我从一个原点一个概念出发,
[00:33:43] 这个概念从哪来的,
[00:33:44] 到哪去,
[00:33:45] 基础医学怎么学的,
[00:33:47] 临床医学怎么用,
[00:33:48] 是这么一个话题,
[00:33:49] 嗯,
[00:33:50] 所以努力吧,
[00:33:51] 努力咱们师生一起把B站这个小课程呀,
[00:33:54] 本科教学这个生理学课程,
[00:33:56] 把它变成一个真正意义上整合的医学教育课程,
[00:34:00] 这个课程如果非要给个名字,
[00:34:02] 的话就叫临床医用生理学,
[00:34:05] 它比本科二年级的教学范围,
[00:34:10] 它难度不一定很大,
[00:34:11] 范围肯定是要大一些,
[00:34:13] 难度的话,
[00:34:14] 咱们将来放到考研专业课里吧,
[00:34:16] 嗯,
[00:34:17] 这一次我主要是想给同学们夸大一下事业,
[00:34:20] 看看生理学这本书,
[00:34:22] 它的背后有哪些故事,
[00:34:24] 对了,
[00:34:24] 学业这一章第一节学这么多,
[00:34:26] 咱们接下来啊,
[00:34:28] 看学业这一章的第二节,
[00:34:30] 有关血细胞生理,
[00:34:31] 红细胞,
[00:34:32] 白血,
[00:34:32] 细胞,
[00:34:33] 血药吧,
[00:34:34] 嗯,
[00:34:34] 这么接着往下读,
