# 源音频：P09-生理学本科教学及考研基础课 p09 肌细胞的收缩1.m4a
# 时长：6571s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:08] 好,同学们,咱们接下来拿一个整段的时间来学一学细胞这一章第四节,肌细胞的收缩。
[00:24:49] 指媒把它降解掉了
[00:24:51] 这个单间指媒有点类似于这ACE
[00:24:54] 有点类似于细胞内脏第二节的PDE
[00:24:57] 叫磷酸二支媒
[00:24:59] 是负责降解地质
[00:25:01] 当然前面那个是降解第二性事故
[00:25:04] 不用问
[00:25:05] 一旦这个单间指媒被咱们一个小药物呀
[00:25:08] 一个小毒素把它破坏一下
[00:25:10] 那么会出现什么问题
[00:25:11] 会出来单间结核受体通道打开以后
[00:25:15] 单间没有及时的被清理掉
[00:25:17] 它就持续的刺激这个收体
[00:25:20] 那么这个膜上就持续有粒子流动
[00:25:23] 记录的活动就改变了
[00:25:26] 所以你要学这一节简单背一下
[00:25:28] 神经膜烧是吧
[00:25:30] 截图间隙终板膜
[00:25:31] 你这样背下来可以
[00:25:32] 但是你要稍微一观察这一块呀
[00:25:34] 你参照一下九版教材
[00:25:36] 八年三版教材
[00:25:38] 这个地方是细胞的第四节
[00:25:41] 再参照一下神经系统
[00:25:42] 中肃内性从传播特征
[00:25:45] 你把几个知识连一起
[00:25:47] 你发现这个地方要考你
[00:25:49] 能给你出来八十个题目
[00:25:50] 考你了
[00:25:50] 这个地方太重要了
[00:25:52] 咱们应该有好多孩子
[00:25:54] 是来自于广大农村地区
[00:25:55] 农村有时候种庄稼
[00:25:57] 种棉花
[00:25:57] 种果树
[00:25:58] 你看赵本山先生还有个小品
[00:26:01] 拿个喷雾器给苹果果树打农药
[00:26:05] 我不是你们看我的小品
[00:26:06] 你们年龄小不一定
[00:26:07] 有人可能就看过
[00:26:09] 先打点气
[00:26:10] 然后拿着对果树喷农药
[00:26:12] 所以赵先生这样拿着
[00:26:14] 一大打
[00:26:15] 二大打
[00:26:16] 三大打
[00:26:16] 四大一
[00:26:17] 就那个
[00:26:18] 农药一不小心
[00:26:19] 天气热生长出汗
[00:26:21] 小粉一吹
[00:26:22] 农药洒到身上
[00:26:23] 农民大爷是要中毒的
[00:26:25] 是医学上最精彩的有机灵农药中毒
[00:26:29] OPI就在这儿
[00:26:31] 农药为什么会中毒
[00:26:33] 有机的农药
[00:26:34] 因为它把人的单阶脂酶破坏掉了
[00:26:37] 这可了不得
[00:26:39] 在省级以上医院
[00:26:40] 因为在城市这样的患者很少见
[00:26:42] 但是在广大的农村
[00:26:44] 在这个乡镇卫生院
[00:26:46] 在县医院
[00:26:47] 在所谓的市医院
[00:26:50] 市中心医院
[00:26:51] 在这个市医院
[00:26:51] 咱们确定一下
[00:26:52] 在盟诊上
[00:26:53] 在急救
[00:26:54] 急诊
[00:26:55] ICU
[00:26:56] 每天这种患者都有
[00:26:58] 还有人生气吵架
[00:26:59] 喝农药自杀
[00:27:00] 所以世界上神经肌肉接头
[00:27:03] 使咱们医学体系
[00:27:04] 从生理学
[00:27:05] 到药理学
[00:27:06] 到内科学
[00:27:06] 到中大学
[00:27:07] 到外科学
[00:27:07] 一个不可忽缺的
[00:27:09] 极其重要的部分
[00:27:10] 有什么这一块
[00:27:11] 一开始就说
[00:27:12] 从今天起
[00:27:13] 我脑子突然想起了
[00:27:15] 孩子同学那首诗词了
[00:27:16] 从明天起
[00:27:17] 我还有一所房子
[00:27:19] 面朝大海
[00:27:20] 春暖花开
[00:27:21] 我还有一所房子
[00:27:21] 我要关心粮食和蔬菜
[00:27:22] 这个地方我是想说
[00:27:24] 从今天这一集合开始
[00:27:25] 这一辈子医学生涯
[00:27:27] 你是离不开这个低阶头了
[00:27:29] 离不开胆结纸媒了
[00:27:32] 前膜两个结构
[00:27:33] 一个是L型电压红改动道
[00:27:35] 一个是膜里边的
[00:27:37] 充满了胆结的囊泡
[00:27:39] 那么终板膜后膜
[00:27:41] 还有两个结构
[00:27:41] 一个是著名的胆结纸媒
[00:27:43] 一个是著名的N2型的
[00:27:45] 咽碱受体
[00:27:46] 但注意这个实际图很紧盛
[00:27:49] 在终板膜的周围
[00:27:51] 有一个是
[00:27:51] 我画了这么个小东西
[00:27:53] 写了一个
[00:27:53] 电压门控纳通道
[00:27:55] 我们在上节课结束电活动
[00:27:58] 小节你还记不记得
[00:27:59] 要产生动作里的结构基础
[00:28:01] 是电压门控纳通道
[00:28:03] 你仔细读书
[00:28:03] 终板膜上
[00:28:04] 这是中板
[00:28:05] 有没有电压门控纳通道
[00:28:08] 没有
[00:28:08] 电压门控纳通道
[00:28:10] 长在正常机器网膜上
[00:28:11] 终板膜上长了个什么通道
[00:28:13] 长了个化学门控的
[00:28:15] N2型咽碱受体
[00:28:17] 所以刚才我们强调说
[00:28:18] 好好一条马路
[00:28:19] 上面的几个大铁皮盖子
[00:28:21] 材质
[00:28:22] 就不一样
[00:28:23] 中板确实是机器膀膜一部分
[00:28:26] 但是又是结构
[00:28:27] 和正常细胞膜不一样的
[00:28:29] 一个特殊的部分
[00:28:31] 这就是这一节
[00:28:32] 咱们一开始
[00:28:33] 要核心学习这个知识
[00:28:35] 记住
[00:28:36] 神经系介头的微细结构
[00:28:38] 极为重要
[00:28:39] 嗯
[00:28:40] 接着往下看
[00:28:41] 实际情况下
[00:28:43] 为了更好的神经和机器之间
[00:28:46] 进行信号转导
[00:28:48] 实际上终板膜
[00:28:49] 不是上一个图看的
[00:28:50] 长得很光滑
[00:28:51] 你看这是微细结构
[00:28:52] 其实
[00:28:53] 这个中板这都有很多皱褶
[00:28:55] 包括前膜
[00:28:57] 其实也有很多的凸起
[00:28:58] 这个好处是什么呀
[00:29:00] 能增加前膜和后膜
[00:29:02] 接触的表面积
[00:29:04] 让信号转导起来
[00:29:05] 更容易一些
[00:29:06] 还有这血旺
[00:29:07] 施万细胞
[00:29:08] 它是把神经轴突
[00:29:10] 突出间隙
[00:29:11] 现实体终板膜这些地方
[00:29:12] 这就不看它了
[00:29:13] 这样就是还是很简单
[00:29:14] 前膜
[00:29:15] 间隙
[00:29:16] 后膜
[00:29:17] 前膜后膜并不是光滑的
[00:29:19] 这个凸起了以后呀
[00:29:20] 利于前后膜之间的
[00:29:22] 你要正确地
[00:29:23] 插一个膜这么一个接触
[00:29:24] 这样的话
[00:29:25] 哎
[00:29:26] 指头和指头之间
[00:29:27] 接触面积会大一点
[00:29:29] 就这么个意思
[00:29:30] 接着往下翻
[00:29:33] 用文字归纳一下
[00:29:35] 神经接触接头
[00:29:36] NM接头这么重要
[00:29:38] 那么前膜上第一个有L型的点红盖通道
[00:29:42] 课件人们写你标一下L
[00:29:44] L
[00:29:45] Lang
[00:29:46] 长的
[00:29:48] 第二个前膜内部
[00:29:49] 还突出小泡
[00:29:50] 就是包含着胆碱的这个囊泡
[00:29:54] 接头间隙
[00:29:55] 大概
[00:29:56] 宽度距离是50个纳米左右
[00:29:58] 充满正常的细胞
[00:29:59] 也没有毛病
[00:30:00] 后膜也叫终板膜
[00:30:02] Interplate
[00:30:03] 一个是包含着N2型的
[00:30:05] 右下角标个2
[00:30:06] 标个2
[00:30:07] N2
[00:30:08] 因为有N2就有N1
[00:30:10] N1型的你还听不懂
[00:30:11] 到后面下关的我再讲
[00:30:12] N1型在药理学上叫NN型
[00:30:16] N2型在药理学上叫NM型
[00:30:19] 因为它长在肌细胞上
[00:30:20] 所以叫肌肉型液体受体
[00:30:22] 不妨你把名字记一下
[00:30:24] N2型叫肌肉型
[00:30:25] N型N型N型为什么N型
[00:30:27] 那是什么
[00:30:28] 就神经型液体受体
[00:30:29] 这个叫肌肉型液体受体
[00:30:31] 尼古丁咽结
[00:30:34] 尼古丁
[00:30:35] 它的天然配体是胆结
[00:30:37] 所以叫N2型咽结
[00:30:40] 你现在也受体
[00:30:41] 另外
[00:30:42] 接头后膜
[00:30:43] 终板膜有个结构
[00:30:45] 胆结止霉
[00:30:46] 刚才我还不也期盼讲那个东西
[00:30:47] OPI
[00:30:48] 有机的农药中毒
[00:30:50] 为什么中毒了
[00:30:51] 就是把人的胆结止霉给破坏掉了
[00:30:54] 一会儿有时间
[00:30:55] 我再详细解释
[00:30:56] 行
[00:30:56] 先往下翻
[00:30:57] 好同学们
[00:31:00] 咱们有了前面一个神经骨骼结构呀
[00:31:03] 一个微细的结构
[00:31:04] 这么个概念以后
[00:31:06] 接下来咱们从生理学角度上
[00:31:08] 就是功能学角度上看一下
[00:31:10] 一个神经系统的信号
[00:31:12] 怎么样传到五合集细胞膜上去
[00:31:15] 这个过程咱们称之为
[00:31:16] 神经结构处的
[00:31:18] 信服传递过程
[00:31:19] 所以世界上从前膜开始
[00:31:22] 去进化开始
[00:31:23] 到前膜的地质释放
[00:31:25] 最后和终板膜上的
[00:31:27] N2型的
[00:31:28] N2型受体去结合
[00:31:30] 引发终板膜产生一个通道
[00:31:33] 偶连受体
[00:31:34] 就是化学膜通道
[00:31:35] 开放
[00:31:36] 那么发生哪里子的内流
[00:31:38] 终板膜发生区域化
[00:31:40] 这个过程咱们只要学过生理学就明白
[00:31:43] 这个过程咱们把它很形象的称之为三部曲
[00:31:47] 电
[00:31:47] 化学
[00:31:49] 电
[00:31:49] 第一个电是前膜
[00:31:52] 就是神经膜烧
[00:31:53] 神经冲动
[00:31:54] 一个前膜的区域化
[00:31:57] 在区域化到40毫伏的时候
[00:32:00] 这个L型的电压膜通道
[00:32:01] 该通道开放
[00:32:03] 该开始内流
[00:32:04] 所以你慢慢的你在学动作电位时候
[00:32:06] 你有一个神经细胞膜和钠通道
[00:32:09] 它的阈电位是-50毫伏左右
[00:32:11] 所以L型该通道在这一章开始
[00:32:14] 慢慢在它阈电位置的概念
[00:32:15] 在这一章
[00:32:17] 还没有专门考虑
[00:32:19] 但是你知道心肌细胞是
[00:32:21] 比如豆方结细胞
[00:32:22] 它是概念为区域化的慢反应细胞
[00:32:25] 所以那个-40毫伏就写得很明显了
[00:32:27] 到后面再说
[00:32:29] 这样的话
[00:32:29] 前膜地质释放完以后
[00:32:31] 和终板膜上的受体结合
[00:32:33] 这个受体是咱们第一次真正接触的
[00:32:36] 生理学上化学盲控的通道
[00:32:38] 结合之后
[00:32:40] 一个化学物质结合
[00:32:41] 导致N2型的那甲非选择性
[00:32:44] 一样的通道开放
[00:32:46] 然后膜上就发生了
[00:32:47] 哪里子的内流
[00:32:48] 所以这边还有细节
[00:32:49] 咱们一会儿再说
[00:32:50] 先往下读
[00:32:51] 著名的电化学电
[00:32:53] 这张科技就是大概描述了一下
[00:32:55] 这个过程
[00:32:56] 咱们读一下
[00:32:57] 运动神经
[00:32:58] 这就是阿富汗运动神经元
[00:33:00] 如果这一块还有点东西的话
[00:33:01] 还有咱们在解剖学学过
[00:33:03] 脑运动神经元
[00:33:05] 一嗅二试三动也
[00:33:07] 四滑五插
[00:33:09] 三大神经
[00:33:09] 六外展
[00:33:10] 七面八微听
[00:33:12] 九舌验
[00:33:13] 弥祖腹神经
[00:33:14] 舌下瘸
[00:33:15] 舌下神经
[00:33:16] 十二度
[00:33:16] 这十度
[00:33:17] 颅神经也在这边算着
[00:33:19] 这些运动神经元
[00:33:20] 它的抖头抹梢
[00:33:22] 去极化
[00:33:23] 到复思查复
[00:33:24] 引发这个L形
[00:33:26] 这应该写上L
[00:33:27] 常识程的
[00:33:28] DM
[00:33:29] 改通道开放
[00:33:30] 那么发生盖离子内流
[00:33:31] 盖离子实际上是作为一个第二性式
[00:33:33] 一个性式物质内流的
[00:33:35] 从这个地方开始
[00:33:37] 你发现在整个细胞这一章第四节里边
[00:33:40] 能看到很多次盖
[00:33:42] 每次盖的作用不一样
[00:33:44] 前膜上有一次盖的内流
[00:33:45] 这盖内流呀
[00:33:46] 内流以后才能触发
[00:33:48] 前膜
[00:33:49] 这周通膜烧
[00:33:50] 单解这种地质的释放
[00:33:52] 这个过程上教材有时候谈的比较详细
[00:33:55] 有时候是在神经系统谈
[00:33:56] 有时候是在神经系统谈
[00:33:57] 有时候是在细胞这一章谈
[00:33:58] 盖内流之后和盖条蛋白
[00:34:01] CAM盖条蛋白结合
[00:34:03] 差不多一分子盖的蛋白
[00:34:05] 像血红蛋白一样
[00:34:06] 结合四分子盖
[00:34:07] 一分子血红蛋白是结合四分子氧气
[00:34:10] 这是四分子盖
[00:34:11] 这个结合以后
[00:34:12] 引发前膜内包含着单解的囊泡膜
[00:34:16] 先动员
[00:34:18] 前膜内部它和蛋白质
[00:34:19] 毛脸偶列在一起
[00:34:21] 它平时没法自发释放
[00:34:23] 必须盖触发地质释放
[00:34:26] 盖先释放
[00:34:27] 先把囊泡从蛋白质上结构下来
[00:34:29] 然后像个小船一样
[00:34:31] 从岸边把小绳解开
[00:34:33] 船飘起来
[00:34:34] 然后是咱们说囊泡的动员
[00:34:36] 百度像划船一样
[00:34:39] 划到前膜处
[00:34:40] 前膜处的一个小码头
[00:34:41] 毛钉先把小绳拴上
[00:34:44] 别让船给飘走了
[00:34:45] 然后在特定的区域
[00:34:47] 融合蛋白这个区域
[00:34:49] 地质或者说包含地质的囊泡膜和细胞膜
[00:34:53] 通过这个融合蛋白区域
[00:34:55] 结合
[00:34:56] 这个形象有点类似
[00:34:57] 类似于空间站
[00:34:59] 咱们有时候看国家杨立伟先生
[00:35:01] 当时是把宇航员飞到太空去
[00:35:04] 中国现在是太空
[00:35:05] 是接着太空站的
[00:35:07] 那么原本飘了一个太空站
[00:35:09] 来了新的一阶功能之后
[00:35:11] 两个口接起来
[00:35:12] 螺丝一拧
[00:35:13] 把压力相通了
[00:35:15] 宇航员从这个地方飞到内部
[00:35:17] 他这样钻过去
[00:35:18] 实际上你慢慢慢慢学习就有一个概念
[00:35:21] 前膜内部地质的囊泡很多
[00:35:23] 但囊泡和前膜结合以后
[00:35:25] 你不能随便强装上垃圾
[00:35:27] 啊
[00:35:27] 你不能随便强装上垃圾
[00:35:27] 啊
[00:35:27] 你不能随便给人释放
[00:35:28] 它有特定单位
[00:35:29] 为什么现在慢慢发现特定单位上
[00:35:31] 有所谓的锚钉蛋白
[00:35:33] 融合蛋白这样一些结构
[00:35:35] 甚至在前膜上咱们发现很多亚型的
[00:35:38] 融合蛋白
[00:35:39] 所以有很多科学家就专门在研究
[00:35:41] 融合蛋白如何和囊泡膜去结合的
[00:35:45] 不管它了
[00:35:46] 总之前膜内部地质释放是一序列过程
[00:35:49] 该类似内流
[00:35:51] 囊泡动员
[00:35:52] 摆动
[00:35:53] 锚钉
[00:35:54] 融合
[00:35:55] 释放
[00:35:55] 逗合环节
[00:35:56] 反正不过怎么样吧
[00:35:58] 前膜释放胆解的时候
[00:36:00] 依次最小一个胆里释放一囊泡
[00:36:03] 孙妈妈有这个概念了
[00:36:04] 一囊泡里边大概有一万个分子胆解
[00:36:06] 这个胆解释放出来以后
[00:36:08] 通过游过游动
[00:36:10] 像游泳一样
[00:36:11] 游过接头间隙
[00:36:12] 然后就和后膜终板膜上
[00:36:14] N二型的受体量子中道去结合
[00:36:16] 就N二型受体
[00:36:17] 结合之后
[00:36:18] 终板膜你发现课件写着
[00:36:20] 对钠钾粒子通得更大
[00:36:22] 最后产生一个去极化中板叠位
[00:36:24] 打开书一读就发现很好玩
[00:36:26] 哎
[00:36:27] 这个明明终板膜
[00:36:28] N二型液体受体
[00:36:29] 对钠钾粒子通得都大了
[00:36:32] 为什么我看见那内流了
[00:36:34] 看不到甲外流
[00:36:35] 这就是在第三阶它动作叠位的时候
[00:36:37] 通道是开放
[00:36:39] 能不能流动
[00:36:40] 含定了具备一个条件
[00:36:42] 哪个条件
[00:36:42] 驱动力
[00:36:43] 骨骼基细胞教材给你解释
[00:36:46] 终板膜是骨骼基细胞膜一个特殊的部分
[00:36:49] 那么骨骼基细胞膜进行叠位
[00:36:51] 可不是负70
[00:36:52] 是负90
[00:36:53] 你还记得在细胞电活动第三阶学过
[00:36:57] 钾粒子平衡叠位
[00:36:58] 负95
[00:36:58] 骨骼基细胞负90
[00:37:00] 这个号幅非常接近钾的平衡叠位
[00:37:03] 认真回忆一下
[00:37:06] 细胞膜上
[00:37:08] 当前这个粒子流动
[00:37:10] 有没有驱动力
[00:37:12] 上一节怎么学的
[00:37:13] 看目前这个膜的叠位
[00:37:16] 和该种粒子平衡叠位的差距
[00:37:19] 钾平衡叠位负95
[00:37:21] 目前膜叠位负90
[00:37:22] 换句话说负90减去负95
[00:37:24] 只有五个号幅的一个很小的驱动力
[00:37:27] 而钠粒子平衡叠位是正60
[00:37:29] 而钾粒子平衡叠位是正60
[00:37:29] 现在膜叠位是负90
[00:37:31] 那么钠粒子的驱动力
[00:37:33] 你算完之后足足是150个号幅
[00:37:36] 钾只有五个
[00:37:38] 钠是150
[00:37:40] 发现了吗
[00:37:41] 就算终板膜上N2系解解受体
[00:37:43] 作为一个滑雪门口的通道开放以后
[00:37:45] 滑雪门口的通道它开放了
[00:37:48] 由于钠粒子才具有驱动力
[00:37:50] 钾粒子没有驱动力
[00:37:51] 所以通道打开钾也不外流
[00:37:53] 没有动力
[00:37:54] 但是钠就内流了
[00:37:56] 钠十几倍的能度差
[00:37:58] 加上电场外征内负
[00:38:00] 力不大
[00:38:00] 里边还在吸引
[00:38:01] 外膜能度差还在推动
[00:38:02] 它两个动力
[00:38:03] 钠早就憋得想进去了
[00:38:05] 钾懒洋的不想出人
[00:38:08] 在这个地方认真通过这个终板膜叠位
[00:38:11] 来复习一下第三阶电活动
[00:38:13] 只有通头性就够了吗
[00:38:15] 你看二人夜解受体
[00:38:16] 钠钾都有通头性
[00:38:18] 但只有钠内流没有钾外流
[00:38:19] 原因是钠才有驱动力
[00:38:21] 而钾没有驱动力
[00:38:24] 出来混
[00:38:25] 操完要还的
[00:38:26] 第三阶刚刚学满到第四阶
[00:38:28] 就开始用
[00:38:29] 你体会了没有
[00:38:30] 生理学
[00:38:30] 刚刚学完药理学就开始用
[00:38:32] 医学就是这样
[00:38:33] 一门学科比一门学科难度大
[00:38:36] 在升级
[00:38:37] 药理学是生理学加上几个药
[00:38:41] 中段学是生理学加上病态的情况
[00:38:43] 内科学还得加上病因学
[00:38:45] 流行免疫调查
[00:38:46] 是吧
[00:38:47] 诊断学的
[00:38:47] 免疫学的
[00:38:49] 微生物寄生虫的
[00:38:50] 药理学的
[00:38:51] 等等等等等等
[00:38:52] 一到内科学发现
[00:38:53] 所有学科都在内科学汇总
[00:38:56] 所以我一直说句话说
[00:38:57] 没有读过内科学的医学人生
[00:39:00] 并不完整
[00:39:01] 不管怎么样吧
[00:39:02] 这过程里顺一下
[00:39:03] 运动生经末梢
[00:39:05] 动作得比去极化的
[00:39:06] 福斯超福
[00:39:07] 哎
[00:39:07] 签膜的电压门控
[00:39:09] L型感冲道开放
[00:39:11] 该内流
[00:39:11] 该内流动员
[00:39:13] 签膜内部包含低脂的囊泡
[00:39:15] 和签膜去融合
[00:39:17] 是吧
[00:39:17] 释放
[00:39:18] 低脂释放
[00:39:19] 释放出来以后
[00:39:20] 释放的签膜的释放的低脂
[00:39:22] 就和终板膜上L型受体去结合
[00:39:24] 引发终板膜
[00:39:25] 对钠钾粒子平头性增大
[00:39:28] 这个时候
[00:39:29] 由于钠是具有驱动力的
[00:39:31] 那么
[00:39:31] 终板膜就发生了内流
[00:39:33] 钠在正点和内流
[00:39:35] 就把终板膜给它去极化了
[00:39:36] 这个电位的变化
[00:39:38] 就称之为终板电位
[00:39:40] 这一节一开始
[00:39:41] 咱们强调了一下
[00:39:42] 终板电位只能是局部电位
[00:39:43] 不可能是动作电位
[00:39:45] 那么从终板电位开始
[00:39:46] 到变成机器某个动作电位
[00:39:49] 还有一个过程
[00:39:50] 就像咱们很形象的形容那个
[00:39:52] 好好的一条马路
[00:39:53] 走那么30米50米的
[00:39:55] 就有一个圆形的铁皮的颈盖
[00:39:58] 说铁皮应该叫柱铁
[00:39:59] 所以当年网上还在开玩笑
[00:40:01] 说有人晚上开着浓郁小四轮
[00:40:04] 小拖拉机偷井盖
[00:40:05] 现在我去开玩笑
[00:40:07] 三年偷井盖以后
[00:40:08] 慢慢成事的这个市政建设工程
[00:40:10] 这就变了
[00:40:12] 我问现在你们在街上都遇过
[00:40:13] 现在你就见不到一个井盖
[00:40:15] 拿钩子一钩能勾起
[00:40:17] 都是把井盖和底座
[00:40:18] 连到一起去了
[00:40:20] 而底座又埋在水泥底下
[00:40:22] 埋一米多深
[00:40:23] 所以现在你开个小四轮
[00:40:25] 偷不着井盖
[00:40:26] 但早年那个井盖是
[00:40:28] 环卫工人过来清理下珠刀的时候
[00:40:30] 拿钩子一钩
[00:40:31] 把井盖就拖起来
[00:40:32] 那样越井盖有个危险
[00:40:34] 有次自行车起斜了
[00:40:36] 时间久了井盖有点锈
[00:40:37] 这个井盖就比平时稍微小一点
[00:40:39] 一辆自行车压斜
[00:40:41] 井盖啪一翻
[00:40:42] 绑掉井里去了
[00:40:43] 这个不是笑话
[00:40:44] 这个每年城市都出这种样相
[00:40:47] 现在井盖都是和下水道连在一起的
[00:40:50] 偷不走了
[00:40:51] 你别说听完溜水的口
[00:40:52] 偷井盖去
[00:40:53] 这个财发不了
[00:40:54] 你出去拿气功机
[00:40:55] 拉下跑挖掘机
[00:40:56] 你挖
[00:40:57] 你能挖出来
[00:40:58] 挖的不值得
[00:40:59] 还不够友好的
[00:41:00] 嗯
[00:41:00] 叫
[00:41:01] standalone
[00:41:01] 啰嗦干嘛
[00:41:02] 这个铁皮下水道井盖周围
[00:41:05] 就是正常机器帮
[00:41:07] 一旦你想
[00:41:08] 你要是在下水道里边点一堆火
[00:41:10] 他不敢灯点啊
[00:41:11] 那边有找气会爆炸的
[00:41:12] 我这样打比方
[00:41:13] 你把铁皮井盖烧的热了
[00:41:16] 1000多度
[00:41:16] 那么这个温度就会传到周围正常的水泥里面上
[00:41:20] 什么意思
[00:41:21] 终板膜就长在机器帮膜上
[00:41:23] 它会发射局部电位
[00:41:25] 这个电位的幅度不过足够大
[00:41:27] 你知道这个电位在细胞膜上
[00:41:29] 局部电位传导是
[00:41:31] 衰减的
[00:41:32] 不是全或无的
[00:41:33] 也不是买充发生K低压总和的
[00:41:35] 这个点位一旦传到东板周围的
[00:41:37] 正常机细胞膜上
[00:41:39] 机细胞膜进行点位-90
[00:41:41] 你一旦要是通过东板点位
[00:41:43] 把正常细胞膜电位从-90掉进
[00:41:46] 变成-70了
[00:41:47] 相当于搭火机点了一下火
[00:41:49] 你就把细胞膜点燃了
[00:41:51] 在这是不是应该听一句话
[00:41:53] 动作电位是机细膜的事
[00:41:55] 动作电位是机细胞膜的事
[00:41:58] 终板膜上没有动作电位
[00:42:01] 只有一个就像搭火机一样
[00:42:03] 一个外来刺激一样
[00:42:04] 我们在实验室可以拿个刺激器
[00:42:06] 把细胞扎一下兴奋了
[00:42:08] 体内骨骼肌长了
[00:42:08] 你还身上带个电棒
[00:42:09] 你也没有
[00:42:10] 那么我们体内的骨骼肌细胞
[00:42:12] 是被谁刺激的
[00:42:14] 是被中板
[00:42:15] 终板电位就相当于实验中的电刺激器
[00:42:20] 那么它的作用是什么
[00:42:22] 就是一个阈强度与刺激
[00:42:23] 它只要这个终板电位
[00:42:25] 能把骨骼肌细胞的点位
[00:42:26] 从-90毫伏进行点位
[00:42:28] 变成-70阈电位
[00:42:30] 那么细胞膜就会
[00:42:31] 会点燃
[00:42:31] 实际上终板电位
[00:42:33] 能不能把机器膜点燃
[00:42:35] 必须的能
[00:42:36] 接着往下看
[00:42:38] 完成这个电化学电转运过程
[00:42:44] 完成以后
[00:42:45] 那么这个胆解
[00:42:46] 就被胆解指湄
[00:42:47] 及时的给降解掉了
[00:42:50] 所以咱们在刚刚的课程里边还在说
[00:42:52] 胆解指湄一旦被破坏掉以后
[00:42:55] 人就会中毒
[00:42:56] 广大的农村地区
[00:42:58] 这个果农给果树打农药
[00:43:00] 给棉农
[00:43:01] 像新疆这边
[00:43:02] 棉花好
[00:43:02] 新疆是个好地方
[00:43:03] 歌曲就唱
[00:43:04] 它日照时间长
[00:43:05] 你不该只以为
[00:43:06] 土豆饭的葡萄熟了
[00:43:08] 葡萄甜
[00:43:09] 实际上
[00:43:10] 土豆饭的棉花也好
[00:43:11] 它新疆地区
[00:43:13] 干燥
[00:43:15] 气温高
[00:43:16] 日照时间长
[00:43:16] 温差又大
[00:43:17] 长水果
[00:43:18] 甜度高
[00:43:19] 西红柿
[00:43:20] 新疆的西红柿
[00:43:21] 就比那种西红柿好吃
[00:43:22] 养大
[00:43:22] 据说是还有更多的五强色胺
[00:43:25] 会让心情好
[00:43:26] 刚一语一要
[00:43:27] 就是和5HT五强色胺有关的
[00:43:30] 吃嘛新疆的西红柿
[00:43:31] 心情就是
[00:43:32] 好
[00:43:32] 狼里个狼
[00:43:33] 这是真的
[00:43:34] 它就是好
[00:43:35] 单节止霉
[00:43:37] 这破坏以后
[00:43:38] 农药中毒了
[00:43:39] 它干嘛的
[00:43:39] 它负责及时的降解
[00:43:41] SH
[00:43:42] 它不能让这个单节
[00:43:44] 对受体持续作用
[00:43:46] 持续作用
[00:43:46] 肌肉就一直兴奋
[00:43:47] 兴奋肌肉就哆嗦
[00:43:48] 所以农药中毒化
[00:43:49] 这全身会发抖
[00:43:51] 就是这个
[00:43:51] N二型受体
[00:43:52] 过于兴奋
[00:43:53] 没有人及时的
[00:43:55] 把单节给降解掉
[00:43:56] 单节持续作用
[00:43:58] 给受体
[00:43:58] 受体一激动
[00:43:59] 终板膜老放电
[00:44:00] 肌细胞就老收缩
[00:44:01] 全身
[00:44:02] 对了
[00:44:03] 这个一会咱们再讲
[00:44:04] 电
[00:44:05] 化学
[00:44:06] 电
[00:44:07] 三部曲
[00:44:08] 这也是生理学
[00:44:10] 在期末考试的时候
[00:44:11] 最经典的一个论述题
[00:44:13] 出题的地方
[00:44:14] 同学们
[00:44:14] 请简单叙述
[00:44:16] 从运动神经
[00:44:17] 到骨骼肌细胞之间
[00:44:19] 如何进行信号转导
[00:44:21] 信息如何从神经
[00:44:22] 传到肌肉的
[00:44:23] 或者说简单叙述
[00:44:25] 神经肌肉接头处
[00:44:26] 兴奋传递的过程
[00:44:28] 十分
[00:44:28] 就这个意思
[00:44:30] 这是个系统知识
[00:44:31] 所以在事业
[00:44:34] 就观察前膜释放地质
[00:44:36] 和后膜什么样子
[00:44:36] 你看地方很惊吓
[00:44:37] 在这个地方拿个小刺激器
[00:44:39] 拿一个中空玻璃管
[00:44:41] 来记录膜的电力变化
[00:44:42] 你看实际上终板膜呀
[00:44:44] 是这一小块
[00:44:45] 中板周围就是正常肌细胞膜了
[00:44:50] 我们记录完以后
[00:44:51] 这有个名字叫微中板电力
[00:44:53] 什么叫微中板电力
[00:44:54] MEPP
[00:44:55] Micro Interpret Potential
[00:44:57] 实验室观察发现
[00:45:01] 一个囊袍的地质
[00:45:03] 一万个分子
[00:45:04] 就能让终板膜呀
[00:45:05] 发生了一种
[00:45:06] 0.4个毫伏的去极化
[00:45:09] 实际上正常的神经肌肉接头
[00:45:12] 一般在实验室中看到
[00:45:14] 中板电力幅度
[00:45:15] 一般有40到60毫伏
[00:45:17] 有人认为到60到80毫伏
[00:45:19] 那么我就能算出来
[00:45:20] 一个囊袍让膜去极化0.4
[00:45:23] 10个就是4
[00:45:24] 100个就是40
[00:45:25] 所以教材这有书写
[00:45:27] 说大概神经细胞兴奋一次
[00:45:29] 会刺激它的神经膜上
[00:45:32] 释放100到150个囊袍
[00:45:34] 原来教材上会说
[00:45:35] 二三百个囊袍
[00:45:36] 反正就算是最少吧
[00:45:37] 100个囊袍
[00:45:38] 100囊袍能让终板膜去极化
[00:45:41] 40毫伏
[00:45:42] 你还记得
[00:45:43] 一个囊袍0.4为中板电力
[00:45:44] 10个是4
