# 源音频：P70-生理学本科教学及考研基础课 p70 内分泌-第五节（肾上腺）.m4a
# 时长：3465s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:18] 好同学们,就像前面咱们谈过内分泌这个系统呀,东西特别杂,特别碎,特别多。
[00:21:21] 这样的表现,
[00:21:22] 所以当时在临床实习的时候,
[00:21:24] 碰见这么一个患者,
[00:21:25] 我记得戴教老师,
[00:21:26] 丁老师,
[00:21:27] 丁米娇老师,
[00:21:28] 你病人功能低下,
[00:21:30] 很简单,
[00:21:30] 给他适当补一点糖皮肌素,
[00:21:33] 把功能提起来就OK了,
[00:21:34] 内分泌科呗,
[00:21:35] 你缺少,
[00:21:36] 我给你补上就完了,
[00:21:37] 结果打的剂量不大,
[00:21:38] 我记得是打10号和第3米松,
[00:21:39] 一个临床用的剂量是比较常见的,
[00:21:41] 打了一天,
[00:21:43] 晚上和丁老师到病房查房的时候,
[00:21:45] 丁老师穿着白大褂,
[00:21:46] 挂了听诊器,
[00:21:46] 那会儿年轻很帅气,
[00:21:48] 40来岁,
[00:21:48] 我那会儿实习生20来岁,
[00:21:50] 跟老师一起去实习查房,
[00:21:52] 丁老师往我们科技站说,
[00:21:53] 哎,
[00:21:54] 怎么样啊,
[00:21:54] 今天感觉舒服点没有,
[00:21:55] 丁老师在床上坐着没空气,
[00:21:57] 说你看我穿着白大褂,
[00:21:58] 我是干嘛的,
[00:21:59] 哇塞,
[00:22:00] 穿白大褂,
[00:22:01] 你是做饭的,
[00:22:02] 我在病房亲自碰到的啊,
[00:22:04] 你难受不难受,
[00:22:06] 你住月几天了,
[00:22:07] 舒服点没有,
[00:22:08] 听,
[00:22:09] 摩托车在响动,
[00:22:10] 楼下摩托车,
[00:22:11] 哒哒哒哒哒,
[00:22:11] 所以你一看那个场景,
[00:22:13] 你还以为你走错病房,
[00:22:15] 你去精神病,
[00:22:16] 病房啊,
[00:22:17] 精神科病房,
[00:22:18] 嗯,
[00:22:19] 是亲子,
[00:22:19] 亲子,
[00:22:20] 在傍晚时候和我们丁老师去,
[00:22:23] 到那一封密科查房,
[00:22:25] 三个的病房,
[00:22:25] 楼下一个小摩托车,
[00:22:26] 05,
[00:22:27] 100,
[00:22:27] AX100,
[00:22:28] 哒哒哒哒哒哒,
[00:22:29] 走过去,
[00:22:29] 听,
[00:22:29] 摩托车在走动,
[00:22:31] 这样,
[00:22:32] 披上信封,
[00:22:34] 咱们要打10号科第3美松就不至于疯了,
[00:22:36] 他为什么打10号科就疯了,
[00:22:38] 他实际上啊,
[00:22:39] 长期的皮质功能低下,
[00:22:41] 肌体,
[00:22:42] 体内一直没有糖皮质激素,
[00:22:43] 所以给他一个很正常脊梁,
[00:22:45] 他身体反应太强烈,
[00:22:47] 你把10号科第3美松,
[00:22:49] 你把咱们发高烧控制不了,
[00:22:50] 打比方说,
[00:22:51] 我不建议你用啊,
[00:22:52] 比如高烧就是控制不了,
[00:22:53] 打10号科第3美松能降下来,
[00:22:55] 但咱们打10号科,
[00:22:56] 不至于健身分裂,
[00:22:57] 可能会有点心快,
[00:22:59] 这就是一个个体耐受性的问题,
[00:23:01] 嗯,
[00:23:02] 个体耐受性,
[00:23:02] 我这样讲,
[00:23:03] 具体案例你把它背下来,
[00:23:05] 糖皮质激素这一块东西特别特别多,
[00:23:07] 这是咱们内分泌里边一个,
[00:23:09] 你把它叫做一张内容都是可以的,
[00:23:11] 东西特别多,
[00:23:12] 往下翻,
[00:23:14] 第四个就是有关糖皮质激素的药理学或者临床应用了,
[00:23:18] 抗炎,
[00:23:19] 抗休克,
[00:23:21] 抗过敏,
[00:23:21] 这还少一个,
[00:23:22] 四大抗,
[00:23:23] 回头考虑,
[00:23:23] 我再用加一个,
[00:23:25] 抗炎,
[00:23:25] 抗休克,
[00:23:26] 抗过敏,
[00:23:26] 加第四个,
[00:23:27] 抗中毒,
[00:23:29] 中毒,
[00:23:31] 四大抗,
[00:23:32] 抗炎症,
[00:23:33] 增加白细胞溶媒体膜的稳定性,
[00:23:36] 减少代白水解酶进入组织液,
[00:23:39] 能够抑制,
[00:23:41] 接地组织,
[00:23:42] 称邪为细胞增生,
[00:23:43] 所以它对于斑红组织都是一个抑制作用的,
[00:23:45] 抗过敏,
[00:23:46] 抑制将细胞抗体的生成和阻碍的生成,
[00:23:49] 实际化哮喘就这样发生,
[00:23:52] 应激反应,
[00:23:53] 减少有害基尔的产生,
[00:23:55] 怀基胎,
[00:23:56] 代白水解酶,
[00:23:57] 等等,
[00:23:58] 使得能量代谢以糖代谢为中心,
[00:24:01] 保证葡萄糖对脑,
[00:24:03] 心脏,
[00:24:04] 重要器官的供应,
[00:24:06] 对儿茶酚胺的允许作用,
[00:24:08] 使得心肌受受力增强,
[00:24:09] 升高血压,
[00:24:10] 总之这么一个应激反应,
[00:24:12] 一会咱们详细讲,
[00:24:13] 是增加机体对于上海市的这种抵抗力,
[00:24:18] 那帮子打我一下,
[00:24:19] 无所谓,
[00:24:19] 平时打一下把我打晕了,
[00:24:20] 这一打打点激素,
[00:24:21] 你打我吧,
[00:24:22] 所以实际上好多运动员,
[00:24:24] 健身运动员,
[00:24:25] 还不得,
[00:24:25] 健身的,
[00:24:28] 打点这小激素,
[00:24:30] 这是打点熊激素,
[00:24:31] 增加肌肉的含量,
[00:24:32] 减少脾脂的含量,
[00:24:34] 哦,
[00:24:34] 这样,
[00:24:35] 哎呀,
[00:24:36] 看起来身体越来越,
[00:24:37] 体魄越来越强健,
[00:24:39] 其实身体的素质越来越差,
[00:24:41] 这些年这个健身呀,
[00:24:43] 特别是这健身本身没有问题啊,
[00:24:46] 需要通过一些药物来塑造肌肉的形状,
[00:24:49] 塑形,
[00:24:50] 实话实说,
[00:24:51] 确实坑了很多年轻人,
[00:24:53] 现在也是为了面子,
[00:24:55] 连命都不要了,
[00:24:57] 哎呀,
[00:24:58] 这个时代比较好玩,
[00:24:59] 嗯,
[00:25:01] 糖皮质激素,
[00:25:02] 食上去皮质功能,
[00:25:02] 这儿一定要注意,
[00:25:03] 咱们在这儿学两个词,
[00:25:05] 专门把它拎出来看一下,
[00:25:06] 叫应激和应急,
[00:25:09] 一个是stress,
[00:25:10] 应激,
[00:25:11] 一个是应激,
[00:25:13] 紧急的emergency,
[00:25:16] 这俩不一样,
[00:25:17] 机体受到有害刺激,
[00:25:18] 比如感染,
[00:25:19] 中毒,
[00:25:20] 创伤,
[00:25:20] 失血,
[00:25:21] 手腹,
[00:25:22] 寒冷,
[00:25:22] 是吧,
[00:25:23] 饥饿,
[00:25:23] 疼痛,
[00:25:23] 惊恐等等,
[00:25:24] 这个时候通过下胸脑血液体,
[00:25:26] 食上去皮质轴,
[00:25:27] 前面讲了很多次,
[00:25:28] 以ACTH为中心的,
[00:25:30] 全身多种激素,
[00:25:32] 生长激素,
[00:25:32] 蜜物素,
[00:25:33] 是吧,
[00:25:33] 各种激素都参与,
[00:25:34] 包括ADH都参与,
[00:25:36] 这样一个全身的激素,
[00:25:37] 非特异性反应,
[00:25:39] 这个反应不是说,
[00:25:40] 我针对细菌感染,
[00:25:41] 病毒感染,
[00:25:42] 针对新冠肺炎,
[00:25:43] 不是,
[00:25:43] 你什么拿棒子打了我一下,
[00:25:45] 拿针扎了我一下,
[00:25:45] 你骂了我一句,
[00:25:46] 是吧,
[00:25:47] 今天把我冻着了,
[00:25:47] 今天把我热着了,
[00:25:48] 中暑了,
[00:25:49] 寒冷了,
[00:25:49] 冻伤了,
[00:25:50] 烧伤了,
[00:25:50] 等等,
[00:25:51] 都算数,
[00:25:52] 遇到这种紧急情况,
[00:25:53] 全身激素总动员,
[00:25:55] 但唯独没有甲状腺素,
[00:26:00] 全身激素总动员的背景下,
[00:26:02] 甲状腺素你乖乖的,
[00:26:03] 为什么你慢慢就慢慢加的你能读懂,
[00:26:05] 甲状腺素这样是捣乱的,
[00:26:07] 干嘛呀,
[00:26:08] 人家别人什么能量拿出来,
[00:26:09] 作为血糖呀,
[00:26:10] 是吧,
[00:26:10] 血脂呀,
[00:26:11] 等等,
[00:26:12] 给机体发生反应的时候,
[00:26:14] 披露能量,
[00:26:15] 甲状腺素是干嘛,
[00:26:16] 甲状腺素把这个能量拿上以后,
[00:26:17] 他不敢正事,
[00:26:18] 你知道甲状患者刚才学过了,
[00:26:22] 喜凉怕热,
[00:26:23] 他吃了饭以后,
[00:26:25] 人家别人吃完饭之后,
[00:26:26] 长成肌肉,
[00:26:27] 长成糖源,
[00:26:28] 长成这个脂肪是吧,
[00:26:29] 储存,
[00:26:30] 生长发育,
[00:26:30] 长胖子,
[00:26:31] 长高子,
[00:26:31] 长脑子,
[00:26:32] 等等,
[00:26:32] 他是干嘛,
[00:26:34] 他拿上以后是让人产热,
[00:26:36] 让ATP的组装,
[00:26:38] 结果的蛋白出现问题,
[00:26:42] 只产热,
[00:26:44] 不产能,
[00:26:46] 他把能量全部变成热了,
[00:26:47] 把人散发了,
[00:26:48] 所以他讨厌鬼,
[00:26:49] 就是白家子,
[00:26:51] 那个坑边,
[00:26:51] 热火,
[00:26:52] 这个样子的,
[00:26:53] 所以应急反应过程中,
[00:26:54] 一定不如刚才专门讲,
[00:26:56] 是没有甲状腺素参与的,
[00:26:58] 而同样在这种紧急情况下,
[00:27:00] 失血,
[00:27:01] 剧痛,
[00:27:01] 晒脖,
[00:27:02] 肝癌,
[00:27:02] 等等,
[00:27:03] 这个时候,
[00:27:04] 不但是肾上腺皮质这个体液系统,
[00:27:06] 会发生非特性反应,
[00:27:08] 实际上,
[00:27:09] 你会发现交感神经,
[00:27:10] 和交感神经的肾上腺,
[00:27:11] 随着这个轴,
[00:27:13] 在神经系统上讲的很详细,
[00:27:15] 尽管我们体内的植物神经,
[00:27:17] 不管胶感还是迷走,
[00:27:18] 都是以结后纤维支配的方式,
[00:27:22] 去发挥作用的,
[00:27:23] 但你肯定还记得,
[00:27:24] 肾上腺随之是个例外,
[00:27:26] 它直接接受胶感,
[00:27:27] 接纤纤维支配,
[00:27:28] 那么交感神经一行风,
[00:27:29] 肾上腺随之跟着就行风了,
[00:27:31] 交感神经莫少注意释放去甲生,
[00:27:33] 肾上腺随之,
[00:27:35] 主要合成和释放肾上腺素,
[00:27:37] 合成为二大分胺,
[00:27:38] 那么这个系统行风,
[00:27:39] 我说一系统我专门讲过,
[00:27:41] 我们称之为能量动源,
[00:27:43] 把迷走,
[00:27:44] 性风引发的胰岛素分泌增加,
[00:27:47] 那个我们叫做能量储备,
[00:27:50] 所以在机体遭受一个外来打击的时候,
[00:27:53] 一个是通过交感神经和肾上腺随之,
[00:27:56] 来干嘛呀,
[00:27:57] 能量动源,
[00:27:58] 紧急的升高血糖,
[00:27:59] 给前线打仗,
[00:28:01] 提供一个弹药保障,
[00:28:03] 弹药呀,
[00:28:03] 粮食呀,
[00:28:04] 单价呀,
[00:28:05] 是吧,
[00:28:05] 运输队员呀等等,
[00:28:06] 他是干这个,
[00:28:07] 做后勤的,
[00:28:08] 那么应激反应是来打仗的,
[00:28:12] 遭受同样一个寒冷苦热,
[00:28:14] 这么一个刺激,
[00:28:15] 包括守护等等,
[00:28:17] 机体实际上,
[00:28:18] 它是既应激,
[00:28:20] 也应激的,
[00:28:21] 应激是以提供能量,
[00:28:23] 提供强制弹药,
[00:28:25] 后勤保障为主,
[00:28:26] 应激反应是具体到前线作战的,
[00:28:28] 一个是后勤保障,
[00:28:29] 一个是前线部队,
[00:28:31] 你体会一句话,
[00:28:32] 大兵未动,
[00:28:34] 大军未动,
[00:28:35] 粮草先行,
[00:28:37] 所以2018年的时候,
[00:28:38] 考研还专门第一道题,
[00:28:40] 还考了一下,
[00:28:40] 是同学们,
[00:28:41] 众所周知,
[00:28:42] 重大外来打击的时候,
[00:28:44] 人既会应激,
[00:28:45] 也会应激,
[00:28:46] 那么谁先反应,
[00:28:47] 谁后反应,
[00:28:48] 随后回到虚论去了,
[00:28:50] 神经调节快,
[00:28:52] 起效快,
[00:28:53] 消退快,
[00:28:53] 作用范围小,
[00:28:55] 拔点准确,
[00:28:58] 应激反应,
[00:28:58] 体液调节,
[00:28:59] STH皮质肿,
[00:29:01] 起效慢,
[00:29:02] 是把作用时间长,
[00:29:03] 作用比较迷散,
[00:29:05] 因此说,
[00:29:05] 遭遇外来打击的时候,
[00:29:06] 人一定是先应激,
[00:29:09] 再应激,
[00:29:10] 这叫大军未动,
[00:29:12] 粮草先行,
[00:29:14] 教材罪文字上,
[00:29:16] 一针描述,
[00:29:16] 不是人人特别满意,
[00:29:18] 但大体还可以,
[00:29:19] 就是慢慢我们理解,
[00:29:20] 说一个人遭到外来打击,
[00:29:22] 到底应激还是应激,
[00:29:23] 其实是应激和应激同时产生的,
[00:29:25] 你想我要抗疫,
[00:29:26] 抗气化,
[00:29:27] 抗药物,
[00:29:27] 抗中毒,
[00:29:28] 我得有能量来支持,
[00:29:29] 来保障,
[00:29:29] 能量谁保障,
[00:29:30] 能量是应激反应保障的,
[00:29:33] 那么打仗谁打的,
[00:29:35] 应激反应,
[00:29:36] 躺皮质精素,
[00:29:37] 少生长激素,
[00:29:38] 命果素等等,
[00:29:38] 弹我来打,
[00:29:39] 是这样的,
[00:29:40] 听下两个词,
[00:29:42] 这个地方一定注意,
[00:29:43] 咱们学完第五节,
[00:29:44] 生长节皮质功能以后,
[00:29:46] 脑子里面哪一网的内容,
[00:29:47] 你知道两个名字,
[00:29:48] 应激和应激,
[00:29:51] 非常重要,
[00:29:52] 所以这样一看,
[00:29:54] 整个皮质功能,
[00:29:56] 包括躺皮质精素作用非常广泛,
[00:29:58] 增高血糖,
[00:29:59] 增加代表性分解,
[00:30:00] 增加胃酸,
[00:30:01] 增加红细胞,
[00:30:02] 少血液系统的,
[00:30:03] 增加血小宝,
[00:30:04] 抗炎,
[00:30:04] 抗嗅口,
[00:30:05] 抗抗命,
[00:30:05] 抗中毒,
[00:30:06] 减少淋巴细胞,
[00:30:07] 减少什么,
[00:30:08] 这个失酸粒细胞,
[00:30:13] 老不介意说五增四抗三减一怪,
[00:30:17] 这是拿着教研室一般题目的统一,
[00:30:19] 我们标准版的一个课题,
[00:30:21] 我拿来下个人讲,
[00:30:22] 一般像这样一个总结性的东西,
[00:30:24] 我不太建议学生专门去背,
[00:30:26] 你有一个允许作用,
[00:30:28] 是往马尔德士牛背,
[00:30:30] 能够治疗在胀,
[00:30:31] 治疗白血病,
[00:30:32] 能够升高血糖,
[00:30:34] 这就差不多了,
[00:30:35] 差不多了,
[00:30:36] 这个我就翻过去,
[00:30:37] 老不专门讲,
[00:30:39] 这样背的反而容易传号,
[00:30:43] 接着往下看,
[00:30:44] 下面应该说,
[00:30:45] 这几张,
[00:30:46] 课题是更详细的阐述了一下,
[00:30:49] 糖皮质素具体的生理作用,
[00:30:50] 比如说对物理代谢作用,
[00:30:52] 糖,
[00:30:52] 它怎么样升高血糖的,
[00:30:54] 促进肝的糖原一生,
[00:30:56] 把糖原拿出来,
[00:30:57] 给它直接降解掉,
[00:30:59] 抑制胰岛素和水平结合,
[00:31:01] 所以糖皮质素实际上具有一定的抗胰岛素作用,
[00:31:04] 皮质素分泌不足的时候,
[00:31:05] 可以出现糖原减少和低血糖,
[00:31:08] 分泌果冻则出现血糖增高,
[00:31:10] 甚至发生固醇类的糖尿,
[00:31:12] 刚才咱们前面都看过了,
[00:31:14] 蛋白质也是一样,
[00:31:15] 所以这样的话你体会一下,
[00:31:17] 皮质醇分泌过多,
[00:31:18] 引发生长停滞,
[00:31:20] 肌肉消瘦,
[00:31:21] 皮肤变薄,
[00:31:22] 骨质疏松,
[00:31:23] 特别是骨质疏松,
[00:31:25] 最好的老年人关节疼,
[00:31:26] 关节疼,
[00:31:26] 你点糖皮质激素吧,
[00:31:28] 缓解这个炎症,
[00:31:29] 是吧,
[00:31:30] 缓解疼痛,
[00:31:31] 结果我自己亲自遭遇到的患者是,
[00:31:34] 从年后,
[00:31:35] 到了八月份,
[00:31:36] 已经做完骨头置换的手术了,
[00:31:38] 就三四个月时间,
[00:31:39] 骨头就坏死,
[00:31:40] 这种皮质激素造成骨质疏松,
[00:31:43] 使骨头坏死的案例,
[00:31:46] 比比皆是,
[00:31:47] 因此临床上一直有一个问题,
[00:31:49] 咱们医学上,
[00:31:50] 一个是滥用抗生素,
[00:31:51] 一个是滥用激素,
[00:31:53] 用的得当,
[00:31:55] 肯定就有原因,
[00:31:56] 但是咱们一直有涉嫌到,
[00:31:59] 咱们使用过多的一个嫌疑,
[00:32:02] 中国医学在临床上,
[00:32:03] 从我们上达到现在,
[00:32:04] 我们一直在强调,
[00:32:06] 动不动,
[00:32:07] 有没有事,
[00:32:08] 先吃点,
[00:32:08] 吃两瓶阿玛西林,
[00:32:09] 这实际上不是件好事,
[00:32:11] 不是件好事,
[00:32:12] 包括来吃激素吧,
[00:32:14] 激素有时候就会液改病情,
[00:32:16] 所以你学外科学知道,
[00:32:18] 一个腹痛原因,
[00:32:19] 胃查敏的时候,
[00:32:21] 肾用止疼药,
[00:32:23] 疼痛在外科学上,
[00:32:25] 可能是一个警觉信号,
[00:32:27] 提示你腹腔内部有问题,
[00:32:28] 一旦止疼就不疼了,
[00:32:30] 结果就会传染死人了,
[00:32:31] 你不知道,
[00:32:32] 就这个样子,
[00:32:33] 脂肪刚才,
[00:32:34] 埋了肾油病,
[00:32:35] 包括苦心,
[00:32:37] 所以实际上,
[00:32:37] 咱们经常就通过,
[00:32:38] 埋了肾油病,
[00:32:39] 下性病胖这一些表现,
[00:32:42] 来判断病人是不是出现,
[00:32:43] 苦死,
[00:32:44] 所以读到内科学知道,
[00:32:48] 苦心不是一个病,
[00:32:49] 是一组病,
[00:32:50] 包括垂体瘤,
[00:32:52] 包括液液性ACTH,
[00:32:53] 包括肾上节皮质,
[00:32:55] 单次或双次节约增生,
[00:32:56] 半活着不半有色素成果,
[00:32:58] 卡尼松合成等等,
[00:33:00] 它是一大组,
[00:33:01] 所以这个地方,
[00:33:01] 小朋友们就不用管了,
[00:33:03] 但是学的内外科注意一下,
[00:33:05] 苦心是一组病,
[00:33:07] 而不是一个病,
[00:33:08] 就像猿犬,
[00:33:09] 猿发球能增多,
[00:33:10] 是一组病,
[00:33:11] 而不是一个病,
[00:33:12] 随便听一点吧,
[00:33:13] 嗯,
[00:33:14] 这个地方实际上就是咱们把刚才讲过的内容,
[00:33:17] 全部用文字,
[00:33:18] 又重新描述了一下,
[00:33:19] 我就不啰嗦了,
[00:33:20] 但显然红细胞促进这个增生,
[00:33:25] 血小瓦增生,
[00:33:26] 这个糖皮质的作用还是很有意思的,
[00:33:28] 苦心患者经常表现为,
[00:33:30] 因为病人的红细胞多,
[00:33:32] 加上皮肤又很薄,
[00:33:33] 肥薄,
[00:33:34] 常常有多血脂,
[00:33:36] 小脸红扑扑的,
[00:33:37] 这么个表现,
[00:33:38] 嗯,
[00:33:38] 我记得2019是20年,
[00:33:40] 考研受给学生开了个玩笑,
[00:33:41] 同学们,
[00:33:42] 糖皮质素促进红细胞增生还是减少,
[00:33:45] 你想,
[00:33:45] 再这样只能用激素,
[00:33:47] 你说促进还是减少,
[00:33:48] 我们经常有贫血冒错,
[00:33:50] 多血脂还差不多,
[00:33:52] 所以考试就是去逗小朋友玩,
[00:33:54] 嗯,
[00:33:54] 血液系统的,
[00:33:56] 啊,
[00:33:56] 未年我刚才也讲过,
[00:33:57] 就不啰嗦了,
[00:33:58] 可能我讲了亏呀,
[00:33:59] 是吧,
[00:33:59] 心血管系统,
[00:34:00] 嗯,
[00:34:00] 包括神经系统,
[00:34:01] 都刚才讲过了,
[00:34:03] 苏炎这也讲过,
[00:34:04] 说在肾上解皮肤能逼下的时候,
[00:34:06] 肾的排水能力减退,
[00:34:07] 甚至发生水中毒,
[00:34:12] 但是它实际上因为通过一支AC,
[00:34:15] 这个ADH,
[00:34:16] 不是ADH,
[00:34:17] 因为一支ADH,
[00:34:18] 你记得肾脏里边咱们讲说,
[00:34:21] 在约大效果后半段和肌荷管呀,
[00:34:24] 肾脏处理盐和处理水是分开的,
[00:34:27] 醛固酮通过调节盐,
[00:34:29] 来调节肌体的血液容量,
[00:34:31] 所以醛固酮增多的时候,
[00:34:32] 血液容量太大,
[00:34:33] 反正高血压,
[00:34:34] 血血增高,
[00:34:35] 高血压,
[00:34:35] 低血甲,
[00:34:36] ADH通过调节内宿部肌荷管,
[00:34:39] 对水的通透性,
[00:34:40] 而且是红胶白,
[00:34:41] 来调节水的排除,
[00:34:44] 来最后改变血浆的渗透压,
[00:34:47] 所以实际上它抑制了ADH这种分泌以后呀,
[00:34:50] 导致体内水的储留,
[00:34:52] 水的储留,
[00:34:53] 加上醛固酮又不够,
[00:34:54] 钠的储备又不够,
[00:34:56] 肌体等于是丢失盐多,
[00:34:57] 丢失水少,
[00:34:58] 其实这个水动度不是体内水多了,
[00:35:00] 刚才解释,
[00:35:01] 是细胞内部的水多了,
[00:35:03] 跟血浆渗透压变化有关系,
[00:35:05] 是这个样子,
[00:35:06] 嗯,
[00:35:06] 下来还抗盐抗过瘤,
[00:35:07] 我就不啰嗦,
[00:35:08] 早就讲过了,
[00:35:09] 嗯,
[00:35:10] 应激反应那边作用,
[00:35:11] 所以刚才专门讲应激和应激,
[00:35:13] emergency reaction,
[00:35:15] 应激和这个stress reaction,
[00:35:19] 应激,
[00:35:20] 把两个分别清楚,
[00:35:21] 其实肌体是相互相似,
[00:35:22] 共同发挥作用的,
[00:35:24] 先应激,
[00:35:26] 再应激,
[00:35:26] 为什么?
[00:35:27] 因为大菌被动,
[00:35:29] 粮草先行,
[00:35:31] 一个是主要局限在神经系统为主的,
[00:35:34] 一个主要是体现在体验,
[00:35:38] 激素,
[00:35:39] 这个系统,
[00:35:40] 一系列这些吧,
[00:35:42] 应激反应是以acth,
[00:35:44] 它们的激素分别增加为主,
[00:35:45] 多种激素,
[00:35:46] 什么gh,
[00:35:47] adh,
[00:35:48] pl,
[00:35:48] l,
[00:35:48] 全过程,
[00:35:49] pl的你还记得,
[00:35:50] 没有素,
[00:35:51] 一大组激素,
[00:35:52] 但是咱们刚才讲到的,
[00:35:53] 唯独没有谁,
[00:35:54] 唯独没有看见甲胀血素的影子,
[00:35:56] 要注意,
[00:35:57] 它俩是有拮抗作用的,
[00:35:59] 嗯,
[00:35:59] 所以在学这一块内容,
[00:36:00] 和学甲胀血内容的时候,
[00:36:02] 一定要脑子里有个草,
[00:36:04] 甲抗微向,
[00:36:05] 有这个概念之后,
[00:36:06] 你突然对这两块东西学习,
[00:36:08] 甲胀血功能和皮质酮能,
[00:36:09] 既然联系在一起,
[00:36:10] 你分开学还就不好学了,
[00:36:12] 非得联系的,
[00:36:13] 嗯,
[00:36:15] 所以糖皮质激素在应激反应里边的作用,
[00:36:18] 介绍有害介质,
[00:36:19] 是吧,
[00:36:20] 使能量带行,
[00:36:21] 糖带行为主,
[00:36:22] 它提高血糖,
[00:36:23] 而它不按允许增加心血管系统的活动,
[00:36:26] 这些东西,
[00:36:27] 总之,
[00:36:28] 脾脂激素的作用广泛而复杂,
[00:36:30] 嗯,
[00:36:30] 前面也讲过,
[00:36:32] 什么五增,
[00:36:32] 什么四抗,
[00:36:34] 三解一管,
[00:36:35] 不不不,
[00:36:36] 我一看就头大,
[00:36:37] 就被一个满月的水平给得了,
[00:36:38] 翻过去,
[00:36:39] 嗯,
[00:36:40] 所以除了糖皮质激素作用之外,
[00:36:42] 一块像甲胀血一样,
[00:36:44] 下来第二大块,
[00:36:45] 就是有关糖皮质激素的蜂蜜条件,
[00:36:48] 嗯,
[00:36:48] 这个得接下来专门安心的看一看,
[00:36:52] 有关糖皮质激素的蜂蜜条件,
[00:36:58] 就像咱们在叙论一开始的,
[00:37:01] 甲胀血轴,
[00:37:02] 实际上,
[00:37:03] 肾上血皮的轴是一条更近的轴,
[00:37:05] 但仔细,
[00:37:06] 一读书,
[00:37:07] 为什么很很紧,
[00:37:08] 是说你谨慎体会一下,
[00:37:10] ACTH应该叫什么?
[00:37:12] 咱们学到这个位置,
[00:37:13] 实际上应该叫做醋肾上血糖皮质激素,
[00:37:16] 肾上血脾脂有球状,
[00:37:19] 石状,
[00:37:19] 网状带,
[00:37:20] 是吧,
[00:37:20] 有全五统,
[00:37:21] 就有盐皮质激素,
[00:37:23] 还有糖皮质激素,
[00:37:24] 皮质醇,
[00:37:25] 氢化合离松,
[00:37:26] 以及上的一些性激素,
[00:37:28] 这些东西,
[00:37:29] 但是你仔细读下去发现,
[00:37:30] ACTH主要是去刺激糖脾激素分离增加的,
[00:37:35] 所以它实际上不太一样,
[00:37:37] 因此这个地方有时候,
[00:37:38] 我们得仔细甄别一下,
[00:37:39] 说缺骨酮是不是影响老师?
[00:37:41] 其实胸怀系统你学过,
[00:37:43] 肾脏你又学了一次,
[00:37:44] RAS,
[00:37:45] 肾素旧肝肩囊素,
[00:37:47] 缺骨酮系统,
[00:37:48] 所以它是在另外一条轴,
[00:37:50] 在RAS,
[00:37:51] 这样的话,
[00:37:52] 将来就像前面讲的很多案例,
[00:37:54] 在发生瘀痒发现缺骨酮增多的时候,
[00:37:56] 瘀痒缺增高患者,
[00:37:58] 它的缺骨酮比如这样流着的,
[00:38:00] 康纵合症,
[00:38:01] 原发性的激素增加,
[00:38:03] 但是它对于它的把线轴RAS会产生抑制作用,
[00:38:07] 原缺患者体内,
[00:38:08] 缺骨酮越来越高,
[00:38:10] 肾素越来越低,
[00:38:12] 二个分离,
[00:38:14] 所以你发现缺骨酮增多以后压抑的是肾素,
[00:38:16] 压抑的就不是ACTH,
[00:38:18] 这你就明白了,
[00:38:19] 所以ACTH要注意,
[00:38:21] 世界上把它改个名字,
[00:38:23] 更合适,
[00:38:24] 叫做促肾上线糖皮肌素,
[00:38:27] 好多知识,
[00:38:28] 不辨不明,
[00:38:30] 所以就像咱们在肾上线糖皮肌一开始讲,
[00:38:33] 女性体内是有少量胸肌素的,
[00:38:36] 哪来的?
[00:38:36] 来自于肾上线糖皮肌,
[00:38:38] 男性体内有少量的雌激素,
[00:38:40] 哪来的?
[00:38:41] 结果发现男性体内的雌激素,
[00:38:43] 就不是来自于肾上线糖皮肌,
[00:38:46] 是雄基素在周围组织中代谢而来的,
[00:38:49] 所以你发现了,
[00:38:50] 男性体内的雌激素是雄基素代谢来的,
[00:38:53] 女性体内的雄基素,
[00:38:55] 就是肾上线糖皮肌来的,
[00:38:58] 肾上线糖皮肌,
[00:38:59] 嗯,
[00:38:59] 加上它也会代谢你雌激素,
[00:39:01] 所以就它一直不讲,
[00:39:03] 没问题,
[00:39:03] 一讲又出来麻烦,
[00:39:04] 说来是麻烦,
[00:39:05] 设想一下,
[00:39:06] 生理性化下,
[00:39:07] 女性的性基素,
[00:39:08] 主要来自于性腺,
[00:39:09] 卵巢,
[00:39:10] 雌激素,
[00:39:11] 雌二醇,
[00:39:12] 保护孕激素,
[00:39:13] 雌促激素,
[00:39:15] 性基素,
[00:39:15] 性腺基素,
[00:39:17] 那么在更年期之后,
[00:39:19] 卵巢功能退化,
[00:39:20] 没有这个地方来源了,
[00:39:22] 设想,
[00:39:22] 你问自己一个问题,
[00:39:24] 更年期之后的女性体内,
[00:39:27] 还有雌激素吗?
[00:39:28] 有,
[00:39:28] 因为它身上,
[00:39:29] 也皮质还在,
[00:39:30] 它还辅明微量的雄基素,
[00:39:32] 雄基素有个转化为雌激素,
[00:39:34] 所以一定注意,
[00:39:35] 女性这一身功能,
[00:39:36] 它的雌激素,
[00:39:37] 更年期之前的,
[00:39:38] 和更年期之后的来源不一样,
[00:39:40] 所以纠结这事干嘛老师?
[00:39:42] 纠结这事,
[00:39:43] 咱们在基础学科没有关系,
[00:39:45] 但是一到外科学,
[00:39:46] 你知道有一个很糟糕的病,
