# 源音频：P52-生理学本科教学及考研基础课 p52 神经系统3.m4a
# 时长：2886s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 好同学们上节课咱们简单的留了着突触之间的传递和神经肌肉接头处这种传递的一同点
[00:22:57] 一个轴图抹烧有好多分支
[00:22:58] 每个分支
[00:23:00] 它的抹烧处稍微庞大
[00:23:01] 够这个突出小体
[00:23:03] 它一个抹烧就一个地质释放的部位
[00:23:07] 你再看咱们底下这个小示意图
[00:23:09] 那么轴图抹烧也分支
[00:23:11] 但每个分支完了以后
[00:23:12] 它不是一次膨大就完了
[00:23:14] 它就像一串小手串或者一串糖葫芦一样
[00:23:19] 一边往前延伸
[00:23:20] 一边不断的沿途发出膨大
[00:23:23] 每一个膨大都相当于突出小体
[00:23:26] 都能释放地质
[00:23:27] 你把这个小膨大放大一下
[00:23:29] 从图上这儿看
[00:23:30] 就像这个样子
[00:23:31] 所以每个膨大都能释放地质的
[00:23:34] 沿途不断一边往前
[00:23:35] 像公交车一样
[00:23:36] 一边往前走
[00:23:37] 走一会儿停一下
[00:23:38] 上人下人
[00:23:39] 前面上后面下
[00:23:40] 请排队不要拥挤
[00:23:41] 谢谢
[00:23:42] 再见拜拜
[00:23:43] 下站见
[00:23:43] 别走了
[00:23:44] 上面下面上面下面
[00:23:45] 它就一直这样
[00:23:46] 这个形式咱们给个人叫曲张体
[00:23:50] 要一直说日常教学过程
[00:23:52] 英文同学们都复习半年生理学
[00:23:54] 英文什么就去
[00:23:54] 去什么了说
[00:23:56] 去去
[00:23:58] 就不知道
[00:24:00] 就是为什么说
[00:24:01] 我学不成
[00:24:02] 样子
[00:24:03] 你正在复习这门课里
[00:24:05] 你没有人强调你必须背明白
[00:24:07] 你千万听说过吧
[00:24:09] 你再提出那句话点燃
[00:24:12] 哪一盏星灯
[00:24:14] 就是把概念背死呗
[00:24:16] 概念背不了
[00:24:17] 你背个名字好不好
[00:24:19] 哪个名字下过
[00:24:20] GDP啊
[00:24:21] GDP同学们
[00:24:22] 让他算你好干
[00:24:23] GDP
[00:24:23] ATP
[00:24:24] ATP
[00:24:25] 内外性
[00:24:26] 秩序记
[00:24:26] 你算不是你不能这样不会对吧
[00:24:29] 往下走
[00:24:30] 结构基础曲张体
[00:24:31] 传递过程
[00:24:32] 地对释放以后
[00:24:33] 经过组织液
[00:24:35] 扩散到零星的效应器上
[00:24:38] 与相应设计发挥结合以后
[00:24:40] 发挥生理效应
[00:24:41] 特点是什么
[00:24:42] 第一个不存在前膜和后膜探讨结构
[00:24:45] 就是有曲张体地方未必有突出后膜
[00:24:48] 没有突出后膜就没有受体了
[00:24:50] 所以第二个说不存在一对一的支配关系
[00:24:53] 不是一个曲张体必须支配一个组织细胞的细胞膜一部分
[00:24:56] 不是没有一对一支配关系
[00:24:59] 第三个曲张体和效应器
[00:25:02] 建局
[00:25:02] 大于电信或经电通过传递的一个突出间隙
[00:25:07] 距离远
[00:25:08] 嗯
[00:25:09] 所以这样的传递时间也长
[00:25:10] 大概传递一次后膜回降到大概需要0.5毫秒左右
[00:25:14] 嗯
[00:25:15] 这个时间更长
[00:25:16] 第五条说释放的地质能否发挥作用
[00:25:19] 取决于效应细胞和有无效应受体
[00:25:22] 所以这句话在交感神经上就是这样的东西
[00:25:25] 这句话咱们在雄华系统谈过
[00:25:29] 说一个健康青年志愿者
[00:25:32] 你抽血看一下
[00:25:33] 他血液中
[00:25:34] 既有肾上腺素
[00:25:35] 来自于肾上腺水质
[00:25:37] 也有去甲肾
[00:25:39] 我们教词的130 133页
[00:25:41] 我想一想130 136页
[00:25:44] 133页有点太早
[00:25:45] 130血管神经支配
[00:25:48] 134 136这个样子
[00:25:50] 你打开书看一下
[00:25:51] 那个地方强调说
[00:25:53] 去甲肾肾上腺素在血液中来源不一样
[00:25:57] 肾上腺素几乎都来自于肾上腺水质
[00:26:00] 而去甲肾大部分来自于肾上腺水质
[00:26:03] 而去甲肾肾大部分来自于肾上腺水质
[00:26:03] 而去甲肾肾大部分来自于肾上腺水质
[00:26:04] 还一部分来自于交感神经末梢
[00:26:06] 释放入血
[00:26:07] 交感神经释放地质以后
[00:26:09] 你不和二法贝特水结合
[00:26:10] 你跑到血液中干嘛去了
[00:26:11] 曲张体的形式
[00:26:13] 释放出以后局部没有受体
[00:26:15] 那么组织液通往血管
[00:26:17] 回血液循环呢
[00:26:18] 它是这个样子
[00:26:19] 至少咱们在书上能找到这么一个案例
[00:26:23] 所以听一下曲张体
[00:26:24] 我就翻过去了
[00:26:25] 嗯
[00:26:25] 前面是两个化学因头的传递
[00:26:29] 那么第二大块
[00:26:31] 或者第三小块就是电突触
[00:26:33] 这个结构基础咱们反复说
[00:26:34] 该不该不该
[00:26:35] 两个神
[00:26:35] 缝隙连接
[00:26:36] 两个神经元紧密接触的部位上
[00:26:40] 有沟通两个细胞的抛浆的一个水通道蛋白
[00:26:44] 允许带电离子通过
[00:26:47] 而且电阻很低
[00:26:48] 就是平时它一直开放的像水泡滑的
[00:26:51] 膜是双层质质结构
[00:26:53] 如果上面有个蛋白质水溶性的孔道
[00:26:55] 那么离子就可以溜来溜去的
[00:26:57] 所以这个不用问
[00:26:58] 长这个通道最大特点是什么
[00:27:00] 你还记得上期还强调说
[00:27:01] 通道是不讲究方向性的
[00:27:04] 这儿可以拿来用
[00:27:05] 用一下
[00:27:05] 那么比如说一个钠离子
[00:27:07] 可以从上面往下溜
[00:27:09] 也可以从下面往上溜
[00:27:11] 所以说假如说电突触和化学突触
[00:27:15] 你只让我找一个区别的话
[00:27:18] 哪个同学听到了
[00:27:20] 把它打个弹幕啥
[00:27:21] 电学突出化学突触
[00:27:23] 假如你给我出单选题
[00:27:26] 让我选一个区别
[00:27:27] 那我绝对选的是什么
[00:27:29] 化学突触是单向的
[00:27:32] 电突触是双向的
[00:27:34] 这大概是最大区别
[00:27:35] 单向和双向
[00:27:38] 嗯
[00:27:38] 传递过程直接从电到电
[00:27:40] 不像咱们化学传递是电
[00:27:42] 化学电
[00:27:43] 它是电就到电去了
[00:27:44] 特点是
[00:27:45] 第一个不需要化学的神经递质参与
[00:27:48] 带点离子就OK
[00:27:49] 第二个传递的速度快
[00:27:51] 它不需要前模式放
[00:27:53] 由左接头进行
[00:27:54] 后模接合
[00:27:55] 传一次0.5号
[00:27:56] 它不需要跨就过去了
[00:27:57] 第三个最大特点
[00:27:58] 双向传递
[00:28:00] 那么这儿的好处
[00:28:02] 这儿写了一下
[00:28:03] 能够利于同类的神经元质
[00:28:06] 同步化活动的地方说
[00:28:08] 动眼神经合团
[00:28:10] 用50个神经合团
[00:28:11] 单击能合团
[00:28:12] 单击能神经元
[00:28:13] 同时调控野球贯动
[00:28:15] 那么我说哥们
[00:28:16] 你去的时候叫我一声
[00:28:17] 咱考试一个好场
[00:28:18] 别把我拉下
[00:28:19] 互相叫一声
[00:28:20] 哥们走走走
[00:28:21] 一起走啦
[00:28:22] 瞬间把50个人都动眼起来
[00:28:25] 而不需要拿出手机来发微信
[00:28:27] 还没电再查了电
[00:28:28] 是吧
[00:28:29] 输入系统接盘又不好使
[00:28:31] 关自己司机了
[00:28:32] 启动
[00:28:32] 它就耽误时间
[00:28:33] 这啪啪一敲门
[00:28:34] 就过去了
[00:28:37] 速度快
[00:28:37] 双向
[00:28:38] 不需要化学性的地质参与
[00:28:42] 说化学地质参与
[00:28:44] 怎么老实
[00:28:44] 是要想一想
[00:28:45] 一会就要讲到了
[00:28:46] 化学地质参与
[00:28:48] 需要不需要合成地质
[00:28:49] 消耗不消耗能量和时间
[00:28:51] 如果你在这一章学过点知识
[00:28:54] 你还记不记得
[00:28:55] 地质耗节
[00:28:57] 来治疗亨廷顿
[00:28:59] 手足徐东
[00:29:00] 单氨氧化酶
[00:29:02] 力血平
[00:29:04] 要需要化学性神经递质的话
[00:29:10] 就需要相应的煤气
[00:29:11] 原材料
[00:29:13] 转运系统等等
[00:29:15] 还需要消耗能量
[00:29:16] 消耗时间
[00:29:17] 要是离子的话
[00:29:18] 现成的
[00:29:19] 拿来留吧
[00:29:20] 拿来走了
[00:29:20] 走你
[00:29:22] 就走
[00:29:23] 更简单
[00:29:24] 更有效
[00:29:25] 更快速
[00:29:26] 所以一个神经合团内部
[00:29:28] 电突触
[00:29:29] 容易不掉一掷
[00:29:31] 团结就是力量
[00:29:33] 那么合团和合团之间
[00:29:35] 不能下个人放电
[00:29:37] 化学突触
[00:29:38] 有没有盖内流
[00:29:39] 地质有没有
[00:29:40] 能把他释放
[00:29:40] 那么将来通过
[00:29:42] 周通过烧
[00:29:43] 能不能传到另一个细胞去
[00:29:44] 所以你发现了
[00:29:45] 远距离之间
[00:29:47] 经常是化学性的
[00:29:49] 同一个合团内部
[00:29:50] 或者换句话说
[00:29:51] 比我矛盾
[00:29:52] 是化学传递
[00:29:54] 化学突触
[00:29:55] 人类内部矛盾
[00:29:56] 是电突触
[00:30:00] 神经细胞之间
[00:30:01] 具有两种不同的
[00:30:03] 信息连接方式
[00:30:05] 电突触
[00:30:06] 化学突触
[00:30:08] 我就想起了
[00:30:09] 我的学生怼我了
[00:30:10] 我好歹叫你是老师
[00:30:12] 你这样说
[00:30:12] 你这样敷衍我
[00:30:13] 我他妈真没敷衍你
[00:30:16] 哎呀
[00:30:18] 前两天我又在微博
[00:30:20] 在B站
[00:30:21] 被我的学生给怼了
[00:30:22] 想了想
[00:30:24] 老师这个角色
[00:30:26] 大概就是拿来被人践踏
[00:30:28] 践踏这个词是没有问题的
[00:30:29] 蜡烛成灰
[00:30:32] 类似感
[00:30:33] 不是我
[00:30:34] 不是我自己高大傻屁
[00:30:35] 也不是
[00:30:35] 你说我的小学老师
[00:30:38] 初中老师
[00:30:39] 高中老师
[00:30:40] 大学老师
[00:30:41] 硕导和博导是同一个
[00:30:43] 赵荣毅教授
[00:30:44] 同一个老师
[00:30:44] 他把自己的学生
[00:30:45] 自己那么辛苦
[00:30:46] 不属于要帮你改文章
[00:30:47] 帮你查文献
[00:30:49] 甚至帮你阅读
[00:30:50] reading and comprehension
[00:30:52] 他怎么图了什么呀
[00:30:54] 他不过是在
[00:30:56] 把知识往下传承
[00:30:57] 到今天自己坐这个位置了
[00:30:59] 在给学生们讲课
[00:31:00] 人类社会就是这样
[00:31:02] 总是有这么一批人在
[00:31:03] 做这样一个传承的东西
[00:31:06] 所以作为老师
[00:31:07] 我一说一直在感慨
[00:31:08] 说你给人讲好
[00:31:09] 不然人背口角
[00:31:09] 因为我们讲这个医学
[00:31:11] 是人命关天的事情
[00:31:12] 一旦你把它拿来
[00:31:14] 背口角
[00:31:15] 我就开玩笑说
[00:31:16] 如果你轻憋
[00:31:17] 坐在那块肚子疼
[00:31:18] 你也给他背道口角吗
[00:31:20] 不得不换良心
[00:31:21] 我没别的意思
[00:31:22] 我说老师
[00:31:23] 你是不是不能像别人那样
[00:31:24] 掐饭你急了
[00:31:25] 你非那样说
[00:31:26] 我也认账
[00:31:27] 只要你不生气就好
[00:31:29] 但有一天你当老师
[00:31:30] 就发现你的学生过来
[00:31:31] 你找学生看着同学
[00:31:33] 我这肚子不说
[00:31:34] 老师你坐这
[00:31:34] 我给你背口角啊
[00:31:35] 你会做何感想
[00:31:37] 变突出
[00:31:40] 利于解决
[00:31:41] 人民内部矛盾
[00:31:43] 化学突触
[00:31:44] 利于解决
[00:31:46] 敌我矛盾
[00:31:47] 远距离
[00:31:48] 传输
[00:31:48] 单向的
[00:31:50] 严格的
[00:31:52] 斟酌一下
[00:31:53] 琢磨一下
[00:31:54] 再跟你说什么
[00:31:55] 人民内部解决
[00:31:56] 说修改了
[00:31:57] 再重新来吧
[00:31:58] 电突触
[00:31:58] 你中有我
[00:31:59] 我中有你
[00:31:59] 人民中
[00:32:00] 从穷龙龙来到穷龙龙去
[00:32:02] 这个样子
[00:32:03] 所以
[00:32:03] 这种意义
[00:32:05] 其实还是必要的
[00:32:07] 我倒觉得
[00:32:07] 我没有说废话
[00:32:09] 把它学下来
[00:32:10] 这样的话
[00:32:11] 在突出生命的第一大块
[00:32:12] 有关突出的分类
[00:32:14] 传递过程
[00:32:15] 就介绍完了
[00:32:16] 第二大块
[00:32:18] 第二大块
[00:32:18] 是
[00:32:18] 第二大块
[00:32:18] 第二大块
[00:32:18] 也是神经生理的一个大话
[00:32:19] 这么多年
[00:32:20] 你能在网上
[00:32:21] 看到我的盗版课
[00:32:22] 我没有讲过这一块
[00:32:23] 为什么
[00:32:24] 因为作为考研
[00:32:25] 这么一个高水平的考试
[00:32:26] 你在把地址和受体
[00:32:29] 再拿很大篇幅去探讨一下
[00:32:31] 它显然首先不符合
[00:32:34] 夫妻的节奏和速度
[00:32:36] 但是在本科教学
[00:32:37] 这一块
[00:32:38] 我们是要专门讲的
[00:32:39] 所以这也是从去年开始
[00:32:41] 突然有个
[00:32:41] 有个冲动的想法
[00:32:44] 就是能不能
[00:32:45] 把标准化的
[00:32:46] 一个本科教学的课程
[00:32:48] 放到网上
[00:32:48] 公开课的形式
[00:32:50] 给更多的人去学习
[00:32:52] 什么呀
[00:32:53] 不能有功利性
[00:32:54] 刚才我录课前
[00:32:55] 还有同学说
[00:32:56] 我要考职业一这课
[00:32:57] 适合不
[00:32:58] 你看起来
[00:32:59] 职业一写了几十门课的目录
[00:33:01] 其实回头看
[00:33:02] 内科外科占51%
[00:33:05] 西医综合满分300
[00:33:07] 职业一满分是600
[00:33:08] 四卷
[00:33:09] ABCD
[00:33:10] 1234
[00:33:10] 卷一卷
[00:33:11] 四卷
[00:33:12] 四科考试
[00:33:13] 科一科
[00:33:13] 科三科四
[00:33:14] 跟考驾照一样
[00:33:16] 每一科是150分
[00:33:17] 一国六百道学质题
[00:33:18] 600分
[00:33:18] 那么这样的话
[00:33:19] 内科外科占51%
[00:33:21] 也就是303%
[00:33:23] 303%
[00:33:24] 51%
[00:33:27] 51%
[00:33:28] 306%
[00:33:30] 那么R科和副科加一起
[00:33:32] R科大概是9.2%
[00:33:34] 躲不到9.3%
[00:33:35] 副科是10%
[00:33:37] 当然加起来应该是
[00:33:38] 正好20%
[00:33:40] 这样我们就是从
[00:33:41] 纯粹的数字两个角度
[00:33:44] 算过去
[00:33:45] 我记得我计算过几年的
[00:33:47] 大概内外科四门科
[00:33:48] 加一起
[00:33:49] 是占600分
[00:33:50] 里边的72%
[00:33:52] 多一点
[00:33:53] 通俗咱们讲75%
[00:33:55] 其实够了
[00:33:56] 应该说超了
[00:33:57] 为什么
[00:33:57] 因为现在国家考试
[00:33:59] 指另一个方向
[00:34:01] 它用内外科的具体案例
[00:34:03] 来考你生理
[00:34:04] 药理
[00:34:06] 病理
[00:34:07] 甚至包括免疫
[00:34:09] 解剖等等
[00:34:10] 这样的话
[00:34:10] 你这要熟悉内外科
[00:34:12] 应该是四门科
[00:34:13] 在职业一的600分
[00:34:15] 我们保守点估计
[00:34:17] 最少也占480分
[00:34:19] 而职业一每年360分
[00:34:21] 可能就通过了
[00:34:22] 所以咱们说句话说
[00:34:23] 得内外富饶者得天下
[00:34:26] 结果你非要怼
[00:34:27] 说你说这人讲这一堆课
[00:34:28] 你就没人讲医疗卫生法规
[00:34:31] 是吧
[00:34:31] 这个伦理学
[00:34:33] 你就没人讲
[00:34:35] 我是这样说
[00:34:36] 讲不讲
[00:34:38] 影响你考职业一吗
[00:34:41] 有谁规定说
[00:34:42] 像考研这英语政治
[00:34:45] 还有丹科
[00:34:46] 说你这个卫生法规
[00:34:47] 是国家每年考六分
[00:34:48] 你要考不到四分
[00:34:49] 职业一考600分也不难过
[00:34:51] 你有这种说法吗
[00:34:52] 没有
[00:34:52] 所以不是我笨
[00:34:54] 还是你笨
[00:34:55] 这里边不是投机取巧
[00:34:57] 作为医生
[00:34:58] 我要不会内外富饶的话
[00:35:00] 我凭什么跟我说是医生
[00:35:02] 而内外富饶的购价
[00:35:04] 那么大的课本
[00:35:05] 你根本拿不下来
[00:35:07] 所以其实这么多年
[00:35:08] 我的清学红应该知道
[00:35:09] 知道我一直致力于
[00:35:12] 用生理学一门学科
[00:35:13] 让你脑子里边建立一个
[00:35:15] 整个系统化的医学知识体系
[00:35:18] 听完这一门课
[00:35:19] 应该说职业一案
[00:35:20] 刷一年的题目
[00:35:22] 就考个400分
[00:35:22] 就考个400分
[00:35:22] 就过了
[00:35:23] 一上午复习就够了
[00:35:24] 如果达不到这样一个素质的话
[00:35:27] 作为老师
[00:35:28] 作为老师不说别的角色
[00:35:30] 就单纯老师角色看过去
[00:35:32] 如果你不能够通过复习
[00:35:34] 一上午就能把职业一通过的话
[00:35:36] 没有那么熟练
[00:35:38] 那么精准
[00:35:38] 那么把你放在床上
[00:35:40] 给人卡宾去
[00:35:41] 开个玩笑说
[00:35:43] 你妈妈放心吗
[00:35:45] 妈妈放心
[00:35:49] 我想我的意思你都听懂了
[00:35:56] 我想这一次你听懂了
[00:35:57] 不管他呢
[00:35:59] 咱们看第二个
[00:36:00] 第二大块东西
[00:36:00] 地质和受体
[00:36:02] 先看人家地质
[00:36:03] 传辞密探
[00:36:03] 那么在神经系统内部
[00:36:05] 你要是把脑组织或脊髓
[00:36:07] 给它晕浆
[00:36:08] 就是把一块组织切下来
[00:36:09] 拿个小盐
[00:36:10] 盐箔
[00:36:12] 盐碎
[00:36:13] 盐碎之后
[00:36:14] 里边你能提取出来
[00:36:15] 你给它是把离心
[00:36:17] 去上去
[00:36:18] 萃取这个上
[00:36:19] 上清液
[00:36:20] 也得提出来
[00:36:21] 能发起各种各样化学物质
[00:36:22] 咱们得说一下
[00:36:23] 上清液和化学物质千千万
[00:36:25] 你敢说神经系统里边
[00:36:27] 发起的化学物质都是地质吗
[00:36:28] 那可不是
[00:36:29] 所以早期学生
[00:36:30] 你去这边注意一个东西
[00:36:31] 地质传辞密探这个东西
[00:36:33] 不是所有的化学物质
[00:36:37] 都能叫地质
[00:36:38] 那么什么玩意儿
[00:36:39] 才能叫地质
[00:36:40] 这人也跟你说了
[00:36:41] 有突出前神经元合成
[00:36:43] 并在末梢释放
[00:36:45] 能特异性的作用
[00:36:46] 突出后神经元
[00:36:47] 或效应气细胞
[00:36:48] 或受体
[00:36:49] 能在前末合成
[00:36:51] 并且释放
[00:36:52] 合成
[00:36:53] 一
[00:36:54] 释放
[00:36:54] 二
[00:36:55] 三
[00:36:55] 还有相应受体
[00:36:57] 结合之后
[00:36:58] 还没完
[00:36:58] 四
[00:36:59] 并且使得
[00:37:01] 突出后神经元
[00:37:02] 或效应气细胞
[00:37:04] 产生一定效应的
[00:37:05] 这么一个信息开辟物质
[00:37:07] 自己能合成不
[00:37:09] 合成和能释放
[00:37:10] 因为相应的这个
[00:37:11] 生产专家运输的话
[00:37:12] 这一般都快速的在运输啊
[00:37:14] 那么盖内疗之后
[00:37:14] 能把这个囊泡出动了不
[00:37:16] 出动释放出来以后
[00:37:17] 看我长你受体了
[00:37:18] 没长你释放这吧
[00:37:19] 干嘛
[00:37:19] 就随这个样子
[00:37:20] 长了受体以后
[00:37:21] 结合上以后能兴奋不
[00:37:22] 所以到这咱们复习个老话题
[00:37:25] 医学上说
[00:37:27] 生理学上说
[00:37:27] 凡是能够和受体发生
[00:37:30] 特异性结合的化学物质
[00:37:32] 都叫做该受体的配体
[00:37:34] 来整的
[00:37:35] 但是配体结合之后
[00:37:37] 受体有两种表达
[00:37:38] 一种是受体激动
[00:37:39] 一种是受体就不动
[00:37:41] 激动的就是激动剂
[00:37:43] 只结合不发挥作用的
[00:37:45] 就叫拮抗剂
[00:37:46] Agnist
[00:37:47] Atagnist
[00:37:48] 我们就这样
[00:37:49] 把一个词一个词
[00:37:50] 做得越来越精准
[00:37:51] 你只有这种态度
[00:37:53] 心态
[00:37:55] 步骤
[00:37:56] 节奏
[00:37:57] 走下去
[00:37:57] 某一天
[00:37:58] 就会有
[00:37:58] 才能超越同仁人
[00:38:00] 走到更高水平
[00:38:01] 所以你听那句话
[00:38:04] 医生千千万
[00:38:05] 名医
[00:38:07] 有几何
[00:38:08] 那一面是个午餐啊
[00:38:13] 经典的神经递质的
[00:38:15] 基本条件
[00:38:16] 怎么能构成一个地质
[00:38:17] 所以刚才说了
[00:38:18] 一
[00:38:18] 突出前生经院应该具有
[00:38:20] 合成地质的
[00:38:21] 前提和美系
[00:38:22] 并且能够合成
[00:38:23] 第二个
[00:38:26] 合成好以后
[00:38:26] 能够储存在
[00:38:28] 突出小炮内
[00:38:29] 当信奉冲动
[00:38:31] 抵达末梢时
[00:38:32] 小炮内
[00:38:32] 不定只能释放了突出间隙
[00:38:35] 第三个
[00:38:35] 释放出来以后
[00:38:37] 就突出间隙扩散
[00:38:38] 后膜上还有受体
[00:38:39] 并且结合发挥生物学效应
[00:38:41] 那么人为施加地质
[00:38:43] 至突出或之虐活效应期旁边
[00:38:45] 也能引起相应的生理现象
[00:38:47] 比如说
[00:38:48] 哎
[00:38:48] 交感神经释放曲甲肾
[00:38:49] 是吧
[00:38:49] 所以二副是得血管收缩
[00:38:51] 我要是不刺激交感神经
[00:38:53] 我拿注射器给你打一点曲甲肾
[00:38:55] 你照样可以锁血管
[00:38:57] 这就叫地质
[00:38:58] 说明曲甲肾是地质
[00:39:00] 第四个存在
[00:39:01] 使得该地质
[00:39:02] 使获的美
[00:39:03] 或其他使获方式
[00:39:04] 比如出社区
[00:39:05] 第五个
[00:39:06] 有特异性的受激动拮抗剂
[00:39:08] 并能分别模拟
[00:39:10] 或阻断
[00:39:13] 该地质的突出反应效应
[00:39:16] 对了
[00:39:17] 能认为干
[00:39:18] 能合成能降解
[00:39:20] 能释放
[00:39:21] 有受体
[00:39:21] 有生物学效应
[00:39:23] 就这样
[00:39:23] 所以这个没有人要请你专门背
[00:39:25] 但是你读一下
[00:39:26] 你脑子里有一句话是什么
[00:39:28] 有一句话说
[00:39:28] 并不是所有的
[00:39:30] 神经系统里边的化学物质
[00:39:31] 都可以叫做地质
[00:39:33] 那
[00:39:34] 那末之后就去研究去
[00:39:35] 研究完之后才发现
[00:39:36] 居然连臭鸡蛋溜化青都能作为地质
[00:39:39] 包括
[00:39:39] 烟解
[00:39:41] 尼古丁
[00:39:41] 好
[00:39:42] 这只是发泄品的意思
[00:39:44] 先往下走啊
[00:39:45] 嗯
[00:39:45] 先往下走
[00:39:46] 在地质的概念之上
[00:39:49] 还有一个词叫调制
[00:39:51] 所以在讲这段内容之前
[00:39:53] 昨天下午还专门翻了一下教材
[00:39:55] 我看第九版书有说法
[00:39:56] 第九版书没有说法
[00:39:57] 所以我还担心这有改变
[00:39:59] 我专门翻了一下
[00:40:00] 比如说我讲课说
[00:40:01] 老师你这课件比较旧
[00:40:02] 那天还读了一本课
[00:40:03] 说第几版的
[00:40:04] 其实第几版都是一样
[00:40:06] 所以翻了翻了一下
[00:40:07] 调制概念还是在的啊
[00:40:08] 还是在的
[00:40:09] 什么叫调制啊
[00:40:10] 简单的一些
[00:40:11] 我们以
[00:40:12] 神经系统
[00:40:15] 交感神经
[00:40:16] 这个去甲肾
[00:40:17] 在下腔脑
[00:40:18] 在中枢内部
[00:40:19] 这个解锁能神经越为力
[00:40:21] 去甲肾就释放出来以后
[00:40:23] 平时我们习惯了说
[00:40:25] 阿尔法是对
[00:40:26] 贝塔是对
[00:40:26] 阿尔法是对
[00:40:27] 实际上仔细去读书呀
[00:40:29] 阿尔法有阿尔法一和阿尔法二
[00:40:32] 我们会发现在
[00:40:35] 中枢内部
[00:40:35] 下腔脑附近
[00:40:37] 有些神经元上
[00:40:39] 不但是突出后膜长着阿尔法身体
[00:40:42] 阿尔法受体
[00:40:43] 突出前膜也长着阿尔法受体
[00:40:46] 所以下腔脑一个神经元
[00:40:48] 合成和释放去甲肾以后
[00:40:50] 如果做到突出后那个阿尔法受体的话
[00:40:52] 那么突出后就发生
[00:40:54] EPSBRDCT
[00:40:55] 它就把信息传递出去了
[00:40:57] 但有些时候
[00:40:58] 它是因为释放出地质以后
[00:41:00] 它自己让它受体的
[00:41:02] 这地质释放出来以后
[00:41:03] 又被自己受体感受到
[00:41:05] 所以
[00:41:06] 进而改变了这个神经元的活动水平
[00:41:09] 你发现了
[00:41:10] 这个化学物质释放出来以后
[00:41:12] 如果能影响别人
[00:41:14] 并产生生物学效应
[00:41:15] 刚才我刚刚学完
[00:41:17] 叫地质
[00:41:17] 如果释放出来以后
[00:41:20] 最后自己让自己发生改变了
[00:41:22] 并没有引发一个具体的生物学效应出来
[00:41:25] 只是通过地质释放
[00:41:27] 改变自己的活动水平
[00:41:29] 那么这个时候
[00:41:30] 我们就把它改了个名字
[00:41:32] 叫调制
[00:41:34] 影响别人的生物学效应
[00:41:37] 叫地质
[00:41:38] 影响自己的
[00:41:39] 叫调制
[00:41:40] 受体长在突出后膜的
[00:41:42] 叫地质
[00:41:43] 长突出前膜的
[00:41:44] 叫调制
[00:41:46] 而且咱们通过去甲胜这个案例
[00:41:49] 你发现经常呀
[00:41:51] 一个化学物质
[00:41:52] 它既是地质
[00:41:54] 又是调制
[00:41:56] 这些词咱们作为一个传统的生理学概念
[00:42:00] 听过就这边没有什么纠结的
[00:42:02] 有时候就咱们同学们说
[00:42:03] 老师我这就是不求圣洁
[00:42:05] 我就一言就细一点
[00:42:06] 总折腾吧
[00:42:07] 这些
[00:42:07] 这些都有点废话
[00:42:08] 为什么一直强调说好读书
[00:42:10] 不求圣洁
[00:42:11] 先往前走
[00:42:12] 走下去再说
[00:42:14] 先往前走
[00:42:16] 地质和调制
[00:42:17] 是传统的神经生理学的基本概念
[00:42:21] 听过就OK了
[00:42:22] 先听过再说
[00:42:24] 接着在这一节里边
[00:42:27] 最大一个话题是研究什么呀
[00:42:29] 地质和调制的分类
[00:42:30] 地质最常见的分类
[00:42:32] 就是它的化学性质
[00:42:34] 你比如说咱们看的分类
[00:42:35] 胆解类的
[00:42:36] 胺类
[00:42:36] 胆类
[00:42:37] 比如说道巴胺
[00:42:38] 去甲肾
[00:42:39] 肾上腺素
[00:42:40] 去甲肾的正肾素
[00:42:41] 肾上腺素叫负肾素
[00:42:43] 还有五强色胺
[00:42:44] 5HT
[00:42:44] 所以在生化学来说
[00:42:45] 它叫血清素
[00:42:46] 另外还有子胃胺
[00:42:48] 子胃胺
[00:42:49] 子胃胺咱们在生理学至少见过一次
[00:42:52] 就那个雷尼提丁
[00:42:53] HL受体拮抗剂在消化系统
[00:42:57] 能看得到
[00:42:57] H1H1的气道
[00:42:58] 嗯
[00:42:59] 抗过敏了
[00:43:01] 是这样
[00:43:01] 所以它不一样
[00:43:03] 它也不同受体
[00:43:04] 另外最有意思的
[00:43:05] 上节很强调的地方
[00:43:06] 就是在这一节
[00:43:07] 内容中
[00:43:08] 你有必要备会一个
[00:43:10] 四大经典的
[00:43:11] 氨基酸类神经体质
[00:43:13] 谷氨酸
[00:43:14] 门东或天洞氨酸
[00:43:16] 甘氨酸或甘尼丁酸
[00:43:17] 所以这个门东氨酸
[00:43:19] 全称叫天门东氨酸
[00:43:20] 现在教材更喜欢叫天洞氨酸
[00:43:24] 这比较早的版本
[00:43:25] 还叫门东氨酸
[00:43:26] 所以说我说
[00:43:26] 不意味着吵架啊
[00:43:27] 你门东天洞天门东氨酸
[00:43:29] 都可以
[00:43:29] 你赶紧要害怕
[00:43:30] 直接在天门东氨酸里得了
[00:43:31] 嗯
[00:43:32] 甘氨酸门丁酸好吗
[00:43:33] 神经生理学里边
[00:43:35] 这本书上你翻一下
[00:43:37] 甘氨酸
[00:43:38] 对于一个词
[00:43:40] 突触后抑制
[00:43:41] 甘氨丁酸
[00:43:43] 介义成甘导
[00:43:44] 介义BA
[00:43:45] 对于一个词
[00:43:46] 突触前抑制
[00:43:47] 哎
[00:43:48] 这一节就要看到了
[00:43:50] 所以这个内容
