# 源音频：P56-生理学本科教学及考研基础课 p56 神经系统7-痛觉.m4a
# 时长：3651s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 好同学们,上节课咱们在感觉传入这一块呀,谈了一下特异和非特异投射系统。
[00:23:50] 看哪边更了
[00:23:51] 往上看没有额纹的,去隔壁的医疗室
[00:23:54] 榨个蒸酒去
[00:23:55] 注意啊,这句话被你听懂了没有
[00:23:57] 有额纹的
[00:23:59] 是颅内病变
[00:24:00] 没有额纹周围是你损伤了
[00:24:03] 不管左边有没有
[00:24:04] 这个地方一压迫
[00:24:05] 上半部分肌肉支配不了了
[00:24:07] 额纹就消失了
[00:24:08] 额纹消失的
[00:24:10] 说明周围是你有压迫
[00:24:11] 相对来说
[00:24:12] 比额纹不消失的还好一点
[00:24:14] 额纹不消失是脑效果病
[00:24:16] 当然哪个也不好啊
[00:24:19] 免神经也经过及时的
[00:24:21] 适当的给它理疗
[00:24:23] 蒸酒
[00:24:24] 局部打点激素保护剂,沿着给它消退下来
[00:24:27] 大多数的运动还不错
[00:24:28] 但是有的肌肉
[00:24:30] 有好多年轻人一离一场
[00:24:31] 传唐风
[00:24:32] 免神经也之后就没有再恢复
[00:24:34] 一辈子就是歪的
[00:24:35] 注意啊,另场可不少见
[00:24:37] 所以对于这个免神经也的处理
[00:24:39] 公说公有理
[00:24:40] 婆说婆有理
[00:24:41] 作为我个人,纯粹个人的观点
[00:24:44] 我还是认为
[00:24:45] 应该尽早的
[00:24:46] 比如早期先打激素
[00:24:48] 保护剂严正控制,控制下来如果恢复不理想的话
[00:24:51] 就接受恢复还不错
[00:24:52] 也谨慎建议理疗
[00:24:54] 扎个电针
[00:24:55] 扎个蒸酒
[00:24:56] 让它恢复彻底一点
[00:24:57] 要不捏几星星的嘴歪了
[00:24:59] 一吹口哨漏气
[00:25:01] 终归是很不好的
[00:25:03] 其实人群中不少见
[00:25:05] 我见过最悲催的案例是
[00:25:06] 吹黑广
[00:25:07] 就单方广的小伙子
[00:25:09] 嘴给歪了以后没有幸福
[00:25:11] 你就再也喊不出你里头了
[00:25:14] 就把职业生涯给终结了
[00:25:15] 这是我见过最悲催的
[00:25:17] 王同学
[00:25:18] 其实当老师的很心疼
[00:25:20] 但是没有办法
[00:25:22] 处理得太不歪
[00:25:23] 嘴都歪了三四个月了,找过来
[00:25:25] 再找整酒医生,整酒医生也头大
[00:25:28] 不太好处
[00:25:30] 所以我专门讲一下
[00:25:32] 体表
[00:25:33] 感觉代表区
[00:25:35] 和运动代表区
[00:25:36] 你注意都是交叉的
[00:25:37] 但运动这多了个细节
[00:25:39] 头面部的上半部分
[00:25:41] 运动传出
[00:25:42] 是双侧的
[00:25:44] 注意这个细节
[00:25:46] 我印象中代表区这一块在咱们九版书上没有谈得很详细
[00:25:50] 八年三版的生理学有关运动代表区谈得稍微详细一点
[00:25:56] 没事再回头读一读
[00:25:57] 也不管它了
[00:25:58] 所以刚才谈的病
[00:25:59] 第一体表代表区,第二体表代表区
[00:26:01] 还有本体的感觉代表区
[00:26:02] 本体感觉
[00:26:03] 今天还记得
[00:26:05] 在瑾随这个地方后宿内侧球系
[00:26:07] 本体感觉精细出下去
[00:26:09] 是先上心
[00:26:10] 到野水博数先述号才交叉的
[00:26:13] 他一般头上的头到
[00:26:15] 中央前四区去了
[00:26:16] 和运动区重叠在一起
[00:26:18] 所以你能发现很多好多感觉
[00:26:20] 都没有去感觉代表区去运动了
[00:26:22] 早期咱们也就
[00:26:25] 生经解剖生经生理学的时候
[00:26:27] 咱们做了很多区分
[00:26:29] 慢慢伴随
[00:26:29] 咱们进一步的
[00:26:31] 研究的生物
[00:26:32] 和掌握的
[00:26:34] 实验室的数据越来越多
[00:26:36] 好多名字
[00:26:37] 是有点过时
[00:26:38] 你还记得生理学上经典的
[00:26:40] 上下两级生理语言
[00:26:41] 咱们前面讲说
[00:26:42] 感觉传入
[00:26:43] 通路三级生理语言
[00:26:45] 运动传出通路两级
[00:26:46] 上下两级
[00:26:47] 但是教程室的专门阐述出上下两级这个词
[00:26:50] 描述的未必准确
[00:26:51] 原来在咱们学生理学的时候有个经典的知识
[00:26:55] 叫上运动生理语言摊
[00:26:57] 和下运动生理语言摊
[00:26:58] 摊换了摊
[00:27:00] 教材上说这样的说法已经
[00:27:03] 没有实际的创意
[00:27:04] 事实上我得说
[00:27:06] 九百万科学没有
[00:27:08] 八年三百万科学
[00:27:09] 有关脊髓损伤的
[00:27:11] 依然保留着一个经典的表格
[00:27:13] 上运动生理语言摊
[00:27:14] 下运动生理语言摊
[00:27:16] 你对应着两个词
[00:27:17] 叫硬摊和软摊
[00:27:19] 硬摊和软摊的硬碰是存在的
[00:27:21] 我们现在把这两个名字变了一下
[00:27:23] 叫精软摊
[00:27:24] 和
[00:27:25] 迟缓摊
[00:27:27] 为什么一直强调说踏山之石可以过
[00:27:29] 农业
[00:27:30] 你读到基础学和生理学还好一点读到临床学和内外科学的时候
[00:27:35] 限于作者的
[00:27:36] 业务素养以及工作的严谨程度以及知识的难度
[00:27:41] 特别知识难度所以
[00:27:43] 在微博B站上同学们也老提出来说教材哪个地方有笔墓有旗意有争论
[00:27:48] 没错
[00:27:49] 所以聪慕却作为老师能够给的建议上是这样
[00:27:52] 如果诊断学和内外科学产生起义的话
[00:27:55] 猜到内外科学
[00:27:56] 如果生理学和内外科学产生起义争论的话
[00:27:59] 猜到内外科学产生起义争论的话
[00:27:59] 你总不能说人病错了吧
[00:28:02] 所以八年三百万科学依然保留着那个表格
[00:28:05] 叫上下
[00:28:06] 与总是你愿探
[00:28:08] 我看看回头必要的时候我把这几个表格呀
[00:28:11] 从博读教材上把它剪图剪下来
[00:28:14] 放到毕大德伦安文章里面
[00:28:15] 你们有空去看一看
[00:28:17] 我先放这不管它了
[00:28:18] 第一体表代表区
[00:28:20] 第二体表代表区
[00:28:21] 本体感觉代表区
[00:28:23] 嗯这批成几个代表区
[00:28:25] 接着在感觉传入这一块还有点小东西
[00:28:29] 叫做
[00:28:29] 具体感觉
[00:28:30] 具体感觉也就像前面咱们
[00:28:32] 看脊髓的传导通路一样
[00:28:35] 我们简单把它区分为前感觉和深感觉
[00:28:38] 那么前感觉就指的是
[00:28:40] 触牙局
[00:28:41] 瘟痛局
[00:28:42] 触牙局其实有包括
[00:28:44] 粗略触牙局和精细触牙局
[00:28:46] 精细触牙局
[00:28:47] 是和本体感觉
[00:28:49] 在后隧内侧休息上行
[00:28:51] 是这样
[00:28:52] 深感觉就是本体感觉包括运动觉
[00:28:54] 位置觉
[00:28:55] 包括
[00:28:56] 震动觉
[00:28:58] 就是你拿手摸到一个比如手机的
[00:29:00] 那个感觉那个感觉是要属于
[00:29:02] 精细触牙局
[00:29:04] 粗略触牙局更多表现为一个
[00:29:06] 损伤以后表现为一个
[00:29:08] 麻木感
[00:29:09] 蚁肘感这样一个
[00:29:12] 很明确的
[00:29:13] 一个感觉
[00:29:14] 比较精细打麻将摸摸是几万
[00:29:16] 那个得精细触牙局
[00:29:19] 都在深感觉途径里面传导
[00:29:22] 再下来咱们在生理学的第3节感觉传入这有个
[00:29:25] 大的话题
[00:29:26] 就是痛
[00:29:27] 痛咱们在感觉
[00:29:30] 器官内脏还专门谈一下
[00:29:31] 痛是没有适应刺激的
[00:29:33] 痛是不会适应的
[00:29:35] 所以各种伤害性刺激
[00:29:37] 作用到机体以后引起的人体一个极度的
[00:29:40] 不愉悦不舒服的感觉
[00:29:43] 就叫痛
[00:29:44] 而这个痛不仅仅是疼
[00:29:46] 同时会伴有情绪活动呀
[00:29:48] 自主神经活动疼得灭色苍白大汗淋漓
[00:29:51] 疼得羞客疼痛你羞客
[00:29:54] 所以同学就提供说老师这个疼痛
[00:29:56] 到低血压高还是血压低
[00:29:58] 轻微疼痛
[00:29:59] 激热你的
[00:30:00] 神经系统是血压高
[00:30:01] 疼痛超过成熟极限的
[00:30:03] 直接疼的就羞客
[00:30:04] 是血压低
[00:30:05] 这里边你不能一味的说血压高血压低
[00:30:08] 所以说我就问你高还是低
[00:30:10] 你看你说的又高又低
[00:30:11] 你能不能讲道理
[00:30:12] 讲道理
[00:30:13] 一般的疼痛引发人一个防胃反射
[00:30:16] 交感神经兴奋
[00:30:17] 血压升高
[00:30:18] 痛苦扩大
[00:30:19] 往返道夫
[00:30:20] 为人打架谁他妈惹我的
[00:30:21] 他这样
[00:30:22] 疼痛太厉害的时候
[00:30:24] 直接就晕过去了
[00:30:26] 所以这个事情在精神病学你知道有个传统的很糟糕的治疗方法
[00:30:31] 叫电击电休克疗法
[00:30:33] 你这人他不耐受
[00:30:34] 他一上电线
[00:30:37] 他就晕过去了
[00:30:38] 他就感受不到痛
[00:30:40] 电休克疗法目的是
[00:30:42] 以惩戒方式
[00:30:44] 你还敢不敢疯
[00:30:45] 我电死你
[00:30:45] 疯不疯再电一下
[00:30:47] 给他电一下
[00:30:48] 他睡着了
[00:30:48] 所以后面就跟草蛋弄了一个什么呀
[00:30:51] 改良的新的叫改良电休克疗法
[00:30:54] 给你把这个
[00:30:56] 电休克之前把电轴变一遍电压变一遍然后给你打点药
[00:31:01] 只要你
[00:31:01] 不让你休克
[00:31:04] 疼到你再也不敢发疯为止
[00:31:06] 所以人类几百年了最早从古希腊的时候
[00:31:09] 大冬天把人捆起来
[00:31:11] 放到瀑布底下拿冰水
[00:31:13] 砸你
[00:31:13] 问你还疯不疯
[00:31:14] 叫睡疗
[00:31:15] 睡得叫练疗
[00:31:17] 紧心为疗法
[00:31:18] 作为老师呀是很无奈的
[00:31:21] 人类到今天为止对于精神病是当然应激性的精神分裂没问题啊给他点铝饼情呀
[00:31:26] 给他一点消极安定呀等等
[00:31:28] 咱们现在有很多精神药物
[00:31:30] 处理一个应激性的
[00:31:31] 精神的精神分裂都好办
[00:31:34] 一旦是一个慢性
[00:31:35] 心理
[00:31:36] 精神病
[00:31:37] 好办
[00:31:38] 心理疾病
[00:31:39] 其实
[00:31:40] 所谓的双向比如说
[00:31:42] 躁狂和抑郁
[00:31:44] 交替发生这样的情况
[00:31:46] 其实我们没有好的办法
[00:31:48] 你不要听闻些报道
[00:31:50] 不是那么回事
[00:31:51] 我讲课总开个玩笑说
[00:31:52] 弄一药物治好的心理病
[00:31:54] 他是心理病吗
[00:31:56] 心理病非常谨慎的讲一句话
[00:31:59] 是个语言的病
[00:32:01] 从本质上讲
[00:32:02] 是精神病
[00:32:02] 缺乏学习
[00:32:03] 对语言的把控
[00:32:05] 要么过于苛刻
[00:32:06] 要么根本就不知道保一和别一
[00:32:08] 是这样一个问题
[00:32:09] 这样是三观的问题
[00:32:11] 当然这句话更多的人不愿意听
[00:32:14] 我讲一句话
[00:32:16] 我刚才说的
[00:32:17] 是我个人观点
[00:32:18] 如果有争论
[00:32:19] 咱们最好不要吵架
[00:32:20] 咱们坐而论道
[00:32:22] 先不管他了
[00:32:23] 所以有关痛觉引发的血压改变
[00:32:26] 我谈一个轻微的一般血压会升高
[00:32:28] 严重的超过身体承受极限的时候
[00:32:30] 血压下降
[00:32:31] 休克
[00:32:32] 对了
[00:32:33] 这个样子
[00:32:34] 反射
[00:32:35] 那么痛觉的意义在哪里
[00:32:37] 意义在于给人体提供一个警报信号
[00:32:40] 带有个麻烦
[00:32:41] 经常会造成的严重的痛苦
[00:32:44] 痛不欲生的感觉
[00:32:45] 生活不能自理
[00:32:48] 痛本身也有分类
[00:32:50] 分为体表痛
[00:32:51] 和身部痛
[00:32:54] 痛觉是咱们
[00:32:56] 很熟悉的一种感觉
[00:32:57] 你比如生活的每天在经历着
[00:33:00] 但是从专业角度上
[00:33:02] 我们还得做一个区分
[00:33:03] 是吧
[00:33:04] 这个痛就像刚才上一张课点说的
[00:33:05] 有体表痛
[00:33:07] 有身部痛
[00:33:08] 这是躯干的
[00:33:10] 另外还有内脏痛
[00:33:11] 所以这几个不同的
[00:33:13] 应该是来源
[00:33:15] 那么在疼痛的表现上也不一样
[00:33:17] 体表痛我们有时候喜欢叫做
[00:33:20] 疼痛的二重性
[00:33:22] 它这边是要既包含着快痛也包含着慢痛
[00:33:24] 这么多年
[00:33:26] 讲到痛这个感觉
[00:33:27] 我从
[00:33:28] 拿自己的切身经历
[00:33:31] 高中的我们这一代人
[00:33:32] 高中没有什么玩儿
[00:33:34] 我记得
[00:33:34] 高中高二高三高一的时候那个时候
[00:33:37] 阳光灿烂
[00:33:39] 青春少年大家在一起玩得很happy
[00:33:41] 一到高二高三就一匹老鱼皮倒了
[00:33:45] 我属于不太倒然
[00:33:47] 事情暴露高中的情况也不好
[00:33:49] 所以经常晚上呀
[00:33:50] 你是让你做数理化的题做的累了
[00:33:53] 趴到
[00:33:53] 这个教室的小课桌上睡一会
[00:33:56] 那个时候大家也都大小伙子了
[00:33:58] 所以就有人比较讨厌高中有没有抽我自己高中也抽烟这事不是个好事
[00:34:03] 经常有人问你
[00:34:04] 你爬哪睡着了那会儿还没有大伙今天会儿火柴
[00:34:06] 点个火柴
[00:34:07] 在底下撩你这个
[00:34:09] 耳唇
[00:34:10] 哎呀稍等一下你刚睡着
[00:34:12] 火柴一烧你撩的你
[00:34:14] 火烧火烧就直接撩的你
[00:34:16] 腾醒过去
[00:34:17] 那个人就是点心就快通
[00:34:19] 一下就通心了
[00:34:20] 把下马手一摸耳朵晒就过去了
[00:34:22] 可是这个过去以后这一晚上呀到深圳到点海早上
[00:34:26] 什么时候一摸着这个耳朵就觉得心里面难受
[00:34:29] 这个心里不是心情啊也不是心理
[00:34:31] 就是那个难受劲
[00:34:33] 对对对
[00:34:34] 持续很长时间
[00:34:35] 所以多少年之后学医学后慢慢慢慢想明白了
[00:34:39] 被这个小伙靠耳唇靠得很
[00:34:41] 痛心
[00:34:42] 那是点心一个快通
[00:34:45] 产生快持续时间短定位
[00:34:47] 准确
[00:34:48] 性质明确就是给他烧的
[00:34:50] 弥向痛心
[00:34:51] 保护性的反应
[00:34:52] 这个传入线位在神经纤维分类上
[00:34:55] 谈过
[00:34:56] 属于A Delta类线位有损线位
[00:34:58] 所以他投射区域是通过特异投射系统来
[00:35:00] 到咱们第1第2
[00:35:02] 体表代表区域
[00:35:02] 特别是到第1
[00:35:05] 312区
[00:35:06] 第1体表代表区域
[00:35:07] 和明确
[00:35:08] 就是这种疼
[00:35:10] 实际上疼完过去
[00:35:12] 整个持续一晚上甚至时间更长一点
[00:35:15] 那个就是这种慢痛
[00:35:17] 产生慢
[00:35:18] 持续时间长定位不清楚
[00:35:20] 性质往往是一个稍作痛的感觉
[00:35:23] 叉叉摆用情绪反应内脏反应
[00:35:25] 和紧张性就是我觉得
[00:35:27] 疼的时候身上不舒展
[00:35:29] 有时候你牙疼就是
[00:35:31] 疼的时候身上累的困的不行为什么这种疼
[00:35:33] 让你不用自主
[00:35:34] 有时候就把
[00:35:35] 拳头拽着
[00:35:36] 有时候走路是脚趾头抠着
[00:35:39] 有时候走路是腰使着劲
[00:35:41] 所以我有时候想一想说
[00:35:43] 咱们这个外科学家来学习各种各样慢性的
[00:35:46] 老损
[00:35:47] 逐渐突出呀紧追兵呀是吧包括
[00:35:50] 第3腰椎横突综合症就是慢性的腰背痛
[00:35:53] 其实它有时候是一个姿势不当引发一个局部不舒服以后
[00:35:57] 防卫性的肌肉收缩越收缩越疼痛越疼痛越收缩
[00:36:00] 它是那个东西
[00:36:02] 所以疼痛往往摆于一个
[00:36:03] 躯体的
[00:36:04] 紧张性反射
[00:36:06] 疼的累的不行
[00:36:07] 你意识不到
[00:36:08] 总有记录在实际
[00:36:10] 总有
[00:36:11] 刁民要害真
[00:36:12] 这样我这有时候一讲的痛我就老想起来高跟那会淘气
[00:36:16] 几十年过去老同学们就会聊起来谁是疼的
[00:36:20] 世界上变成一种很
[00:36:22] 很甜美的
[00:36:24] 久远的一种回忆了
[00:36:25] 但是无论如何自己不小心呀
[00:36:27] 生活中抽烟的人就这么
[00:36:29] 我说的是
[00:36:30] 高中同学淘气
[00:36:31] 拿火车棍
[00:36:32] 少眼别人耳朵
[00:36:33] 其实有时候自己抽烟不行
[00:36:35] 有时候
[00:36:35] 读书都还用心
[00:36:36] 这个男生女生没有这体会
[00:36:38] 男生大概也有这体会
[00:36:39] 抽烟抽的有时候
[00:36:40] 现在也有烟走
[00:36:42] 还好现在也有烟走
[00:36:43] 那个时候烟没有烟走
[00:36:44] 太短
[00:36:45] 你常常扔了
[00:36:46] 心疼跪爸爸
[00:36:47] 你不扔吧
[00:36:47] 他也太短了
[00:36:49] 不小心
[00:36:49] 一抽它
[00:36:50] 他一下烧了你手指头
[00:36:51] 哎呀那个疼
[00:36:52] 当时他那一下烟就觉得
[00:36:54] 扔地下捡起来
[00:36:55] 有时候把衣服烧了
[00:36:56] 他疼烦这一晚上这个时候
[00:36:58] 放哪个不对劲
[00:36:59] 一会哼哼他搓一搓
[00:37:02] 这就是快痛和慢痛
[00:37:03] 把它停下来
[00:37:04] 慢痛
[00:37:05] 关键是定位不准确
[00:37:07] 性质不明确
[00:37:08] 半个情绪反应
[00:37:09] 他是
[00:37:10] C类的无损线被传导
[00:37:13] 也通过透射系统特意透射系统
[00:37:16] 到扣带回去了
[00:37:17] 所以地方咱们听下来主要要害不是说往哪传导
[00:37:21] 在这咱们就来听一下
[00:37:23] 有快痛和慢痛
[00:37:25] 这属于T表
[00:37:26] 就是手被开水烫了一下呀
[00:37:29] 或者手不小心关门
[00:37:30] 有人就不理损受不了怎么样
[00:37:32] 心不在焉
[00:37:33] 抓住门框
[00:37:34] 抓住门的门口
[00:37:35] 一样
[00:37:36] 门的边缘就往回边看
[00:37:38] 把指头下来
[00:37:38] 反正实际上生活中
[00:37:40] 你要是
[00:37:42] 不劳累清醒的时候不会太疲劳
[00:37:44] 或者有时候被什么事给扯着
[00:37:47] 不小心人会失误
[00:37:49] 你不是扯核桃小锤子砸了一下
[00:37:51] 把指头给砸了一下类似于这样这痛
[00:37:54] 这个手指这种疼痛
[00:37:55] 很典型的快痛加慢痛
[00:37:58] 你回忆你生活中受伤害的
[00:38:00] 那个刹那间
[00:38:02] 这个样子
[00:38:03] 这是T表痛
[00:38:05] 还有生部痛
[00:38:06] 比如说50来岁的五十肩
[00:38:08] 肩周炎
[00:38:09] 比如刚才咱们说的
[00:38:10] 低腮油肿横头综合症
[00:38:11] 这一些机体的生部
[00:38:12] 你比如说把一把损伤呀
[00:38:14] 叫上来损伤呀
[00:38:15] 这样一些东西
[00:38:17] 生部肌肉拉伤
[00:38:18] 慢痛
[00:38:20] 生部痛一般表现的慢痛
[00:38:22] 定位不是很明确
[00:38:23] 所以说
[00:38:24] 就说
[00:38:25] 就说关节这疼
[00:38:27] 那说一压
[00:38:28] 你感觉疼的部位和医生压住的部位不太一样
[00:38:31] 定位不明确不准确
[00:38:33] 伴有恶心呀出汗呀血压改变
[00:38:36] 等等
[00:38:37] 一些自主反应
[00:38:38] 机体生部疼痛容易
[00:38:39] 慢痛
[00:38:40] T表疼痛才有快痛和慢痛
[00:38:43] 两个
[00:38:44] 不同的
[00:38:45] 应该说分类
[00:38:46] 不同的产分
[00:38:48] 这样说比较合适
[00:38:51] 刚才是
[00:38:52] 躯干
[00:38:53] 死肢这种包括头面部这种疼痛
[00:38:56] 然后还有内脏所以有时候
[00:38:58] 在第三句子讲一个内脏的感觉
[00:39:00] 有时候书上写一句话说
[00:39:02] 内脏世界上感觉呀
[00:39:04] 最
[00:39:05] 普遍的一种表现形式
[00:39:07] 就是痛
[00:39:08] 不舒服那种不适感
[00:39:10] 吃的太饱了觉得胃有点胀的痛
[00:39:12] 肚子饿了到点了没饭吃
[00:39:14] 胃有点困的
[00:39:15] 那种痛
[00:39:16] 所以内脏的感觉实际上
[00:39:18] 真正在
[00:39:19] 人体能够体现到的
[00:39:21] 教材一句话说于是叫做
[00:39:23] 内脏感觉
[00:39:24] 不叫做内脏痛觉
[00:39:26] 内脏的不舒服感总是以痛的形式来表达的
[00:39:30] 这个痛怎么样传导的
[00:39:31] 传入通路和匹散代表区
[00:39:33] 传入线位就是交感和迷走的或者副交感的
[00:39:36] 这应该也有意义上叫做
[00:39:37] 迷走
[00:39:38] 交感和迷走的传入线位
[00:39:40] 所以到这咱们重申明一下
[00:39:41] 交感神经感也好迷走神经感也好
[00:39:43] 它是缓和神经
[00:39:45] 既有传出也有传入
[00:39:46] 在前面裹面讲
[00:39:48] 是要从苛刻的角度上讲过去
[00:39:50] 副交感特指迷走神经的
[00:39:52] 传出部分
[00:39:54] 所以说
[00:39:55] 谈到传入
[00:39:56] 在课间上写副交感的声音应该不太恰当
[00:39:59] 应该叫迷走
[00:40:00] 传入
[00:40:01] 交感传入就对了
[00:40:03] 副交感只有传出
[00:40:05] 它属于迷走的一部分
[00:40:06] 不管它的咱们也不纠正
[00:40:08] 这个字眼往下走
[00:40:09] 那么皮层代表区域主要在第二代表区和运动辅助区
[00:40:12] 就是四区这一块
[00:40:14] 和第二代表区
[00:40:15] 所以你能发现世界上
[00:40:18] 真正的也就是这个痛觉
[00:40:20] 体表痛的那种快痛
[00:40:22] 更容易去第一代表区
[00:40:24] 所以内脏痛痛不用问要到第二代表区的话显然特点就是
[00:40:27] 符合慢痛的特征
[00:40:29] 定位不准确持续时间长
[00:40:31] 对扩张切拉刺激比较敏感
[00:40:34] 就像在消化系统咱们要讲
[00:40:36] 这个一般的
[00:40:37] 集体的作用
[00:40:38] 组织细胞
[00:40:38] 对电刺激不敏感
[00:40:40] 消化的平滑剂不适
[00:40:41] 它对电刺激不敏感
[00:40:43] 对温度改变酸解度变化特别是
[00:40:46] 这个机械切拉
[00:40:48] 是最敏感的
[00:40:49] 对切割稍作反而不敏感
[00:40:51] 常常带有情绪反应
[00:40:53] 内脏痛痛的
[00:40:55] 这个胃疼的什么都不想想来
[00:40:57] 说什么话
[00:40:58] 你无精打采不想搭理
[00:41:00] 慢痛的特点
[00:41:02] 而内脏痛痛很有意思
[00:41:04] 除了病变内脏本身这种定位不准确恒不舒服的感受之外
[00:41:08] 还有一个词叫体腔闭痛
[00:41:11] 什么叫体腔闭痛
[00:41:13] 除了内脏这种疼痛以外
[00:41:15] 脾内的内脏的体表部位
[00:41:17] 体表
[00:41:18] 也有骨骼的症状和疼痛
[00:41:19] 比如说蓝维也在右下腹
[00:41:21] 除了蓝维,就是肚子里面这个蓝维
[00:41:24] 不知道是蓝维,肚子里面有东西在疼
[00:41:26] 另外就是肚皮也疼
[00:41:27] 蓝维也引发的右下腹的
[00:41:31] 肚皮的疼痛
[00:41:32] 右下腹的
[00:41:33] 叫体腔闭痛
[00:41:34] 而蓝维也在早期的时候不是右下腹疼痛
[00:41:37] 可能好多患者是
[00:41:37] 是膝中或者腱头上疼痛
[00:41:40] 远离病变内脏
[00:41:42] 内脏发生病变时候
[00:41:44] 远离病变这个内脏
[00:41:46] 体表其他部位
[00:41:47] 会产生疼痛或痛觉过敏
[00:41:50] 这个叫牵涉痛
[00:41:52] 你蓝维也
[00:41:54] 你叫你在上腹不疼痛,离得很远
[00:41:57] 心脏有问题,结果是左前臂疼痛
[00:42:00] 胆囊有问题
[00:42:01] 又肩胃不疼痛,老觉得是肩中也肩膀
[00:42:04] 疼得胳膊抬不起来
[00:42:05] 最后一做超生一看
[00:42:07] 胆囊里面全是结石
[00:42:08] 这个
[00:42:09] 胆道疾病引发的右侧
[00:42:11] 肩胃不疼痛在领床上
[00:42:13] 是相当普遍的
[00:42:15] 所以讲到这儿,有时候必须多讲两句,有同学可能是刚刚大二
[00:42:18] 听完生理学过来直接学习了
[00:42:20] 来毕竟学习,因为同学是已经要考研了
[00:42:23] 其实就包括我在领床实践上
[00:42:25] 你会发现很多的所谓的慢性胃病
[00:42:27] 我们经常打个引号,慢性胃病
[00:42:30] 打个引号
[00:42:31] 老一味胃不行,看了很多年
[00:42:33] 吃个阿比拉作,吃个林依提丁
[00:42:36] 弄点钙胃品
[00:42:37] 进来清阳
[00:42:38] 上化了凝胶呀
[00:42:39] 迷索前列醇呀
[00:42:41] 吃了好多年药不行
[00:42:43] 你做超生一看
[00:42:44] 胆囊是结石,最后把胆囊弄点小A类胆
[00:42:47] 一吃,输点青瘟素
[00:42:49] 它反而好了
[00:42:50] 所以世界上这个内脏的病变
[00:42:52] 反映了呀
[00:42:53] 它的疼痛的部位定义不准确
[00:42:54] 胆囊本来在右上方
[00:42:56] 结果造成这个
[00:42:57] 箭头下,是一片左的部位,因为是胃疼
[00:43:00] 右边的病变跑到左边疼去了
[00:43:02] 都是牵涉痛
[00:43:05] 所以这儿举了几个例子
[00:43:06] 最典型的就是蓝伟爷的说话
[00:43:08] 那个专业书一讲
[00:43:09] 转移于下腹痛
[00:43:10] 从上腹补充气中
[00:43:12] 经过四个小时后,慢慢慢慢慢慢病人感觉到疼痛
[00:43:16] 局限在用下腹
[00:43:18] 蓝刀疾病的时候,右侧肩背部的疼痛
[00:43:21] 心梗的时候
[00:43:23] 厌恶箭头下,特别下地心梗
[00:43:25] 他不感觉是胸骨厚,这是上腹的疼痛
[00:43:27] 恶性,土面是灰暗这样的
[00:43:30] 或者是左上比
[00:43:31] 齿侧
[00:43:32] 还有这个胃溃疡
[00:43:33] 胰腺炎
[00:43:34] 左上腹
[00:43:35] 肩甲肩
[00:43:36] 肾结,肾结时经常跑到
[00:43:38] 他顺着顺钥管
[00:43:39] 跑到这个铜侧的
[00:43:40] 这个
[00:43:41] 腹骨沟
[00:43:42] 实质位置再往下一点
[00:43:43] 齿骨连合上腹骨,到阴囊这个部位
[00:43:46] 他往下放射
[00:43:47] 放射痛
[00:43:48] 这都属于比较常见的
[00:43:50] 牵涉痛
[00:43:51] 实际上严格意义上,圣洁是这个
[00:43:53] 腹骨去的疼痛
[00:43:54] 叫牵射不一定合适,应该叫放射合适,沿着顺钥管走心放下
[00:43:59] 叫牵射的不一定合适
[00:44:01] 但是心症引发的
[00:44:03] 减突下疼痛和做上臂
[00:44:05] 齿侧疼痛,这个比较典型
[00:44:07] 难道疾病,把它运作肩胃部
[00:44:09] 这就属于比较典型的牵涉痛
[00:44:12] 所以什么叫牵涉痛呀
[00:44:14] 说某些病变的内脏的病变
[00:44:16] 这些内脏疾病
[00:44:17] 引起远隔这个病变内脏的
[00:44:20] 体表过敏
[00:44:21] 注意是远离的
[00:44:22] 右下腹的病变,把它左下腹疼一下
[00:44:25] 比如这个样子
[00:44:26] 疼痛或痛就过敏
[00:44:28] 怎么内脏病变的时候就会发生牵涉痛
[00:44:31] 教材有些时候就讲得很详细,有时候就不详细,实际上你注意
[00:44:35] 不管文字写了多少
[00:44:37] 今天
[00:44:37] 为止呀
[00:44:38] 有关牵涉痛的一个发射机制
[00:44:41] 其实我们并没有完全阐述清楚
[00:44:44] 作为一个职业的老师
[00:44:46] 讲到牵涉痛的时候
[00:44:47] 我总愿意花点时间
[00:44:50] 把他的机制稍微阐述一下
[00:44:52] 尽管机制不明确,但是我们普遍能够认同的
[00:44:56] 像柯家这写的一样
[00:44:57] 有两种学说
[00:44:59] 两种假说,这应该叫学说了
[00:45:01] 一种叫汇聚学说,一种叫疑患
[00:45:03] 因为我研究这种学说的话,对于我
[00:45:06] 用更深的
[00:45:07] 更深层次、更逻辑和理性的方法
[00:45:10] 去判断一个问题
[00:45:12] 因为学生学习不光是学一个知识点
[00:45:15] 你更多的是
[00:45:16] 学习一种
[00:45:17] 比较科学的思维模式
[00:45:20] 在以后的人生活、工作
[00:45:22] 过程中呀
[00:45:23] 遭遇到一个更复杂问题的时候
[00:45:25] 我们有能力
[00:45:26] 有定力
[00:45:27] 与那个汇根
[00:45:29] 去判断更复杂的问题
[00:45:31] 所以通过学习汇聚和疑患学说
[00:45:33] 对提升我们的智商是确实有帮助的
[00:45:36] 咱来读一读什么叫汇聚学说
