# 源音频：P58-生理学本科教学及考研基础课 p58 神经系统9-牵张反射.m4a
# 时长：2422s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 嗯,好,同学们,咱们接着往下看啊。
[00:20:47] 取身过程中啊,
[00:20:48] 它这骨刺头基建,
[00:20:49] 一直在骨头表面磨来磨去的,
[00:20:51] 你身上磨的就毛了,
[00:20:52] 你关节囊内部就不光滑,
[00:20:54] 所以为了避免这种摩擦,
[00:20:56] 受损伤,
[00:20:57] 人体这长了一块子骨,
[00:20:59] 上去就是垫了一个东西,
[00:21:00] 桌子四个腿不一样长,
[00:21:02] 垫一个,
[00:21:03] 垫片,
[00:21:04] 对了,
[00:21:05] 包括咱们拇指这儿,
[00:21:06] 这儿垫很多,
[00:21:07] 拇指,
[00:21:08] 指尖也垫一些,
[00:21:10] 子骨,
[00:21:11] 冰鼓,
[00:21:12] 就长在骨刺头基建里边,
[00:21:13] 骨刺头基建绕过膝关节的项目,
[00:21:15] 所以小锤子一敲这个冰人,
[00:21:17] 但实际上你看你一敲它,
[00:21:18] 等于是把骨刺头基变往开拉了一下,
[00:21:21] 实际上膝关节这个地方敲一下,
[00:21:24] 就是典型的切拉骨刺头基的一个刺激,
[00:21:27] 快速切拉骨刺头基以后,
[00:21:29] 你把骨刺头基快速的收缩,
[00:21:32] 那么表现出来,
[00:21:33] 骨刺头基是说膝关节生殖了的,
[00:21:36] 所以我开玩笑说,
[00:21:37] 膝跳板是什么,
[00:21:38] 是谁敲我,
[00:21:39] 我他妈踢谁,
[00:21:40] 而且我们在大学,
[00:21:42] 你们应该也知道,
[00:21:43] 我们在大学的学校,
[00:21:44] 是很多同学,
[00:21:45] 比如说上蒸酒课的时候,
[00:21:46] 我还记得我们上蒸酒课,
[00:21:48] 一人先发一包蒸,
[00:21:49] 回家睡觉前,
[00:21:50] 把自己的枕头拿出来,
[00:21:52] 扎枕头,
[00:21:53] 扎,
[00:21:54] 拿蒸,
[00:21:55] 扎蒸,
[00:21:56] 扎蒸,
[00:21:57] 差不多了,
[00:21:58] 蒸酒课,
[00:21:59] 十几课,
[00:22:00] 同学们,
[00:22:01] 第一,
[00:22:02] 第三,
[00:22:03] 第五排,
[00:22:04] 第七排,
[00:22:05] 第九排,
[00:22:06] 来,
[00:22:07] 下后转,
[00:22:08] 把锅子扭过去,
[00:22:09] 下后转,
[00:22:10] 所以一二,
[00:22:11] 三四,
[00:22:12] 五六,
[00:22:13] 下来和第二排,
[00:22:14] 来,
[00:22:15] 你扎他的左手,
[00:22:16] 他扎你的左手,
[00:22:17] 为什么?
[00:22:18] 你拿,
[00:22:19] 右手拿针嗯,
[00:22:20] 左扁子的话扎右手,
[00:22:21] 这扎左手的,
[00:22:22] 扎左手,
[00:22:23] 扎谁?
[00:22:24] 扎户鼓穴,
[00:22:25] 我问你们扎过没有
[00:22:26] 我们都自己要扎的,
[00:22:27] 蒸酒这门课,
[00:22:28] 一定要扎自己穴位的,
[00:22:30] 内观,
[00:22:31] 外观,
[00:22:32] 合骨垂尺,
[00:22:33] 你就不扎,
[00:22:34] 你就不知道 挣扎 then,
[00:22:35] 你什么感觉呀
[00:22:36] 不是说你这个肢体是你的手,
[00:22:38] 扎择他的肉,
[00:22:39] Pero,
[00:22:40] 里面有那种针感了,
[00:22:41] 真敢
[00:22:42] 松还是紧
[00:22:44] 对方给你扎自己
[00:22:46] 马马的
[00:22:47] 速速的
[00:22:47] 扎到穴位了
[00:22:48] 多深
[00:22:49] 他是这样
[00:22:49] 他这个实践学科
[00:22:51] 实践学科
[00:22:52] 西条反射也是
[00:22:53] 有时候听完这个课之后
[00:22:54] 回来没事干
[00:22:55] 把腿放松
[00:22:56] 翘耳朵头放松
[00:22:57] 一定要放松
[00:22:57] 紧张不行
[00:22:58] 放松
[00:22:58] 翘
[00:22:59] 找个同学帮忙
[00:23:01] 拿个小东西
[00:23:02] 拿手这个小鱼记
[00:23:03] 先翘小骨子
[00:23:04] 下一条灯踢一下
[00:23:06] 就是这样
[00:23:06] 踢出来把自己吓一跳
[00:23:07] 其实有时候自己要放松
[00:23:09] 想着翘便能翘出来
[00:23:10] 这是咱们神经学上
[00:23:12] 一个典型的单头头反射
[00:23:13] 看看反射会完整不完整
[00:23:15] 这样一个话题
[00:23:17] 肌紧张
[00:23:18] 从一个的语言
[00:23:19] 角度上看过去
[00:23:21] 指的是缓慢持续的前拉肌腱式
[00:23:24] 引发的一个前拉反射
[00:23:25] 那么事儿表现不一样
[00:23:27] 因为间反射会表现一个动作
[00:23:30] 谁翘我
[00:23:30] 我踢谁
[00:23:31] 膝关节会踢出去
[00:23:33] 把小腿
[00:23:33] 肌紧张更多的时候
[00:23:35] 不表现动作
[00:23:36] 它只是这个肌肉
[00:23:37] 舒缩力稍微加强
[00:23:38] 表现为姿势
[00:23:39] 紧张一点
[00:23:40] 说根本你身体怎么那么紧张
[00:23:41] 你是牙疼
[00:23:42] 你是觉得考试考不过
[00:23:45] 害怕
[00:23:45] 人一紧张
[00:23:47] 精神紧张
[00:23:47] 肌肉就紧张
[00:23:48] 它是这个意思
[00:23:49] 所以这个肌紧张
[00:23:50] 是一个典型多突触反射
[00:23:52] 一会儿咱们看表格
[00:23:53] 它这样一个反射活动
[00:23:55] 表现的不是肌肉长度改变
[00:23:58] 仅仅是肌肉的张力改变
[00:24:00] 它是这么一个东西
[00:24:01] 这个叫肌紧张
[00:24:02] 所以这个间反射肌紧张
[00:24:04] 我们刚才举了个例子
[00:24:05] 膝跳反射
[00:24:06] 当老师讲课的时候
[00:24:07] 我愿意讲一个别的案例
[00:24:09] 比如说
[00:24:09] 你要在地的头听课
[00:24:10] 或者记得笔记
[00:24:11] 听课
[00:24:12] 嗯
[00:24:12] 说的不错
[00:24:13] 不合朱家道理
[00:24:14] 因为它是珠板
[00:24:15] 一边写
[00:24:16] 一边说头是有重量
[00:24:17] 低着头写笔记
[00:24:18] 记笔记
[00:24:19] 写字的时候
[00:24:20] 你头对于后面数机机
[00:24:22] 你看
[00:24:22] 就是个牵拉
[00:24:24] 持续缓慢的牵拉
[00:24:25] 一边低着头
[00:24:26] 这个时候
[00:24:27] 为了害怕脑袋装
[00:24:28] 给砸桌子
[00:24:29] 把桌子砸坏了
[00:24:29] 还能买新的桌子
[00:24:30] 数机机
[00:24:31] 就稍稍收缩一下
[00:24:33] 头不一定前仰后横
[00:24:35] 但是显然这个
[00:24:36] 低头的时候
[00:24:36] 颈部的肌肉
[00:24:37] 输出力就高了
[00:24:39] 所以低着头写字
[00:24:40] 而头不晃来晃去
[00:24:42] 没有长度变化
[00:24:43] 这有这样的变化
[00:24:44] 就是典型的肌紧张
[00:24:45] 有时候讲课
[00:24:47] 我老开玩笑
[00:24:47] 上课假装很认识记笔
[00:24:50] 其实是下午上课瞌睡了
[00:24:51] 终于忍不住了
[00:24:53] 哼
[00:24:53] 吓一跳
[00:24:54] 打了个盹
[00:24:56] 实在瞌睡忍不住
[00:25:00] 一下就睡着了
[00:25:02] 失去意识了
[00:25:03] 脑袋咚
[00:25:04] 突然往下一牵了
[00:25:06] 数机机登
[00:25:06] 就摸得丢一下
[00:25:07] 头部的重量
[00:25:09] 突然就实际上
[00:25:10] 是个快速
[00:25:10] 快速
[00:25:12] 一个重力的牵
[00:25:14] 了
[00:25:14] 的手
[00:25:14] 股司头机发生
[00:25:15] 快速的曲曲
[00:25:16] 收缩
[00:25:17] 长度改变
[00:25:18] 所以你看
[00:25:19] 甚至听课
[00:25:20] 记笔记
[00:25:21] 有人脑袋就晃一下
[00:25:22] 不用问
[00:25:23] 这哥们刚才睡着了
[00:25:24] 从肌紧张
[00:25:29] 和
[00:25:31] 间反射之间
[00:25:32] 发生一个转换
[00:25:34] 对谷歌即使持续
[00:25:37] 温和的牵拉
[00:25:39] 还是快速猛的一个牵拉
[00:25:41] 表现不一样
[00:25:43] 更多情况下
[00:25:43] 快速牵拉
[00:25:44] 发生间反射
[00:25:45] 缓慢持续牵拉
[00:25:47] 发射机
[00:25:48] 就会
[00:25:48] 紧张
[00:25:49] 实际上是这样
[00:25:50] 肌肉大多数都会这样
[00:25:52] 所以这张表格就很简单的阐述
[00:25:53] 一个进行
[00:25:54] 让间反射有个大气的
[00:25:55] 比较间反射的话
[00:25:56] 快速短暂
[00:25:57] 这么一个刺激
[00:25:58] 进行让是缓慢持续
[00:26:00] 间反射变形的一个单头主板
[00:26:02] 反应非常快
[00:26:03] 反应非常好
[00:26:04] 零点几秒就实现了
[00:26:05] 非常快
[00:26:06] 所以教材
[00:26:06] 我记得是在中枢内心的传播那写了一个零点九秒
[00:26:10] 零点九个毫秒左右
[00:26:11] 差不多中枢延搁传一次
[00:26:14] 零点五个毫秒
[00:26:15] 大概测一下间反射的话
[00:26:16] 就是零点九个毫秒左右就完成了
[00:26:19] 非常快
[00:26:20] 所以把它理解为是一个单头主板
[00:26:22] 缩外肌一个快速的收缩
[00:26:24] 缩外肌
[00:26:25] 肌紧张是一个缩外肌的缓慢
[00:26:27] 所以有人还认为这里边还有快机慢机纤维
[00:26:29] 但是教材目前不给这么细腻的分类
[00:26:32] 这个第三条不背也罢
[00:26:33] 知道是缩外肌就OK了
[00:26:35] 缩外肌
[00:26:36] 那么反射效应咱们得知道
[00:26:38] 我这专门加了两个东西
[00:26:39] 红颜色的
[00:26:40] 间反射是变形一个位向性收缩
[00:26:42] 这个词要背下来
[00:26:44] 就是表现为一个动作
[00:26:45] 进入长度
[00:26:46] 会
[00:26:46] 就是
[00:26:46] 远变
[00:26:47] 肌紧张更多的是长度不变
[00:26:48] 没有动作
[00:26:49] 只有姿势变化
[00:26:50] 称之为紧张性收缩
[00:26:52] 这两个词咱们得注意一下
[00:26:54] 间反射是背下收缩
[00:26:56] 肌紧张是紧张收缩
[00:26:58] 那么间反射在临床上
[00:27:00] 经常通过这么一个翘翘膝盖
[00:27:02] 看看反射我完整不完整
[00:27:03] 有没有高位中枢病变以后
[00:27:05] 对于肌紧张有些影响呀
[00:27:07] 紧张性这个反射维持姿势
[00:27:09] 协助中腹和外中身体系统疾病
[00:27:12] 也罢
[00:27:12] 这个地方
[00:27:12] 下面这条不背也罢
[00:27:14] 因为实际上今天为止在临床上呀
[00:27:16] 对于这样一些体核检查的认识
[00:27:18] 它的认识的角度和准确度
[00:27:22] 我们在重新思考
[00:27:24] 比方说
[00:27:24] 我们一直在反复强调的
[00:27:26] 那个巴宾茨基式症
[00:27:27] 实际上从现在来看
[00:27:29] 加阳血液太高
[00:27:30] 加阳性率
[00:27:31] 很多时候把它给病起掉了
[00:27:34] 巴宾茨基式症
[00:27:35] 这样就属于一个
[00:27:36] 紧修个恢复以后的
[00:27:38] 增强的屈肌反射
[00:27:40] 在前面那个
[00:27:41] 耐卡血的920人
[00:27:42] 我们看了一下
[00:27:43] 在解决
[00:27:44] 损伤以后
[00:27:44] 下肢者
[00:27:45] 一些健康的抗净
[00:27:46] 怀症
[00:27:47] 习症
[00:27:47] 后发
[00:27:48] 反患
[00:27:49] 是连接
[00:27:49] 这些内容
[00:27:50] 因为临床
[00:27:52] 强硬性太高
[00:27:53] 所以生理学者
[00:27:53] 有时候写一下
[00:27:54] 一个清醒的
[00:27:56] 健康的成年人
[00:27:59] 巴宾茨基式症
[00:28:00] 阴性
[00:28:00] 花脚牙子
[00:28:01] 它是往回缩
[00:28:02] 脚心仰仰往回勾
[00:28:03] 但是一个醉酒的
[00:28:06] 熟睡的
[00:28:07] 麻醉的
[00:28:08] 小朋友的
[00:28:09] 脑外伤的
[00:28:10] 各种各样的情况下
[00:28:12] 都容易发生阳性
[00:28:13] 特别是
[00:28:14] 小朋友
[00:28:15] 新生儿
[00:28:15] 婴幼儿
[00:28:16] 经常你跟他解答
[00:28:17] 他身体非常健康
[00:28:18] 但你一查
[00:28:19] 巴宾茨基式症
[00:28:20] 也是阳性
[00:28:21] 所以这个阳性
[00:28:21] 讲完就没太高
[00:28:22] 临床也不大
[00:28:23] 慢慢对
[00:28:24] 奥布哈姆式症
[00:28:25] 巴宾茨基式症
[00:28:26] 包括霍夫曼式症
[00:28:27] 等等
[00:28:27] 好多症
[00:28:28] 我们就慢慢
[00:28:30] 不谈半话
[00:28:30] 但是神经外科
[00:28:31] 和神经病学里边
[00:28:32] 对脑膜刺激症
[00:28:34] 掰掰脖子
[00:28:35] 把头部
[00:28:36] 它往起掰一掰
[00:28:37] 紧下墙纸
[00:28:37] 腿就会弯曲
[00:28:39] 这个布式症
[00:28:40] 科式症
[00:28:40] 紧下墙纸
[00:28:41] 脑膜刺激症
[00:28:42] 三类症
[00:28:42] 这个还是存在的
[00:28:44] 不管它
[00:28:45] 不管它
[00:28:46] 我这样讲一下
[00:28:47] 你听一听
[00:28:47] 往下走
[00:28:48] 既然是探讨一个反射
[00:28:50] 就有反射弧
[00:28:51] 就像这一节一开始说
[00:28:53] 肺的前端反射弧
[00:28:54] 是传入线位是一走
[00:28:55] 传出线位是支配
[00:28:57] 隔肌和内节肌的
[00:28:58] 运动神经
[00:28:59] 那么骨骼前端反射
[00:29:01] 反射过如何
[00:29:01] 这是咱们这一本书
[00:29:03] 最核心知识之一
[00:29:04] 感受器是激缩
[00:29:06] 传入线位
[00:29:07] 激缩作为感受器
[00:29:08] 就有反射过的传入版
[00:29:09] 所以长在基础上的
[00:29:11] 传入线位是
[00:29:11] 1A类和2类线位
[00:29:13] 中枢在激碎本身
[00:29:15] 和大脑无关
[00:29:16] 前两个版本是激碎完成的
[00:29:17] 传出线位就是
[00:29:18] 支配骨骼肌的
[00:29:20] 阿尔法神经的
[00:29:21] 运动传出线位
[00:29:22] 效应器
[00:29:23] 索外肌
[00:29:24] 特点刚才说过了
[00:29:26] 感受器和效应器
[00:29:27] 在同一块肌肉中
[00:29:28] 我们在传统的科技上中
[00:29:32] 有这么一个视野
[00:29:33] 就是视野的功功
[00:29:34] 我们用了很多年了
[00:29:35] 一直很多版本
[00:29:36] 叫它都用它
[00:29:37] 所以这就非常好的
[00:29:38] 阐述了一个
[00:29:39] 骨骼肌完成结构
[00:29:40] 这清白色的
[00:29:42] 就像写下了小船一样
[00:29:43] 这就是咱们说的
[00:29:44] 肌缩
[00:29:45] 肌缩里面写了一个
[00:29:46] 叫肌壳膜
[00:29:47] 你把这个肌缩
[00:29:49] 给它切开看
[00:29:51] 里边也是长的
[00:29:52] 一条条肌线位
[00:29:53] 所以你发现了没有
[00:29:54] 外面是粗粗的
[00:29:55] 一条条肌线位
[00:29:56] 你看这个肌线位
[00:29:57] 红色的一条条
[00:29:58] 瘦肉挺好吃
[00:29:59] 红烧
[00:29:59] 里边也是肌线位
[00:30:01] 所以这个肌缩外面
[00:30:03] 里边都肌线位
[00:30:03] 还有啥意思
[00:30:04] 所以咱们做了区分
[00:30:06] 前面说了
[00:30:09] 在肌缩外面这个
[00:30:10] 就叫缩外肌
[00:30:11] 实际上就是
[00:30:12] 你说的骨骼肌线位
[00:30:13] 那么肌缩里边
[00:30:14] 也是线位
[00:30:15] 因为长在里边了
[00:30:16] 叫缩内肌
[00:30:17] 这样区分的
[00:30:18] 第二个
[00:30:19] 微软视野图
[00:30:19] 看一个东西
[00:30:20] 你能发现
[00:30:21] 肌缩和缩外肌
[00:30:23] 是并联关系
[00:30:25] 我拿手比划
[00:30:26] 肌缩长在骨骼肌线位之间
[00:30:28] 是并联的
[00:30:29] 多听一句话
[00:30:30] 二腱器官
[00:30:31] 是长在肌线位两头的
[00:30:33] 是串联
[00:30:33] 腱器官和肌线位
[00:30:35] 是串联关系
[00:30:36] 肌缩和肌线位
[00:30:38] 是并联关系
[00:30:39] 这是第一个
[00:30:40] 第二个注意
[00:30:42] 咱们这里边
[00:30:43] 这个视野
[00:30:44] 都画了四条孙力经
[00:30:45] 一二三四四条
[00:30:46] 中间这个是缩形的
[00:30:48] 合点线位
[00:30:48] 边上是这个
[00:30:49] 粗细差不多均匀
[00:30:50] 叫合点线位
[00:30:51] 先不说这个分类了
[00:30:53] 先来看一下
[00:30:53] 随便找一条
[00:30:54] 比如找到最边的一条
[00:30:55] 找这一条
[00:30:56] 能看见手表
[00:30:57] 这个白色手表在这动
[00:30:58] 就这一只头
[00:30:59] 你发现了没有
[00:31:00] 这个孙力肌线位
[00:31:01] 两头小正常肌线位
[00:31:03] 是红色横弯肌
[00:31:04] 能吃瘦肉
[00:31:06] 中间一看一串串
[00:31:07] 一串全这东西
[00:31:08] 什么意思
[00:31:09] 这要听一下
[00:31:10] 实际上每一条
[00:31:11] 梭内肌纤维
[00:31:13] 都是三段
[00:31:14] 就像夏天好多年
[00:31:16] 穿这个T恤
[00:31:16] 短袖挺漂亮
[00:31:18] 你比如说三叶草
[00:31:19] 是吧
[00:31:19] 这个T恤的身子
[00:31:21] 比如说是灰白色的
[00:31:23] 袖子是深蓝色的
[00:31:24] 叫撞色色
[00:31:25] 袖子和身子颜色不一样
[00:31:27] 缩内肌有点撞色
[00:31:29] 是二的意思
[00:31:29] 缩内肌的两头
[00:31:31] 还表现为横弯肌
[00:31:34] 可以收缩的
[00:31:35] 正常肌线位
[00:31:36] 所以
[00:31:36] 但是中间这儿
[00:31:38] 你看就特化了
[00:31:39] 因为什么
[00:31:39] 因为你知道
[00:31:40] 肌缩什么
[00:31:41] 肌缩是一个感受器
[00:31:42] 肌缩外面一层膜
[00:31:45] 这化了里边很多条肌线位
[00:31:46] 注意
[00:31:47] 并不是缩内肌本身
[00:31:49] 就全是感受装置
[00:31:50] 要注意不是啊
[00:31:51] 肌缩作为长度感受
[00:31:53] 哪一部分才能感受长度
[00:31:55] 实际上缩内肌的中间这一小块
[00:31:57] 两边依然是具有收缩能力的
[00:32:01] 肌线位
[00:32:02] 肌线位
[00:32:03] 感受装置
[00:32:04] 肌线位
[00:32:05] 脑补一下
[00:32:06] 说得
[00:32:07] 有点像肌线位
[00:32:07] 肌线位
[00:32:07] 有三个小皮圈
[00:32:08] 拉一个环
[00:32:09] 能收缩
[00:32:10] 能感受
[00:32:11] 能收缩
[00:32:13] 这个结构很重要
[00:32:15] 所以刚才说的一句话
[00:32:16] 你体会一下
[00:32:17] 肌缩和缩外肌是并联的
[00:32:22] 缩内肌和感受装置是串联的
[00:32:26] 缩内肌感受缩内肌
[00:32:29] 这儿听懂了吧
[00:32:30] 我给你比划
[00:32:31] 你看啊
[00:32:32] 缩内肌感受缩内肌
[00:32:35] 长度感受装置
[00:32:38] 只是缩内肌的一部分
[00:32:40] 长在缩内肌的中间部分
[00:32:43] 两头依然会收缩
[00:32:44] 要会收缩就有意思了
[00:32:47] 收缩
[00:32:49] 感受
[00:32:51] 收缩
[00:32:51] 三段啊
[00:32:52] 两个拇指之间
[00:32:53] 我比划啊
[00:32:54] 拇指和食指之间是可以收缩的缩内肌
[00:32:56] 两个拇指之间是感受装置
[00:32:58] 你看
[00:32:59] 我的地方正好那个东西
[00:33:00] 找个小皮圈什么的
[00:33:01] 勾这就好了
[00:33:02] 找个小皮圈
[00:33:03] 脑补一下
[00:33:04] 实际上学解剖
[00:33:06] 你学过一个细节
[00:33:07] 每一块骨骼肌
[00:33:09] 都是两个点构成的
[00:33:10] 定点和动点
[00:33:12] 我们在感觉器官这一次
[00:33:14] 在瞳孔的
[00:33:16] 这个叫神经支配
[00:33:20] 专门讲了一下
[00:33:21] 弥足神经单肌能纤维支配的是瞳孔
[00:33:24] 中间那一圈
[00:33:25] 环形扩跃肌
[00:33:26] 这个肌肉越收缩瞳孔越小
[00:33:28] 胶杆支配的是
[00:33:30] 扩跃肌外面那层浮尸状的
[00:33:32] 瞳孔散打肌
[00:33:33] 胶杆是您兴奋
[00:33:34] 瞳孔散打肌
[00:33:37] 拿手比划是拇指向
[00:33:39] 食指边靠拢
[00:33:40] 越拉
[00:33:41] 瞳孔越大
[00:33:43] 在那就看
[00:33:43] 看
[00:33:44] 在瞳孔这
[00:33:45] 这个散打肌
[00:33:46] 定点在外圈
[00:33:47] 动点在内圈
[00:33:49] 收缩起来肌肉怎么收缩的
[00:33:50] 是动点往近点方向收缩
[00:33:52] 越拉
[00:33:53] 瞳孔越大
[00:33:54] 其实孙内肌这一样
[00:33:55] 你脑补一下
[00:33:56] 孙内肌
[00:33:57] 你通俗理解
[00:33:58] 它两头会收缩
[00:33:59] 中间只是感受光之
[00:34:01] 你脑补一下
[00:34:02] 如果
[00:34:03] 孙内肌收缩
[00:34:05] 这样收缩一下
[00:34:08] 两个拇指距离是不是就大了
[00:34:12] 可以吧
[00:34:12] 把两个食指做肌缩的定点
[00:34:16] 肌缩两头
[00:34:17] 把两个拇指这两个位置
[00:34:19] 我拿鼠标给你比划这两个位置
[00:34:20] 作为动点
[00:34:21] 肌肉是不是这样收缩的
[00:34:22] 这个要听懂的话
[00:34:28] 咱们得讲一句话了
[00:34:30] 设想
[00:34:30] 想让肌缩兴奋
[00:34:33] 我有两个办法
[00:34:35] 第一个像咱们刚才课件写的
[00:34:38] 前两段是怎么产生的
[00:34:40] 前拉肌肉
[00:34:40] 你看啊
[00:34:45] 视力图看见了
[00:34:47] 肌缩是一并列方
[00:34:48] 长在肌斜围之间的
[00:34:50] 我要从这两头挂着肌肉
[00:34:51] 把它屏幕上往上一拉
[00:34:53] 不但把肌
[00:34:55] 这个正常的肌斜围拉
[00:34:56] 长了
[00:34:56] 其实说这个肌缩
[00:34:57] 是不是我也拉长了
[00:34:59] 拉长的时候你看啊
[00:35:00] 肌缩长这个样子
[00:35:01] 要是在外面拉长的时候
[00:35:03] 是不是这样动
[00:35:03] 你注意拇指和食指的距离
[00:35:06] 这个动作是不动的
[00:35:07] 你拉肌肉长了
[00:35:09] 它自然就长了
[00:35:11] 实际上前段反射
[00:35:12] 就是这样实现的
[00:35:13] 你一拉肌肉
[00:35:14] 把两个拇指之间
[00:35:15] 举的给拉大了
[00:35:16] 那么两个拇指之间
[00:35:17] 就是咱们说的这个
[00:35:18] 小小小花花
[00:35:19] 小弹花一样
[00:35:20] 就感受光之
[00:35:21] 是不是就兴奋了
[00:35:22] 拉肌肉会让肌缩兴奋
[00:35:24] 这就叫前段反射
[00:35:25] 现在出来第二个
[00:35:26] 麻烦了
[00:35:27] 因为我们专门研究的
[00:35:28] 孙内基
[00:35:28] 孙内基和感受状
[00:35:30] 这是个串联关系
[00:35:31] 我要不拉肌肉
[00:35:33] 感受状就可以兴奋
[00:35:35] 看着谁不说话
[00:35:37] 我不拉肌肉
[00:35:38] 我要让孙内基
[00:35:39] 他有收缩能力
[00:35:40] 我让上面往上收缩
[00:35:42] 下面往下收缩
[00:35:44] 不拉长肌肉的时候
[00:35:47] 让孙内基变短
[00:35:49] 肌缩这儿可以兴奋
[00:35:51] 缩外肌变长
[00:35:54] 拉长了
[00:35:56] 缩外肌变长
[00:35:58] 肌缩会兴奋
[00:35:59] 缩外肌变长
[00:36:00] 孙内基变短
[00:36:02] 肌缩也会兴奋
[00:36:03] 有没有
[00:36:05] 一长一短
[00:36:05] 一阴一阳
[00:36:06] 谁听到了
[00:36:07] 把它打到弹幕上
[00:36:09] 给一个结论
[00:36:11] 想让肌缩兴奋
[00:36:13] 有两个办法
[00:36:14] 一拉长肌肉
[00:36:15] 二让孙内基收缩
[00:36:17] 孙内基怎么会收缩
[00:36:18] 这才终于发现
[00:36:19] 缩外肌是α神经元支配的
[00:36:21] 孙内基是γ
[00:36:23] 想让孙内基这样收缩一下
[00:36:25] 怎么办
[00:36:26] 刺激γ神经元
[00:36:28] 你刺激γ神经元
[00:36:29] 这头往这儿收缩
[00:36:30] 这头往这儿收缩
[00:36:35] 想让肌缩变短
[00:36:35] 肌缩性有两个办法
[00:36:37] 一拉长肌肉
[00:36:38] 二刺激γ
[00:36:40] 但注意
[00:36:43] 这地方写了γ传出纤维
[00:36:45] 你看去哪里了
[00:36:47] 去红色部分
[00:36:49] 没有去γ
[00:36:49] 你这听一下
[00:36:51] 肌缩上的
[00:36:52] 或者孙内基上的
[00:36:54] 孙内基上的
[00:36:55] 不信你蒙着
[00:36:56] 他一会写的弹幕上
[00:36:57] 这太难了
[00:36:58] 好多人纠结
[00:36:59] 体会一下
[00:36:59] 孙内基上的
[00:37:01] 长了两类不同的神经纤维
[00:37:03] 两类纤维
[00:37:04] 中间感受光之
[00:37:07] 长的是传入纤维
[00:37:08] 是一类
[00:37:09] 一类
[00:37:09] 就一类
[00:37:11] 二类
[00:37:12] 你看这是二类
[00:37:13] 这是二类
[00:37:14] 这是一类
[00:37:17] 感受光之上
[00:37:19] 长的是传入纤维
[00:37:21] 孙内基能收缩
[00:37:23] 孙内基纤维
[00:37:24] 长的是谁
[00:37:24] 是传出纤维
[00:37:26] 感受光之
[00:37:28] 讲传入纤维
[00:37:29] 去组成
[00:37:30] 天天发出反射弧
[00:37:33] γ是纤维传出纤维
[00:37:35] 去哪里了
[00:37:36] 去肌缩里边
[00:37:36] 孙内基
[00:37:37] 可以收缩部分
[00:37:38] γ传出
[00:37:41] 往肌缩两头走
[00:37:43] 感受光之
[00:37:44] 传入
[00:37:45] 在肌缩中间
[00:37:46] 往中处传
[00:37:47] 孙内基上
[00:37:50] 长了两类
[00:37:51] 不同的神经纤维
[00:37:53] 组成千山万世湖的
[00:37:55] 传入纤维
[00:37:56] 和γ神经元
[00:37:58] 支配孙内基的
[00:38:00] 传出纤维
[00:38:01] 两类
[00:38:03] 我刺激下γ
[00:38:04] 让γ放放电
[00:38:06] γ就会通过
[00:38:08] 神经肌肉接头的方式
[00:38:09] 让孙内基
[00:38:10] 向往往下收缩
[00:38:12] 向往往上收缩
[00:38:13] 看起来肌缩差都没有变
[00:38:15] 但里边短了
[00:38:16] 所以
[00:38:19] γ双支就兴奋了
[00:38:23] 一种解单粗暴
[00:38:24] 把肌肉拉长
[00:38:26] 你看
[00:38:28] 双支是不是长了
[00:38:30] γ双支长了
[00:38:31] 一种是我没有拉肌肉
[00:38:32] 我只是刺激下γ
[00:38:34] γ双支是不是也长了
[00:38:38] 问个问题
[00:38:39] 就通路的结构来说
[00:38:43] 拉肌肉的结构解单
[00:38:44] 还是刺激γ结构解单
[00:38:47] 拉肌肉
[00:38:48] 为什么
[00:38:49] 你把肌肉拉长的时候
[00:38:50] 直接就把γ双支拉长了
[00:38:52] 而你刺激γ
[00:38:53] 你看
[00:38:54] 刺激γ
[00:38:55] γ得通过收缩孙内基
[00:38:58] 进而拉长感受状质
[00:39:01] 有没有体会
[00:39:04] 牵拉肌肉对肌缩是直接刺激
[00:39:08] 刺激γ升级源
[00:39:10] 对肌缩是间接刺激
[00:39:13] 是通过孙内基收缩
[00:39:14] 进而拉长感受状质的
[00:39:18] 一到谷歌级现场展示
[00:39:21] 孙内基缩外肌
[00:39:22] 是吧
[00:39:23] 传入线位传出线位
[00:39:25] 拉长肌肉还是刺激γ
[00:39:27] 它全是一缝为二
[00:39:28] 一缝为二
[00:39:29] 串联还是并联
[00:39:30] 再背一下
[00:39:31] 肌缩和缩外肌
[00:39:32] 并联
[00:39:33] 腱器官和缩外肌
[00:39:35] 串联
[00:39:35] 突然拉肌肉
[00:39:37] 腱反射
[00:39:37] 慢慢拉肌肉
[00:39:39] 肌紧张
[00:39:39] 全是一缝为二的
[00:39:41] 好的同学不是智力不够
[00:39:42] 也不是记忆力不好
[00:39:43] 他一听这个时候他烦
[00:39:45] 什么烦
[00:39:46] 哎
[00:39:46] 你讲那么啰嗦干嘛呢
[00:39:47] 你跟我说什么
[00:39:48] 现在反正你让他睡觉课
[00:39:50] 可是赶紧批手
[00:39:50] 我也不听你的课
[00:39:51] 他烦了
[00:39:52] 你咋又烦了
[00:39:53] 你所以为什么强调说学习啊
[00:39:57] 是定律
[00:39:58] 如果是李博文讲的一节课
[00:40:00] 就想讲一句话
[00:40:01] 拿一句话
