# 源音频：P25-生理学本科教学及考研基础课 p25 呼吸-第一节（肺通气的动力）.m4a
# 时长：2998s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:01] 同学们大家好,我是生理教育室的刘东宝老师,非常高兴能够在课堂上和同学们见面。
[00:21:42] 你血管瓶子挂得高高的,
[00:21:44] 没有那个液面的插指,
[00:21:46] 你把血就灌不到进管血管去,
[00:21:48] 血输完之后,
[00:21:50] 你还空气进去,
[00:21:51] 不把血返回到管子里,
[00:21:53] 我们叫回血,
[00:21:54] 不把血回到管子里,
[00:21:56] 就不错了,
[00:21:57] 你还行空气,
[00:21:58] 但是,
[00:21:59] 你学完上一章内容发现了没有,
[00:22:00] 如果你给一个人从脖子里输液,
[00:22:02] 输完了不拔光,
[00:22:04] 这个空气可是能进去,
[00:22:06] 为什么,
[00:22:07] 一有心防,
[00:22:08] 腹牙吸引,
[00:22:09] 把血往回超过,
[00:22:10] 进口的颈部的颈脉,
[00:22:12] 压力比打气压低,
[00:22:15] 除非在脖子上输液,
[00:22:17] 输完之后不及时拔光,
[00:22:18] 能把空气抽进去,
[00:22:20] 腿上你扎高管子输液,
[00:22:21] 那最后把血就回到管子里去,
[00:22:24] 你体会这个管道两道的压力差值,
[00:22:26] 那么,
[00:22:28] 通气的直接动力来自于肺泡内压和打气压比较差值,
[00:22:31] 这个差值怎么建立起来的,
[00:22:33] 我们称之为原动力,
[00:22:35] 怎么建立的,
[00:22:37] 我从互动发现,
[00:22:38] 解剖血血过呼吸机,
[00:22:40] 包括胳膊肌,
[00:22:41] 内肩肌,
[00:22:42] 甚至包括腹部的呼吸机,
[00:22:44] 腹肌,
[00:22:45] 包括寻缩乳头肌颈部的一些肌群都参与,
[00:22:48] 咱们知道,
[00:22:49] 能够完成呼吸的这个活动,
[00:22:52] 最主要的肌肉是骼肌,
[00:22:55] 另外还有内肩内肌,
[00:22:58] 内肩外肌,
[00:22:59] 内肩外肌称之为吸气肌,
[00:23:00] 内肩内肌称之为呼气肌,
[00:23:02] 但是大多数人,
[00:23:04] 他的腹肌,
[00:23:05] 腹部的肌肉,
[00:23:06] 或多或少,
[00:23:07] 会辅助着呼吸,
[00:23:09] 会辅助,
[00:23:10] 当然,
[00:23:11] 在跑步,
[00:23:12] 呼吸困难情况下,
[00:23:13] 颈部,
[00:23:14] 你发现咱们跑步的时候,
[00:23:15] 张开嘴,
[00:23:16] 使劲呼吸,
[00:23:18] 脖子上颈部的肌肉都看见收缩出障,
[00:23:21] 对了,
[00:23:22] 辅助肌,
[00:23:23] 但是你要有个印象,
[00:23:24] 什么印象,
[00:23:25] 身体情况下,
[00:23:26] 呼吸运动主要靠谁实现的,
[00:23:28] 骼肌,
[00:23:29] 最主要的吸气肌,
[00:23:31] 内肩内外肌也很重要,
[00:23:33] 接着往下读,
[00:23:34] 呼吸运动,
[00:23:35] 这是咱们这一章内容一个重要的概念,
[00:23:37] 背下来,
[00:23:38] 什么叫呼吸运动,
[00:23:39] 呼吸肌收缩出障,
[00:23:41] 骼肌收缩出障,
[00:23:42] 是把内肩外肌收缩出障,
[00:23:44] 呼吸肌的收缩出障,
[00:23:46] 所引起的胸阔,
[00:23:47] 节律性的扩大,
[00:23:49] 和缩小,
[00:23:50] 称之为呼吸运动,
[00:23:52] 包括吸气运动,
[00:23:54] inspiratory movement,
[00:23:56] 和呼气运动,
[00:23:58] expiratory movement,
[00:24:00] 这个单词能被背,
[00:24:01] 不能被拉倒,
[00:24:02] 那么呼吸叫respiratory,
[00:24:04] 听过就完了,
[00:24:05] 吸气运动,
[00:24:07] 主要吸气肌刚才说过了,
[00:24:08] 骼肌,
[00:24:09] 内肩外肌,
[00:24:10] 腹肌,
[00:24:11] 其中的吸气肌包括,
[00:24:12] 斜角肌,
[00:24:13] 心锁骨的呼气,
[00:24:14] 但是这些你注意,
[00:24:15] 它不参与偏近呼气,
[00:24:16] 坐这儿听课,
[00:24:17] 在家里边坐着看电视,
[00:24:18] 这些肌肉是不参与的,
[00:24:20] 但是一旦跑步,
[00:24:21] 一旦觉得,
[00:24:22] 看到一个精损片,
[00:24:23] 很紧张,
[00:24:24] 还用力呼吸,
[00:24:25] 它就参与了,
[00:24:26] 就参与了,
[00:24:27] 呼气运动,
[00:24:29] 主要是呼气肌,
[00:24:31] 包括腹肌,
[00:24:32] 和内肌,
[00:24:34] 但是偏近呼气,
[00:24:36] 似乎也不参与,
[00:24:37] 所以大二的时候,
[00:24:38] 咱们这一次,
[00:24:39] 学习生理学,
[00:24:40] 背了一句话,
[00:24:41] 平静的情况下,
[00:24:43] 吸气是主动的,
[00:24:46] 而呼气是被动的,
[00:24:48] 吸气需要隔肌,
[00:24:49] 内肌外肌收缩,
[00:24:50] 消耗能量,
[00:24:51] 呼气的时候,
[00:24:52] 只需要吸气肌舒张,
[00:24:54] 而一般不需要呼气肌收缩,
[00:24:58] 它就实现了,
[00:24:59] 这叫平静呼吸,
[00:25:01] 呼气运动,
[00:25:03] 刚才谈过了,
[00:25:04] 接着大概看这个过程,
[00:25:06] 吸气过程怎么实现的,
[00:25:07] 隔肌,
[00:25:08] 内肌,
[00:25:09] 内肌外肌收缩,
[00:25:10] 隔肌你知道,
[00:25:11] 像这张画的示意图一样,
[00:25:12] 它是在咱们胸腔和腹腔之间,
[00:25:15] 一个向上隆起的,
[00:25:17] 你能从侧面看,
[00:25:20] 是后面低,
[00:25:21] 前面高,
[00:25:23] 从正面看,
[00:25:24] 这是这个叫,
[00:25:26] 这个隔肌,
[00:25:27] 红色这个部分,
[00:25:28] 这旁边是肋骨,
[00:25:29] 我们这个角很尖锐,
[00:25:31] 叫肋隔角,
[00:25:32] 肋隔角,
[00:25:33] 实际上从侧面看,
[00:25:35] 是后面,
[00:25:36] 肋脊角,
[00:25:37] 脊柱这部分,
[00:25:38] 肋脊角低,
[00:25:39] 前面浮在在肩托,
[00:25:41] 上方这个地方,
[00:25:42] 从正面看,
[00:25:43] 是两边低,
[00:25:44] 中间高,
[00:25:45] 那么这块肌肉收缩怎么收缩,
[00:25:47] 它往下拉,
[00:25:48] 隔肌内肌外肌收缩,
[00:25:52] 胸阔扩大,
[00:25:53] 肺容积增大,
[00:25:54] 诶,
[00:25:55] 这里边刚才说了,
[00:25:56] 带来一个问题,
[00:25:57] 胸阔一变大以后,
[00:25:58] 肺脏凭什么停滤的,
[00:26:00] 看,
[00:26:01] 胸脖呛得脏丝病病的,
[00:26:02] 让在一起啊,
[00:26:03] 一会咱们就专门谈到了,
[00:26:05] 提前体内一下,
[00:26:06] 胸阔一变化,
[00:26:07] 肺脏为什么也停滤的,
[00:26:08] 刚才说,
[00:26:09] 胸阔说的拿了个,
[00:26:10] 罐头皮儿,
[00:26:11] 把火罐,
[00:26:12] 它吸着肺脏,
[00:26:13] 它一走,
[00:26:14] 哎,
[00:26:15] 腹牙吸引,
[00:26:17] 拉着气走了,
[00:26:18] 设想一下,
[00:26:19] 一旦这罐头皮儿破了,
[00:26:20] 把火罐漏气,
[00:26:21] 那么胸脾走的时候,
[00:26:22] 肺脏还走不走,
[00:26:23] 就不走了,
[00:26:24] 那个,
[00:26:25] 破了,
[00:26:26] 我们在临床上,
[00:26:27] 就叫气胸,
[00:26:28] 胸膜腔,
[00:26:29] 有气,
[00:26:30] 嗯,
[00:26:31] 先听一下,
[00:26:32] 慢慢往下翻,
[00:26:33] 好多内容是,
[00:26:34] 来回学习慢慢想明白的,
[00:26:36] 吸气机,
[00:26:37] 呼气机,
[00:26:38] 嗯,
[00:26:39] 平静呼吸时,
[00:26:41] 刚才口头说过,
[00:26:42] 再读一下,
[00:26:43] 吸气是主动过程,
[00:26:45] 呼气则是被动发生的,
[00:26:47] 什么意思啊,
[00:26:48] 平静呼吸的时候,
[00:26:49] 吸气需要隔气内接外接参与,
[00:26:51] 呼气时候不需要,
[00:26:52] 呼气只需要隔气内接外接,
[00:26:54] 一舒张就完了,
[00:26:55] 而不需要内接内接呀,
[00:26:56] 腹肌呀,
[00:26:57] 不需要,
[00:26:58] 但是用力呼吸的时候,
[00:26:59] 不管吸气还是呼气,
[00:27:01] 都是主动发生的,
[00:27:03] 这是咱们期末考试一个敏感的点,
[00:27:05] 你要知道,
[00:27:06] 有平静呼吸,
[00:27:07] 有平静呼吸,
[00:27:08] 用力呼吸,
[00:27:09] 用力也呼不了的,
[00:27:10] 那叫呼吸困难,
[00:27:12] 实际上,
[00:27:13] 就是不学医学你也明白,
[00:27:15] 呼吸困难这个词,
[00:27:16] 不少见,
[00:27:17] 晚上做萌萌姐这个生理学期末考试,
[00:27:19] 就还没跟人讲课就考试呀,
[00:27:21] 吓得气都出不来,
[00:27:23] 呼吸困难,
[00:27:24] 接着往下读一个基本概念,
[00:27:29] 所以有时候,
[00:27:30] 作为老师呀,
[00:27:31] 给大二小朋友讲课,
[00:27:32] 还是很好玩的,
[00:27:33] 想想自己年轻时候学习很纠结,
[00:27:36] 运动形式,
[00:27:37] 呼气运动形式,
[00:27:38] 平静呼吸,
[00:27:39] 用力呼吸,
[00:27:40] 呼吸困难,
[00:27:41] 下来还有什么呀,
[00:27:43] 按照呼吸的类型,
[00:27:45] 或者叫呼吸的外在表现,
[00:27:47] 又分为胸式,
[00:27:48] 腹式,
[00:27:49] 和和式,
[00:27:50] 什么叫胸式呼吸呀,
[00:27:51] 内间肌收缩为主,
[00:27:53] 这样的话,
[00:27:54] 内间外肌收缩胸臂,
[00:27:55] 高抬,
[00:27:56] 内间内肌收缩,
[00:27:57] 胸臂往下走,
[00:27:58] 一看见呼吸,
[00:27:59] 你想这个,
[00:28:00] 比如刚跑完800米,
[00:28:01] 往这一站,
[00:28:02] 拿个小手绢,
[00:28:03] 拿个小书页,
[00:28:05] 扇着两回,
[00:28:06] 这个样子,
[00:28:07] 这个样子,
[00:28:08] 胸式呼吸,
[00:28:09] 是内间肌活动为主的,
[00:28:11] 腹式呼吸是隔肌为主,
[00:28:13] 看见腹臂,
[00:28:15] 起伏,
[00:28:16] 肚子,
[00:28:17] 吸气,
[00:28:18] 呼气,
[00:28:19] 胸部感觉很平衡,
[00:28:20] 这个样子,
[00:28:23] 你比如说王毅乐器的同学,
[00:28:24] 就知道腹式呼吸,
[00:28:26] 那么生活中,
[00:28:27] 咱们每一个正常人,
[00:28:29] 大多数都属于缓和式呼吸,
[00:28:31] 隔肌和内肌都才弥,
[00:28:33] 但是你非要区分一下,
[00:28:35] 可以,
[00:28:36] 体会一下,
[00:28:37] 女生,
[00:28:38] 女性,
[00:28:39] 更倾向于胸式呼吸,
[00:28:40] 男性,
[00:28:41] 因为需要做更多的重体力活动,
[00:28:43] 一晚间进化,
[00:28:44] 男性更多是腹式呼吸,
[00:28:46] 男生偶尔也有,
[00:28:48] 也会这样的,
[00:28:49] 但男生比较少,
[00:28:50] 但女生一般比这样,
[00:28:51] 有时候同学们也老问,
[00:28:52] 好奇,
[00:28:53] 说说男生和女生不一样,
[00:28:54] 老师,
[00:28:55] 女性的这样一个遗传,
[00:28:57] 是为将来当妈妈做准备,
[00:28:59] 妊娠怀孕的时候,
[00:29:01] 子宫带胎儿在肚子越来越大,
[00:29:04] 顶着隔肌上移,
[00:29:05] 你想靠腹臂,
[00:29:07] 肚子里装着个胎儿,
[00:29:08] 肚子鼓得远远的,
[00:29:09] 呼吸不了,
[00:29:10] 那么这时候妈妈只能靠胸式,
[00:29:12] 不影响腹腔胎儿的,
[00:29:14] 应该叫生长发育,
[00:29:16] 所以女性需要胸式呼吸,
[00:29:19] 男性一定要干重体力活,
[00:29:21] 腹式呼吸,
[00:29:22] 吸入的气体量更大,
[00:29:24] 机体供氧更充分,
[00:29:27] 是这样,
[00:29:28] 其实这个区别还是比较明显,
[00:29:31] 但是我们听过就完了,
[00:29:33] 正常人应该是混合式呼吸,
[00:29:36] 只是说男性以腹式为主,
[00:29:38] 女性以胸式为主,
[00:29:40] 胸式呼吸的一组,
[00:29:41] 仅此而已,
[00:29:42] 只是一个呼吸的,
[00:29:43] 它的运动形式和外在表现形式,
[00:29:46] 平静呼吸,
[00:29:47] 用力呼吸,
[00:29:48] 呼气困难,
[00:29:49] 或者是腹式,
[00:29:50] 胸式,
[00:29:51] 缓和式,
[00:29:52] 有这么个概念,
[00:29:53] 另外一个就是所谓的肺内压,
[00:29:57] 肺内压严格意义上讲,
[00:29:59] 就叫肺泡内部的压力,
[00:30:01] 正常呀,
[00:30:02] 正负的一到两个毫米,
[00:30:03] 所以同学们这要注意一下,
[00:30:05] 在呼吸生理学里边,
[00:30:06] 这个正负,
[00:30:07] 注意0是谁,
[00:30:08] 0可不是0,
[00:30:09] 说0不是0是1吧,
[00:30:11] 老师,不,
[00:30:12] 0就是那个大气压,
[00:30:14] 760毫米,
[00:30:15] 换句话说,
[00:30:16] 761,
[00:30:17] 我就是你正1毫米,
[00:30:18] 那么759,
[00:30:20] 就负一个毫米,
[00:30:21] 对了,
[00:30:22] 所以这个正负毫米,
[00:30:23] 我们都注意,
[00:30:24] 它的参照系不是0,
[00:30:25] 是大气压,
[00:30:27] 那么这个肺泡内部的压力,
[00:30:30] 是可以变化的,
[00:30:31] 怎么能影响它呼吸的快慢,
[00:30:34] 生前,
[00:30:35] 包括气道的通畅程度,
[00:30:37] 可能这个快慢,
[00:30:38] 肺内气体压力变化大,
[00:30:41] 生前,
[00:30:42] 也好理解,
[00:30:43] 气道的通畅程度,
[00:30:45] 就有同学刚进入大小就反应不过来,
[00:30:47] 你这样设想想,
[00:30:48] 捏住鼻子,
[00:30:49] 用力吸气,
[00:30:50] 气道给堵住了,
[00:30:55] 肺内压力很低,
[00:30:58] 比正常压低得多,
[00:31:00] 用力做吸气或呼气动作,
[00:31:03] 又紧闭身门,
[00:31:05] 只见肺内压力,
[00:31:08] 降低增高,
[00:31:10] 不见气体进出,
[00:31:13] 所以人家说上学习就好,
[00:31:14] 说气道不通畅,
[00:31:15] 说怎么不通畅了,
[00:31:16] 你摸一下,
[00:31:17] 捏住鼻子,
[00:31:18] 吸气可以升达,
[00:31:20] -100-30毫米,
[00:31:22] 呼气可以达到90-140毫米,
[00:31:24] 设想一下,
[00:31:25] 你捏住鼻子,
[00:31:26] 使劲吹气,
[00:31:27] 一下脸就憋红了,
[00:31:29] 就是它了,
[00:31:30] 寻香内压很高,
[00:31:33] 很高,
[00:31:34] 一会咱们到后面再详细谈,
[00:31:36] 那么这个图是非常重要的,
[00:31:39] 伴随着吸气机,
[00:31:40] 呼气机收缩出章,
[00:31:42] 吸气,
[00:31:43] 呼气,
[00:31:44] 运动过程中,
[00:31:45] 你看,
[00:31:46] 肺内压先下降,
[00:31:47] 中间领,
[00:31:48] 咱们说这是大气压,
[00:31:49] 把它作为领来参照,
[00:31:51] 那么一吸气,
[00:31:52] 肺内压就低,
[00:31:53] 低了以后,
[00:31:54] 大气压不动,
[00:31:55] 肺内压低了,
[00:31:56] 气体就留不住,
[00:31:58] 流流伴随着气体进入,
[00:32:00] 肺内越来越多,
[00:32:01] 把肺的内部慢慢充满了,
[00:32:03] 所以它的压力就不再继续低,
[00:32:07] 气体越来越多,
[00:32:08] 肺内压就慢慢恢复,
[00:32:09] 设想一下,
[00:32:10] 什么时候肺庖内压等于大气压了,
[00:32:13] 大气和肺庖之间没有压力差值,
[00:32:16] 刚才专门讲,
[00:32:17] 管子两端,
[00:32:18] 没有压力差值了,
[00:32:19] 气体就不动了,
[00:32:20] 吸气就停止了,
[00:32:22] 接着开始,
[00:32:24] 吸气急舒张,
[00:32:26] 或者呼气急收缩,
[00:32:27] 它把肺脏往回气气一挤,
[00:32:29] 你想鼠里脑补一下,
[00:32:30] 拿个气球,
[00:32:31] 拿鼠一挤它,
[00:32:32] 气滋就放完了,
[00:32:34] 为什么能放出来,
[00:32:35] 肺内压这个时候就高于大气压,
[00:32:37] 气往外放,
[00:32:38] 你往回压肺是一定程度往回在压,
[00:32:41] 压着肺的时候气体一直往外走,
[00:32:43] 你把肺压到一定时候不再压了,
[00:32:45] 气体溜溜溜溜溜,
[00:32:46] 越流肺脏内部,
[00:32:48] 气体越少,
[00:32:49] 气体越少肺脏内部压力越低,
[00:32:51] 什么时候肺脏内部压力和大气压相等了,
[00:32:54] 你压着不动,
[00:32:55] 肺脏内外没有大气压差值了,
[00:32:58] 没有压力差值了,
[00:32:59] 那么气流就停止了,
[00:33:00] 所以体会一下,
[00:33:03] 体会一下,
[00:33:04] 在吸气末,
[00:33:06] 在呼气末这些节点的时候,
[00:33:10] 肺内压等于大气压,
[00:33:14] 再体会一下,
[00:33:15] 吸了半口气,
[00:33:16] 再吸,
[00:33:18] 吸气也好,
[00:33:19] 呼气也好,
[00:33:20] 任何一个点,
[00:33:21] 只要保持气道通畅,
[00:33:24] 又让吸气呼气动作停止下来,
[00:33:29] 气道是通畅的,
[00:33:31] 气流又是停止的,
[00:33:33] 那我就说这一刻,
[00:33:34] 我的肺泡内压一定等于大气压,
[00:33:38] 能理解不?
[00:33:39] 因为你要不相等,
[00:33:40] 还有压力差值,
[00:33:41] 气体必然停不下来,
[00:33:43] 人可以随意控制呼吸运动,
[00:33:46] 吸了半截不吸了,
[00:33:47] 但是我也没有捏住鼻子,
[00:33:49] 这话不用,
[00:33:50] 我的肺泡内压和大气压正好相等,
[00:33:52] 因为要不相等的话,
[00:33:53] 气体还得引出,
[00:33:55] 呼吸运动过程中,
[00:33:58] 任何一个时间,
[00:34:00] 只要保持气道通畅,
[00:34:03] 又让气流停止下来,
[00:34:05] 那么这个时候的肺内压,
[00:34:07] 就一定等于大气压,
[00:34:10] 你妈妈不行,
[00:34:12] 所以生理学不是简单一个背,
[00:34:14] 要琢磨,
[00:34:15] 要思考,
[00:34:16] 要细细的品,
[00:34:19] 就在这儿,
[00:34:20] 但是这个图非常好玩,
[00:34:22] 你往下看,
[00:34:23] 我学生讲课喜欢说,
[00:34:24] 你注意一下咱们教下这个图,
[00:34:26] 这个图呀,
[00:34:27] 它的纵轴可不是端子,
[00:34:28] 它是在一个连续的纵轴上,
[00:34:30] 画了两个线条,
[00:34:32] 上面这个线条是肺内压,
[00:34:34] 底下这个线条是谁呀,
[00:34:35] 是胸而腔内压,
[00:34:36] 你发现了没有,
[00:34:37] 肺内压是个鱼穴曲线,
[00:34:39] 胸而腔内压是个大对勾,
[00:34:41] 你看在几乎吸气末的时候,
[00:34:45] 实际上比吸气末稍微早一点,
[00:34:47] 应该在吸气快结束的时候,
[00:34:49] 胸而腔内压力是最负的,
[00:34:54] 往后稍微走一走,
[00:34:59] 胸而腔内压力依然很负,
[00:35:01] 但是肺内压变成零了,
[00:35:04] 你注意这个纵轴,
[00:35:08] 零正一正二,
[00:35:09] 零负一负二负三负四负五负六,
[00:35:12] 你发现了没有,
[00:35:13] 在呼吸运动的过程中,
[00:35:14] 任何一个时间点,
[00:35:16] 胸而腔内压力永远比肺内压低,
[00:35:20] 这是第一个,
[00:35:21] 第二个,
[00:35:22] 胸而腔内压力在正常视力情况下,
[00:35:24] 永远比大气压低,
[00:35:25] 所以今天咱们学呼吸,
[00:35:27] 注意,
[00:35:28] 开始掌握一个这一辈子一直要用的话题,
[00:35:30] 胸而腔内压力,
[00:35:32] 因为永远比大气压低,
[00:35:34] 注意啊,
[00:35:35] 是平静呼吸情况下,
[00:35:36] 胸而腔内压力永远比大气压低,
[00:35:39] 所以我们给它起了个名字,
[00:35:40] 叫胸而腔负压,
[00:35:43] 这个词这一辈子要一直用,
[00:35:46] 说了这个压力能变正,
[00:35:47] 不能,
[00:35:48] 刚才说过了,
[00:35:49] 那是捏住鼻子,
[00:35:50] 使用武器,
[00:35:51] 它就变正了,
[00:35:52] 在临床医学上,
[00:35:54] 把捏住鼻子,
[00:35:55] 用力鼓气,
[00:35:56] 憋着个气,
[00:35:57] 这个动作叫VAL,
[00:36:00] SALVA,
[00:36:05] 所以英文叫VASALVA,
[00:36:07] VLSALVA,
[00:36:11] 当然有时候不好背,
[00:36:12] 所以我专门开玩笑,
[00:36:13] VLSALVA,
[00:36:15] VALSALVA,
[00:36:16] 这样好背一点,
[00:36:17] 有时候我开玩笑,
[00:36:18] 这样听一下,
[00:36:19] 所谓的胸而腔负压值的是,
[00:36:21] 平静呼吸情况下,
[00:36:23] 第二个你发现问题了没有,
[00:36:25] 肺内压力慢慢的恢复,
[00:36:26] 别的东西,
[00:36:27] 没有了的,
[00:36:28] 肺肿的压力还在那里,
[00:36:29] 这个咱们提前讲,
[00:36:30] 因为好多学到,
[00:36:31] 好几个学期都稀里糊涂的,
[00:36:32] 你这样体会一下,
[00:36:33] 胸壁是一把火罐附压吸引方式,
[00:36:34] 把肺脏从肺门这强行给拉开的,
[00:36:35] 肺脏像根弹簧一样,
[00:36:36] 一头挂在肺门上,
[00:36:37] 一头挂在胸壁上,
[00:36:38] 那么吸气的时候,
[00:36:39] 胸壁往开阔,
[00:36:40] 脑补奥运会,
[00:36:41] 这个射箭大比赛,
[00:36:42] 这下来说,
[00:36:43] 肺脏和胸脏的性格,
[00:36:44] 开的肺脏像根弹簧
[00:36:49] 一样一头挂在
[00:36:50] 肺门上一头挂在
[00:36:52] 胸壁上那么吸气的时候
[00:36:54] 胸壁往开阔脑补
[00:36:56] 奥运会这个射箭大比赛
[00:36:58] 你出动学过
[00:37:00] 胡克定律一个弹簧
[00:37:02] 拉得越长它的回弹
[00:37:05] 力就越大肺脏
[00:37:06] 小根弹簧吸气的时候是
[00:37:08] 胸壁把肺脏往开不断拉不用
[00:37:10] 问体会一下肺脏
[00:37:13] 变得越大肺脏
[00:37:15] 变形形态变化
[00:37:17] 也多
[00:37:18] 那么胸壁往开拉的时候
[00:37:20] 就需要更大的劲换句话说
[00:37:23] 肺脏就越想从胸壁上
[00:37:24] 脱离下去拉你往开拉
[00:37:27] 我不想你拉我俩人直接产生一个腹压
[00:37:29] 什么时候胸腔被腹压攻击
[00:37:34] 从这看是不是在吸气块
[00:37:37] 结束的时候这个时候肺脏
[00:37:38] 溶积是不是最大体会一下
[00:37:40] 肺脏越大的时候
[00:37:42] 身体进化下那么胸腔内压
[00:37:45] 就越负为什么
[00:37:46] 因为F等于负KX
[00:37:48] 所以
[00:37:48] 你慢慢拼
[00:37:51] 弹弹的越长
[00:37:53] 回弹的越大肺脏有个小钩子
[00:37:56] 胸部有个小钩子拉着它变形变形变形
[00:37:58] 肺脏变形越多的时候它越想往回缩
[00:38:01] 胸腔腹压就更负
[00:38:03] 这是第一个第二个再看一下
[00:38:05] 即使在呼气末
[00:38:07] 胸腔内压也比大气压
[00:38:09] 零要低你想说什么不
[00:38:11] 我想说即使正常人在呼气末的时候
[00:38:14] 肺脏也没有办法
[00:38:15] 完全回到肺脉处
[00:38:17] 永远有一个弹性的
[00:38:21] 往回缩的
[00:38:23] 弹性回缩力
[00:38:24] 说明这根小弹簧就从来没有恢复到自然状态
[00:38:28] 人这辈子活着
[00:38:30] 不管吸气还是呼气
[00:38:32] 肺脏这根小弹簧永远是被人拉长的
[00:38:35] 只是吸气的时候拉的更长
[00:38:37] 呼气的时候拉的没那么长
[00:38:40] 所以这张内容
[00:38:41] 说到这有个细节你要注意
[00:38:43] 为什么会这样
[00:38:44] 说因为出生之后
[00:38:47] 胸阔的发育速度
[00:38:49] 比肺脏的发育速度快
[00:38:50] 换句话说一岁两岁三岁四岁五岁
[00:38:53] 仍在往大涨的过程中
[00:38:54] 肺脏这根小弹簧被胸壁越拉的越长
[00:38:58] 这一辈子你再也回不去了
[00:39:00] 有时候老开玩笑说
[00:39:02] 就算是肺脏是妈妈生的
[00:39:05] 是原装的产品
[00:39:06] 你再好你也有个使用寿命
[00:39:08] 所以一个人到六七十七八十岁的时候
[00:39:11] 肺脏一辈子一直被人拉开了
[00:39:13] 弹簧老化了
[00:39:14] 那么肺脏回缩能力就减退
[00:39:17] 年纪越大
[00:39:18] 肺脏回缩能力越减退
[00:39:21] 那么这个现象
[00:39:23] 就叫做
[00:39:24] 老年肺气肿
[00:39:26] 年纪大了以后
[00:39:28] 火轻火重
[00:39:29] 每个人都有肺气肿
[00:39:31] 所以这个图很实惠
[00:39:33] 很实用
[00:39:34] 你注意一下
[00:39:35] 第一个你对照一下
[00:39:37] 胸膜腔里边压力变好
[00:39:38] 形态和肺内压不一样
[00:39:40] 肺内压是这样一个曲线
[00:39:41] 胸膜腔内压是个大对勾
[00:39:42] 第二个体会一下
[00:39:44] 即使是在呼气膜
[00:39:47] 胸膜腔压力也永远低于大气压
[00:39:50] 因为肺脏这一辈子
[00:39:52] 永远没有机会
[00:39:53] 完全回弹
[00:39:55] 换句话说
[00:39:56] 我在呼气膜的时候
[00:39:57] 能把肺脏这边气体全部护走吗
[00:40:00] 不能
[00:40:00] 后面咱们这一节就学到了
[00:40:02] 那么在把呼气膜
[00:40:04] 依然停留在肺内的气体
[00:40:06] 我们给它个名字
[00:40:08] 叫残气
[00:40:09] 残气
[00:40:12] 但是到了大五
[00:40:13] 给你们再讲课
[00:40:14] 我就会说句话
[00:40:15] 残气绝对不是残肺的气
[00:40:18] 残肺仅仅
[00:40:19] 残气仅仅是残余的气
[00:40:22] 第二个通过的图
[00:40:25] 你看一下
[00:40:26] 能发现一个问题不
[00:40:27] 胸膜腔的压力变化在前
[00:40:30] 肺脏压力变化在后
[00:40:34] 肺脏压力的变化
[00:40:36] 比胸膜腔的变化
[00:40:37] 要稍微晚一点
[00:40:38] 你足够先把肺拉开
[00:40:41] 让肺膀内部气体稀释
[00:40:43] 压力下降
[00:40:44] 产生压力差值以后
[00:40:46] 气体才会慢慢流进来
[00:40:50] 肺脏变形在前
[00:40:52] 气体流入在后
[00:40:55] 试着把它停下来
[00:40:59] 接下来下面
[00:41:00] 有个概念
[00:41:01] 咱们读一下就好了
[00:41:02] 到将来再说
[00:41:03] 人工呼吸
[00:41:03] 用人工方法造成肺内压
[00:41:06] 和外界气体内压力差值
[00:41:07] 现在这个方法
[00:41:08] 咱们通过正压通气
[00:41:10] 一个呼吸机
[00:41:10] 把气给你打进去抽出来
[00:41:12] 来维持通气
[00:41:13] 这个就称之为
[00:41:15] 呼吸机正压通气
[00:41:17] 听过就完了
[00:41:18] 将来相关或者合适的地方
[00:41:20] 我再进一步讲这个通气的
[00:41:22] 机械通气的原理
[00:41:24] 这个要更复杂一点
[00:41:25] 把故事听一下
[00:41:26] 把它先翻过去
[00:41:27] 所以刚才专门谈了个话题
[00:41:30] 胸膜腔腹压
[00:41:31] 胸膜腔腹压
[00:41:31] 那么腹压怎么来的
[00:41:33] 咱们说
[00:41:33] 先往下看概念
[00:41:35] 胸膜腔
[00:41:36] 胸膜的脏层和B层之间
[00:41:39] 一个密闭潜在的腔系
[00:41:41] 就像是生活中扒火罐的时候
[00:41:44] 那个密闭的罐头皮
[00:41:45] 有时候罐头皮
[00:41:46] 皮肤太干燥站不住
[00:41:48] 怎么办
[00:41:48] 把罐头皮边上抹点水
[00:41:50] 是吧
[00:41:50] 才能吸住
[00:41:51] 另外太瘦的人
[00:41:52] 逼不住
[00:41:53] 胖的人扒火罐好扒
[00:41:55] 所以里边需要点浆液
[00:41:57] 把两层罐粘起来
[00:41:58] 这个浆液能干嘛
[00:41:59] 浆液两个作用
[00:42:00] 第一个作用
[00:42:00] 任何人都能干嘛
[00:42:01] 任何
[00:42:02] 让我们的两层胸膜
[00:42:03] 特别像
[00:42:05] 特别像什么
[00:42:06] 特别像
[00:42:07] 用杯子接了一杯水
[00:42:08] 杯子当时刚洗完之后
[00:42:10] 接水之后
[00:42:11] 杯子底下嗨一点
[00:42:12] 不干
[00:42:14] 嗨一点水滴
[00:42:15] 正好我们家这个桌子
[00:42:16] 又特别光滑
[00:42:17] 你发现了吗
[00:42:18] 杯子往这个桌子上一搁
[00:42:19] 你再往前拿
