# 源音频：P06-生理学本科教学及考研基础课 p06 细胞电1.m4a
# 时长：5671s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 好,同学们,咱们上节课在这儿简单看了几个有关静息电位的概念,
[00:23:40] 这是一个假定模直对假通透的一个理想,
[00:23:43] 但想电位是什么样子的,
[00:23:45] 平衡电位接着往下读,
[00:23:50] 假定模直对假通透,
[00:23:51] 就像刚才说的一样,
[00:23:52] 则甲粒子受到浓度差的驱动力,
[00:23:54] 向膜外扩散,
[00:23:56] 形成甲粒子平衡电位,
[00:23:57] 那么把它描述为EK,
[00:23:59] 描述为EK,
[00:24:02] 好,
[00:24:03] EK,
[00:24:03] 这个地方写的一句话,
[00:24:04] 那么EM等于EK,
[00:24:06] 为什么,
[00:24:07] 它是要把EM就是膜的实际的电位,
[00:24:10] 这个实际电位要想等于EK的话,
[00:24:12] 是怎么等于的,
[00:24:12] 往回看,
[00:24:13] 假定模直对假通透,
[00:24:15] 那么拿电压表量出来,
[00:24:17] 应该和你算出来就是一样的,
[00:24:21] 那么这平衡电位能算出来不,
[00:24:23] 假定模就想通透,
[00:24:24] 所以这是个经验的公式,
[00:24:25] 著名的NEST公式,
[00:24:27] 一百多年了,
[00:24:29] EK最后看解化以后,
[00:24:30] 等于60倍的log,
[00:24:31] 膜外甲浓度,
[00:24:33] 除膜内甲浓度,
[00:24:35] 单位是毫伏,
[00:24:36] 我这么算下来之后,
[00:24:37] EK一般应该在-90到-100毫伏,
[00:24:40] 所以按下的9万数上写-95毫伏,
[00:24:43] -95个,
[00:24:44] 取了个中间值,
[00:24:45] 那么这个时候,
[00:24:46] 我要想让这个膜电位和理想计算的这个数字一样的话,
[00:24:52] 你必须假定膜直对假通透,
[00:24:54] 咱们刚才说了,
[00:24:56] 那不行啊,
[00:24:56] 膜怎么能长得,
[00:24:58] 你想,
[00:24:59] EM生9子,
[00:25:00] 9子各不同,
[00:25:01] 生出直的会儿来,
[00:25:02] 10个都不一般齐,
[00:25:03] 那怎么能长得和你想的一样,
[00:25:04] 显然在体内不同细胞膜,
[00:25:07] 有人出了假通透以后,
[00:25:09] 对那通透性就大一点,
[00:25:10] 友好的,
[00:25:11] 比如说,
[00:25:12] 那不能走啊,
[00:25:12] 让他假走,
[00:25:13] 假走,
[00:25:13] 那留下,
[00:25:14] 他就苛刻一点,
[00:25:16] 刚才专门提前解释了,
[00:25:18] 那么假的通透背景情况之下,
[00:25:21] 对那通透性越大,
[00:25:23] 实际这个膜的电位,
[00:25:25] 距离理想制计算的电位,
[00:25:28] 差距就越大,
[00:25:29] 一定要注意,
[00:25:30] 平衡电位与那个背景,
[00:25:32] 是假定膜,
[00:25:33] 只对假通透,
[00:25:34] 用这一句话垫底,
[00:25:36] 实习就好办了,
[00:25:37] 嗯,
[00:25:37] 反过来,
[00:25:40] 公式在那搁着,
[00:25:42] 高调假定膜对假通透,
[00:25:43] 我就能算个1K出来,
[00:25:45] 如果假定膜就对那通透,
[00:25:47] 能算个1K吗?
[00:25:48] 能,
[00:25:48] 也能算出来,
[00:25:49] 这个不叫1K,
[00:25:51] 叫1那,
[00:25:51] 那例子的平衡电位,
[00:25:53] 嗯,
[00:25:54] 大多数的细胞呀,
[00:25:56] 用公式算出来,
[00:25:57] 那的平衡电位在正50,
[00:25:59] 到正70毫伏,
[00:26:01] 你发现问题了吗?
[00:26:03] 假的平衡电位,
[00:26:04] 假的平衡电位,
[00:26:06] 总是负的,
[00:26:07] 那的平衡电位,
[00:26:09] 总是正的,
[00:26:10] 开个玩笑说,
[00:26:11] 都是个平衡电位,
[00:26:13] 差别怎么那么大呢?
[00:26:15] 差距怎么那么大呢?
[00:26:16] 正的和负的什么意思?
[00:26:19] 上节课其实简单提过一下,
[00:26:20] 这个正也好,
[00:26:22] 负也好呀,
[00:26:22] 指的是膜内电位,
[00:26:24] 咱们看了个示意图啊,
[00:26:26] 假的平衡电位,
[00:26:28] 要求膜内负,
[00:26:30] 反过来膜内要负,
[00:26:31] 膜外就正,
[00:26:31] 他计划呗,
[00:26:32] 比如说平衡电位要膜外正,
[00:26:34] 因为假的,
[00:26:35] 正,
[00:26:36] 正点和往外跑,
[00:26:37] 必须膜外有正点和通行相持,
[00:26:39] 才能挡住假外流,
[00:26:41] 一样,
[00:26:42] 那是膜外浓度比膜内高,
[00:26:44] 那要内流,
[00:26:45] 那内流我要想挡住那里的电场,
[00:26:48] 一定是膜内正,
[00:26:51] 膜内有正点和挡着膜外正的那里进来,
[00:26:56] 所以这个平衡电位一定是什么呀?
[00:26:58] 浓度它的阻力,
[00:27:00] 到这我多说一句话同学,
[00:27:02] 进系电位,
[00:27:03] 外正内负,
[00:27:04] 咱们现在已经熟悉了,
[00:27:05] 那么假要往外走一体会,
[00:27:07] 进系电位是假外流的阻力,
[00:27:11] 没问题啊,
[00:27:12] 平衡电位就这样来着,
[00:27:13] 那么同样进系电位,
[00:27:14] 对那类自内流而言,
[00:27:16] 动力还是阻力,
[00:27:17] 那在正电和膜是外正内负,
[00:27:21] 膜内负电和吸引它,
[00:27:22] 再勾引它进去,
[00:27:25] 你发现了,
[00:27:26] 进系电位的情况下,
[00:27:27] 那类自要内流,
[00:27:29] 进系电位,
[00:27:30] 那内流,
[00:27:31] 不但用浓度差12-300往里边推,
[00:27:33] 还有膜内负电和往里边吸,
[00:27:36] 那在开始内流的时候,
[00:27:38] 只有动力,
[00:27:39] 而没有阻力,
[00:27:40] 这句话要听下来啊,
[00:27:42] 进系电位是外正内负的,
[00:27:43] 外正内负这个电位,
[00:27:44] 对假外流就是阻力,
[00:27:46] 但是那内流就是动力,
[00:27:47] 那你还有完没完,
[00:27:49] 所以一定是那内流内负能慢慢,
[00:27:51] 那越内流,
[00:27:52] 比消膜内负电和越多,
[00:27:54] 慢慢膜内外之间,
[00:27:56] 因为那的内流,
[00:27:57] 就没有电位差了,
[00:27:59] 电位差越来越小,
[00:28:00] 哎,听一句话,
[00:28:01] 假越外流,
[00:28:03] 膜上的电位差越大,
[00:28:05] 结合咱们刚才复习的概念,
[00:28:07] 那么假外流,
[00:28:07] 会让膜发生超极化,
[00:28:10] 反过来,
[00:28:10] 那要一内流膜内负电和抵消了,
[00:28:12] 那内流就会让膜发生去极化,
[00:28:16] 因为越内流膜内负电和抵消了,
[00:28:18] 膜两次就没有电位差了,
[00:28:20] 不难想象,
[00:28:21] 总有一天,
[00:28:22] 那的内流把电位差全部抵消掉了,
[00:28:26] 那个时候膜的电位就是零,
[00:28:28] 在那一刻,
[00:28:29] 那一瞬间,
[00:28:30] 那的内流就只有能够差,
[00:28:33] 而没有电场力了,
[00:28:34] 但注意,
[00:28:35] 在膜电位是零的时候,
[00:28:37] 膜两次,
[00:28:37] 其实咱们刚才专门很纠结的复习了一句话,
[00:28:42] 变活动的过程中,
[00:28:44] 变化的是电场力,
[00:28:46] 不变的是浓度差,
[00:28:48] 事实上由于那的内流,
[00:28:50] 让膜不断去极化,
[00:28:51] 把膜电位变到零毫伏的时候,
[00:28:54] 膜两侧其实依然存在着十二三倍的那粒子浓度差,
[00:28:59] 那么那一刻,
[00:29:00] 那粒子只享受自己浓度差,
[00:29:03] 就没有电场干扰了,
[00:29:05] 那继续内流,
[00:29:06] 但注意,
[00:29:06] 那在正电荷的,
[00:29:07] 那在内流,
[00:29:08] 他把正电荷带进去,
[00:29:10] 终于把膜电位就从外正内附,
[00:29:13] 把从那的进一步内流,
[00:29:15] 变成了外附,
[00:29:16] 内正,
[00:29:17] 有没有?
[00:29:18] 能不能说反极化,
[00:29:19] 专门跟那内流写的?
[00:29:21] 能吧?
[00:29:21] 这一刻,
[00:29:23] 那在零毫伏之后,
[00:29:25] 膜的去极化过程中,
[00:29:26] 零毫伏之后,
[00:29:27] 那继续内流,
[00:29:29] 就终于把膜电位变成了外附,
[00:29:31] 内正,
[00:29:32] 反极化的情况下,
[00:29:34] 电场就变成了那粒子,
[00:29:37] 内流的阻力,
[00:29:39] 你总得有人挡住它,
[00:29:41] 它才能平衡下来,
[00:29:42] 你多么一头跑就平衡不了,
[00:29:44] 平衡一定是浓度差,
[00:29:47] 和电场力,
[00:29:48] 敌我双方力量均等的一个表现,
[00:29:52] 假外流的时候,
[00:29:54] 得膜外正膜内附,
[00:29:55] 极化阻碍假外流,
[00:29:57] 那内流的时候,
[00:29:58] 得膜外附膜内正反极化阻碍那内流,
[00:30:03] 所以,
[00:30:06] 那的平衡点位是正的,
[00:30:09] 而假外流的时候,
[00:30:09] 假的平衡点位是负的,
[00:30:12] 而且你仔细观察一下,
[00:30:13] 目测一下,
[00:30:14] 假平衡点位负90到负100,
[00:30:17] 那平衡点位就多少?
[00:30:18] 正50正70,
[00:30:19] 绝对是不一样,
[00:30:20] 你猜为什么?
[00:30:21] 因为那的平衡点位只需要阻碍十二三倍,
[00:30:25] 浓度差就够了,
[00:30:26] 而假平衡点位需要阻碍30倍浓度差,
[00:30:30] 倍数越大,
[00:30:31] 驱动力越大呗,
[00:30:33] 那么电场这个力量就需要大一点,
[00:30:35] 负95个毫伏,
[00:30:37] 绝对值是95个毫伏,
[00:30:39] 95毫伏,
[00:30:39] 能阻碍30倍,
[00:30:41] 50到70,
[00:30:42] 60毫伏只能阻碍十二三倍,
[00:30:44] 这个知识,
[00:30:46] 这个学期不一定考你,
[00:30:48] 打四打四,
[00:30:49] 开始用易读语,
[00:30:51] 平衡点位绝对是大小不一样,
[00:30:55] 因为平衡点位,
[00:30:56] 不同粒子的平衡点位,
[00:30:58] 要阻碍的倍数,
[00:30:59] 浓度差,
[00:31:00] 倍数不一样,
[00:31:02] 嗯,
[00:31:02] 这是所谓的平衡点位的概念,
[00:31:05] 平衡点位是算出来的,
[00:31:07] 静系点位是量出来的,
[00:31:10] 那这个是什么?
[00:31:10] 为什么理想和方法现实很骨感?
[00:31:14] 因为摩没法按你想象的那样,
[00:31:17] 值对假,
[00:31:18] 值对哪通透?
[00:31:19] 摩实际上主要对假通透的背景下,
[00:31:21] 浓度扩散对那都有点通透性,
[00:31:24] 这个意思,
[00:31:27] 静系时,
[00:31:28] 摩对哪一种粒子的通透性高,
[00:31:31] 静系点位就更接近于哪一种粒子的平衡点位,
[00:31:35] 就像刚才看的,
[00:31:36] 假定一下,
[00:31:37] 值对假通透,
[00:31:38] 那平摩点位就负95毫伏,
[00:31:40] 完全等于那假的平衡点位了,
[00:31:41] 嗯,
[00:31:42] 静系的时候摩对假通透性约为那的10到100倍,
[00:31:47] 这是一个真实描述,
[00:31:48] 就实验室中观察,
[00:31:49] 不同细胞膜呀,
[00:31:50] 对哪和假通透性不一样,
[00:31:52] 有人可能是对假是那的10倍,
[00:31:55] 有人对假通透性就是那的100倍,
[00:31:57] 不用问,
[00:31:58] 你要假是那的100倍的时候,
[00:32:00] 摩点位应该就非常接近负95毫伏,
[00:32:03] 如果摩对哪通透性,
[00:32:05] 假通透性只有10倍的话,
[00:32:07] 那可能摩点位就像神经细胞一样,
[00:32:09] 就负70毫伏,
[00:32:10] 选择性差一点,
[00:32:12] 所以,
[00:32:12] 体会一下,
[00:32:13] 摩对离子的通透性不是毛病,
[00:32:17] 摩对离子的选择性通透,
[00:32:21] selecting才是问题,
[00:32:24] yes,
[00:32:25] 因此,
[00:32:26] 静系点位总是接近EK,
[00:32:29] 但比EK略小,
[00:32:31] EK假平衡点,
[00:32:33] 为什么你这亲自看到了,
[00:32:34] 因为摩就算是对哪通透性大一点,
[00:32:37] 那么假通透性也是那的10倍,
[00:32:41] 它是这样,
[00:32:42] 所以,
[00:32:42] 它总是想EK靠的,
[00:32:44] 对了,
[00:32:45] 它总是负的70、90,
[00:32:47] 没有结果正的20、30,
[00:32:48] 没有,
[00:32:49] 那的是在正50、
[00:32:50] 正60那边,
[00:32:53] 还是个选择性通透的概念,
[00:32:57] 这张小表格,
[00:32:58] 咱们刚才为了学习平衡点位的产生,
[00:33:01] 提前打开看了一下,
[00:33:02] 你这也发现了,
[00:33:04] 摩外是那,
[00:33:05] 摩内是假,
[00:33:06] 细胞外液和细胞内液的成分是不一样的,
[00:33:10] 因此到这复习个东西,
[00:33:12] 细胞好好的细胞占个摩干嘛,
[00:33:14] 摩首先起一个屏障作用,
[00:33:18] 挡着摩内外两次的物质不一样,
[00:33:20] 不能随便来窜,
[00:33:22] 摩外是那,
[00:33:23] 摩内是假,
[00:33:24] 摩出了屏障以后,
[00:33:26] 摩还有转运作用,
[00:33:27] 是吧,
[00:33:28] 还有受体作用,
[00:33:29] 催化作用,
[00:33:30] 各种作用,
[00:33:31] 但细胞摩在体内,
[00:33:33] 首先是一个屏障作用,
[00:33:35] 先把细胞内外隔开再说,
[00:33:38] 之后还有一定的通透性,
[00:33:41] 它是这样,
[00:33:42] 嗯,
[00:33:44] 好,
[00:33:44] 同学们,
[00:33:45] 咱们刚才,
[00:33:46] 简单的,
[00:33:46] 阐述了一下进气链的产生,
[00:33:49] 实际上通过刚才课程,
[00:33:50] 也发现一个是电位怎么产生的,
[00:33:52] 是甲粒子安紧情况下,
[00:33:55] 依靠着浓度差这么一个所谓的化学驱动力,
[00:33:59] 所以这边有些专业术语,
[00:34:00] 浓度差在电神学这就叫做化学驱动力,
[00:34:04] 那么往外流越流动,
[00:34:07] 模范的电场阻力就越大,
[00:34:08] 所以电场例子在这叫做电学驱动力,
[00:34:11] 那么最后甲粒子能不能含外流,
[00:34:14] 这个术语叫电化学驱动力,
[00:34:16] 是电场力和浓度差这个化学动力二的代数和,
[00:34:21] 它有电场力的时候,
[00:34:23] 有驱动力的时候,
[00:34:25] 它就继续流动,
[00:34:26] 那么平衡电位的时候,
[00:34:28] 实际上是电场力和浓度差之间相互达成一个平衡,
[00:34:31] 动力和阻力一样了,
[00:34:33] 流不动了,
[00:34:34] 这个情况下,
[00:34:35] 咱们很谨慎强调一个,
[00:34:36] 甲粒子一开始没有外流时候,
[00:34:38] 模量的甲能力差30倍,
[00:34:40] 那么由于浓度差的推动驱动,
[00:34:43] 甲粒子顺着甲流通道向模外流动,
[00:34:46] 那么,
[00:34:46] 慢慢的正点何能出去,
[00:34:48] 负点何处不去,
[00:34:49] 逐渐形成一个模外转内附的这么一个激化状态,
[00:34:53] 这个情况下,
[00:34:54] 电场就开始对甲粒子的外流产生了阻力,
[00:34:57] 体会一句话,
[00:34:59] 进系列的形成过程中,
[00:35:00] 甲粒子越外流,
[00:35:02] 越不容易外流,
[00:35:04] 越外流,
[00:35:05] 电场阻力越大,
[00:35:06] 所以说开玩笑说,
[00:35:08] 进系列的形成呀,
[00:35:10] 甲粒子的外流,
[00:35:11] 就是咱们网络上说,
[00:35:12] 作死作死,
[00:35:13] 不作就不会死,
[00:35:14] 甲外流自己阻碍了,
[00:35:16] 甲的外流,
[00:35:17] 那么在甲外流情况下,
[00:35:19] 按照实际情况,
[00:35:20] 咱们刚才反复说,
[00:35:21] 实际上,
[00:35:22] 模除了你想象的对甲通透以外,
[00:35:25] 或多或少对那也有点通透性,
[00:35:27] 实际上最后模的电位呀,
[00:35:29] 是甲外流和那内流综合平衡的结果,
[00:35:33] 那么这个实际的结果,
[00:35:35] 我们叫进系电位,
[00:35:36] 如果假定模只对甲通透,
[00:35:39] 那么那个所谓的电位叫平衡电位,
[00:35:42] 平衡电位我们理解为理想值,
[00:35:45] 假定的,
[00:35:46] 是,
[00:35:46] 实际电位,
[00:35:47] 进系电位,
[00:35:48] 实际把对甲通透,
[00:35:51] 对那通透的情况全部考虑进去,
[00:35:54] 换一句话说,
[00:35:55] 模在对甲通透背景之下,
[00:35:57] 对那的通透性越大,
[00:35:59] 那么模电位绝对之际略微小一点,
[00:36:02] 就略微偏向一点那的平衡电位,
[00:36:07] 模对那个粒子通透性高,
[00:36:10] 进系电位的情况下,
[00:36:11] 模电位就更靠近那个粒子的平衡电位,
[00:36:15] 所以考虑者刚刚体现了一下,
[00:36:16] 假平衡电位-95毫伏,
[00:36:19] 那平衡电位-60毫伏,
[00:36:21] 都是个平衡电位,
[00:36:22] 怎么有人正,
[00:36:23] 有人负呢?
[00:36:24] 我们理解为电位的作用在这干什么?
[00:36:27] 是阻碍浓度差的,
[00:36:29] 这些内容确实难度非常大,
[00:36:31] 特别对于大二的小朋友,
[00:36:32] 这要是考研同学,
[00:36:34] 听课里面有过后来的别的学科的一些积累,
[00:36:37] 别的学科的一些借鉴能力和作用,
[00:36:40] 咱们说踏山之石可以攻玉,
[00:36:43] 那么这理解是容易的,
[00:36:45] 对大二来说,
[00:36:46] 说实话,
[00:36:47] 难度确实不小,
[00:36:48] 所以我讲的比较慢,
[00:36:49] 语速也慢,
[00:36:50] 内容也不算快,
[00:36:51] 嗯,
[00:36:52] 慢慢还走,
[00:36:54] 那么第三块,
[00:36:55] 这儿把它探讨一下,
[00:36:56] 近期电位这么重要,
[00:36:58] 有没有哪些情况会影响你电位产生,
[00:37:00] 或者它的电位大小,
[00:37:03] 这是一个非常经典的生理学来跟医学知识,
[00:37:06] 第一条呀,
[00:37:07] 叫膜外甲浓度,
[00:37:08] 你体会一下,
[00:37:09] 甲怎么形成近期电位的?
[00:37:11] 依靠浓度差外流,
[00:37:13] 不用问,
[00:37:14] 膜两侧甲的浓度差越大,
[00:37:17] 甲外流起来动力越足,
[00:37:19] 就像刚才咱们很谨慎看,
[00:37:20] 你还记得,
[00:37:21] 说为什么?
[00:37:22] 钠的平衡电位绝对就是60个毫伏,
[00:37:24] 甲平衡电位就是95个毫伏,
[00:37:26] 因为甲的平衡电位需要阻碍30倍浓度差,
[00:37:31] 钠平衡电位只需要阻碍12、
[00:37:34] 3倍浓度差,
[00:37:35] 不用问,
[00:37:35] 浓度差越大,
[00:37:37] 那么需要的平衡电位这个绝对是,
[00:37:40] 电差就要大一点,
[00:37:41] 才能挡住,
[00:37:43] 膜外甲浓度,
[00:37:44] 比方说膜外的甲热浓度降低了,
[00:37:46] 正常是3.5到5.5毫毛每升,
[00:37:49] 争取这一阶可就被死他一辈子不忘了,
[00:37:52] 正常人的血甲浓度3.5到5.5毫毛每升,
[00:37:57] 高甲或低甲都是要死人的,
[00:38:00] 所以将来到心脏外科,
[00:38:03] 咱们学习的时候,
[00:38:04] 你总不能让心脏跳着去做手术吧,
[00:38:06] 那么心脏要把停搏下来再做手术,
[00:38:09] 那么这个停搏的方法最通用的,
[00:38:11] 就叫高甲停搏液,
[00:38:14] 拿着用一下,
[00:38:15] 我们把心脏细胞,
[00:38:16] 跑,
[00:38:17] 跑在一个浓度很高的甲溶液中,
[00:38:19] 什么样子?
[00:38:20] 膜内浓度是膜外30倍,
[00:38:22] 膜外是3.5到5.5,
[00:38:24] 把膜外给它比,
[00:38:25] 比如比成7,
[00:38:26] 比成10,
[00:38:27] 那么膜内的浓度差可能就到了十几倍了,
[00:38:31] 膜外甲浓度增高的时候,
[00:38:33] 膜两次甲浓度差减小,
[00:38:35] 甲流起来没有动力,
[00:38:37] 那么将来就不需要到-95了,
[00:38:39] -95对抗是30倍,
[00:38:41] 可能就到个-60,
[00:38:42] -50,
[00:38:43] 甚至-40,
[00:38:44] 你就看膜外甲浓度了,
[00:38:46] 甲浓度增高,
[00:38:47] 浓度差减小,
[00:38:48] 膜就发生去几化,
[00:38:50] 反过来膜外甲浓度如何降低低甲血症呢?
[00:38:53] 低甲血症将来在生理学上还不要紧,
[00:38:57] 到诊断,
[00:38:58] 到内科,
[00:38:59] 到外科,
[00:39:00] 到病身,
[00:39:01] 你记住,
[00:39:01] 低甲血症能搞得你一夜不成昧,
[00:39:04] 辗转反侧难以入眠,
[00:39:06] 挣得你的名字我也睡不着,
[00:39:08] 什么意思?
[00:39:08] 低甲高甲在临床上是通用的,
[00:39:11] 常见的现象,
[00:39:12] 记住,
[00:39:13] 在这一刻记住一句话,
[00:39:14] 低甲或高甲那是要死人的,
[00:39:17] 那是要死人的,
[00:39:17] 高甲也危害非常大,
[00:39:19] 所以说在这一节课这我想说一句话,
[00:39:23] 我们在临床上如果感冒发烧了,
[00:39:25] 住院了,
[00:39:26] 给人输点液体,
[00:39:27] 一般液体没有特别强调浓度,
[00:39:30] 但注意啊,
[00:39:31] 临床给患者输氯化钾是严格强调的,
[00:39:34] 氯化钾的输入浓度一般不得高于千分之三,
[00:39:42] 注意,
[00:39:42] 可不是百分之,
[00:39:44] 临床用的百分之十氯化钾注射液一直是十毫升,
[00:39:48] 这一支氯化钾注射液正好是一克钾,
[00:39:51] 那么两瓶葡萄糖液体一千毫升,
[00:39:56] 一大瓶大树叶水五百毫升一瓶,
[00:39:58] 两大瓶是一千,
[00:39:59] 这两瓶液体中一起去配钾,
[00:40:01] 两瓶液体混在一起,
[00:40:03] 往里边配钾能配多少?
[00:40:04] 能配三支钾,
[00:40:05] 三克,
[00:40:06] 一千毫升配三克,
[00:40:08] 叫千分之三,
[00:40:09] 浓度高于这个注意可是要死人的,
[00:40:12] 钾的浓度在临床非常苛刻,
[00:40:15] 那么咱们只是学电视,
[00:40:17] 钾怎么这么苛刻,
[00:40:18] 你发现了,
[00:40:19] 低钾血液比3.5含低,
[00:40:21] 摩尔纳斯钾浓度差更大,
[00:40:22] 钾外流更多,
[00:40:23] 那么摩底味就不再是-90-95,
[00:40:26] 可能变成-99-100-120,
[00:40:28] 它这样,
[00:40:29] 低钾浓度差增大,
[00:40:31] 钾外流增多,
[00:40:33] 摩尔超几化,
[00:40:34] 高钾摩尔纳斯浓度差减小,
[00:40:36] 钾外流减少,
[00:40:37] 摩尔去几化,
[00:40:38] 所以我也是做老师几十年没有注意过,
[00:40:41] 这几年因为网络慢慢发达,
[00:40:43] 我记得很清楚就好,
[00:40:44] 那个孟叔老师,
[00:40:45] 摩尔纳斯钾高钾了,
[00:40:47] 钾怎么不内流,
[00:40:48] 注意啊,
[00:40:49] 这是个难点,
[00:40:50] 摩外钾钾高到10个毫摩尔就死人了,
[00:40:53] 摩内刚才看了多少,
[00:40:54] 我给你反复再看,
[00:40:56] 摩内随便一来就是145,
[00:40:58] 摩外正常3.5到5.5,
[00:41:00] 摩外到了10的时候几乎就救不活了,
[00:41:03] 你还记得我摩外到了180往里边流的,
[00:41:05] 所以说,
[00:41:06] 摩外钾高了是为啥不内流,
[00:41:07] 你没发现你不小心错误认为,
[00:41:11] 摩外钾能比摩内高,
[00:41:12] 记住那是不可能的,
[00:41:14] 梦想都不敢梦想,
[00:41:15] 就没那梦想,
[00:41:16] 那胡说,
[00:41:17] 说太阳是我家的,
[00:41:18] 你不怕烫着你手呀,
[00:41:20] 烧你个烫伤呀,
[00:41:22] 没那事儿,
[00:41:23] 摩外钾高无非从5.5到5.8,
[00:41:25] 6.0.5就了不得了,
[00:41:26] 到了7呀8呀,
[00:41:28] 你就救不活了,
[00:41:29] 就你难能往内流,
[00:41:30] 记住摩外钾高地钾无外乎是改变,
[00:41:33] 摩两侧钾度差,
[00:41:35] 不可能让钾子反流去,
[00:41:37] 没那事儿,
[00:41:38] 说我想一想,
[00:41:39] 你想一想,
[00:41:40] 地球是你家的,
[00:41:41] 你扛的动作不那么大的家伙,
[00:41:43] 没那事儿,
[00:41:43] 记住有些能想,
[00:41:45] 有些得想也不能想,
[00:41:46] 没那事儿就哎,
[00:41:48] 天下的啊,
[00:41:49] 高钾低钾只是改变摩两侧钾的浓度差,
[00:41:53] 不会反转摩内钾钾的浓度,
[00:41:56] 不会,
[00:41:56] 嗯,
[00:41:57] 低钾很常见,
[00:41:58] 将来慢慢慢慢学一学久就发现,
[00:42:00] 这个低钾以后人就会发生中期性麻痹,
[00:42:03] 走路就摔倒了,
[00:42:04] 低钾周麻是一种家族遗传病,
[00:42:06] 所以有时候大五的同学们考研,
[00:42:08] 那么同学们低钾周麻是遗传病还是流传一个表现,
[00:42:12] 说是流传表现吧,
[00:42:13] 错,
[00:42:13] 低钾周麻是家族遗传,
[00:42:15] 除此之外,
[00:42:16] 临床还有很多疾病发生低钾周麻,
[00:42:19] 临床很多病会发生低钾周麻,
[00:42:21] 并不影响低钾的周期性麻痹,
[00:42:24] 是遗传病,
[00:42:25] 对了,
[00:42:25] 我们越学习思想就越复杂,
[00:42:28] 这个复杂注意啊,
[00:42:29] 不是胡思乱想,
[00:42:30] 是知识体系就越复杂,
[00:42:32] 所以一直让我学生听一句话,
[00:42:34] 快乐是简单的,
[00:42:36] 而美是复杂的,
[00:42:37] 低钾高钾我解释的比较啰嗦,
[00:42:40] 再听一下,
[00:42:40] 低钾的时候摩两侧钾动度差增大,
[00:42:43] 摩发生超极化,
[00:42:45] 外流多了,
[00:42:46] 高钾声动度差减小,
[00:42:47] 钾流不动,
[00:42:48] 折少了,
[00:42:49] 摩外就没有平时那么正,
[00:42:51] 那么高钾就去几化,
[00:42:53] 低钾就超几化,
[00:42:55] 第一条,
[00:42:56] 第二条,
[00:42:58] 这一节和整个字讲它,
[00:42:59] 摩对钠和钾两个粒子相对选择性的通透,
[00:43:05] 是更容易使钾流动还是钠流动,
[00:43:07] 显然咱们刚才看了,
[00:43:09] 一般细胞膜的钾通透性都是钠的10到100倍,
[00:43:12] 所以显然一般情况下摩主要是对钾通透,
[00:43:16] 所以摩的体积,
[00:43:16] 摩的电位就更接近钾的变成电位-95,
[00:43:20] 谷歌基细胞-90,
[00:43:21] 心室基细胞-90,
[00:43:23] 神经细胞-70,
[00:43:24] 但是在负的那一头,
[00:43:25] 钠是在正的那一头,
[00:43:27] 嗯,
[00:43:28] 相对通透,
[00:43:29] 显然对钾通透性越大,
[00:43:31] 对钠通透性越小,
[00:43:34] 摩的解析电位绝对值就稍微更大一点,
[00:43:38] 稍微更大一些,
[00:43:39] 这么可以这样子,
[00:43:40] 第三个还有一个,
[00:43:42] 就是细胞膜上钠钾泵的活动水平,
[00:43:46] 钠钾泵,
[00:43:46] 咱们在这一章的第一节看了,
[00:43:49] 它有五个结合位点,
[00:43:50] 它活动一次,
[00:43:52] 向摩外转运三个钠,
[00:43:53] 同时指向摩内转运两个钾,
[00:43:56] 所以钠钾泵工作的时候,
[00:43:57] 摩上会多出去一个正点核,
[00:44:00] 多出去一个,
[00:44:01] 那么这会和进气电位对应下来,
[00:44:03] 进气电位是外正内负,
[00:44:06] 没毛病,
[00:44:06] 钠钾泵越工作,
[00:44:08] 出去正点核越多,
[00:44:10] 所以体会钠钾泵的活动会让摩产生超极化,
[00:44:15] 钠钾泵是什么?
[00:44:16] 钠钾泵是产生外向电流的,
[00:44:19] 生理学和物理学一样,
[00:44:21] 规定以正点核流动方向做电流方向,
[00:44:25] 那么这样咱们多听一句话,
[00:44:27] 外向电流会让摩超极化,
[00:44:29] 内向电流会让摩去几化,
[00:44:31] 有吧?
[00:44:32] 正点核往哪走?
[00:44:34] 电流就叫哪个方向,
[00:44:36] 那么如果在进气电位外正内负的背景下,
[00:44:38] 外正内负,
[00:44:39] 这个时候摩上还有外向电流,
[00:44:42] 越流动摩外就越正,
[00:44:43] 摩内就越负,
[00:44:44] 就超极化了,
[00:44:45] 如果内向电流,
[00:44:46] 往里边流,
[00:44:47] 比如纳内流,
[00:44:48] 就把摩内负电核给中核底消掉了,
[00:44:50] 那么内向电流让摩去几化,
[00:44:53] 外向电流让摩超几化,
[00:44:55] 钠钾泵是三个钠出,
[00:44:57] 两个钾进,
[00:44:58] 是外向电流,
[00:44:59] 所以钠钾泵会让摩微微的发生一点,
[00:45:02] 电位值变大,
[00:45:04] 注意咱们说的这个词说微微的,
[00:45:06] 微微的VIV形象生动,
[00:45:10] 有多大这个作用不大,
[00:45:11] 就几个到十几个毫幅,
[00:45:14] 但是有它的时候,
[00:45:16] 电位就会稍微有点超级化,
[00:45:18] 没它的时候,
[00:45:18] 就稍微有点去几化,
[00:45:20] 嗯,
[00:45:20] 这么个样子,
[00:45:21] 所以讲这些东西有用没,
