# 源音频：P59-生理学本科教学及考研基础课 p59 神经系统10-去大脑僵直.m4a
# 时长：3600s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 好同学们,咱们上节课谈了一下一个简单的概念,叫古国机械量感受。
[00:22:45] 天冷的时候摔倒容易把人摔伤,
[00:22:47] 就是
[00:22:48] 戒气管不够兴奋,
[00:22:50] 所以体育锻炼本来是个好事,
[00:22:54] 但是如果不控制锻炼的强度,
[00:22:57] 锻炼的环境,
[00:22:58] 不控制运动前的预热,
[00:23:01] 运动以后的放松动作,
[00:23:03] 锻炼的越多,
[00:23:05] 死的越快,
[00:23:06] 现在网上你打开各种视频,
[00:23:08] 现在视频比较发达了,
[00:23:09] 你能发现每年光死到健身房都有多少,
[00:23:14] 喝完酒之后,
[00:23:15] 味道醒,
[00:23:16] 就会有很多人,
[00:23:16] 早上就来跑步,
[00:23:17] 醉酒的人跑步,
[00:23:18] 跑死在北京朝阳公园,
[00:23:21] 有没有,
[00:23:22] 前段反射同样,
[00:23:27] 戒气管和缩外肌不是缩,
[00:23:30] 戒气管和缩外肌是串联关系,
[00:23:33] 长在肌肉两头肌腱里,
[00:23:36] 感受肌肉的张力,
[00:23:38] 它的目的是肌肉起一个自我保护作用,
[00:23:42] 即使如此的话,
[00:23:43] 日常的训练中,
[00:23:44] 你依然能够看到很多肌肉断裂不当,
[00:23:48] 造成肌肉损伤,
[00:23:49] 损伤以后,
[00:23:50] 骨骼肌,
[00:23:51] 这种横纹肌溶解,
[00:23:53] 咱们大二小朋友不如大三学过药理学,
[00:23:55] 诊断学,
[00:23:55] 病生学慢慢知道了,
[00:23:57] 横纹肌溶解以后,
[00:23:58] 会大量肌红蛋白释放出去,
[00:24:00] 肌红蛋白将来在尿液中生成排到体外,
[00:24:02] 叫肌红蛋白尿,
[00:24:03] 这种肌红蛋白大量的排出,
[00:24:05] 会造成肾道的损害,
[00:24:07] 实际上横纹肌溶解就是临床上很常见的一种,
[00:24:11] 肾性的肾衰解,
[00:24:13] 跑步跑得肾衰了,
[00:24:14] 需要透吸,
[00:24:15] 一点都不是笑话,
[00:24:18] 实际上学过真正把专业学明白才明白,
[00:24:21] 学明白学会之后才知道,
[00:24:23] 任何事情都是适可而止,
[00:24:25] 肉再好也本质的太多,
[00:24:27] 对了,
[00:24:28] 酒再好也是稍微喝一两口,
[00:24:30] 最佳酒酱也不见得入抓,
[00:24:32] 我这样打个比方,
[00:24:34] 所以实际上切断反射,
[00:24:36] 你看任何一事,
[00:24:36] 咱们是拿两节课讲的一个词,
[00:24:38] 因为它设定面,
[00:24:40] 所以它的深度广度比咱们想的要多,
[00:24:43] 行了,
[00:24:44] 这样的话咱们就先把切断反射这个话题终止,
[00:24:48] 好,
[00:24:48] 我们就先把这些课题终止下来,
[00:24:50] 这一节课如果说非要出一个关键词,
[00:24:52] 就刚才谈了一下,
[00:24:53] 说为什么他说,
[00:24:55] 刺激伽马神经元引发的肌肉收缩,
[00:24:59] 叫做延长的切断反射,
[00:25:02] 还是那句老话,
[00:25:03] 切拉肌肉是由肌缩性分支直接把肌缩拉长的,
[00:25:07] 刺激伽马神经元中间得倒一手,
[00:25:10] 通过缩内肌把两头收缩,
[00:25:12] 把两个拇指结局变大,
[00:25:13] 所以今天一开始说,
[00:25:15] 这个情况叫做不变肌缩长度,
[00:25:18] 感受装置长度,
[00:25:19] 不像切断反射过程中,
[00:25:21] 教程打开度,
[00:25:22] 谁没事敢把教程页码给他写那,
[00:25:24] 发现在正常的无级切断反射过程中,
[00:25:28] 伽马神经元放电数评也是增高的,
[00:25:30] 为什么增高?
[00:25:31] 伽马放电,
[00:25:32] 让算定器这样收缩,
[00:25:34] 只变肌缩长度,
[00:25:36] 不变感受装置长度,
[00:25:39] 防止这个肌肉变短了以后呀,
[00:25:41] 感受装置变得松弛,
[00:25:43] 松垮垮的,
[00:25:44] 像吉他说弹一个小曲,
[00:25:45] 吉他弦松了,
[00:25:47] 不能不能不能,
[00:25:48] 弹不响,
[00:25:49] 你只要弹到一定时候,
[00:25:51] 就调音,
[00:25:52] 得调音吧,
[00:25:53] 调一根弦,
[00:25:54] 然后别的发生解析工程了,
[00:25:55] 还调,
[00:25:56] 所以说开朗笑说,
[00:25:57] 吉他绿箱琴,
[00:25:58] 它是什么样的一个音调的琴呀,
[00:26:00] 是异调琴,
[00:26:02] 就它的空弦,
[00:26:04] 你不用压品格,
[00:26:05] 弹出那个声音,
[00:26:07] 最粗的上面这个是粗的,
[00:26:08] 就是低音的咪,
[00:26:10] 下面那个就是低音的,
[00:26:12] 高音的咪,
[00:26:13] 这属于C调的咪,
[00:26:14] C调的咪正好对,
[00:26:15] CDE,
[00:26:16] CDEFJB,
[00:26:17] 它七个音,
[00:26:18] 往下走,
[00:26:19] 所以正好这个C调的E,
[00:26:21] E调的咪,
[00:26:23] 就正好是,
[00:26:24] 口供,
[00:26:25] 这C调的咪,
[00:26:26] 正好就是E调的刀,
[00:26:28] 对了,
[00:26:29] 低音咪和高音咪说的是C调的咪,
[00:26:31] 所以那属于它咪,
[00:26:32] 正好就是G调的拉,
[00:26:34] 拉嘻叨,
[00:26:35] 拉嘻叨,
[00:26:36] 拉嘻叨,
[00:26:37] 嘻叨咪嘻,
[00:26:38] 那个,
[00:26:39] 那个咱们玩吉他都知道,
[00:26:40] 吉他你不用六根弦,
[00:26:41] 都调着,
[00:26:42] 调音器调,
[00:26:43] 调好一根弦,
[00:26:44] 定住了那一口,
[00:26:45] 下面压住品格往上走,
[00:26:46] 等等等等,
[00:26:47] 这样跟你一讲,
[00:26:48] 你一听说,
[00:26:49] 哦,
[00:26:50] 这就肌缩呀,
[00:26:51] 也真是,
[00:26:52] 肌肉缩短的时候,
[00:26:53] 我不能想吉他,
[00:26:54] 你松脑血儿,
[00:26:55] 不能不能不能,
[00:26:56] 没敏感性,
[00:26:57] 我怎么保持肌肉不通常度的时候,
[00:26:59] 肌缩都是敏感的,
[00:27:00] 那,
[00:27:01] 调节伽马神经的放电视频,
[00:27:03] 那么生理情况下,
[00:27:05] 我的肌肉很松弛,
[00:27:06] 伽马神经也放电,
[00:27:07] 不,
[00:27:08] 放电的,
[00:27:09] 放电的,
[00:27:10] 维持肌体的一个基本姿势,
[00:27:11] 所以就像胸怀系统的交感缩缺口纤维一样,
[00:27:15] 你还记得一个词,
[00:27:18] 基础紧张性,
[00:27:19] 到了这儿,
[00:27:20] 咱们得想,
[00:27:21] 伽马神经也是具有基础紧张的,
[00:27:23] 维持人体的基本姿势,
[00:27:25] 你不能像葛优滩那样,
[00:27:27] 肌肉就松弛了,
[00:27:28] 那也不行,
[00:27:29] 基本的有一个叫团结紧张,
[00:27:31] 严肃活泼,
[00:27:33] 这个概念,
[00:27:34] 嗯,
[00:27:35] 一旦咱们这个地方有了一个延长的前掌反射的概念的话,
[00:27:40] 那么接下来就能读咱们神经系统了呀,
[00:27:43] 最敏感一个话题了,
[00:27:44] 叫做去脏脑僵持,
[00:27:46] 去脏脑僵持开始,
[00:27:47] 你先听一听,
[00:27:48] 这句话,
[00:27:49] 本质上讲,
[00:27:50] 从本质上看过去,
[00:27:52] 去脏脑僵持,
[00:27:53] 不过是一个延长的,
[00:27:55] 并且增强的,
[00:27:57] 前掌反射,
[00:27:59] 延长的都好,
[00:28:01] 增强的,
[00:28:02] 是两个定义,
[00:28:03] 前掌反射,
[00:28:05] 延长的前掌反射,
[00:28:06] 延长并且增强的,
[00:28:08] 前掌反射,
[00:28:10] 一位网上生,
[00:28:11] 标配,
[00:28:12] 小米10,
[00:28:13] 10plus,
[00:28:14] 10plus and pro,
[00:28:16] 对了,
[00:28:17] 那么一旦是就到1,
[00:28:18] 延长的时候,
[00:28:19] 你想起了谁呢,
[00:28:20] 伽马生结,
[00:28:23] 本质上,
[00:28:24] 去脏脑僵持这个现象,
[00:28:25] 怎么发生的,
[00:28:26] 伽马生结,
[00:28:27] 放电水平太高了,
[00:28:29] 去脏脏伽马生结,
[00:28:30] 怎么去放电呢,
[00:28:31] 咱们开始研究整个脑干机,
[00:28:33] 紧张的调节,
[00:28:34] 就实际一个问题,
[00:28:35] 什么问题,
[00:28:36] 读完这一条内容,
[00:28:37] 学了一个东西,
[00:28:38] 生理进化下,
[00:28:39] 伽马生结源有基础放电,
[00:28:40] 放电水平不高也不低,
[00:28:41] 为什么,
[00:28:42] 这才发现,
[00:28:43] 教材非常谨慎跟你写,
[00:28:45] 在网状结构的地方,
[00:28:50] 异化系统,
[00:28:51] 所以这示意图上给你画的很清楚,
[00:28:53] 你往下读,
[00:28:54] 异质和异化,
[00:28:55] 他这样写的说,
[00:28:56] 异质系统,
[00:28:57] 范围比较小,
[00:28:58] 异化系统范围比较大,
[00:29:00] 一个地方给你写了,
[00:29:01] 5就是网状结构的异化区,
[00:29:04] 异化区,
[00:29:05] 它区域比较大,
[00:29:07] 4就是在这个地方,
[00:29:09] 就是异质区,
[00:29:10] 异质区比较小,
[00:29:11] 5,6在这儿了,
[00:29:12] 你看5这么大,
[00:29:13] 4只有这么大,
[00:29:15] 这样的话,
[00:29:16] 加起来看一下脑干,
[00:29:17] 对于基础上的调节,
[00:29:20] 主要是什么作用,
[00:29:21] 异质,
[00:29:22] 如果生理学在神经生理学这个地方,
[00:29:24] 有一个入门点的话,
[00:29:25] 就在这儿,
[00:29:26] 体会一下,
[00:29:27] 脑干对基础上,
[00:29:28] 异化区域搭吧,
[00:29:29] 所以是异化为主的,
[00:29:31] 脑干以上部位,
[00:29:33] 是异质作用为主的,
[00:29:35] 你怎么知道的,
[00:29:36] 就在这儿,
[00:29:37] 所以沙尖哥已经讲过了,
[00:29:38] 我拿一个小动物,
[00:29:39] 一般是拿视野动物猫,
[00:29:40] 视野中心体,
[00:29:41] 你不能从街上抓一只猫,
[00:29:42] 所以那一年我记得,
[00:29:43] 那一年是哪个大学,
[00:29:44] 不能说名字了,
[00:29:45] 背着,
[00:29:46] 北方的一个很大的大学,
[00:29:48] 有几个老师,
[00:29:49] 就在院里,
[00:29:50] 背着两只野生猫,
[00:29:51] 给人拿着视野室做视野,
[00:29:52] 那一年往下喷得很厉害,
[00:29:54] 这个第一个,
[00:29:55] 不符合异学动物伦理学,
[00:29:57] 道德也不符合,
[00:29:59] 第二,
[00:30:00] 还有安全,
[00:30:01] 生命安全的问题,
[00:30:02] 我们在视野使用的视野动物,
[00:30:04] 是通过学校里边,
[00:30:05] 正规的渠道,
[00:30:06] 实际上是有国家动物伦理委员会,
[00:30:08] 批准文号的,
[00:30:09] 视野动物是通过学校里边,
[00:30:11] 正规的渠道,
[00:30:12] 实际上是有国家动物伦理委员会,
[00:30:15] 批准文号的,
[00:30:16] 实验动物,
[00:30:17] 它是不是无菌的,
[00:30:18] 是不是安全的等等,
[00:30:19] 设想一下,
[00:30:20] 就算是一个医学老师,
[00:30:23] 你从街上抓一只野生动物过来,
[00:30:25] 就动物的,
[00:30:26] 应该叫天赋的权利而已,
[00:30:29] 上帝给予一个生命权而已,
[00:30:31] 你本身是不是在侵犯,
[00:30:33] 你开口闭口给人讲自由,
[00:30:34] 说一等,
[00:30:35] 你的自由是他们哪个自由,
[00:30:36] 是你的自由,
[00:30:37] 是别人的死吗?
[00:30:38] 我也是读小说,
[00:30:41] 读,
[00:30:42] 应该是读雪崩海盗行,
[00:30:45] 我记得,
[00:30:46] 雪崩海盗好像是,
[00:30:48] 说他去的一个,
[00:30:49] 是,
[00:30:50] 是,
[00:30:51] 是什么,
[00:30:52] 不是雪崩海盗行,
[00:30:53] 是另外一部小说,
[00:30:55] 叫,
[00:30:56] 苏景,
[00:30:57] 走一程看一行,
[00:30:58] 那本书叫搬山,
[00:30:59] 叫,
[00:31:00] 我记不太清名字了,
[00:31:01] 都在这儿货写了书,
[00:31:02] 说他到了地狱一看,
[00:31:04] 有一个老头,
[00:31:05] 告一个老太太一家,
[00:31:06] 说他们家,
[00:31:07] 一想打死我们家300多口,
[00:31:08] 打300多口,
[00:31:09] 这家多坏啊,
[00:31:10] 一问,
[00:31:11] 哦,
[00:31:12] 这老头家是谁啊,
[00:31:13] 是蝗虫家族,
[00:31:14] 那地狱里边,
[00:31:15] 蝗虫一只也算一条命啊,
[00:31:16] 人家不管是,
[00:31:17] 没说是一条人命,
[00:31:18] 一条狗命也是一条命吧,
[00:31:19] 一条蝗虫是命,
[00:31:20] 说他们家,
[00:31:21] 帮我们家一想打伤了300多口,
[00:31:23] 杀蝗虫杀了,
[00:31:24] 所以那一刻就体会出,
[00:31:25] 是,
[00:31:26] 你一直给人讲自由,
[00:31:27] 讲人权,
[00:31:28] 讲天赋人权,
[00:31:30] 你的权利对一个民族有权利,
[00:31:33] 对另一个民族就意味着没有权利吗,
[00:31:36] 咱们学生物医学的,
[00:31:37] 咱们讲究生命权第一,
[00:31:40] 你怎么样讲的,
[00:31:42] 所以我怎么讲这么多,
[00:31:44] 就是静下来,
[00:31:45] 一边做学问,
[00:31:46] 一边提高,
[00:31:47] 一边往往重新感受一下,
[00:31:49] 让你自然这种和谐,
[00:31:51] 好吗,
[00:31:52] 那哪,
[00:31:53] 和谐,
[00:31:54] 所以世界上人家习大大也唱到这种和谐,
[00:31:56] 胡大大也唱到,
[00:31:57] 科学发展要和谐,
[00:31:59] 对了,
[00:32:00] 媒介领导人就在唱,
[00:32:01] 就是说,
[00:32:02] 你是不是真正遇上和谐,
[00:32:03] 能静下来思考一个事情不,
[00:32:05] 比如说,
[00:32:06] 学生可以随便的批评一个老师的教学方法,
[00:32:08] 观点有问题,
[00:32:09] 老师能不能说学生,
[00:32:11] 那这两天网上有这样一些新闻,
[00:32:15] 我也作为一个老师,
[00:32:16] 能再想,
[00:32:17] 这个事儿,
[00:32:18] 一旦形成这样一个社会风气以后,
[00:32:21] 因为受教育本身,
[00:32:22] 没有什么所谓的快乐教育,
[00:32:24] 实际上你要一旦热爱医学事业,
[00:32:27] 你读切断法则再难,
[00:32:29] 你也不觉得受虐,
[00:32:30] 否则你会觉得老师把东西专门讲难了,
[00:32:32] 他没难,
[00:32:33] 我是不是他给我设了一个障碍,
[00:32:35] 他欺负我,
[00:32:36] 看不起我,
[00:32:37] 他原本没这个意思,
[00:32:40] 所以这样一个管道,
[00:32:41] 是不是像复返回那样,
[00:32:43] 双向调节,
[00:32:44] 而不是像是内入街头那样,
[00:32:46] 单向开放,
[00:32:47] 那,
[00:32:48] 中枢严格,
[00:32:49] 而类似于这儿,
[00:32:51] 它其实不合适,
[00:32:52] 就是你越读书越提高,
[00:32:54] 你慢慢体会你对于人和其他的动物或者自然界的一些环境,
[00:32:59] 你还是难免会想一点,
[00:33:00] 这里边不是讲废话,
[00:33:02] 就是听下来,
[00:33:03] 拿一只动物猫过来,
[00:33:05] 麻醉以后,
[00:33:06] 开个云,
[00:33:07] 从它的中脑的上下丘之间,
[00:33:09] 上丘下丘,
[00:33:11] 听觉视觉四个突起,
[00:33:13] 把它离断之后,
[00:33:14] 你想,
[00:33:15] 我要把中脑和中脑以上部位给它离断以后,
[00:33:17] 咱们看着这张可见儿说话,
[00:33:19] 这个时候,
[00:33:20] 连在脊髓上,
[00:33:21] 就没有大脑,
[00:33:22] 小脑就没有了,
[00:33:23] 离断了,
[00:33:24] 切断了,
[00:33:25] 没有了,
[00:33:26] 只留下,
[00:33:27] 在脊髓上方留下脑干,
[00:33:28] 而脑干本身,
[00:33:29] 对于肌紧张又是异化的,
[00:33:32] 在这一节一开始就讲,
[00:33:37] 阿尔法神经元,
[00:33:39] 支配缩内肌产生动作,
[00:33:42] 通过肌力改变,
[00:33:43] 伽马神经元通过缩内肌,
[00:33:47] 改变肌缩敏感性,
[00:33:48] 影响肌张力,
[00:33:50] 所以实际上,
[00:33:51] 脑干对肌紧张的调节,
[00:33:53] 一翻译一下,
[00:33:54] 就是脑干对伽马神经元放电水平的影响,
[00:33:58] 我们世界上正中生命学学到这个地方以后,
[00:34:00] 很敏感,
[00:34:01] 学了一个东西,
[00:34:02] 脑干和脑干以下部对伽马神经元放电水平,
[00:34:06] 是异化的,
[00:34:07] 脑干以上的部位,
[00:34:09] 是抑制的,
[00:34:10] 所以切断以后,
[00:34:11] 留在伽马神经元上,
[00:34:12] 只有脑干的异化,
[00:34:14] 一旦你切断之后,
[00:34:17] 伽马神经元放电水平,
[00:34:19] 就提高,
[00:34:20] 比肌头紧张性要高得多,
[00:34:22] 那么这个时候,
[00:34:23] 伽马神经元放电水平高得怎么样?
[00:34:25] 咳咳,
[00:34:26] 刚才学了很多东西,
[00:34:28] 伽马神经元放电水平一高,
[00:34:30] 就持续的说明,
[00:34:31] 你一直收缩,
[00:34:32] 就算我没有拉肌肉,
[00:34:34] 肌缩一直在放电,
[00:34:35] 肌缩一放电,
[00:34:36] 前两反射一直就发生,
[00:34:38] 这个前两反射发生了以后,
[00:34:42] 事业动物表现,
[00:34:43] 脚弓反张,
[00:34:44] 收尾昂起,
[00:34:46] 去挡挡僵持,
[00:34:47] 所以这个地方一旦堵过去,
[00:34:49] 那僵持是怎么办?
[00:34:50] 是伽马神经元放电水平太高了,
[00:34:52] 伽马神经元放电水平这么好就高了,
[00:34:54] 因为实际情况下,
[00:34:55] 伽马神经元既接触脑干,
[00:34:57] 脑干也要异化,
[00:34:58] 又接触脑干也是要异质,
[00:35:00] 异质和异化,
[00:35:01] 平行,
[00:35:02] 动态平衡了,
[00:35:04] 诶,
[00:35:05] 它的放电水平不高也不低,
[00:35:06] 现在拿小刀子从上下修直接爬一地段,
[00:35:08] 下球再往下走,
[00:35:10] 它只是异化,
[00:35:11] 它一直让放电,
[00:35:12] 上面不让放电的,
[00:35:13] 一个切蛋来不了,
[00:35:14] 下面就放了,
[00:35:15] 所以一定在这听懂它,
[00:35:17] 驱动的僵持本身,
[00:35:18] 就是伽马神经元放电水平太高了,
[00:35:21] 我讲课的时候把语言放得粗俗一点,
[00:35:24] 说驱动的僵持本质是什么,
[00:35:26] 就他妈伽马神经元下放电,
[00:35:29] 伽马神经元先他妈放电,
[00:35:31] 就表现为去打脑僵持,
[00:35:34] 搅公反章,
[00:35:35] 那么伽马神经元下放电,
[00:35:37] 驱动的僵持这是什么发生机制,
[00:35:39] 伽马神经元一直放电,
[00:35:41] 孙力基一直出错,
[00:35:42] 我就没有拉肌肉,
[00:35:43] 但肌酸一直兴奋,
[00:35:44] 为什么,
[00:35:45] 这样拉的,
[00:35:46] 孙力基变短了,
[00:35:47] 往两头拉,
[00:35:48] 肌酸一直,
[00:35:49] 肌酸一直兴奋,
[00:35:50] 一里二里结为传物,
[00:35:52] 到脊髓后脚进去,
[00:35:53] 前脚出来,
[00:35:54] 二耳神经元缩在一起,
[00:35:55] 肝一直收缩,
[00:35:57] 所以体会一下,
[00:35:58] 去打脑僵持的本身,
[00:36:00] 不过是一个延长的,
[00:36:03] 并且增强的,
[00:36:05] 欠上反射,
[00:36:07] 仅此而已,
[00:36:08] 去打脑僵持,
[00:36:11] 上下秋之间离断,
[00:36:13] 所以在这一节课这儿,
[00:36:16] 通过各种各样啰嗦事,
[00:36:18] 讲了个事儿,
[00:36:19] 哪个事儿,
[00:36:20] 在刚才伽马神经元基础之上,
[00:36:21] 这一节课讲了一个话,
[00:36:22] 什么话题,
[00:36:23] 说,
[00:36:24] 伽马神经元,
[00:36:25] 像循环系统学过的交感,
[00:36:26] 缩绣和歇位一样,
[00:36:27] 也是具有基础的阳性的,
[00:36:29] 它既有中脑和中脑以下的异化,
[00:36:32] 又有中脑以下的异智,
[00:36:34] 所以一旦拿一个小动物过来做实验,
[00:36:36] 从中脑这儿,
[00:36:37] 啪一离断,
[00:36:38] 这个时候留在伽马上,
[00:36:40] 只剩下异化,
[00:36:41] 而没有异致,
[00:36:42] 所以离断之后,
[00:36:43] 伽马神元也巴拉巴拉,
[00:36:44] 异致放电,
[00:36:45] 异致放电,
[00:36:47] 极速的异致下腺风,
[00:36:48] 没人拉他就下个腎,
[00:36:50] 他下腺风,
[00:36:51] 肌肉就闪,
[00:36:52] 下收缩,
[00:36:53] 收缩完了之后,
[00:36:54] 视野动物就往后一仰,
[00:36:55] 这也说明,
[00:36:56] 身体的生殖,
[00:36:57] 生殖的生,
[00:36:58] 比取舍的力量要大,
[00:37:00] 缺声肌股,
[00:37:01] 不正常的进来前收缩的时候,
[00:37:03] 因为后背的量大,
[00:37:05] 拉的视野动物后背,
[00:37:06] 就往后面一仰了,
[00:37:07] 这就叫缺氮脑僵持,
[00:37:11] 这块内容再往下读,
[00:37:12] 我不翻课件了,
[00:37:13] 你往下读,
[00:37:14] 你发现,
[00:37:15] 这个已经发生了缺氮脑僵持的动物,
[00:37:17] 你把它抱起来,
[00:37:19] 它只有在侧偶或仰卫的时候,
[00:37:21] 像个独木桥一样,
[00:37:23] 死毒皮王气骨,
[00:37:24] 头和脚挨着地,
[00:37:25] 背挨不得地,
[00:37:26] 弓起来了,
[00:37:27] 往后,
[00:37:28] 所以叫脚弓反张,
[00:37:30] 缺氮脑僵持,
[00:37:31] 这个小动物你抱起来,
[00:37:33] 还有这个动物,
[00:37:34] 一做过实验以后,
[00:37:35] 手尾扬起来,
[00:37:36] 你把它抱起来,
[00:37:37] 给它趴下来,
[00:37:38] 仰卫的时候,
[00:37:39] 脚弓反张,
[00:37:40] 俯卧卫的时候,
[00:37:41] 再一摸,
[00:37:42] 再一检查,
[00:37:43] 背部的肌肉,
[00:37:44] 肌脏力反而最低,
[00:37:45] 一个去大脑僵持的实验动物,
[00:37:49] 体位发生改变的时候,
[00:37:51] 伸侧后背和曲侧腹部,
[00:37:54] 这个肌肉的力量张力,
[00:37:56] 还会发生改变,
[00:37:57] 说明脑干,
[00:38:00] 在调节肌体的肌脏力高低的时候,
[00:38:04] 和头部与躯干,
[00:38:06] 与空间的重力,
[00:38:08] 方向是有关系的,
[00:38:10] 脑干调节肌脏力,
[00:38:14] 和重力是有关系的,
[00:38:17] 把这个现象我们称之为迷路紧张,
[00:38:20] 和精紧张反射,
[00:38:22] 所以经典的生理学事业里有一个,
[00:38:24] 把事业动物做到上海旧地铁一段以后,
[00:38:27] 把动物拿起来,
[00:38:28] 四个天拎起来,
[00:38:29] 二楼把他往下扔的时候,
[00:38:30] 他依然在空中会转圈,
[00:38:32] 先把头转过来,
[00:38:34] 对着地面,
[00:38:35] 四肢再转过来,
[00:38:38] 他的脑干是能感受到重力作用,
[00:38:41] 然后让身体变得四肢落地,
[00:38:44] 迷路紧张,
[00:38:47] 脖子一转以后,
[00:38:49] 脖子的肌肉张力改变,
[00:38:51] 再牵拉去人的感受器,
[00:38:52] 让四肢慢慢也转过来,
[00:38:54] 空中有个旋转,
[00:38:55] 空中这个旋转是由脑干控制的,
[00:38:58] 其实讲到这个地方,
[00:38:59] 我多说一句话,
[00:39:00] 或许没有关系,
[00:39:01] 或许是平行了,
[00:39:02] 哪一句话,
[00:39:03] 你发现你学过铲子之后,
[00:39:05] 一个孩子生出来,
[00:39:06] 在妈妈的铲道里,
[00:39:08] 是要发生这么一个旋转的,
[00:39:10] 甚至我有同事到山西,
[00:39:12] 在武台山,
[00:39:13] 我没去过,
[00:39:14] 叫人之初,
[00:39:15] 有个小景点,
[00:39:16] 有个很细的一个孔洞,
[00:39:17] 人可以从里边钻过去,
[00:39:19] 但是注意,
[00:39:20] 你直接钻不过去,
[00:39:21] 以后转一下,
[00:39:22] 脖子转圈,
[00:39:23] 身体在里边转个圈,
[00:39:24] 就能滚出来,
[00:39:25] 和人在妈妈身体里边出生一次,
[00:39:28] 一模一样,
[00:39:29] 你不转一下是出不来的,
[00:39:31] 你看那个孔,
[00:39:32] 转不过去,
[00:39:33] 人一转就转出来,
[00:39:34] 就这个样子,
[00:39:35] 所以加拿大学法产科,
[00:39:36] 对这样的话题,
[00:39:37] 影响很深刻,
[00:39:38] 这个迷路紧张,
[00:39:40] 紧紧张反射,
[00:39:42] 都是脑干来控制,
[00:39:46] 所以整个驱动的僵持,
[00:39:47] 这个概念并不难,
[00:39:50] 但是要学会它,
[00:39:51] 你得听懂,
[00:39:52] 我们整个体验,
[00:39:53] 整个的第四阶开始,
[00:39:54] 这样讲的,
[00:39:55] 前掌反射,
[00:39:58] 延长的前掌反射,
[00:40:00] 延长并且增强的前掌反射,
[00:40:03] 怎么增强的,
[00:40:04] 中大上海求生界法的一段以后,
[00:40:06] 留在巴马神学上,
[00:40:07] 只留下一话,
[00:40:08] 而没有意志,
[00:40:10] 没有意志,
[00:40:11] 那么这一个驱动的僵持,
[00:40:13] 是一个延长并且增强的前掌反射,
[00:40:15] 你拿什么来证明的,
[00:40:16] 所以事业中,
[00:40:17] 就要在这儿给你写了,
[00:40:18] 你要是在事业过程中,
[00:40:20] 你切断事业动物的,
[00:40:22] 前掌反射服务,
[00:40:24] 所以这一刻,
[00:40:25] 咱们在复习前掌反射服务,
[00:40:26] 怎么长的,
[00:40:28] 感受其实极缩,
[00:40:29] 上面点的一里,
[00:40:30] 二里纤维,
[00:40:31] 传入纤维,
[00:40:32] 到脊椎后脚,
[00:40:33] 进入脊椎这个中枢,
[00:40:36] 前脚按法神经元传出,
[00:40:38] 导缩外肌,
[00:40:39] 效应器,
[00:40:40] 所以感受光致,
[00:40:41] 然后传入中枢传出,
[00:40:43] 效应器五个部分,
[00:40:45] 这是基本的反射服务的结构,
[00:40:47] 所以教材这儿说,
[00:40:49] 事业动物发生了脚弓反掌以后,
[00:40:54] 我在后脚这儿,
[00:40:55] 给它切断,
[00:40:56] 切断脊椎后脚,
[00:41:00] 极缩的信号传导,
[00:41:02] 就在传入进去了,
[00:41:03] 把反射服切断了,
[00:41:05] 那么切断反射没法实现了,
[00:41:06] 结果你就发现,
[00:41:07] 教材这儿跟你写,
[00:41:08] 切断事业动物相应的脊椎后脚以后,
[00:41:11] 脚弓反掌,
[00:41:13] 这现象就消失了,
[00:41:14] 拿它来证明一下,
[00:41:15] 脚弓反掌最后怎么实现的,
[00:41:17] 是借着切断反射那条路实现的,
[00:41:21] 我没拉肌肉呀,
[00:41:23] 对呀,
[00:41:24] 所以给它起名字叫延长的,
[00:41:26] 并且增强两个脚,
[00:41:28] 也就是说,
[00:41:29] 延长的并且增强的切断反射,
[00:41:32] 可以通过切断脊椎后脚,
[00:41:36] 切断反射弧的方式,
[00:41:38] 把它终止下来,
[00:41:40] 终止下来,
[00:41:41] 这就是著名的去脑脑僵持,
[00:41:45] 去脑脑僵持,
[00:41:46] 因为切断,
[00:41:47] 切断反射反射弧,
[00:41:49] 就终止了,
[00:41:50] 而这个情况下,
[00:41:51] 我没有拉肌肉,
[00:41:52] 切断反射怎么兴奋起来的,
[00:41:54] 是伽马神经也兴奋的,
[00:41:56] 所以去脑脑僵持本身,
[00:41:58] 往回看,
[00:42:00] 就是一个动物,
[00:42:01] 由于伽马神经也异常放电,
[00:42:04] 造成急缩不强荡的兴奋,
[00:42:06] 引发了一个增强的切断反射,
[00:42:09] 所以,
[00:42:10] 我们就把,
[00:42:12] 去脑脑僵持,
[00:42:13] 又叫做,
[00:42:14] 伽马僵持,
[00:42:15] 是伽马本质上最终,
[00:42:18] 还是伽马神经也放电造成的,
[00:42:21] 所以叫,
[00:42:22] 伽马僵持,
[00:42:24] 嗯,
[00:42:25] 去脑脑僵持,
[00:42:26] 就是伽马僵持,
[00:42:27] 去脑脑僵持这个现象,
[00:42:28] 又叫做,
[00:42:29] 脚弓反张,
[00:42:30] 表现为,
[00:42:31] 收尾盎气,
[00:42:32] 脚弓反张,
[00:42:33] 但是这个,
[00:42:34] 你自己都说,
[00:42:35] 是在事业动物侧胃或仰卫实现的,
[00:42:38] 这个动物如果俯卧背,
[00:42:40] 背部的张力反而最低,
[00:42:42] 所以这又反映咱们脑干,
[00:42:44] 对于头部与空间重点的关系,
