# 源音频：P31-生理学本科教学及考研基础课 p31 呼吸-第四节（呼吸运动的调节）.m4a
# 时长：1957s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:01] 好同学们,这下咱们就接下来看一下呼吸这一章的第四节,有关呼吸运动的调节。
[00:22:06] 和主脉体
[00:22:07] 来实现的
[00:22:08] 现在我们刚刚第一次接触生理学
[00:22:10] 还不明白
[00:22:11] 在那个大五学到内科
[00:22:12] 学呼吸内科
[00:22:13] 你发现
[00:22:13] 肺心病人在吸氧制造的时候
[00:22:16] 只敢吸低度氧气
[00:22:18] 因为病人长期二氧化碳储留
[00:22:21] 肺心病患者中枢的感受器
[00:22:23] 已经适应了
[00:22:24] 不会放电
[00:22:25] 那么就剩下外周这点低氧
[00:22:28] 刺激患者呼吸兴奋
[00:22:30] 这个时候你给病人吸高度氧气
[00:22:32] 血液中的氧风压一升高
[00:22:35] 这两个感受器没人刺激
[00:22:36] 没有氧风压低
[00:22:37] 他就不刺激了
[00:22:38] 而中枢感受器又适应了
[00:22:41] 不放电
[00:22:42] 中枢不放电
[00:22:43] 剩下外周放电
[00:22:44] 你吸高度氧气
[00:22:46] 把它有抑制了
[00:22:46] 也不放电
[00:22:47] 中枢不放电
[00:22:48] 外周也不放电
[00:22:49] 所以会发生意外
[00:22:51] 吸高度的氧气
[00:22:53] 反而容易造成患者死亡
[00:22:56] 这是公元2020年
[00:22:57] 我记得去年网上有个消息
[00:22:59] 有个女生带爸爸到医院治疗
[00:23:01] 看见旁边床上老大爷老大妈妈
[00:23:04] 吸氧的时候
[00:23:04] 这个氧气管一开
[00:23:06] 你知道他氧气是要通过酒精
[00:23:09] 来去掉气体
[00:23:10] 原本张力的
[00:23:11] 咕噜咕噜吹泡泡
[00:23:13] 冰里的氧气是要通过酒精来去掉气体原本张力的
[00:23:13] 别人吸氧的时候
[00:23:14] 咕噜咕噜吹泡泡很大
[00:23:16] 氧气量很大
[00:23:17] 说我爸爸也交到住院费了
[00:23:18] 你给我开这么小干嘛
[00:23:20] 晚上一看护士不在
[00:23:21] 偷偷开搭了
[00:23:22] 结果早上起来
[00:23:23] 爸爸凉了
[00:23:24] 这是真事
[00:23:26] 吸高度氧气
[00:23:28] 是要付出代价的
[00:23:30] 要死人的
[00:23:32] 为什么一个人明明缺氧
[00:23:33] 定度
[00:23:34] 明明氧风压低
[00:23:36] 缺氧
[00:23:37] 机器子干
[00:23:38] 上一节学的内容是子干
[00:23:40] 都子不留球的
[00:23:40] 缺氧了
[00:23:41] 你还不敢吸高度氧气
[00:23:43] 就因为中枢化氧气有三大特点
[00:23:47] 作用强
[00:23:48] 气消慢
[00:23:50] 易适应
[00:23:50] 就是通过维持患者一点低氧血症
[00:23:54] 来刺激患者呼吸腥风的
[00:23:56] 一旦给他吸高度氧气
[00:23:57] 把这个腥风点打掉
[00:24:00] 人就会发生呼吸
[00:24:02] 进一步受抑制
[00:24:03] 生息
[00:24:04] 甚至呼吸
[00:24:06] 骤停的
[00:24:07] 这么一个恶性的结果
[00:24:09] 所以网上看到了真实案例以后
[00:24:11] 作为老师哭笑不得
[00:24:13] 我就还开了个玩笑说
[00:24:14] 让你不学生理学
[00:24:16] 但是这个内容注意
[00:24:17] 脏物是要一辈子拿来用的
[00:24:19] 所以讲到呼吸里
[00:24:20] 让最后一个内容脏物都不敢放松
[00:24:22] 再背一下
[00:24:23] 中枢的话感受起感受的是谁
[00:24:25] 是脑脊液的氢
[00:24:27] 但脑脊液贴身也没有氢
[00:24:29] 氢哪来的
[00:24:30] 氢是来自于血液的氨氨化钛
[00:24:32] 所以是不是这样听一下
[00:24:33] 脑脊液的氢是适宜刺激
[00:24:37] 血液中氨化钛风压才是生理刺激
[00:24:41] 生理的因素
[00:24:42] 氨化碳有效的因素
[00:24:45] 脑脊液的氢
[00:24:48] 我讲的已经够啰嗦了
[00:24:49] 这块内容在整个医学体系中非常重要
[00:24:53] 希望同学们一定背下来
[00:24:55] 再背一次
[00:24:55] 中枢化学感受器三大特点
[00:24:58] 纵强
[00:25:00] 气消脉
[00:25:01] 易适应
[00:25:03] 一辈子不要忘
[00:25:04] 哪得用
[00:25:06] 肺血病人只能吸入低动作低流量氧气
[00:25:09] 动作大是要死人的
[00:25:12] 这张课件反映了一下
[00:25:14] 学业中
[00:25:14] 氨化钛风压氧风压轻浓度
[00:25:16] 这三个因素各自作用
[00:25:18] 氨化钛不用问
[00:25:19] 是最主要的调节因子
[00:25:21] 而且作用很强
[00:25:22] 作用很强
[00:25:23] 但是如果吸入气供往下堵
[00:25:25] 在临床上
[00:25:27] 患者体内氨化钛风压太高的时候
[00:25:30] 上一章上个学循环能读一国
[00:25:32] 脑循环
[00:25:33] 对氨化钛风压是敏感的
[00:25:35] 一旦氨化钛风压太高
[00:25:36] 比如超过70个毫米公度以上
[00:25:39] 或者脑血管就失去一个
[00:25:42] 子生条件的能力了
[00:25:43] 发生血管
[00:25:44] 扩张
[00:25:45] 病人出现头痛
[00:25:46] 呕吐之事
[00:25:47] 而是颅内压力增高
[00:25:49] 在临床把它称之为
[00:25:50] 氨化钛麻醉
[00:25:52] 又叫做肺心
[00:25:53] 脑病
[00:25:55] 这个第三条
[00:25:56] 就咱们刚才谈过的
[00:25:57] 吸入气氨化钛增加的时候
[00:25:59] 可以通过中枢和外周两组感受器
[00:26:00] 发挥作用
[00:26:01] 但是以中枢为主
[00:26:04] 又使外周先气消
[00:26:07] 就刚才背的中枢感受器
[00:26:08] 作用强
[00:26:09] 随它为主
[00:26:10] 气消慢外周起作用
[00:26:12] 而且还有第三条
[00:26:13] 以适应
[00:26:15] 长期的二号的风压增高患者
[00:26:17] 只能吸入低浓度
[00:26:19] 低流量的氧气
[00:26:21] 被死它一辈子不要忘
[00:26:24] 氧气和氢的浓度意思都是一样的
[00:26:27] 所以这毒与毒都没有大问题
[00:26:28] 要注意长期的二号的主流患者
[00:26:32] 他的话就感受起主要是对谁
[00:26:34] 主要是对低氧的敏感
[00:26:36] 所以这个氧气不敢打掉
[00:26:38] 此外咱们听一句话
[00:26:39] 这三个因素之间是有相互作用
[00:26:42] 协同或者抵消
[00:26:43] 不用问
[00:26:44] 三个因素同时存在
[00:26:46] 的时候
[00:26:48] 你看有氨化碳风压
[00:26:50] 有pH值
[00:26:51] 有氧风压
[00:26:52] 这三个因素同时存在的时候
[00:26:55] 会对呼吸的刺激作用更强
[00:26:58] 协同作用
[00:27:00] 三个因素共同刺激
[00:27:01] 比每一个单一的因素刺激作用都强大
[00:27:04] 对了
[00:27:05] 都强大
[00:27:06] 是这样的
[00:27:07] 听过就好
[00:27:09] 下来在某些临床的特殊一些情况下
[00:27:13] 比如说脑袋伤
[00:27:14] 比如严重的低氧血症
[00:27:16] 肺心病
[00:27:17] COP的慢足肺
[00:27:18] 这些情况下
[00:27:18] 病人会出现呼吸的节律性发生改变
[00:27:21] 一种是著名的程式呼吸
[00:27:24] 呼吸一会儿
[00:27:26] 它就停了
[00:27:28] 呼吸会就停了
[00:27:29] 这是一种
[00:27:30] 还有一种像我这没有话
[00:27:32] 一种是一会儿抢一会儿落
[00:27:34] 一种是呼吸一会儿
[00:27:36] 停一会儿
[00:27:37] 间歇性呼吸
[00:27:39] 为什么呼吸一会儿就停了
[00:27:41] 因为呼吸一会儿
[00:27:42] 严褪的生理中枢出现问题以后
[00:27:45] 放一会儿电就不放电了
[00:27:47] 就停了
[00:27:48] 这是一种
[00:27:49] 一种是呼吸一会儿强
[00:27:52] 一会儿落
[00:27:53] 像朝涨朝落一样
[00:27:58] 朝涨朝落
[00:27:59] 一会儿强了
[00:28:00] 一会儿落了
[00:28:01] 它为什么会这样
[00:28:02] 因为呼吸弱了以后
[00:28:03] 体内有很多氨氧化碳
[00:28:05] 呼不出去
[00:28:06] 也有很多氧气吸不进来
[00:28:07] 所以呼吸弱一会儿以后
[00:28:09] 体内氧风压下降
[00:28:11] 氨氧化碳出流
[00:28:12] 这个时候刺激呼吸腥风起来
[00:28:14] 赶快把氧气吸进来
[00:28:15] 氨氧化碳呼出去
[00:28:17] 等它呼出去了
[00:28:18] 吸进来了
[00:28:18] 没有因素刺激了
[00:28:19] 它就又弱了
[00:28:21] 这是一种呼吸弱了
[00:28:21] 这种一种是防一会儿电
[00:28:23] 就停了
[00:28:23] 防一会儿电就停的原因
[00:28:25] 是因为噎水呼吸中复
[00:28:27] 出现问题
[00:28:28] 临床上就指的是谁
[00:28:30] 是回光返照
[00:28:31] 老百姓说指尖出的气
[00:28:34] 不解清的静的气
[00:28:35] 就是这个间歇呼吸
[00:28:37] 所以将来你们多多大思大悟
[00:28:39] 注意一下
[00:28:40] 间歇的呼吸
[00:28:41] 比这种波动式的呼吸
[00:28:43] 危害更大
[00:28:44] 往往是临床临终的时候
[00:28:47] 就是死亡前的一个表现
[00:28:50] 看到呼吸一会儿
[00:28:51] 就停了
[00:28:51] 呼吸会儿就停了
[00:28:52] 别人基本上实际上
[00:28:54] 到生命的最后了
[00:28:55] 听过就好了
[00:28:57] 那么这样剩下来
[00:28:58] 咱们这一章内容
[00:28:59] 还有最后一个小话题
[00:29:00] 著名的肺的前掌反射
[00:29:03] 在吸气呼气过程中
[00:29:05] 吸气肺脏变大
[00:29:06] 呼气肺脏变小
[00:29:07] 这一个机械改变机械扩张
[00:29:09] 会分别影响吸气和呼气
[00:29:13] 我们称之为肺的前掌反射
[00:29:15] 在肺吸气扩大过程中
[00:29:17] 会抑制吸气
[00:29:18] 转入呼气
[00:29:20] 叫肺扩反射
[00:29:21] 肺扩反射
[00:29:22] 另外一种是呼气时候肺脏变小
[00:29:25] 会抑制呼气转入吸气
[00:29:26] 叫肺缩反射
[00:29:28] 防止呼气过深
[00:29:29] 防止吸气过深
[00:29:31] 嗯这么个样子
[00:29:32] 这里边要强调
[00:29:34] 这个反射在人体作用不大
[00:29:36] 主要是在严重的肺衰肿
[00:29:38] 新生儿的时期起作用
[00:29:40] 兔子身上反应大
[00:29:42] 所以咱们这个学习
[00:29:43] 如果没有疫情限制
[00:29:44] 咱们如果是在实验室
[00:29:46] 带着同学们做实验
[00:29:48] 第4个生理学实验
[00:29:49] 叫家兔的呼吸能调节
[00:29:51] 你切
[00:29:51] 打鼻子神经能看到
[00:29:52] 你把兔子颈部双层
[00:29:54] 鼻子神经切断以后
[00:29:55] 这个兔子的呼吸运动变得非常的
[00:29:58] 省而慢
[00:30:00] 那么说明你不切的时候
[00:30:02] 这个呼吸是比较正常
[00:30:03] 一个超气浪呼吸频率
[00:30:05] 为什么会这样
[00:30:06] 咱们强调
[00:30:07] 因为这个反射
[00:30:08] 任何反射都有反射弧
[00:30:10] 肺的切断反射
[00:30:11] 它的反射活呀
[00:30:12] 传入神经是迷走
[00:30:14] 你把迷走解断以后
[00:30:16] 没有传入纤维
[00:30:17] 等于是解断兔子的颈部
[00:30:19] 鼻子神经以后
[00:30:21] 把肺的切断
[00:30:21] 反射给消除掉了
[00:30:23] 消除掉以后怎么样
[00:30:24] 吸气筹没人管
[00:30:25] 一直吸吸吸吸的没完没了
[00:30:27] 呼吸中又没人管
[00:30:28] 所以切断兔子的双层
[00:30:30] 密组神经
[00:30:31] 兔子的或者家族的呼吸运动
[00:30:33] 会变得非常的
[00:30:35] 省而慢
[00:30:37] 可见
[00:30:38] 密组神经能维持超气量的
[00:30:41] 深浅和呼吸频率
[00:30:44] 快慢
[00:30:45] 密组神经让呼吸变得不要太深
[00:30:48] 不要太慢
[00:30:51] 实验室中你能发现
[00:30:52] 你
[00:30:52] 拿个刺激器刺激家族的密组神经中
[00:30:56] 阻断模拟一个信号传入
[00:30:58] 一刺激它呼吸变得越来越浅快
[00:31:00] 你走让呼吸变得浅快
[00:31:03] 你走切断以后
[00:31:04] 呼吸变得深慢
[00:31:07] 这个现象就叫做肺的切断反射
[00:31:10] 包括肺扩张反射
[00:31:13] 肺回缩反射
[00:31:14] 我们有时候称之为黑波二式反射
[00:31:17] 听过读书就好
[00:31:19] 那么这样的话
[00:31:20] 在这一章还有最后一句话
[00:31:22] 就是日常生活
[00:31:23] 咱们知道不小心有时候人会咳嗽
[00:31:26] 有时候是感冒打喷嚏
[00:31:28] 那么这是两个防御性反射
[00:31:30] 它有什么区别
[00:31:32] 咳嗽反射是清理气道的义务
[00:31:35] 吃饭不小心把一点饭渣子掉到气管去了
[00:31:38] 呛了
[00:31:39] 咔嚓咳嗽
[00:31:40] 感冒之后是鼻涕
[00:31:41] 鼻腔的蜂蜜物多
[00:31:44] 喷嚏反射清理鼻腔的义务
[00:31:46] 打喷嚏流鼻涕流眼泪
[00:31:48] 这样感冒
[00:31:49] 那么咳嗽清理的是气道的义务
[00:31:52] 咳嗽和喷嚏都是防御反射
[00:31:56] 但生理意义不一样
[00:31:57] 一个清理气道
[00:31:59] 一个清理鼻腔
[00:32:01] 这样的话到这为止同学们
[00:32:03] 呼吸这一章的全部内容
[00:32:04] 咱们就说完了
[00:32:06] 希望同学们在听网课过程中
[00:32:10] 读书过程中
[00:32:11] 重点内容该强调我都强调了
[00:32:13] 希望咱们把这张内容掌握好
[00:32:14] 这张内容不仅仅写于生理学
[00:32:17] 你下一步学习学的病理学
[00:32:19] 药理学
[00:32:20] 再往后病生学
[00:32:21] 诊断学内外科学
[00:32:22] 抑制性的病理学
[00:32:23] 一直要用
[00:32:24] 生理学是拿来用的
[00:32:25] 不是拿来背的
[00:32:28] 诸位同学们身体好
[00:32:30] 学习好
[00:32:31] 咱们在未来的某天
[00:32:33] 一定还会见到的
[00:32:35] 我相信
