# 源音频：P22-生理学本科教学及考研基础课 p22 血管生理2.m4a
# 时长：3142s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:09] 好,同学们,承诺给大家很详细的讲一下本课的生理学教学的这么一个内容吧。
[00:22:20] 病人是
[00:22:23] 95,
[00:22:24] 85,
[00:22:25] 没卖压。
[00:22:29] 要不比如说想一想,
[00:22:30] 就想跟你们讲课,你发现,
[00:22:32] 我要学过循环,
[00:22:34] 学过血液这些章节之后,
[00:22:36] 我在学细胞那章就很容易,
[00:22:37] 可惜,
[00:22:38] 我在学细胞的时候没学过后马。
[00:22:40] 同理,
[00:22:41] 你要学过心包肌液之后,
[00:22:43] 再回来学动脉血压影响就容易了,
[00:22:45] 但问题是心包肌液是大四学的,
[00:22:48] 动脉血压是大二。
[00:22:49] 说那我怎么办了,我能不能先学心包肌液?
[00:22:51] 不需要,
[00:22:52] 我当故事给你讲,你当故事听。
[00:22:54] 如果你学过了,不太连起来,
[00:22:56] 没学过当故事的,老师说了,
[00:22:59] 心包肌液比人心跳快,
[00:23:00] 一分钟130多次,
[00:23:02] 心包肌液比人血压低,血压低不是毛病,埋压小才是麻烦。
[00:23:06] 动脉血压95,85,一看就没埋压,十三十三,
[00:23:09] 几乎一样。
[00:23:10] 你有这个印象,
[00:23:12] 再读多内外课的时候,
[00:23:13] 当年老师在《循环系统》讲过,
[00:23:15] 这就对了。
[00:23:16] 所以为什么强调说,
[00:23:18] 一切不能举例子的医学,
[00:23:20] 就同耍流氓。
[00:23:22] 不是说耍流氓,
[00:23:23] 你不能拿一个案例来说,
[00:23:24] 来验证
[00:23:25] 这个事实的话,
[00:23:26] 你就不敢相信
[00:23:28] 你背的对
[00:23:29] 还是错。
[00:23:30] 所以我们在知道这些事实之前,怎么办?一个是老师跟你讲一些案例,
[00:23:34] 第二个是
[00:23:34] 直接背,
[00:23:35] 背完之后将来再说,
[00:23:37] 到大五的时候,咱们算总账。
[00:23:39] 所以我给我的学生们讲一句话说,
[00:23:41] 出来混,早晚要还的。
[00:23:43] 到内科学的时候,
[00:23:45] 咱们算总账。
[00:23:46] 对了,写歌者,不会不会就背下来往前走,
[00:23:49] 这叫好读书,
[00:23:50] 不求胜记。
[00:23:51] 两条了啊,博出量,
[00:23:53] 心率,
[00:23:54] 咱们看,
[00:23:54] 第三条,
[00:23:55] 外周阻力。
[00:23:59] 外周阻力就反应为小动脉关机股,
[00:24:02] 小动脉
[00:24:04] 关闭的关卡的
[00:24:06] 半径。
[00:24:06] 因为你还记得阻力等于πr
[00:24:09] 四次帮助你终于。
[00:24:10] 一旦外周阻力增大之后,
[00:24:12] 心脏不蹦雪的数章期,主动脉根部回弹,
[00:24:15] 推着血液主动慢慢关闭,血液往外流动,上一节课都讲过了。
[00:24:18] 现在慢慢堵着,
[00:24:19] 堵着以后呀,
[00:24:20] 导致主动脉根部和外周血管之间
[00:24:23] 压力差之间小,
[00:24:25] 流速减慢。
[00:24:26] 所以你把这些
[00:24:27] 这个
[00:24:28] 外周阻力啊
[00:24:29] 和心率两个词连起来看一下。
[00:24:31] 心率加快的时候,
[00:24:33] 数章期太短,
[00:24:34] 流速倒没变好,但时间不够。
[00:24:37] 外周阻力增加了以后,心率没有变好,数章期时间倒是够了,
[00:24:40] 流不动。
[00:24:43] 听一下,
[00:24:44] 心率快的时候
[00:24:45] 是来不及流,
[00:24:47] 没时间。
[00:24:48] 外周阻力高了以后是
[00:24:50] 流不动,没动力,差之小。
[00:24:52] 反正不管是外周阻力
[00:24:54] 还是心率,
[00:24:55] 都是数章期的时候
[00:24:57] 该流走的血液,
[00:24:57] 也没流走,
[00:24:59] 流在主动脉根部,
[00:25:01] 同理,
[00:25:01] 也影响的是
[00:25:03] 舒张压。
[00:25:05] 最后结果是
[00:25:06] 麦芽减小,
[00:25:08] 这是外周阻力。要听懂,一个是来不及,
[00:25:10] 时间不够,
[00:25:11] 舒张就太短了,
[00:25:12] 一个是外周阻力大,
[00:25:13] 流不动,
[00:25:14] 流不动。
[00:25:16] 都是影响舒张压。
[00:25:17] 所以动脉血压的舒张压影响有两个,
[00:25:19] 一,心率,二,外周阻力。
[00:25:22] 但是在灵狂世界上更关心哪一个?
[00:25:24] 更关心外周阻力。
[00:25:26] 我多讲一句话,
[00:25:28] 第四条大动脉管,
[00:25:28] 被这台语叫做
[00:25:29] 弹性,也叫顺应性。
[00:25:31] 顺应性就是弹性物体
[00:25:32] 接触外力作用的时候,可以变形的能力。
[00:25:35] 如果
[00:25:35] 管壁柔软,
[00:25:37] 轻轻给点力量就变了,顺应性大。
[00:25:39] 管壁如果很硬,可不需要管管子呀,咋都咋不烂。
[00:25:41] 顺应性很小。
[00:25:42] 那么这样的话你想一下,
[00:25:44] 咱们想前面,我给你反过来试一图。
[00:25:46] 咱们看这个小图,
[00:25:48] 这我觉得还有一个动态图。
[00:25:49] 你看,
[00:25:50] 在哪?在
[00:25:51] 咱们有个小动态图,我记得。
[00:25:59] 是在
[00:26:00] 这一样。
[00:26:02] 发太快了,我慢点整。
[00:26:03] 这个小动态图。
[00:26:10] 如果管壁很柔软的话,
[00:26:12] 心事一收缩,血跨进来,血管很容易就疏张。
[00:26:17] 缓冲作用。
[00:26:18] 缓冲。
[00:26:19] 哎,输出气的时候,血管变得更粗。
[00:26:22] 你挤我,我就走,再来不硬杠。
[00:26:25] 压力不至于太高。
[00:26:27] 如果血管很硬,心脏向外泵血,血管又不干。
[00:26:30] 咚一撞,血啊,砍,骤然升高。
[00:26:32] 同样,血管软了以后,输出气的时候变得更粗。
[00:26:36] 储存量更大。
[00:26:37] 输出气的时候,
[00:26:38] 叫做一倍不时之需吧,慢慢流啊。
[00:26:41] 输出气就不缺。
[00:26:42] 如果输出气没有鼓起来,输出气
[00:26:45] 就没有血可流。
[00:26:48] 所以能够保证
[00:26:49] 心脏泵血是间断的。
[00:26:51] 但血流动是连续的,就得保证输出气的时候,得给主动脉根部
[00:26:56] 储存足够量
[00:26:58] 多的血液。
[00:26:59] 输出气的时候才有血可流。
[00:27:01] 哎,夏天的时候
[00:27:02] 给加了多寸点粮食。
[00:27:04] 你要是见过小动物,你不管田鼠也好,是吧,
[00:27:07] 黄鼠狼子,黄柚子也好,
[00:27:09] 或者是小松鼠也罢,包括狗熊。
[00:27:11] 他为什么到
[00:27:12] 秋天的时候
[00:27:14] 一个是把身体吃的胖胖的,
[00:27:16] 他要冬眠了,他得足够用。
[00:27:18] 第二个,窝里边攒很多好吃的。
[00:27:20] 你要是大秋天的,你把这个田鼠的窝给扒了,
[00:27:23] 那无意义把他饿死,那不行。
[00:27:26] 这叫家中有粮,
[00:27:28] 心里不慌。
[00:27:29] 中国讲究
[00:27:31] 民以食为田。
[00:27:33] 习大大也讲究这一届政府呀,
[00:27:35] 习大大讲究
[00:27:36] 粮食的安全,
[00:27:37] 一定要掌握在中国人自身的安全。
[00:27:39] 自己的手里。
[00:27:40] 那么实际上作为医学生早不知道,
[00:27:42] 粮食安全是什么安全。
[00:27:44] 粮食安全不是粮食,
[00:27:46] 甚至不是粮食产量,
[00:27:47] 是粮食的种子安全。
[00:27:49] 如果中学你学习语文,你还记得清楚的话,当年这个吴王复差
[00:27:53] 和这个岳王勾践
[00:27:54] 比较近。
[00:27:55] 岳王勾践一看,吴国这边是吧,缺一段粮了。
[00:28:00] 送点种子,你回家种肥刀去吧。
[00:28:02] 结果他送给吴国的种子,
[00:28:04] 是他们用开水煮过的大米,
[00:28:06] 水刀。那能长出肥刀呢?
[00:28:08] 最后把吴国给整死了。
[00:28:09] 岳王勾践,
[00:28:12] 我行长胆,
[00:28:13] 做我使这个损招。
[00:28:15] 粮食的安全,本质上是种子的安全。
[00:28:18] 对了,
[00:28:19] 这是大麻烦。
[00:28:20] 所以我讲这么啰嗦干嘛,就给你听一下,
[00:28:22] 要有所储备。
[00:28:25] 收缩期储备下以后,
[00:28:26] 出账期就有余血可流。
[00:28:28] 那么你要想把它储备下来,得保证管理油管。
[00:28:31] 所以说在动脉血压调节中,这条很重要。
[00:28:35] 管理的顺应性,
[00:28:36] 要保证收缩期的时候,
[00:28:38] 主动脉的扩张很容易。
[00:28:40] 收缩压就不至于很高。
[00:28:42] 这样的话,收缩期的时候攒了很多血,
[00:28:45] 在主动脉回弹的时候,输张期
[00:28:47] 就不至于落空。
[00:28:48] 有东西可以压。
[00:28:50] 这样的话,
[00:28:51] 弹性越好,
[00:28:52] 输张压相对越高一点。
[00:28:55] 输张压
[00:28:56] 相对越高一点,收缩压相对越低一点。
[00:28:58] 脉压会小。
[00:28:59] 反过来,
[00:29:00] 一个人如果年龄大了,
[00:29:02] 拐臂变得硬化了,
[00:29:04] 脉压就增大。
[00:29:05] 就是你拿手打一块不锈钢板,
[00:29:08] 还是手打一块海绵的那个轮胶。
[00:29:10] 这个力度的感觉。
[00:29:12] 缓冲。
[00:29:13] 缓冲。
[00:29:15] 这个样子。
[00:29:15] 第四条,这个不难。
[00:29:17] 但是这么多年,作为老师给同学讲课,讲的比较多平时。
[00:29:20] 包括大四、大五,考研这些孩子,我老讲课,你就发现好多学生在大二,
[00:29:25] 就没有在这注意过
[00:29:26] 管臂的硬化程度,
[00:29:28] 觉得脉压大小。
[00:29:30] 老年的高血压特点
[00:29:32] 是脉压大。
[00:29:33] 这个内容不是在内口学位的,
[00:29:35] 在生理这就应该被会。
[00:29:37] 所以心理上要讲究,
[00:29:39] 路过的车
[00:29:40] 就是路了,难点
[00:29:41] 赶不上。
[00:29:42] 因为你每个世界阶段都错过了。
[00:29:45] 为什么说
[00:29:46] 这个大一、大二你不好好学习大四、大五的时候,
[00:29:49] 你得出来还。
[00:29:50] 你得重新把大二该背回的放大五再背。
[00:29:54] 那么体会一下,
[00:29:55] 大五的时候
[00:29:56] 背一个大二的知识点,
[00:29:58] 和大二时候背一个大二的知识点,
[00:30:00] 那更容易。
[00:30:01] 大二。
[00:30:02] 大二背完之后,
[00:30:03] 这一辈子记得更牢。
[00:30:05] 到大五的时候,这里边有别的杂念
[00:30:07] 干扰你。
[00:30:09] 所以作为老师,今天晚上这么晚回来试试,
[00:30:11] 11点,我在录课,
[00:30:12] 我就给学生说句话。
[00:30:13] 老师最掏心窝子的话是哪一句?
[00:30:16] 做几十年教育,
[00:30:18] 也做医生,现在还一个人看病。
[00:30:20] 我一直在想,最掏心窝子的一句话是
[00:30:23] 一个孩子
[00:30:24] 要有孩子的样子。
[00:30:26] 一个大一小朋友如果他的
[00:30:29] 所作所为,他的行为模式
[00:30:32] 像大五的学生,
[00:30:33] 一个大五的学生像社会人,
[00:30:35] 小读配集生上文,
[00:30:36] 哥哥,我也是社会人。
[00:30:38] 类似于这样,我提前跟你说句话。作为老师,
[00:30:41] 不客气啊,
[00:30:42] 你死定了。
[00:30:43] 你也就那么点出息。
[00:30:45] 一个孩子为什么在社会上走那么远,因为他到什么时候,
[00:30:49] 他想什么时候的样子。
[00:30:51] 学生就是傻傻的读书,学习读书。
[00:30:54] 我说老师,我也擦驾社会实践。
[00:30:56] 你也就是个大工的,
[00:30:57] 搬专业去吧,
[00:30:58] 比较适合你。
[00:31:00] 一定是把知识积累到很高一个平台,在每一天
[00:31:04] 社会工作需要的时候,我有足够的成练和积累
[00:31:07] 爆发出去的,
[00:31:08] 而不是随时释放。
[00:31:10] 不是。
[00:31:11] 就在一定高度
[00:31:12] 再进入社会。
[00:31:13] 这个一定不是骗人。
[00:31:15] 记着,
[00:31:15] 憋死的嘴以后再后悔。
[00:31:17] 二十岁的时候,老师告诉我,
[00:31:19] 记下来。
[00:31:22] 第五条我就不特别解释了,因为这一条咱们讲的结果学史了,
[00:31:26] 血管容量是相对稳定的,
[00:31:28] 那么血容量也是。血管内部有血,我就有血压。血管内部没血,我就没血压。
[00:31:33] 所以这要再重复一次。
[00:31:34] 治疗高血压,乃至于加上内科学治疗心衰,
[00:31:38] 最无耻的方法就是领药。
[00:31:40] 血容量只要少,血压就低。血容量只要多,血压就低。
[00:31:42] 所以在任何医疗上,
[00:31:44] 高血压,
[00:31:45] 为什么人会高血压?
[00:31:47] 或绝对或相对的
[00:31:49] 都是血容量过大
[00:31:51] 造成的。
[00:31:52] 注意啊,绝对或相对。
[00:31:55] 因为是本科的课程,我就不嫌啰嗦了。
[00:31:57] 也是考研这个基础课,
[00:31:59] 我会讲更多案例。
[00:32:01] 但是听一条,
[00:32:02] 为什么一个人大量失血之后会休克?
[00:32:04] 血管破了,把血给放到体外去,
[00:32:06] 血容量不够。
[00:32:07] 低容量休克
[00:32:09] 就是血管容积,
[00:32:10] 也就是所谓的体循环充益压。
[00:32:12] 和动脉血压关系的最良好的案例。
[00:32:15] 为什么失血就休克了?因为血容量不够,
[00:32:18] 体循环充益压
[00:32:20] 不足了。
[00:32:21] 这个样子。
[00:32:22] 这一篇就是所谓的动脉血压的五大影响因素。
[00:32:26] 太重要了,所以我废话特别多。
[00:32:29] 希望你听完之后,细细的听,
[00:32:31] 慢慢的拼,
[00:32:32] 把它掌握下来。
[00:32:33] 因为它比你想的
[00:32:34] 还要重要。
[00:32:36] 接下来往下看一个话题。
[00:32:40] 这个小表格
[00:32:42] 就是很简单阐述了一下
[00:32:44] 五个不同因素
[00:32:45] 对动脉血压的
[00:32:45] 影响。
[00:32:46] 波数量
[00:32:47] 主要影响收缩压
[00:32:48] Systolic
[00:32:49] 心率,外周阻力,主要影响舒张压
[00:32:51] Diastolic
[00:32:52] Persian
[00:32:53] 还有效的血量就是体循环充益压
[00:32:55] 血容量大,血压就高,血容量小,血压就低。
[00:32:58] 另外就是大动脉关系的弹性。
[00:33:00] 弹性越大
[00:33:02] 脉压越小
[00:33:03] 弹性越小越硬
[00:33:05] 脉压
[00:33:06] 就越大。
[00:33:07] 有影响收缩压的
[00:33:08] 有影响舒张压的
[00:33:09] 还有影响脉压的
[00:33:11] 还有影响整体血压的
[00:33:12] 对了,动脉血压
[00:33:13] 是从五个不同角度
[00:33:14] 受到集体调节的
[00:33:16] 这个表格给了一个总结
[00:33:21] 那么就像这一节咱们一开始还想了另外一个策略
[00:33:24] 动脉的脉搏
[00:33:25] 什么叫脉搏呀?前面讲过,再重复一下
[00:33:28] 现在如期过程中
[00:33:30] 血管壁
[00:33:31] 管壁
[00:33:32] 伴随形式的收缩舒张活动
[00:33:34] 产生一个压力变化
[00:33:35] 而呈现血管的一个跳动
[00:33:38] 注意
[00:33:38] 脉搏的活动
[00:33:40] 与血流速度
[00:33:42] 没有任何关系
[00:33:43] 它只是管理自己的一个跳动
[00:33:45] 血液是不是一定要流过来?不是
[00:33:46] 那么
[00:33:47] 脉搏的快慢
[00:33:48] 它的
[00:33:49] 次数多少
[00:33:50] 是和心室活动
[00:33:52] 关联的
[00:33:53] 心脏跳一下
[00:33:54] 脉搏也跳一下
[00:33:55] 那么跳的时候血液是不是一定流过去?不一定
[00:33:58] 所以这个地方最纠结的一句话是你再听一次
[00:34:01] 脉搏传的快传的慢,脉搏强,脉搏弱这些事情
[00:34:04] 其实和血管内部的血流
[00:34:07] 没有直接关系
[00:34:08] 是谁造成的?
[00:34:09] 是心室的收缩舒张造成的
[00:34:12] 所以咱们在早期学习的时候就是这样,不经意间
[00:34:14] 把一些没有关系的事容易联系到一起
[00:34:17] 到知识基地到一定程度
[00:34:19] 已经会有这种纠结了
[00:34:21] 我先搁这不动它了,我先走
[00:34:23] 脉搏的产生和传播
[00:34:24] 脉搏的传播是能量
[00:34:27] 就是这个绣花臂的跳动
[00:34:29] 掩着管壁的传播,传到远处最后到了,有绕动脉,拿手一摸,是要穿关尺,中医的脉象
[00:34:34] 说的是中医脉象靠脖部
[00:34:35] 我在临床世界做了五年医生,我知道
[00:34:38] 至少一个怀孕的人
[00:34:40] 你拿手摸他脉搏
[00:34:41] 中医叫华脉
[00:34:42] 说是去向这个咱们小时候蒸蒜打蒜团珠子
[00:34:45] 一应的那个小珠子,可能跟他挖过关
[00:34:48] 就像一个小珍珠在盘子里挖过关
[00:34:50] 这个事儿是能摸到的
[00:34:52] 所以这个
[00:34:54] 叶根一刷华脉
[00:34:56] 是内脏七指血鱼
[00:34:58] 鱼的一块血
[00:34:59] 造成的,中医这个淤血和咱们西医
[00:35:02] 冲血淤血还不一样
[00:35:03] 实际上指的是体内某个地方
[00:35:05] 具有一个东西
[00:35:06] 就是某一种
[00:35:07] 长了个异物
[00:35:08] 妈妈怀孕了,也是肚子里长了个异物
[00:35:11] 你孩子不是妈妈的一部分,它是个异物
[00:35:14] 可能妈妈A系血还不一样
[00:35:15] 孩子B系血,你看
[00:35:16] 都有这种影响
[00:35:17] 所以这个都表现为
[00:35:18] 华脉
[00:35:19] 脉象是栽的,记住
[00:35:21] 你摸不到的不一定不存在
[00:35:23] 只能说你太low
[00:35:25] 不是中医太low,是这个样子
[00:35:27] 我的生命和中医、西医没关系
[00:35:30] 这是个水平和能力
[00:35:33] 那么伴随着波动,且不断传导,管壁毯本身有个硬度
[00:35:38] 所以它一直消耗能量,所以实际上脉搏
[00:35:41] 越来越弱的
[00:35:43] 脉搏的传播速度和管壁的刻苦
[00:35:46] 扩张性成反比
[00:35:47] 管壁越硬,当当一敲
[00:35:49] 传播很快
[00:35:50] 管壁越软,它就起伏大悲
[00:35:53] 传播速度就慢
[00:35:54] 它是这样
[00:35:55] 听过就好了,这当故事听
[00:35:57] 你要非得做个比较
[00:35:59] 实际上咱们刚才说
[00:36:00] 脉搏在管壁上传导,和血流速度根本没有关系
[00:36:03] 你要非得说老师我就想看看他拿谁快谁慢,那肯定是
[00:36:06] 脉搏传播速度比血流速度快
[00:36:08] 但注意啊
[00:36:09] 这写这句话,你也不去说,哎这脉搏是不是和血流有关系
[00:36:12] 记住脉搏和血流没有关系
[00:36:14] 为什么比较老实
[00:36:16] 脉搏比如一分钟能传播10米
[00:36:18] 血流速度比如传播8米
[00:36:20] 他是这个意思
[00:36:21] 个是个的
[00:36:22] 不是一码事
[00:36:23] 就切着毛流和高铁比赛,那个那是毛流慢,高铁快
[00:36:27] 老师高铁没电了
[00:36:29] 我得再说,我惹不了你
[00:36:30] 你是大爷
[00:36:33] 这样的话咱们上一节课应该应两个
[00:36:37] 阶段,两个单元
[00:36:39] 讲了动脉血压的形成,血压的相关话题
[00:36:42] 然后咱们这一节可以讲一下动脉血压的
[00:36:45] 五大条件
[00:36:46] 我讲了很多案例,因为太重要了
[00:36:48] 所以我专门把语速放下来
[00:36:50] 希望同学们有点耐心
[00:36:51] 这专业课不敢背书
[00:36:53] 就你那个知识阶段你背书不了
[00:36:55] 哦,这个样子
[00:36:56] 血管有三块
[00:36:58] 动脉
[00:36:58] 静脉
[00:36:59] 和毛维血管微循环
[00:37:01] 所以刚才是动脉的
[00:37:03] 接下来这一段
[00:37:04] 咱们重新学习下一道话题
[00:37:06] 有关静脉血压
[00:37:08] 和静脉血流
[00:37:09] 接下来咱们往下看
[00:37:12] 好同学们
[00:37:13] 咱们接着往下看
[00:37:17] 这张应该叫图表
[00:37:18] 它是反映了在
[00:37:20] 心脯周期或者心脏活动的过程中
[00:37:23] 某一个时间节点,随便找一个点
[00:37:25] 等供收缩期呀,等供负脏期呀
[00:37:27] 快速射血期呀,随便找一个时间点
[00:37:29] 那么我们全身的血液容量
[00:37:31] 在人体的心血管系统哪个地方存在着
[00:37:34] 你会发现
[00:37:35] 这里边心脏大概占血容量总量7%
[00:37:39] 肺循环Parmoneal Circulation
[00:37:41] 有9%左右
[00:37:42] 动脉系统内部整个13%
[00:37:45] 毛维血管内部是7%
[00:37:47] 剩下64%
[00:37:48] 将近三分之二的血容量
[00:37:50] 都存在于咱们的静脉系统中
[00:37:53] 所以有人就把静脉血管呀
[00:37:54] 叫做容量血管
[00:37:56] 实际上你设想一下
[00:37:59] 动脉和静脉血管比较一下
[00:38:00] 动脉血管是高压力的
[00:38:02] 静脉血管是低压力的
[00:38:04] 所以我们在整个心血管系统学习中,你是不能这样想象一下
[00:38:08] 假如说动脉血管内部的血液
[00:38:10] 是被左心室
[00:38:12] 推着走
[00:38:13] 那么静脉内部的
[00:38:14] 血液
[00:38:15] 是被右心室
[00:38:16] 抽着走
[00:38:17] 这是咱们想象中期的时候说
[00:38:19] 不管心脏泵血还是血液挥流
[00:38:22] 原因动力
[00:38:23] 都是心室筋
[00:38:25] 然后才有直接动力
[00:38:27] 动脉血管内部的血液流动
[00:38:30] 直接动力是中动脉根部
[00:38:32] 和外周血管之间的一个压力差值
[00:38:34] 那么静脉血管内部血液流动
[00:38:36] 直接动力是谁呀
[00:38:38] 是右心房的压力
[00:38:40] 和周围静脉压的
[00:38:42] 压力差值
[00:38:43] 所以在整个的静脉血管
[00:38:46] 这个学习过程中呀
[00:38:47] 咱们差不多
[00:38:49] 涉及一个活着的数学
[00:38:52] 掌握一个最敏感的话题
[00:38:54] 就所谓的中心静脉压
[00:38:56] 什么叫中心静脉啊CVP
[00:38:58] 咱往下接着读
[00:39:01] 这个地方没有写
[00:39:03] 所谓中心静脉压是什么呀
[00:39:05] 是
[00:39:06] 位于右心房
[00:39:08] 或胸腔内部大静脉的
[00:39:10] 压力
[00:39:11] 正常值在
[00:39:13] 4到12个
[00:39:14] 厘米水柱
[00:39:15] 所以我们在早期接触静脉血管时有一个影响
[00:39:18] 什么影响
[00:39:19] 右心房的压力非常低
[00:39:20] 压力接近于0
[00:39:22] 其实左心房压力慢慢的生理学没有特别强调
[00:39:26] 左心房压力
[00:39:27] 左心房和右心房的压力
[00:39:28] 相当接近了
[00:39:29] 你不难想象
[00:39:31] 如果右心房压力CVP只有4到12个厘米水柱
[00:39:34] 厘米水
[00:39:35] 那么低
[00:39:36] 左心房又和它差不多
[00:39:38] 设想一下
[00:39:39] 左心室的压力得多低
[00:39:42] 才能把心房血液
[00:39:43] 心房血液才能抽回去
[00:39:45] 所以你这个左心室的回流
[00:39:47] 直接动力是左心室和左心房压力差值
[00:39:50] 因此
[00:39:51] 在某种意义上讲
[00:39:53] 左心室在等红舒张的时候
[00:39:56] 你要把室内压考虑成负质
[00:39:58] 是没有问题的
[00:39:59] 一个快速的抽吸
[00:40:01] 类似咱们拿个注射器
[00:40:03] 从一个液体瓶子往那抽液体一样
[00:40:05] 你猛的一拉这个蒸芯
[00:40:07] 它在这个蒸桶内部产生一个真空
[00:40:09] 这个负压吸引那个液体从瓶子里边
[00:40:13] 滋滋就会滋出来
[00:40:14] 其实血液回流就是这样的
[00:40:17] 在舒张期的时候室内压是相当低的
[00:40:20] 这个样子
[00:40:20] 因此慢慢慢慢掌握时间久了就发现在临床医学上
[00:40:24] 我们关心更多的
[00:40:26] 不只是
[00:40:28] 收缩舒张的
[00:40:29] 程度多长多短不是
[00:40:31] 而是什么
[00:40:32] 收缩和舒张的
[00:40:33] 速度
[00:40:34] 那个速率
[00:40:36] 越快
[00:40:37] 这个负压产生那个
[00:40:39] 陡然骤然增加那个
[00:40:41] 效率越高
[00:40:41] 啪一拉它
[00:40:43] 突然抽回来
[00:40:44] 这个样子
[00:40:45] 接着往下读
[00:40:46] 读静脉血管一些相关内容
[00:40:49] 第一个咱们先看一看这个重力啊
[00:40:51] 对静脉血压的影响
[00:40:53] 所以实际上就像上一段课
[00:40:55] 在这个地方咱们讲
[00:40:56] 这个静脉血管内部血液怎么流动像刚才说
[00:40:59] 实际上是有形式抽着走的
[00:41:01] 它是一个力量来源
[00:41:03] 直接动力在哪里
[00:41:05] 第二小块静脉血管和动脉血管不一样你看题目
[00:41:08] 叫重力对静脉血压影响我一直说
[00:41:11] 静脉对血压影响教材上经常这样写
[00:41:14] 这个词其实很不当
[00:41:17] 我是1985年开始学医学的
[00:41:19] 88年开始做医生
[00:41:21] 那个时候读专业
[00:41:22] 一班课
[00:41:23] 医生做了五年之后又读研后面又读博
[00:41:25] 一路这么走过来
[00:41:27] 所以实际上慢慢的从一个学生到一个医生
[00:41:30] 一个外科医生是吧又到老师
[00:41:32] 读书读研读博这过程中你对教材也会把握
[00:41:36] 实际上谈到静脉
[00:41:38] 和动脉血管血流的时候
[00:41:40] 为什么在静脉这就讲了重力动脉就没讲
[00:41:43] 其实不是血压
[00:41:45] 大家在脚丫子上都是到海拔高度影响
[00:41:48] 那为什么再把重力加到静脉血管因为
[00:41:51] 你学解剖学技的
[00:41:52] 在同名情况下比如骨精脉骨动脉
[00:41:55] 这个同名公动脉公性脉这些情况下
[00:41:58] 同名情况下的动脉血管管理后
[00:42:02] 支撑力好
[00:42:03] 管强小
[00:42:03] 静脉血管管理保
[00:42:05] 支撑差
[00:42:06] 你就这样想
[00:42:07] 动脉血管内部有没有血
[00:42:09] 血管也是圆的
[00:42:10] 他很厚很硬
[00:42:11] 静脉血管
[00:42:13] 就像这个很柔软一条塑料管一样
[00:42:15] 他管理非常软
[00:42:16] 有血的时候把他憋搓了
[00:42:18] 因为咱们手背上的经脉
[00:42:19] 咱们生出手的女生不明显男生也不明显
[00:42:22] 特别是要锻炼的体育锻炼是吧
[00:42:24] 你活动之后手上血管清晶碧露
[00:42:27] 你内部充着血的时候血管是圆的
[00:42:30] 不充血血管就变了脑补一下
[00:42:32] 我坐着听课
[00:42:34] 好我把小孩子搭到桌子上
[00:42:36] 鞋子抬上
[00:42:37] 让小孩子平站位置高一点
[00:42:39] 听课
[00:42:39] 你发现一直垂着下垂往这一坐听课学习
[00:42:43] 腿就很困
[00:42:44] 把腿跳高把腿搭起来
[00:42:46] 就很舒服为什么
[00:42:47] 重力能促进血液回流
[00:42:50] 所以实际上咱们讲呀
[00:42:52] 在严格吸血管的活动过程中
[00:42:55] 重力不是对静脉血压影响
[00:42:57] 静脉血压动脉都多一下
[00:42:59] 是重力对什么
[00:43:00] 对下肢的
[00:43:02] 比心脏海拔位置低这些静脉血管
[00:43:04] 重力对下肢的静脉血管
[00:43:07] 容量的影响
[00:43:09] 重力作用一撑血管就圆了
[00:43:11] 不撑就扁了
[00:43:13] 所以你把腿翘起来还把腿
[00:43:15] 与站立在那站着
[00:43:17] 下肢的静脉血管
[00:43:19] 容量是完全不同的
[00:43:21] 这是灵魂
[00:43:22] 医学上一个人如果
[00:43:23] 车祸外伤是吧大失血
[00:43:25] 我们为了挽救病人生命一般要求什么呀
[00:43:28] 病人头低
[00:43:29] 脚高位
[00:43:30] 把下肢乃至内脏的血液一重力作用倒回来
[00:43:34] 拐到他的心脏和脑
[00:43:37] 增加心脑病血
[00:43:39] 不至于引发死亡
[00:43:41] 所以说
[00:43:42] 试着听课中你注意一下
[00:43:44] 说重力对静脉血压影响这个词本身逻辑上不同
[00:43:48] 我要问一下重力对动脉血压就会影响莫非动脉血管活在火星上重力
[00:43:52] 就静脉血管才活在地球上
[00:43:54] 月球上
[00:43:55] 他他都一样
[00:43:58] 所以重力作用时候他就压力也总是管病
[00:44:01] 产生的精神压
[00:44:02] 就让血管变粗了
[00:44:04] 对动脉的容量影响不大动脉管病硬
[00:44:08] 有没有重力作用还是这个样子
[00:44:10] 所以实际上
[00:44:11] 你说重力作用对血压影响
[00:44:13] 其实
[00:44:14] 不是很大
[00:44:15] 主要对什么呀
[00:44:17] 容量因为咱们这张课点一开始就看什么了
[00:44:19] 看某一个时刻
[00:44:21] 血液在哪个地方作用
[00:44:22] 存着64%
[00:44:23] 接近30%血管存在于静脉血管
[00:44:26] 那么我平卧位和直立位
[00:44:28] 他的血液循环量是完全不一样
[00:44:30] 平卧的时候血液更多流不回来
[00:44:32] 直立位就流不回来
[00:44:33] 所以加拿大学的中段学就会发现一句话
[00:44:35] 左心衰病人晚上躺一会坐一会躺一会坐一会
[00:44:39] 专业术语叫一夜间的正发性呼吸困难
[00:44:42] 为什么因为躺平之后呀
[00:44:44] 重力作用血液回流
[00:44:46] 叫做心脏
[00:44:47] 不能承受
[00:44:49] 回流之重
