# 源音频：P55-生理学本科教学及考研基础课 p55 神经系统6-感觉传入.m4a
# 时长：2857s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:09] 好同学们,刚才咱们学了一下中数据的突出后意志,包括传入测试意志和回反式意志。
[00:25:38] 运动和姿势
[00:25:40] 第三节其实也是咱们神经系统的三大模块之一
[00:25:44] 非常重要
[00:25:45] 所以说日常的学习教学过程中发现好多同学第三节学完之后
[00:25:48] 好像什么都不知道
[00:25:50] 所以你说你不会
[00:25:51] 我信你不会
[00:25:52] 其实作为老师都不会什么
[00:25:55] 但只是你不知道
[00:25:56] 所以就会要注意一下
[00:25:57] 第三节感觉传入学习
[00:26:00] 有点小吗
[00:26:01] 咱们先往下读一下
[00:26:02] 在这咱们教材一般会在生理学角度上给一个命名
[00:26:06] 感觉
[00:26:07] 我每天说各种各样
[00:26:08] 我这感觉不好
[00:26:09] 今天什么叫感觉
[00:26:10] 感觉是人脑对客观事物的一个主观反应
[00:26:15] 这句话虽然作为生理学是没有问题的
[00:26:19] 但作为一个医学科学
[00:26:22] 它有点偏颇
[00:26:24] 有点偏颇
[00:26:26] 所以把它变一个方式或许会完善一点
[00:26:29] 大脑批诊
[00:26:30] 对于机体内外的
[00:26:32] 环境变化的主观影响
[00:26:35] 可能就会好一点
[00:26:36] 而这个内外环境的变化
[00:26:39] 通俗讲包括生理性的生物性的
[00:26:45] 比如说生物性
[00:26:49] 比如说小王子咬了一下
[00:26:51] 是吧
[00:26:52] 小老鼠咬咬了个这个鼠疫
[00:26:54] 小跳蚤咬了一下
[00:26:56] 被这个新冠小病毒咬了一下
[00:26:58] 生物学因素
[00:26:59] 还有物理化学因素
[00:27:01] 手背门脑袋背门夹了一下
[00:27:04] 手指
[00:27:05] 被门框给顶了一下
[00:27:07] 物理性的
[00:27:08] 被硫酸泼脸上了
[00:27:10] 化学性的
[00:27:11] 最糟糕的还有什么
[00:27:12] 社会心理性的
[00:27:13] 路上走的好好
[00:27:14] 但是走的去你妈的
[00:27:15] 哪里去
[00:27:16] 而在当前社会
[00:27:20] 心理和社会层面的伤害
[00:27:24] 好像几率更高
[00:27:26] 用些时髦的话说
[00:27:27] 伤害不大
[00:27:28] 物不大
[00:27:31] 你听懂啊
[00:27:32] 这种机体内外环境的各种变化要注意
[00:27:34] 它是不同类型的物理的化学的生物的
[00:27:38] 特别是社会心理的
[00:27:40] 现代社会的人
[00:27:42] 对于社会心理的这种影响
[00:27:44] 它产生的反应
[00:27:46] 比以往任何时代都要更多
[00:27:49] 因为更多的人喜欢在家坐着不出门
[00:27:52] 拿着瓶盆着这个手机屏幕
[00:27:55] 看视频
[00:27:56] 听课
[00:27:57] 学习
[00:27:58] 上网聊天
[00:27:59] 这个样子
[00:28:01] 无论如何咱们总结一下
[00:28:03] 感觉本身是主观的
[00:28:06] 感觉并不可靠
[00:28:08] 那么先不管这么多
[00:28:10] 咱们回到生理学本身
[00:28:11] 这感觉怎么产生的
[00:28:12] 咱们知道
[00:28:13] 解剖学开始强调
[00:28:14] 感觉传物三级神经元
[00:28:17] 运动传出两级神经元
[00:28:19] 所以第三级从哪开始
[00:28:21] 就从三级神经元开始
[00:28:24] 这个地方画了一个非常好的实际图
[00:28:26] 所以有些时候
[00:28:27] 左右老师讲课特别开心
[00:28:28] 为什么有同学过来以后
[00:28:29] 起码也知道
[00:28:30] 先上心后交叉
[00:28:32] 先交叉后上心
[00:28:33] 这什么鬼这是
[00:28:35] 就是确确实实大学一点没操过心
[00:28:37] 所以
[00:28:38] 先上心后交叉
[00:28:40] 先交叉后上心是在说什么
[00:28:42] 咱们反过来看一下
[00:28:44] 所以第一小块在第三节
[00:28:47] 叫躯体感觉的中枢分析
[00:28:49] 下面还做第一条
[00:28:50] 就咱们来谈谈
[00:28:51] 传物通路
[00:28:52] 三级神经元
[00:28:53] 第一节
[00:28:54] 这是我课件还没有标一下
[00:28:56] 我拿直接拿脚印试
[00:28:57] 课件过来直接拿过来
[00:28:58] 实际上应该标一下
[00:28:59] 第一级就是所谓的后根神经节
[00:29:01] 或脑神经节
[00:29:02] 因为实际上
[00:29:03] 咱们在他道生理学的时候
[00:29:04] 不光是谈运动神经
[00:29:06] 比如急速线叫阿尔法神经元
[00:29:08] 我们经常还谈脑运动神经元
[00:29:11] 动眼神经
[00:29:12] 面神经
[00:29:13] 这些的一嗅二试
[00:29:14] 三动眼
[00:29:15] 四滑五插
[00:29:16] 六百盏
[00:29:17] 七面八味停久舌咽
[00:29:19] 弥祖父神经
[00:29:20] 舌下去
[00:29:21] 十二多
[00:29:22] 这一段在里边包括第一节
[00:29:24] 那么第二集长在几岁的背脚
[00:29:27] 或者是眼随的博书解数
[00:29:30] 第三级是眼的修脑
[00:29:33] 这样就带来问题了
[00:29:35] 带来什么问题了
[00:29:36] 感觉自哪产生的
[00:29:37] 感觉在大脑皮层
[00:29:38] 感觉在大脑皮层
[00:29:39] 可是
[00:29:40] 运动传入通路
[00:29:42] 感觉传入不是运动
[00:29:43] 胡说了
[00:29:44] 感觉传入通路到哪里结束了
[00:29:46] 到丘脑
[00:29:48] 那么带来一个问题
[00:29:50] 丘脑怎么去大脑的
[00:29:52] 实际上
[00:29:53] 丘脑怎么去大脑的
[00:29:55] 才是第三节几乎唯一
[00:29:56] 咱们要掌握的知识
[00:29:58] 嗯
[00:29:59] 在打开课叫讲课
[00:30:00] 刚才之前
[00:30:01] 这下面这些字
[00:30:02] 都是我刚才新加的
[00:30:05] 我们至少应该知道两个名字
[00:30:07] 所谓著名的
[00:30:08] 后所内测球系
[00:30:10] 和前面的
[00:30:11] MS系统
[00:30:12] 这个内容教材在大二的时候
[00:30:14] 是讲的很详实的
[00:30:15] 为了研究感觉传入通路
[00:30:17] 我们有必要把感觉分类
[00:30:20] 这同学们应该知道
[00:30:21] 不知道这会就背下来
[00:30:22] 背不下来
[00:30:23] 后面没法学了
[00:30:24] 第一个是所谓的前标感觉
[00:30:26] 和记得的本体感觉
[00:30:27] 比如说这会腿是弯着
[00:30:29] 还是伸直的
[00:30:30] 是把这会脑袋是垂着
[00:30:31] 还是这个贴胸啊
[00:30:32] 往上手贴胸
[00:30:33] 这样一些东西
[00:30:34] 就是关节
[00:30:35] 位置觉呀
[00:30:36] 肢体的去去还是伸展呀
[00:30:39] 这一些本体感觉
[00:30:40] 身部感觉
[00:30:41] 和前标的
[00:30:42] 比如说绷动绝呀
[00:30:44] 痛绝呀
[00:30:45] 触牙绝呀
[00:30:46] 这样一些感觉
[00:30:47] 我们首先把感觉分一下类
[00:30:49] 身部和前部
[00:30:51] 第二个我们还得进一步分类
[00:30:53] 触牙绝在这个地方
[00:30:55] 我们刻意把它区分为
[00:30:57] 粗略的触牙绝
[00:30:59] 和精细的触牙绝
[00:31:01] 有了感觉的分类以后
[00:31:03] 才能去传入通路
[00:31:05] 那么开始对照一下
[00:31:06] 后所内测球系传的是谁
[00:31:09] 是本体感觉
[00:31:10] 和精细的触牙绝
[00:31:12] 前外测系统
[00:31:13] 特别是外测系统
[00:31:16] 叫紧髓胸脑测数
[00:31:17] 传的是温通区
[00:31:19] 前数更多传的是粗略触牙绝
[00:31:22] 它说它是分开的
[00:31:23] 所以这个课件要写标准
[00:31:24] 应该是内测
[00:31:26] 叫后寸的球系
[00:31:27] 画个分号
[00:31:29] 点个分号
[00:31:30] 然后前这个凳号
[00:31:33] 前外测
[00:31:34] 它是两个系统
[00:31:35] 前和外两个系统
[00:31:38] 走向的东西不一样
[00:31:40] 走向的节奏也不一样
[00:31:43] 感觉说我三级神经元
[00:31:45] 那么第三级在球脑不会错
[00:31:48] 第一级在后跟
[00:31:50] 脊椎后脚也没有毛病
[00:31:52] 那么第二级在哪里
[00:31:54] 所以这些讲课一直讲
[00:31:55] 有时候老师们也讲不明白
[00:31:56] 清学生们都知道我这样讲的
[00:31:58] 要是万一有同学
[00:31:59] 第一次听我讲课
[00:32:00] 你记住第二级其实特别好找
[00:32:02] 你不信在这背读一句话
[00:32:03] 回头我回头刻劲
[00:32:04] 我给你打出来
[00:32:05] 回头我刻劲
[00:32:06] 这个你写出来
[00:32:07] 第二级神经元发出的线位
[00:32:10] 肯定要交叉了
[00:32:12] 回头不行
[00:32:15] 我把这句话写到这
[00:32:16] 我刻劲再给你摇摆亮一下
[00:32:18] 或者有同学听见这句话
[00:32:19] 给我打个弹幕上
[00:32:20] 第一级的脊椎后脚跑不了
[00:32:23] 第三级在球脑
[00:32:24] 球脑上就是谁
[00:32:25] 符合内外才合团
[00:32:26] 内外才西装体这些东西
[00:32:28] 它跑不了
[00:32:29] 那么第二级不一样
[00:32:31] 有些人第二级在延水这
[00:32:35] 有些人第二级就在脊椎的相应阶段
[00:32:39] 我怎么知道它在哪里
[00:32:41] 所以你去找结构
[00:32:42] 哪个地方交叉了
[00:32:44] 交叉之前就交叉的神经线位
[00:32:47] 也是由某一个神经元宝体发出的
[00:32:51] 发出交叉线位的那个神经元
[00:32:53] 就是这儿咱们说的第二级神经元
[00:32:56] 所以把图反过来给你看一下
[00:32:58] 你看后所内测球系的
[00:33:00] 就是传导本体感觉进一出压决的
[00:33:03] 叫先上行后交叉的本体感觉这一框
[00:33:08] 那么第二级神经元在这
[00:33:10] 在哪在延水博士写出来
[00:33:12] 如果交叉之后再上行
[00:33:14] 前表这些感觉
[00:33:16] 第二级神经元就在脊椎后角附近
[00:33:19] 是这样的交叉
[00:33:22] 换元之后就自然交叉
[00:33:25] 要是没有交换神经元
[00:33:26] 同时先上行
[00:33:27] 所以先上行后交叉
[00:33:29] 先交叉后上行是这样的
[00:33:31] 能借助这个东西看一下
[00:33:33] 第二级神经元在哪里
[00:33:35] 这是第一个
[00:33:36] 第二个一般的同学一般的教育水平
[00:33:38] 一个学校的教学质量教学水平
[00:33:40] 同学们学完生命学在这儿
[00:33:42] 一般都知道一个东西
[00:33:43] 什么东西啊
[00:33:44] 因为不同的感觉
[00:33:46] 在脊髓的传导部
[00:33:48] 有人是在同侧上去以后
[00:33:50] 到延水再交叉对侧
[00:33:51] 有人是在对侧直接就上行了
[00:33:53] 所以这出了一个词啊
[00:33:55] 叫脊髓半切
[00:33:57] 脊髓半切
[00:33:58] 或叫脊髓半离断
[00:34:00] 在某些临床病理情况下
[00:34:01] 比如说外科就像有一个病叫
[00:34:03] 脊髓空洞症
[00:34:04] 半离断
[00:34:05] 切断一半
[00:34:06] 你比如说你把像这个视频图吧
[00:34:08] 右侧脊髓正好不小心给损伤了
[00:34:10] 卖伤拿刀子看
[00:34:12] 切了一半
[00:34:13] 然后病人损伤的是什么
[00:34:15] 是右侧的本体感觉进去出压缺
[00:34:17] 和左侧的温通缺
[00:34:20] 拿刀子去扎一下
[00:34:23] 右腿
[00:34:24] 不知道弯着是你
[00:34:25] 哥们你闭住眼啊
[00:34:26] 你帮他把腿弯住
[00:34:27] 说腿脏弯着是什么
[00:34:28] 不知道
[00:34:29] 拿刀子一扎
[00:34:30] 哎呀它疼
[00:34:31] 这左侧不疼
[00:34:32] 那左侧知道是弯的还是伸的
[00:34:33] 左侧不知道疼
[00:34:34] 这个现象就是生命学上著名的那个词
[00:34:38] 感觉分离
[00:34:40] 感觉分离
[00:34:43] 实际上这个脊髓半切
[00:34:45] 或者半离断
[00:34:46] 倒带可是让它更丰富一点
[00:34:48] 你在追提一个地方一个离断
[00:34:50] 或者是脊髓的前后半离断
[00:34:52] 你把后脑断前半没断
[00:34:54] 后脑后脚是感觉传入
[00:34:56] 前脚运动传出
[00:34:57] 所以断感觉不断运动
[00:34:59] 断运动不断感觉
[00:35:00] 它都有分离
[00:35:01] 实际上它不太一样
[00:35:03] 后损类似休息
[00:35:04] 后损类似休息
[00:35:05] 你要后脑断了以后
[00:35:06] 你把本体感觉给丢失了
[00:35:07] 它是前脚的感觉它不丢失
[00:35:09] 运动就丢失了
[00:35:11] 所以它都不一样
[00:35:12] 先交叉
[00:35:15] 后上行
[00:35:16] 先上行
[00:35:17] 后交叉
[00:35:18] 淹碎薄疏合
[00:35:20] 泄疏合
[00:35:21] 这些词都在这
[00:35:22] 就这样的
[00:35:24] 所以有了这个概念以后
[00:35:26] 有了感觉的分类
[00:35:27] 咱们就好办了
[00:35:28] 嗯
[00:35:29] 这个示意图
[00:35:30] 像刚才那个动态图一样
[00:35:31] 就是在描述它
[00:35:32] 你比如说
[00:35:33] 粗裂出牙诀
[00:35:34] 哎
[00:35:35] 它是两侧上行的
[00:35:37] 翁头诀和痛诀是在对侧上行的
[00:35:39] 那么
[00:35:41] 精细出牙诀本体感觉
[00:35:43] 是同侧上行
[00:35:44] 到淹碎的薄疏泄疏合以后
[00:35:46] 才对对的构成一样
[00:35:47] 对侧内侧休息
[00:35:49] 到了丘脑
[00:35:50] 就到第三极视觉
[00:35:52] 这视觉还没有到大脑呀
[00:35:53] 所以这个地方作为一些具体的感觉
[00:35:55] 它怎么去大脑的
[00:35:56] 这个地方咱们提前说一下
[00:35:57] 一会儿学到了
[00:35:58] 从丘脑再往大脑
[00:36:00] 或者往丘脑以上的部位走
[00:36:02] 有两套结构
[00:36:04] 叫特异和非特异性投射系统
[00:36:06] 那个玩就很简单
[00:36:08] 所以第三极的更大麻烦在哪里
[00:36:10] 在通路本身
[00:36:11] 而不在投射系统
[00:36:13] 通路系统它很简单
[00:36:14] 一般人都知道
[00:36:15] 这是一个
[00:36:16] 就像
[00:36:17] 就是同侧还是对侧
[00:36:18] 先上去后交叉
[00:36:19] 先上去后交叉
[00:36:20] 第二个这个图也是咱们大耳必须要掌握的
[00:36:23] 咱们突然发现
[00:36:24] 脊椎你要做横切横断面
[00:36:26] 你看一下
[00:36:27] 实际上那地方给你写了一个
[00:36:28] 在博出卸出合着
[00:36:29] L
[00:36:30] 这个SL
[00:36:31] TC
[00:36:32] 颈
[00:36:33] 胸
[00:36:34] 腰
[00:36:35] B
[00:36:36] 它从前面在这给你画了一下
[00:36:37] 这也是一样
[00:36:38] 颈
[00:36:39] 胸
[00:36:40] 腰
[00:36:42] 你发现
[00:36:43] 越是
[00:36:44] 肌体
[00:36:45] 躯干
[00:36:46] 上部的感觉
[00:36:47] 越走向
[00:36:48] 现在脊椎的深层
[00:36:49] 地部
[00:36:50] 深层
[00:36:51] 越是来自于腰底部的
[00:36:53] 越是前层
[00:36:54] 为什么这么在乎这个事
[00:36:55] 临床上也没有受
[00:36:56] 发生损伤以后
[00:36:57] 咱们还没有非常好的设备
[00:37:00] 全部检查出来
[00:37:01] 所以生理学这讲的一个东西
[00:37:03] 如果脊椎内部长了个小瘤子
[00:37:05] 比如说脊椎内部长了一个小
[00:37:07] 外伤以后有有有
[00:37:08] 有小水肿啊血肿啊等等
[00:37:09] 长个瘤子
[00:37:10] 它瘤子从里边往外长
[00:37:12] 从里边往外面
[00:37:13] 一个膨胀式的生长
[00:37:14] 所以它就由前往
[00:37:16] 深的去挤压
[00:37:17] 那么挤压
[00:37:18] 那么挤压完之后
[00:37:19] 患者哎
[00:37:20] 他的感觉丧失是从上往下的
[00:37:23] 先丧失是颈部的脖子的颈胸腰底
[00:37:28] 由内而外的
[00:37:29] 脊椎内部并变的
[00:37:31] 感觉的丧失是由上往下的
[00:37:34] 如果是一个
[00:37:35] 一摸下一摸外的一个血肿
[00:37:39] 腰部胸部一个外伤
[00:37:40] 那么外面长一个大血肿
[00:37:42] 在这儿
[00:37:43] 鼠标怎么长不长
[00:37:44] 在这儿
[00:37:45] 这儿长了个血肿
[00:37:46] 它挤压的时候血肿很大
[00:37:48] 往下压迫
[00:37:49] 那么这种感觉丧失就是从下往上的
[00:37:52] 鼻腰胸筋
[00:37:54] 由浅到深的
[00:37:56] 所以有人把这样一个排列的顺序
[00:38:00] 也叫做脊髓的后闸门
[00:38:02] 人体不同类型感觉
[00:38:04] 不同部位的感觉
[00:38:06] 在脊髓内部走形的位置是不一样的
[00:38:09] 所以这边这个纵切的图
[00:38:12] 是画了一个整个的往上怎么传的
[00:38:15] 本体感经济传言局
[00:38:16] 同侧上行
[00:38:17] 到颜髓以后叫它对侧
[00:38:19] 那么切表的图
[00:38:20] 特别是温痛觉
[00:38:22] 它在对侧上行
[00:38:23] 所以这样你就脑补一下
[00:38:25] 如果脊髓正好断了一半
[00:38:26] 那么这断的是对侧的温痛觉
[00:38:29] 和离断同侧的本体感觉
[00:38:32] 这就叫感觉分离
[00:38:33] 这一节课听完之后
[00:38:34] 如果在这儿能听到四个字
[00:38:36] 感觉分离
[00:38:37] 那就靠谱了
[00:38:38] 另外这儿听懂一个音译是什么意思
[00:38:40] 感觉传入通路传到哪里结束
[00:38:42] 丘脑
[00:38:43] 但是感觉正在产生大脑
[00:38:45] 所以丘脑得往大脑走一下
[00:38:47] 丘脑往大脑走之前
[00:38:49] 看看丘脑本身
[00:38:50] 所以这种感觉
[00:38:51] 这个视野图很经典
[00:38:52] 在咱们红红线的第九版的五年纸教材上
[00:38:54] 这个图它没有变
[00:38:55] 一直是这个图
[00:38:56] 你能看到有内侧膝撞体
[00:38:58] 外侧膝撞体
[00:38:59] 是吧
[00:39:00] 分别在这个地方借到的什么呀
[00:39:02] 听觉和视觉
[00:39:03] 内侧膝撞体
[00:39:04] 听觉视觉
[00:39:05] 然后还有丘脑整个是后脑在整波了
[00:39:08] 后脑勺这边
[00:39:09] 还有束旁河
[00:39:10] 是吧
[00:39:11] 这画的在这儿
[00:39:12] 中阳中河
[00:39:13] 这些名字应该是都见过
[00:39:14] 隋坂内这个河群
[00:39:16] 丘脑前河
[00:39:18] 然后就有附后
[00:39:20] 就是附侧
[00:39:21] 下脑附侧的
[00:39:23] 后外侧附和
[00:39:25] 后内侧附和
[00:39:26] 这些词如果大学的差不多就知道
[00:39:29] 后外侧
[00:39:30] 或者附后外侧河
[00:39:31] 或者后外侧附和
[00:39:32] 后内侧附和
[00:39:33] 外侧河坨的
[00:39:34] 走的是
[00:39:35] 肢体
[00:39:37] 周围的一些感觉
[00:39:39] 在丘脑部位
[00:39:41] 后内侧附和
[00:39:42] 打开说读一下
[00:39:43] 就是头面部感觉了
[00:39:45] 也这样你感觉很有意思
[00:39:46] 为什么很有意思
[00:39:47] 你要说丘脑上躺着个小人
[00:39:50] 平躺着
[00:39:52] 怎么躺着呢
[00:39:53] 在内侧四肢朝外
[00:39:57] 这个样子
[00:40:00] 左右两侧都有丘脑
[00:40:01] 丘脑这儿
[00:40:02] 左右脑子上了以后
[00:40:03] 仍是在丘脑这儿躺着两个小人
[00:40:05] 头和头相对着
[00:40:07] 四肢朝外长着
[00:40:08] 分别感受肢体的左侧和右侧
[00:40:10] 大脑皮层也是这样
[00:40:12] 我们的体标感觉
[00:40:16] 头设置的位置
[00:40:18] 大脑皮层怎么分布的
[00:40:20] 一会儿就学到了
[00:40:21] 呈现道指分布
[00:40:23] 但头面部本身又是正立的
[00:40:26] 它没有完
[00:40:27] 七关节以下的肢体的感觉
[00:40:30] 到大脑皮层的内表面
[00:40:31] 到片体里边去了
[00:40:33] 这个咱们在大一学解剖和大二学生理学的时候
[00:40:36] 作为基本常识
[00:40:37] 一般按道理就应该一辈子都不会忘
[00:40:40] 作为什么神经生理学你学不会
[00:40:42] 就是原本都以为
[00:40:44] 你都以为你就应该会的东西
[00:40:46] 结果你压根没听说过
[00:40:47] 看起来不会的不是生理
[00:40:49] 是解剖
[00:40:50] 不是的不会诊断
[00:40:52] 不是诊断
[00:40:53] 是药理
[00:40:54] 是病身
[00:40:54] 是病理
[00:40:55] 人就是这样
[00:40:56] 总是学到某个部位的时候还生气
[00:40:59] 你跟我讲的就讲不明白
[00:41:01] 他为什么读到内科的时候算总账
[00:41:03] 你原来大学大一到大四
[00:41:05] 你有一节课一个学期没有运行
[00:41:07] 学到内科学
[00:41:09] 你就露馅了
[00:41:10] 对了
[00:41:11] 所以这两天晚上在直播这个诊断学
[00:41:14] 搞个春节七天乐
[00:41:15] 咱们今天晚上该讲第二天
[00:41:17] 一会儿我就该讲直播课了
[00:41:18] 录会儿课就不录了
[00:41:20] 就还在感受读到诊断学才发现
[00:41:22] 原来啊
[00:41:22] 咱们切了很多课
[00:41:24] 切了很多知识
[00:41:25] 反正还那句老话
[00:41:26] 出来混
[00:41:27] 早晚要还的
[00:41:29] 讲到神经生理学
[00:41:30] 你也发现我的节奏很慢
[00:41:32] 语速也不快
[00:41:33] 就希望大家通过学这一点
[00:41:35] 这么难的知识
[00:41:36] 不要再那么急匆匆
[00:41:39] 急呼呼的哈啥啥的
[00:41:41] 是吗
[00:41:41] 就急的哈啥的
[00:41:42] 就不是急着要干下去
[00:41:44] 混的
[00:41:45] 秋闹各种各样课团
[00:41:47] 在这至少附写了四个课团
[00:41:49] 后外侧符合
[00:41:50] 后内侧符合
[00:41:52] 内侧膝盖体
[00:41:53] 外侧膝盖体
[00:41:55] 这些内容在这开始看
[00:41:56] 都属于秋闹的第一类
[00:41:59] 神经号统细胞群
[00:42:00] 我们叫做特异性的感觉集体核
[00:42:03] 内外侧膝盖体
[00:42:05] 你看内侧的
[00:42:06] 主要是听觉它的通路
[00:42:08] 外侧休息过来的
[00:42:10] 外侧膝盖体是视束
[00:42:11] 上一站的感觉器官
[00:42:13] 咱们给专门看过
[00:42:14] 还有符合核
[00:42:16] 符合外侧核传递的是
[00:42:17] 或者记
[00:42:18] 这个接受的
[00:42:20] 应该是接受个核是
[00:42:21] 接受的是躯体感觉
[00:42:23] 符合内侧核接触的是
[00:42:24] 头面部的感觉
[00:42:25] 就这个样子
[00:42:26] 第一类核桶
[00:42:27] 第二类主要是联络核
[00:42:29] 功能上是和各种感觉的联系
[00:42:33] 协调的关系
[00:42:34] 联合联谈
[00:42:35] 主要核桶包括秋闹前核
[00:42:37] 符外侧核
[00:42:38] 嗯
[00:42:39] 你看刚才看这个
[00:42:40] 第一类核桶是符后
[00:42:42] 外侧核
[00:42:43] 这就是符外侧核
[00:42:45] 包括秋闹枕
[00:42:47] 秋闹枕一样
[00:42:48] 第三类核桶就随把内核群
[00:42:51] 刚才专门看过身体
[00:42:51] 它主要是维持和改变
[00:42:54] 皮层性缝性
[00:42:55] 这是
[00:42:55] 是像将来它要往上
[00:42:56] 一上投射的
[00:42:57] 包括中央中核
[00:42:58] 树旁核
[00:42:59] 中央外侧核等等
[00:43:00] 所以我们在学到
[00:43:01] 这一块的时候
[00:43:02] 至少有个什么印象
[00:43:03] 有一个秋闹
[00:43:05] 有三类功能不同的
[00:43:08] 神经核桶
[00:43:09] 第一类核桶
[00:43:11] 一般是通过第二类核桶
[00:43:14] 再向更高级的种树去投射
[00:43:16] 是这个样子
[00:43:18] 所以这个核桶的概念
[00:43:19] 一定要有
[00:43:20] 可能还能在接下来
[00:43:21] 有内侧和外侧续状体
[00:43:23] 内侧外侧续状体
[00:43:24] 分别传导
[00:43:25] 或者接受着
[00:43:26] 听觉和视觉传入
[00:43:28] 这就很好
[00:43:29] 那么用了这个概念以后
[00:43:31] 咱们接着往下读
[00:43:32] 就是第三节要谈的
[00:43:33] 几乎唯一的话题
[00:43:34] 有关感觉投射系统
[00:43:36] 特异非特异
[00:43:38] 秋闹的第一类和第二类
[00:43:40] 神经核桶
[00:43:40] 就特异性的
[00:43:41] 感觉接替核
[00:43:43] 加上列络核
[00:43:45] 将来它就像大脑皮层
[00:43:47] 发出场子投射纤维
[00:43:49] 秋闹到皮层投射纤维
[00:43:52] 是点和点的东西
[00:43:54] 秋闹哪个点发出以后
[00:43:55] 到皮层哪个点
[00:43:56] 它是一个
[00:43:58] 固定的一个
[00:43:59] 创造通路
[00:44:00] 这个点不会乱
[00:44:01] 就像两根直接拉的一条线
[00:44:03] 跃了
[00:44:04] 拉的一条红线一样
[00:44:07] 点和点对称的
[00:44:08] 联系的
[00:44:09] 那么这样的话
[00:44:10] 将来通过这个通路
[00:44:11] 到大脑皮层之后
[00:44:13] 人就能产生特定的定位准确
[00:44:15] 性质明确
[00:44:17] 这样一个感觉
[00:44:18] 它没有完
[00:44:19] 在后面去到大脑皮层就发现
[00:44:20] 秋闹的核桶发出纤维之后
[00:44:23] 到皮层
[00:44:24] 去皮层一般在我们人里有九层
[00:44:26] 神经核桶
[00:44:27] 或者神经
[00:44:28] 神经核桶
[00:44:29] 或者神经核桶
[00:44:29] 一般像它这个是到
[00:44:31] 第四层
[00:44:32] 大椎体细胞
[00:44:33] 这个细胞在下
[00:44:35] 更浅和更深的一个
[00:44:37] 纵向层次去传递
[00:44:39] 成为一个感觉柱
[00:44:40] 柱和柱之间
[00:44:42] 在发生一些光暗联系
[00:44:43] 所以经常你会发现
[00:44:45] 感觉创入这个代表区
[00:44:47] 皮层代表区
[00:44:47] 往往会和运动皮层
[00:44:49] 产生直接的通路远近
[00:44:51] 所以这个地方多一个层
[00:44:53] 特异性透视系统
[00:44:55] 不但会让人产生特定感觉
[00:44:57] 并且能够激发皮层
[00:44:59] 发生冲动
[00:45:01] 类似于走路下贴光脚
[00:45:03] 而再插着拖鞋
[00:45:04] 进教室的时候
[00:45:05] 一脚踢到
[00:45:06] 讲台上了
[00:45:07] 脚都被踢疼了
[00:45:08] 气得不止说自己走路不小心
[00:45:10] 咚
[00:45:10] 踹人家讲台一脚
[00:45:11] 谁让你放这的
[00:45:13] 你说讲台帮你宿舍合室
[00:45:14] 我开玩笑啊
[00:45:16] 就是产生痛觉之后
[00:45:17] 本能上第二句踢一脚出去
[00:45:19] 结果一踢
[00:45:19] 一会儿拖鞋踢来了
[00:45:21] 哎呀
[00:45:22] 你觉得意思啊
[00:45:23] 听懂就算了
[00:45:24] 这是特异性透视系统
[00:45:25] 产生特定感觉
[00:45:27] 并激发冲动
[00:45:28] 而非一种
[00:45:29] 非特异性系统
[00:45:30] 是秋脑第三类合作发出的
[00:45:32] 非特异性的秋脑投射合
[00:45:34] 它的先进将来啊
[00:45:36] 不是像披层
[00:45:38] 应该说是像
[00:45:38] 秋脑以上部位
[00:45:40] 弥散性投射
[00:45:42] 这些年我老看到
[00:45:43] 纯粹开玩笑
[00:45:44] 开玩笑啊
[00:45:45] 就有些人啊
[00:45:45] 可能有一些基层的
[00:45:47] 这个部门处理的工作
[00:45:49] 不太恰当
[00:45:49] 他就不高兴
[00:45:51] 所谓的上访
[00:45:52] 哎呀
[00:45:53] 打一点小攀搭
[00:45:54] 走出来以后
[00:45:55] 给村支书加扔两份
[00:45:56] 给村长加扔两份
[00:45:57] 是吧
[00:45:58] 给村会计加扔两份
[00:45:59] 然后一路的
[00:46:00] 走一路
[00:46:00] 就给乡长加扔两份
[00:46:01] 给这个乡派出所扔两份
[00:46:03] 然后还没人管
[00:46:05] 就往县里边一路
[00:46:06] 见谁就给谁手里发
[00:46:07] 他也没指望你能处理
[00:46:09] 反正我就把信息
[00:46:10] 给传递出去
[00:46:11] 我这样说
[00:46:11] 应该你听懂了
[00:46:12] 第三类合作发出
[00:46:14] 些位置后
[00:46:14] 这比秋脑位置高
[00:46:15] 见人就给人投放
[00:46:16] 他也知道
[00:46:17] 赢不起什么问题
[00:46:18] 所以他的目的啊
[00:46:20] 他没有点合
[00:46:20] 反正弥散投
[00:46:21] 什么有点也得对称
[00:46:22] 他也产生不了什么感觉
[00:46:24] 那他干嘛的
[00:46:24] 维持或改变
[00:46:28] 大脑批层的信仰性
[00:46:30] 叫
[00:46:30] 昂财一说
[00:46:31] 给一句话
[00:46:31] 说这个
[00:46:32] 飞腿头的系统
[00:46:33] 通俗可以理解的
[00:46:34] 就是一个所谓的
[00:46:36] 网状上行
[00:46:38] 机动系统
[00:46:39] 那第三节
[00:46:40] 感觉
[00:46:41] 传入这一块
[00:46:42] 还有别的一些细节
[00:46:43] 要学习
[00:46:43] 包括批层的一些功能
[00:46:45] 包括痛觉
[00:46:46] 内脏疼痛
[00:46:47] 内脏感觉
