# 源音频：P15-生理学本科教学及考研基础课 p15 血液生理终章-血液凝固和血型.m4a
# 时长：4774s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 好同学们,上节课实际上咱们是谈了两个小话题,血小板的生理和生理性止血。
[00:23:24] 因此这个地方讲这节课呀
[00:23:26] 说老师没什么总结的用
[00:23:28] 如果说这一回咱们重新学习生理学的这一节
[00:23:31] 学习这一段第三节
[00:23:32] 总体老师想说的是
[00:23:34] 凝血不是毛病
[00:23:36] 凝血
[00:23:37] 抗凝
[00:23:39] 纤绒
[00:23:40] 三大系统是有机的
[00:23:42] 缜密的
[00:23:43] 交织在一起
[00:23:44] 共同起作用
[00:23:46] 是动态平衡
[00:23:47] 平衡
[00:23:48] 相互制衡
[00:23:49] 有相互启动
[00:23:51] 你中有我我中有你
[00:23:52] 这个概念
[00:23:53] 要比你读凝血过程本身
[00:23:56] 显得更重要
[00:23:58] 人体在血液中有三大系统
[00:24:00] 凝血
[00:24:01] 抗凝
[00:24:02] 和纤绒
[00:24:03] 这样的
[00:24:04] 第二个就是重申一下
[00:24:06] 所谓的内外性和外外性途径是什么意思
[00:24:08] 只是启动时的
[00:24:10] 启动子不一样
[00:24:12] 三和七启动时叫外外性途径
[00:24:13] 十二因子启动时叫内外性
[00:24:15] 那么在十以后大家是
[00:24:18] 归于同一个
[00:24:20] 路径的
[00:24:21] 所以这样看下来的话整个凝血过程教材也非常明确写了
[00:24:24] 你不和教材这么写的多啰嗦
[00:24:26] 世界上凝血就三步
[00:24:28] 激活十因子
[00:24:29] 激活二因子的凝血酶原
[00:24:32] 激活成凝血酶
[00:24:33] 然后纤维蛋白
[00:24:34] 纤维蛋白会降解成四条纤维蛋白单体
[00:24:37] 所以这儿听一下
[00:24:39] 凝血一共就三步
[00:24:41] 十
[00:24:43] 二
[00:24:44] 一
[00:24:45] 二这里边八因子
[00:24:47] 五因子
[00:24:47] 三因子
[00:24:48] 专门写成荧光绿这个颜色
[00:24:50] 包括高明基太原
[00:24:51] 是一般咱们强调三
[00:24:52] 八五三
[00:24:53] 这三个
[00:24:54] 著名的
[00:24:55] 辅因子
[00:24:55] 二十万倍一万倍
[00:24:57] 一千倍
[00:24:58] 对了辅因子
[00:25:00] 凝血过程就三步
[00:25:02] 根据启动时的方法不一样
[00:25:05] 把它分别称之为
[00:25:06] 外外性途径和
[00:25:08] 内外性途径
[00:25:09] 外外性启动
[00:25:11] 内外性
[00:25:12] 完成
[00:25:13] 与其说是在学习凝血过程
[00:25:16] 不无分之在学习
[00:25:17] 凝血因子
[00:25:19] 有这么一个概念
[00:25:20] 这样的话凝血就实现了
[00:25:22] 剩下这一块咱们都读书
[00:25:24] 接下来咱们
[00:25:25] 要关心的不是凝血
[00:25:27] 是凝血抗凝和纤绒
[00:25:29] 三大系统之间一个平衡的问题
[00:25:31] 这里边你要去读一下教材
[00:25:33] 有关二因子激活之后的凝血酶
[00:25:36] 没有激活之前的凝血酶远
[00:25:37] 激活之后的凝血酶本身
[00:25:39] 就有一系列作用包括在系统内部发生正反馈呀
[00:25:43] 包括它去启动
[00:25:44] 抗凝呀纤绒呀
[00:25:46] 等等
[00:25:46] 你比如说
[00:25:47] 包括些微蛋白单体
[00:25:49] 这是咱们人体能发生纤绒
[00:25:51] 真正的
[00:25:51] 启动因素
[00:25:52] 启动TPA呀UPA它的激活呀等等
[00:25:55] 都在这
[00:25:56] 一旦启动凝血
[00:25:57] 就同时启动了
[00:25:59] 抗凝
[00:26:00] 和纤绒
[00:26:00] 这个概念建立起来
[00:26:02] 要比被细节
[00:26:03] 更重要
[00:26:05] 这样的话咱们这个凝血过程
[00:26:07] 先放到这
[00:26:08] 接着往下读
[00:26:13] 好同学们
[00:26:14] 咱们接着往下看
[00:26:16] 就要看
[00:26:16] 刚才我把这个地方呀
[00:26:17] 把这条线
[00:26:18] 刚才在
[00:26:19] 我把口角背景改了一下
[00:26:21] 改了一下
[00:26:21] 你看这条线是白色的
[00:26:23] 看着不太醒目
[00:26:25] 所以这装不太有改成一个和别人一致改成个绿色
[00:26:29] 实际上这个地方咱们特别强调
[00:26:31] 三合七的这个复合物呀
[00:26:33] 是可以直接激活使的
[00:26:34] 但这一步
[00:26:36] 刚才说的
[00:26:37] TFCI
[00:26:38] 在体内
[00:26:39] 以负反馈的形式
[00:26:40] 把它一直在
[00:26:42] 控制着
[00:26:42] 保持在一个
[00:26:44] 基本的水平
[00:26:45] 要非把它按照咱们
[00:26:46] 习惯的词
[00:26:47] 就是极度紧张的话是可以的
[00:26:49] 人体在生理情况下有一定水平的
[00:26:52] 凝血
[00:26:53] 抗凝和泄溶
[00:26:54] 这样的话
[00:26:55] 你听一个词叫做一倍
[00:26:57] 不时之虚
[00:26:58] 嗯这么个词比较强的
[00:27:00] 它有一定水平的一个活性
[00:27:02] 一旦在集体这样需要动员凝血或者动员
[00:27:05] 抗凝或泄溶的时候
[00:27:06] 它原来就有一个背景值
[00:27:08] 只需要把那个闸门一放开
[00:27:10] 它马上放大就完了
[00:27:11] 所以你慢慢学习时间久了会发现人体呀
[00:27:14] 这种基本的紧张性
[00:27:16] 基础紧张非常重要
[00:27:17] 比如说
[00:27:18] 及时的走路的时候
[00:27:19] 我不需要特别紧张小孩子在街上做了贼似的被人盯着
[00:27:23] 不至于
[00:27:23] 但是你也得保持基本的紧张性
[00:27:26] 你不能走路一路刷着手机不看一脑门给撞到别杆上
[00:27:29] 你把最后信号灯给安装掉下来
[00:27:31] 这也不合适
[00:27:32] 但我开玩笑
[00:27:33] 可是这两年你发现
[00:27:34] 走路走的看着手机一脑门扎到海里面给淹死的
[00:27:38] 扎到江里边给冲走的
[00:27:39] 对吧
[00:27:40] 扎到车轱辘底下被压扁的
[00:27:41] 都有
[00:27:43] 基础紧张不够
[00:27:44] 基础紧张太高不行基础紧张太高了以后没法活
[00:27:47] 我们叫做焦虑状态
[00:27:49] 焦虑症就是我可咋活的老师
[00:27:51] 今天听你的课就没听懂
[00:27:52] 我这去生理学学不会呀学不会多学两遍呗
[00:27:55] 实际上这个地方讲到这儿呀就想跟你说
[00:27:58] 在
[00:27:58] 学业这一章
[00:28:01] 宁血
[00:28:02] 抗凝
[00:28:03] 先溶
[00:28:04] 不管老师讲多少
[00:28:05] 你也亲自读读书
[00:28:07] 大概这一部分东西作为老师得很诚恳的讲一句话
[00:28:10] 一定通过宁血咱们比如说从四云子上盖
[00:28:14] 二云子
[00:28:15] 宁血酶远
[00:28:16] 激活之后叫宁血酶
[00:28:18] 内原性途径
[00:28:19] 12因子表面激活
[00:28:20] 外形途径
[00:28:21] 三因子组织因子
[00:28:23] 但是他整个的过程是
[00:28:25] 外围性
[00:28:25] 启动
[00:28:26] 内原性完成
[00:28:27] 一个极短的内原性途径
[00:28:29] 这样的话三因子
[00:28:31] 他是长在那批虾的
[00:28:33] 长在血管的某一个地方
[00:28:34] 固定的八点
[00:28:35] 只有在这个地方
[00:28:36] 内皮损伤以后是把反因子暴露出来
[00:28:39] 交叶下
[00:28:40] 然后在局部引发血管的聚集长成一个
[00:28:42] 白色的栓子
[00:28:44] 在这个地方血管
[00:28:45] 栓子的话
[00:28:46] 在提供一个所谓的带负电和义务表面
[00:28:48] 把好几个因子比如从那边看
[00:28:50] 九因子是吧加上这个
[00:28:52] 这个复合物加上
[00:28:53] 八因子
[00:28:54] 八因子的地方在这
[00:28:56] 八因子加上血管
[00:28:57] 因子
[00:28:58] 加上钙
[00:28:59] 形成一个复合物
[00:29:00] 那么这个复合物去哪个地方反正有个场地呀
[00:29:03] 这个场地就PF
[00:29:05] 灵质表面
[00:29:06] 提供以后去激活时
[00:29:08] 他整个这么一个过程就整个你把它全部读下来
[00:29:11] 这里边是有灵质表面的另外你看看
[00:29:14] 关键几步的吧
[00:29:14] 这里边都离不开钙到处都是钙
[00:29:16] 四因子
[00:29:17] 因此你这样设想一下
[00:29:19] 我要把血液中的钙这个拿掉的话
[00:29:21] 它就不会再淋血了
[00:29:23] 所以血库里边再保存血液
[00:29:26] 说我泄个血去200毫升是吧一个血
[00:29:28] 显现一下
[00:29:29] 这个血库的血袋里放的是聚烟酸钠
[00:29:32] 聚烟酸一个钙的熬合剂
[00:29:34] 它把钙拿掉以后
[00:29:37] 就不再发生淋血了
[00:29:38] 所以在前面咱们讲过
[00:29:39] 你要是插个钢工在实验室中
[00:29:42] 我就给他
[00:29:43] 往里边放点钢素
[00:29:44] 钢素化了
[00:29:45] 这个是光
[00:29:46] 这样抽了血不淋
[00:29:48] 血栈里边是聚烟酸
[00:29:50] 而你将来给人输血的时候大脑成菌血液输到体内
[00:29:53] 聚烟酸在体内经过肝脏代谢回程
[00:29:56] 形成碳酸氢根
[00:29:57] 血液这一张慢慢有个印象
[00:29:58] 什么印象
[00:29:59] 机体的酸碱是费杂和肾脏共同平衡的
[00:30:03] 费杂调节二氧化碳
[00:30:04] 肾脏推进去它才会氢根
[00:30:06] 这样你给人输血的时候等于额外输入不谈谈氢根
[00:30:09] 所以病人因为红细胞代谢让它夹在外漏
[00:30:12] 外漏以后没人管
[00:30:13] 因此在输血这有个悖论
[00:30:16] 叫做
[00:30:17] 高血钾
[00:30:18] 减重度
[00:30:19] 结果同学我内外和薛婉坐下来聊天说问证教学一问说
[00:30:24] 知不知道输血收病人输的酸中子减重多呀
[00:30:27] 一脸懵逼的样子
[00:30:28] 这就为什么说是他们学习呀
[00:30:30] 刚才讲的几乎紧张
[00:30:32] 你不一定在日常学习动手就一定像一个这个所谓学霸似的
[00:30:35] 觉得什么都知道
[00:30:36] 但你也不能什么都不知道就知道
[00:30:38] 你吃了没有干嘛你今天看韩剧没有斯密达
[00:30:41] 你不能这样
[00:30:42] 对了大学
[00:30:43] 大学的
[00:30:44] 一个样子
[00:30:46] 像个读过大学的这里不是批评去体会一下
[00:30:49] 我们和老百姓终归不一样我们是我高等教育高等教育什么意思吗
[00:30:53] 他说废话
[00:30:54] 我能说出花来
[00:30:55] 哎这个意思
[00:30:57] 不管他了啊
[00:30:58] 这个过程咱们再听一下您学过程有三步
[00:31:00] 其实就说的是谁呀
[00:31:02] 十二一
[00:31:03] 这三个英字的激活
[00:31:05] 这里面你发现有好几个辅英字
[00:31:07] 八英字呀五英字呀三英字另外离不开盖
[00:31:10] 把盖拿掉以后血液是不能凝固的
[00:31:12] 所以把血液洗干净的
[00:31:13] 以后
[00:31:14] 你发现这个血药把都不能聚集血药把聚集也需要盖
[00:31:17] 这样些东西盖类子非常重要
[00:31:19] 搁着不动它所以说
[00:31:21] 与其说是在学习凝血过程
[00:31:23] 不过是学习凝血英字
[00:31:25] 第一次看到一个著名的
[00:31:27] 概念维生素K
[00:31:29] 维生素二G90
[00:31:31] 这样的
[00:31:32] 那么这这个英文版英文版我就不啰嗦了
[00:31:34] 直接把照片拍下来一看啊啊区区的
[00:31:37] 看不清楚
[00:31:38] Activity
[00:31:39] Factal
[00:31:40] 这太
[00:31:41] 是把十英字激活
[00:31:42] 激活的九英字
[00:31:44] 激活的什么
[00:31:45] 十英字激活Activity
[00:31:47] 这个A
[00:31:47] 右下角标的一个A
[00:31:49] 就是Activity
[00:31:50] 激活的
[00:31:51] 对了这么个意思
[00:31:52] 不管它了
[00:31:53] Farber你看就是纤维蛋白原纤维蛋白单体
[00:31:56] Farber就是它
[00:32:01] 那么大体上凝血过程就这个样子
[00:32:03] 所以咱们大概做了一个总结
[00:32:05] 从内外的凝血途径看起来
[00:32:07] 血管内膜暴露焦烟纤维然后激活式里边的激活
[00:32:11] 这里边的话再去通过十英字正反馈的过程搞出一个特别的
[00:32:15] 激活十英字
[00:32:16] 激活十英字以后的话
[00:32:17] 再产生准备凝血酶原的
[00:32:20] 复合物
[00:32:21] 凝血酶原
[00:32:22] 这个酶的复合物
[00:32:23] 就是激活凝血酶原的酶
[00:32:25] 叫凝血酶原酶
[00:32:27] 这就是十英字
[00:32:28] 是吧加上五英字加上钙加上PF
[00:32:31] 这样的话把二英字给它交接成凝血酶
[00:32:33] 凝血酶再把纤维蛋白原
[00:32:35] 交接成纤维蛋白单体
[00:32:36] 两个不同的单位
[00:32:38] 四个单体
[00:32:39] 四个单体然后
[00:32:40] 在十三英字作用下形成一个网格结构
[00:32:43] 这样就像一个立体网兜一样
[00:32:44] 一边网络红细胞
[00:32:46] 以血合板吸附一些凝血英字
[00:32:48] 形成一个血凝块
[00:32:49] 这个样子
[00:32:51] 所以下面这还有小总结说这个内外型外外型途径
[00:32:55] 英字的分布
[00:32:56] 内外型途径都在
[00:32:57] 缺在血中
[00:32:58] 那外外型的里边还有点什么呀
[00:33:00] 三英字的总之种
[00:33:02] 对了 参与美的数量
[00:33:03] 内外型途径的美的数量多外外型的少
[00:33:06] 内外型的慢 大约需要数分工
[00:33:08] 外外型的快
[00:33:09] 约十几秒就够了
[00:33:11] 所以到了一会儿凝血下来是抗凝 还有鲜血
[00:33:14] 最后咱们世界上九版书这没有详细
[00:33:17] 八年三版书还给了一个
[00:33:19] 凝血功能的一个评价
[00:33:22] 这也是整个医学体系不是光生理学了
[00:33:24] 整个医学体系
[00:33:25] 生理到药理到这那里面都在存在
[00:33:28] 两个实验
[00:33:29] aptt
[00:33:30] 和pt
[00:33:32] 这部分凝血活命时间和凝血美缘时间
[00:33:35] 讲科学说喜欢说句话 这我先说一下后面再阐述
[00:33:39] aptt这个实验啊
[00:33:41] 差八英字
[00:33:42] 八英字你从前面看
[00:33:44] 是
[00:33:44] 是长在内院性途径上的
[00:33:45] 八英字
[00:33:46] aptt查八
[00:33:48] 查内院性
[00:33:49] pt
[00:33:50] 查七
[00:33:51] 查外院性
[00:33:53] 这样一个内容在药理学会做很大篇幅的阐述
[00:33:56] 而这么一个内容阐述的最明朗
[00:33:58] 是在内科学
[00:33:59] 而不是在中段药理
[00:34:02] 内科学呼吸内科有个疾病叫肥肠塞
[00:34:05] 所以这边听课有大二小朋友刚刚学把戏都糊涂着
[00:34:08] 还有大四大四同学们
[00:34:09] 妈妈学内科学过了
[00:34:11] 我记忆中好像九版内科学是108页 你给我看一下
[00:34:14] 谁翻开内科学看见了
[00:34:16] 把页码标着应该108
[00:34:18] 有关肺肠塞的抗凝治疗中
[00:34:22] 那里边有一个
[00:34:23] 指标
[00:34:24] 说给病人打甘肃来抗凝
[00:34:26] 那么这个抗凝的药物的剂量怎么样 病人反应怎么样
[00:34:30] 差谁
[00:34:31] 甘肃
[00:34:32] 差apt
[00:34:34] 华法林
[00:34:35] 差pt
[00:34:37] 你看看
[00:34:38] 内科学这个肺肠塞的治疗哪有影响
[00:34:40] 108页
[00:34:41] 因为内科页码一页多一页太多了
[00:34:43] 我背不太准确
[00:34:44] 那边
[00:34:45] 有几个页码
[00:34:46] 总是不理想
[00:34:46] 85页、104页、108页
[00:34:48] 这个好像我记忆中是页码挺顺畅的
[00:34:51] 应该108页
[00:34:52] 你先翻一下看还是哪一页吧
[00:34:54] 标出来回头看一下
[00:34:55] 就是有关在内科学上
[00:34:57] 阐述给别人用药
[00:34:59] 用甘肃、华法林
[00:35:01] 那么这个剂量合不合适
[00:35:02] 合不合适
[00:35:03] 甘肃合不合适
[00:35:05] 查apt
[00:35:06] 就不符您学活美世界
[00:35:09] 华法林合不合适
[00:35:10] 查pt
[00:35:11] 您学美院
[00:35:13] 所以一个查八因子
[00:35:14] 八因子内院性突击
[00:35:16] 查内院性一个是在
[00:35:17] 这个外围图
[00:35:18] 查七
[00:35:19] 查外围性
[00:35:19] 是这样
[00:35:21] 我们总是通过不同学科的相互比对
[00:35:24] 找出一个结论来进一步学习的
[00:35:27] 所以为什么讲和说医学学习
[00:35:29] 原来说西宗的学习和复习
[00:35:30] 是生理学开始到生理学结束
[00:35:33] 其实你要很快一读书就发现了
[00:35:35] 实际上
[00:35:35] 有没有内外科学的很多流传案例来支持的话
[00:35:38] 生理学这么抽象
[00:35:39] 根本联系不了
[00:35:41] 刚才还有同学忘了是在B站还是在微博后面留言说呼吸生理学感觉不通常了
[00:35:45] 通常是
[00:35:46] 呼吸生理学其实
[00:35:48] 在学完呼吸内科以后
[00:35:49] 你才真正的明目的老实的一句话
[00:35:52] 残气可不是残废的气
[00:35:54] 残废
[00:35:55] 残气仅仅是残余的气
[00:35:58] COPD化解为什么二行呼出来
[00:36:00] 残气变成残废的气
[00:36:02] 这样肺泡气比新鲜空气更差
[00:36:04] 氧分压更低二会儿它分压更高
[00:36:06] 导致肺泡内外的气体之间没有各自的分压差
[00:36:10] 氧气没有力量往外扩散
[00:36:12] 二会儿它也没有分压差
[00:36:13] 有力量能回来
[00:36:15] 最后结果导致血液中氧分压下降
[00:36:17] 二会儿它分压增高
[00:36:19] COPD阻塞性肺病通气功能障碍
[00:36:22] 为什么发生二行呼衰
[00:36:24] 是气体交换
[00:36:25] 失去驱动力
[00:36:27] 造成的
[00:36:28] 那么重症肺炎肺结质纤维化这样一些疾病
[00:36:32] 使呼吸膜结构发生破坏
[00:36:35] 或者是气血比例不当或者肺内分流等等各种各样原因
[00:36:39] 导致换气这个换气
[00:36:40] 有分压差你也白扯
[00:36:44] 一行呼衰
[00:36:45] 要没有这么一个拨开
[00:36:47] 匆匆礼物
[00:36:48] 去寻找事物本质的这种心态
[00:36:51] 或
[00:36:52] 方法
[00:36:53] 或能力的话
[00:36:56] 越往后面去
[00:36:57] 越晕
[00:36:58] 要不我为什么一直反复感慨说
[00:37:00] 没有读过内科学的医学人生它就不完整
[00:37:03] 读到内科学才发现一句话说的实在好
[00:37:05] 电影《无解道》里边一句台词说
[00:37:07] 出来混
[00:37:09] 早把要还的
[00:37:10] 到内科学就发现了原来你这几年学习过程中
[00:37:13] 你的每一项欠缺
[00:37:15] 到内科学都会伴着你走不动
[00:37:18] 所以一直有时候生气说留学讲的太难了
[00:37:21] 不是我讲的难
[00:37:22] 这个词很难听但是很实惠
[00:37:24] 不是我讲的太难了
[00:37:25] 实际太low了
[00:37:26] 那我怎么办老师
[00:37:27] 往回返
[00:37:28] 从生理学上找答案
[00:37:30] 对了
[00:37:30] 所以这一次B站总规大范围下生理学也是目的在这
[00:37:34] 所以还是那句老话大幅发展我们的
[00:37:36] 生理文化
[00:37:38] 就那天有同学B站留言说
[00:37:40] 生育文化
[00:37:41] 生育文化也是个好文化
[00:37:43] 未来30年中国的人口会出现很大很大的问题
[00:37:46] 我们刚刚医获
[00:37:48] 依稀可见的墙上贴着计划生育制度是一个好的标语
[00:37:52] 我们已经发现中华民族出来问题了
[00:37:54] 这是一个非常大的二十一的麻烦
[00:37:56] 我们的人口在急剧下降在断崖式的下降
[00:37:59] 应该你要真说是大理发展我们的生育文化这个话我还真应该替国家喊出来
[00:38:04] 你没发现早放开二胎了
[00:38:05] 你生三胎现在没人管你
[00:38:07] 现在是没人生
[00:38:09] 敢不敢想象30年之后街上走的全是老人
[00:38:12] 没有年轻人没有小孩你敢想象不
[00:38:15] 我们步入了日本
[00:38:17] 美国
[00:38:19] 法国
[00:38:20] 英国
[00:38:21] 俄罗斯的后城
[00:38:22] 我们后继发人呀
[00:38:25] 不是发人才
[00:38:26] 鬼才你也没有不是
[00:38:28] 没有年轻人了社会进步高龄时代了
[00:38:31] 这是很大的麻烦
[00:38:33] 所以我们小时候背的计划生育的
[00:38:36] 这个叫标语在墙上写的说
[00:38:39] 老大光荣
[00:38:40] 老二可耻
[00:38:41] 达到老三消灭老四
[00:38:43] 结果后面说只剩一个好为国家做贡献我就在想这些万般的政策谁出的
[00:38:48] 这话不当是不是
[00:38:51] 断断20年
[00:38:52] 我们就出了大问题
[00:38:53] 客腔总理不止一次的说中国的人口红利吃完了
[00:39:00] 我们还能不能记得前人在树后人乘凉呀
[00:39:05] 先不管他了
[00:39:06] 这个肖总结外围线的我按了一下也崩出来了内围线红色外围线蓝色啊我这就不讲了
[00:39:11] 三合七的符合五对了去
[00:39:12] 几乎是
[00:39:15] 不管他了
[00:39:16] 刚才咱们大体谈的是
[00:39:17] 饮血的过程和途径
[00:39:19] 饮血因此
[00:39:21] 你知道咱们
[00:39:22] 一直强调说血液中是三大系统并存的
[00:39:24] 凝血抗凝
[00:39:26] 和鲜茸
[00:39:27] 而且有所谓的基础紧张他们都一定的火性
[00:39:30] 活动水平
[00:39:32] 相互协同并且结抗的
[00:39:36] 三嘴鼎鼎的一版
[00:39:37] 抗凝系统
[00:39:38] 接着往下堵
[00:39:39] 正常的生理情况下
[00:39:41] 尽管血液中还有多种凝血因子
[00:39:44] 但血液不会在血管内部凝固
[00:39:46] 实际上换句话说在生理情况下
[00:39:48] 没有发生血管破损的情况下我们血液中
[00:39:50] 也有一部分激活的凝血因子
[00:39:53] 激活了为什么
[00:39:53] 不宁
[00:39:54] 原因在于
[00:39:55] 第1个
[00:39:56] 体内存在着所谓的抗凝系统
[00:39:58] 最重要的是
[00:40:00] 这个科技版本比较老还是抗凝血酶3
[00:40:02] 现在统一叫抗凝血酶了
[00:40:04] 抗凝血酶和组织通讯类的
[00:40:06] 抗凝物质TFPI
[00:40:07] 以及甘肃
[00:40:10] 这里边
[00:40:11] 第1项
[00:40:12] 是所谓的思安酸类的代表一种
[00:40:14] 这个说法目前依然成立
[00:40:16] 包括抗凝血酶
[00:40:18] 包括C1的一种
[00:40:19] 是吧还有这个
[00:40:22] 抗胰蛋白一种
[00:40:24] 还有这个α应该是α不是1
[00:40:26] 和α2鲜乳酶
[00:40:28] 包括这个
[00:40:29] β-氧氧氧酶蛋白
[00:40:30] 包括甘肃辅助因子等等
[00:40:32] 抗凝血酶呀
[00:40:33] 原来叫抗凝血酶3是甘酸和氧酶蛋白
[00:40:36] 能与凝血酶结合形成复合物
[00:40:38] 使得凝血酶失去活性
[00:40:40] 就是二因子
[00:40:41] 能使得激活的因子包括
[00:40:43] 这个七因子九因子十因子失活
[00:40:46] 这是旧的版本啊
[00:40:47] 我印象中是第7版的生理学那天还有同学在那边谈
[00:40:51] 说老师你这讲的不准确
[00:40:52] 课件我也懒得没动他
[00:40:54] 有时候咱们专门给同学们讲的没动出来问题了
[00:40:57] 按照咱们现在数
[00:40:59] 我没有翻900生理学哪一页
[00:41:00] 900生理学是有的啊
[00:41:02] 那天我翻了想8年300的生理学
[00:41:04] 115页我再说一下页嘛
[00:41:06] 115
[00:41:07] 这听一下
[00:41:08] 这个
[00:41:09] 3氨酸链蛋白一种
[00:41:10] 就所谓的抗凝血酶这个系统
[00:41:12] 抑制的是谁
[00:41:12] 注意
[00:41:13] 维生素K
[00:41:15] 不含7
[00:41:17] 2 7 9 10
[00:41:19] 没有7就是2 9 10 11
[00:41:22] 甚至
[00:41:23] 12 13
[00:41:25] 2 9 10 11
[00:41:26] 但是你注意
[00:41:29] 他通过这个3氨酸的抑制物呀
[00:41:32] 抑制维生素K不含7
[00:41:34] 重点目的是直接把凝血酶打掉
[00:41:37] 所以你不太好说是内外性和外外性途径
[00:41:39] 所以同学们纠结说内外性和外外性途径
[00:41:42] 这边听一下
[00:41:43] 不管内外性外外性
[00:41:44] 他实际上是内外通杀的
[00:41:46] 他没有维生素7
[00:41:47] 维生素K
[00:41:48] 展开的
[00:41:49] 但是不含7
[00:41:51] 此外
[00:41:51] 咱们在生理学上最应该背的一句话是抗凝血酶作用非常强大
[00:41:55] 但是离开甘肃你也白扯
[00:41:57] 在这听了一句话
[00:41:58] 甘肃
[00:41:59] 是间接抗凝
[00:42:00] 抗凝血酶
[00:42:01] 是直接抗凝
[00:42:03] 才是这真正该背的那句话
[00:42:05] 抗凝血酶直接作用
[00:42:07] 甘肃
[00:42:08] 间接作用
[00:42:10] 这个课件后面我围绕着咱们这个更新版本的书呀
[00:42:13] 这我更新了一些东西
[00:42:15] 按咱们这个新版书来看
[00:42:17] 不管8年3版还是旧版书啊
[00:42:18] 解开抗凝血酶
[00:42:19] 原来是抗凝血酶3
[00:42:21] 抗凝血酶是最重要的一个
[00:42:23] 凝血酶的一种物物
[00:42:24] 负责灭活60%到70%的凝血酶
[00:42:27] 其次含有甘肃的
[00:42:28] 负因子
[00:42:29] 灭活另外的30%
[00:42:31] 所以实际上你能发现抗凝血酶这个系统呀
[00:42:33] 它是灭活谁的
[00:42:35] 是灭活凝血酶的,凝血酶是二因子
[00:42:37] 不管内液外液性,通过激活10也会在激活2,再激活1
[00:42:40] 随着10、20在最后的途径上
[00:42:42] 彻底把凝血把它灭掉
[00:42:45] 第二个是抗凝血酶与凝血因子的结合需要甘肃的辅助
[00:42:49] 刚才为什么说抗凝血酶是直接作用
[00:42:52] 甘肃是间接作用
[00:42:53] 通过甘肃的结合之后
[00:42:54] 抗凝血酶的作用大概能够增加刚才看数据2000倍左右
[00:42:59] 而甘肃一般在血液中很少
[00:43:01] 主要存在于血管内皮下
[00:43:03] 所以这样的话体会一下
[00:43:05] 血管内皮损伤以后
[00:43:07] 抗凝系统才会发挥作用
[00:43:08] 对了
[00:43:09] 这就下面这写的,正常情况下,胸怀血液几乎没有甘肃
[00:43:12] 凝血酶主要是通过与内皮细胞的流酸引泻甘肃结合而增加血管内皮抗凝作用
[00:43:18] 第四个,抗凝血酶缺乏
[00:43:19] 可能会导致静脉血栓性的风险
[00:43:22] 增高
[00:43:23] 这是没有人好
[00:43:24] 就这么个样子
[00:43:26] 抗凝血酶
[00:43:28] 第二大块
[00:43:29] 所谓的抗凝系统
[00:43:30] 是蛋白C,蛋白C也是非常重要的系统,但注意一下
[00:43:33] 蛋白C的系统最俩下的点在哪里
[00:43:35] 依赖维生素K
[00:43:37] 所以你从二细胶石开始到这又是维生素K
[00:43:40] 换句话说,能够解决维生素K的问题
[00:43:43] 对于凝血抗凝血液系统就有很大的一个
[00:43:46] 干预作用
[00:43:47] 干预可以促进也可以降解
[00:43:49] 这就是咱们一直反复谈的那个药物华发力
[00:43:51] 导药力需要发现,到临床工作更是发现,心血管内科这个药物是普遍使用,比方说
[00:43:57] 二阶板狭窄患者
[00:43:58] 肯定需要终生服用华发力
[00:44:01] 二峡患者
[00:44:02] 阔性病患者肯定需要终生服用华发力
[00:44:05] 甚至包括很多冠性病患者
[00:44:07] 这个华发力无处不在,华发力
[00:44:09] 临床拿来干嘛的
[00:44:11] 抗凝,怎么抗凝的
[00:44:12] 华发力
[00:44:13] 叫维生素K
[00:44:14] 依赖的抗凝剂
[00:44:16] 所以说有时候想一想,学生理学这儿学不明白,你还不如学药理学
[00:44:20] 你不要那学都懂,以后学生理学都不懂就明白了
[00:44:22] 这就是咱们一直倡导说
[00:44:24] 他山之石
[00:44:25] 可以攻玉
[00:44:26] 那维生素K怎么能发挥作用,维生素K这个地方你知道,它有一个缩化酶
[00:44:31] 在它的作用下
[00:44:32] 逆水因子二气球时
[00:44:34] 才能
[00:44:34] 脱缩
[00:44:35] 然后进一步
[00:44:37] 变成逆水因子发挥作用
[00:44:38] 实际上维生素K是把缩化酶这儿给解决掉以后
[00:44:42] 二气球是合成不足
[00:44:44] 因此
[00:44:45] 我在这
[00:44:46] 语俗方慢,讲个核心,同学们
[00:44:49] 华发力这个药物
[00:44:50] 能在体外
[00:44:53] outside
[00:44:55] 体外
[00:44:56] 华发力能在体外发挥作用吗
[00:44:59] 并不能
[00:45:01] 华发力抗凝作用是怎么实现的
[00:45:04] 减少二气90因子的合成
[00:45:07] 而实现的
[00:45:09] 那么好
[00:45:10] 吃华发力之前提的那些因子怎么办,大概怎么办
[00:45:15] 就怎么办
[00:45:16] 所以体会一下
[00:45:17] 华发力不能直接起销
[00:45:20] 它不抗凝
[00:45:22] 它只是
[00:45:23] 减少凝血因子的合成
[00:45:25] 将来因子少了
[00:45:27] 凝血功能就低了
[00:45:28] 进而达到抗凝效果
[00:45:31] 所以临床碰到急症的时候,直接吃华发力没有用,为什么
[00:45:35] 因为体内还有很多凝血因子,那么这个时候怎么办
