# 源音频：P65-生理学本科教学及考研基础课 p65 内分泌-第一节.m4a
# 时长：2127s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 好同学们,咱们这样拿一个整段时间来看一下生理学最后的一部分,内分泌。
[00:22:21] 你听这个劲
[00:22:22] 那么糖降哪里
[00:22:23] 这是一道数吃了吗
[00:22:24] 卑识
[00:22:25] 他把糖变成糖原
[00:22:26] 代为着脂肪
[00:22:28] 储存下来
[00:22:30] 让人去修生养息
[00:22:32] 让人去生长发育
[00:22:35] 所以任何意义上看
[00:22:37] 一道数呀
[00:22:38] 都是个促生长发育的激素
[00:22:40] 你被这张读完
[00:22:41] 你会发现一道数的
[00:22:42] 促生长发育是不言而喻的
[00:22:44] 但是要是离开生长激素的话
[00:22:46] 一道数的促生长发育
[00:22:47] 就拿不了了
[00:22:48] 所以讲到内蜂蜜这一张
[00:22:50] 在这儿我喜欢说句话
[00:22:51] 所以这样的话
[00:22:53] 重新审视一下内蜂蜜这一张
[00:22:55] 促进内蜂蜜的
[00:22:56] 人体生长发育的激素
[00:22:57] 可不是生长激素一个
[00:22:59] 所以这个地方
[00:23:00] 不信听到以后打在弹幕上
[00:23:01] 这维拉帕米同学
[00:23:02] 干了个手快
[00:23:03] 把它写出来
[00:23:04] 生长激素长个子
[00:23:07] 甲状腺素长脑子
[00:23:10] 一道数长胖子
[00:23:12] 人体生长发育的三大激素
[00:23:15] 长个子的
[00:23:17] 长脑子的
[00:23:18] 长胖子的
[00:23:19] 所以你跟人讲这个干嘛的事
[00:23:20] 这就是想跟你讲一下
[00:23:21] 对生长发育这个东西来说
[00:23:23] 是多种激素
[00:23:24] 协同作用
[00:23:25] 这个意思
[00:23:27] 第二个特点是
[00:23:29] 解抗作用
[00:23:30] 一道素降糖
[00:23:31] 一道素升糖
[00:23:32] 它能向我们解抗
[00:23:33] 第三个最好玩
[00:23:35] 是咱们学完这一章都知道的
[00:23:37] 允许作用
[00:23:37] 就是我不发挥作用
[00:23:39] 但是我能看着你发挥作用
[00:23:41] 你还别说我没作用
[00:23:42] 我不在你发挥不了
[00:23:43] 打比方这个萌放老大爷
[00:23:45] 老大爷没权
[00:23:47] 老大爷上厕所装腰式走了
[00:23:49] 你果然在等着
[00:23:50] 允许
[00:23:52] 抹激素
[00:23:53] 这里边可以理解的
[00:23:55] 就是说身上有糖皮质激素
[00:23:58] 对血管平滑剂
[00:23:59] 并无直接收缩作用
[00:24:00] 但是一旦皮质功能低下的时候
[00:24:03] 胶杆性的去甲胜
[00:24:04] 嗅觉化效应就难以发挥
[00:24:06] 所以功能低下的话
[00:24:08] 皮质功能低下的话
[00:24:09] 往往血压低
[00:24:10] 激素的允许作用丧失了
[00:24:13] 仔细读脚踩文字
[00:24:15] 糖皮质激素
[00:24:16] 是属于身上一些皮质激素
[00:24:18] 身上一些不带有糖皮质素
[00:24:20] 还有盐皮质素
[00:24:20] 全不同
[00:24:21] 全不同其实也是具有
[00:24:23] 对心血化系统允许作用
[00:24:25] 甚至作用更强
[00:24:26] 允许作用
[00:24:28] 第四个是
[00:24:29] 竞争性作用
[00:24:30] 因为身上有受体存在
[00:24:32] 所以一旦结构比较相近
[00:24:34] 或相似的这些激素
[00:24:35] 就有可能和同一个受体
[00:24:38] 发生竞争性
[00:24:39] 抑制
[00:24:42] 谁结合了受体
[00:24:43] 谁把握作用
[00:24:44] 比如高度度的运统
[00:24:47] 运激素
[00:24:47] 能够和全过同竞争
[00:24:49] 同一个受体
[00:24:50] 而减弱全过同效应
[00:24:52] 就是这样
[00:24:53] 所以这和孕妇
[00:24:54] 任什么后期
[00:24:55] 血容量增加等等
[00:24:57] 一些活动的关系
[00:24:59] 全过同
[00:25:00] 保拿保水
[00:25:01] 排气
[00:25:01] 这样一些作用
[00:25:02] 运激素
[00:25:04] 那些性激素和确认过同时
[00:25:06] 能发生进步性结抗的
[00:25:07] 所以这样
[00:25:10] 咱们刚才是要谈了一下
[00:25:11] 激素作用的四大特征
[00:25:13] 四大特征
[00:25:15] 从它的一个一个往下走
[00:25:18] 信息传递
[00:25:19] 不能无伦生有
[00:25:20] 是吧
[00:25:20] 然后生物高效的放大作用
[00:25:22] 特意与结合
[00:25:23] 以及相互作用
[00:25:24] 那么激素分泌
[00:25:25] 像其他的人体功能一样
[00:25:28] 也是具有周期性的
[00:25:30] 具有周期性
[00:25:31] 激素分泌具有的周期性变化
[00:25:33] 是吧
[00:25:33] 我们称之为生物节律
[00:25:34] 这是世界上上河决定的
[00:25:37] 只有生物工决定
[00:25:38] 日节律
[00:25:39] 月节律
[00:25:40] 季节律
[00:25:41] 年节律
[00:25:42] 比如越南中心的激素分泌
[00:25:43] 咱们到那份
[00:25:44] 到深圳那边专门讲
[00:25:46] 另外底下这张图
[00:25:47] 画了一个什么呀
[00:25:48] HTA出的日流期节律
[00:25:50] 所以稍微一看
[00:25:51] 你发现
[00:25:52] 它每天在早上八九点钟
[00:25:54] 早饭前后
[00:25:56] 你看它是分质最高的
[00:25:58] 八点钟
[00:26:00] 到了中午十二点钟
[00:26:01] 你往下去
[00:26:02] 但是午后一张点钟
[00:26:03] 它又升起来
[00:26:04] 现在到了两三点钟
[00:26:06] 实际上到了四点钟左右的时候
[00:26:07] 就往下就降下去
[00:26:08] 一直一路越来越低
[00:26:09] 中间可能也会跳一下
[00:26:11] 但是越来越低
[00:26:12] 到了凌晨三四点钟
[00:26:14] 人体的HTA分泌水平是最低的
[00:26:17] 所以日流期节律
[00:26:18] 将来到内分泌的疾病
[00:26:20] 到那刻去还会降
[00:26:22] 这个分泌的日流期节律
[00:26:25] 还正常的
[00:26:27] 体重又大
[00:26:28] 我们把它定为肥胖
[00:26:29] Opacity
[00:26:30] 如果是一个肥胖的女孩
[00:26:32] 啊
[00:26:33] HTA的分泌中期节律也消失了
[00:26:36] 我们把它就定为酷性病
[00:26:39] 嗯
[00:26:39] 这是将来界别酷性和肥胖的一个有效手段
[00:26:43] 所以咱们举这么个例子是给你听一下
[00:26:45] 不光HTA
[00:26:46] 人体很多激素伴随着一天的二十四个小时变化
[00:26:50] 它都准备有中期线的活动变化特征
[00:26:53] 所以什么时候最高啊
[00:26:54] 早上八点钟
[00:26:55] 到这我喜欢被毛主席语录
[00:26:57] 说你们世界是你们的
[00:27:00] 也是我们的
[00:27:02] 但归根结底
[00:27:03] 还是你们的
[00:27:04] 因为你们就像早上八九点钟太阳
[00:27:07] 希望寄宿在你们身上
[00:27:09] 我讲的这我老看那小说毛主席懂不懂
[00:27:11] 医学一看毛主席好像把HTA的分泌节律背的比咱们还准确
[00:27:16] 再背什么时候水平最高
[00:27:17] 早上八九点钟太阳
[00:27:19] 什么时候最低
[00:27:20] 早上四五点钟
[00:27:21] 所以将来医院当医生值班就发现四五点钟是人一天最困乏
[00:27:25] 因为身上激素水平低
[00:27:27] 没有抵抗力
[00:27:28] 也也这卡基达里面最困最犯困
[00:27:30] 但偏偏那个时候病房里面病人出事儿
[00:27:32] 这个需要强求
[00:27:33] 就那个需要强求
[00:27:34] 做医生职业玩在某种意义上
[00:27:36] 当然你热爱医学的美貌
[00:27:38] 说不热爱的话
[00:27:38] 我睡会儿觉吧
[00:27:39] 这病人要死要活的烦死了
[00:27:41] 所以我就是在想这个医生呀
[00:27:43] 要不是一腔热血的话
[00:27:45] 当医生这个职业太苦了
[00:27:47] 咱们以为某种意义上真的是使患者生命如亲人
[00:27:53] 所以这样的话就是半夜打扰
[00:27:55] 我不能睡觉
[00:27:55] 也从来没有愿意
[00:27:57] 这样一群奉献的人
[00:27:59] 包括一批中学老师
[00:28:01] 亡命在奉献
[00:28:01] 结果往上被
[00:28:03] 指责的这个收红包
[00:28:04] 那个不好给学生讲课
[00:28:06] 我在想这个社会是他妈怎么了
[00:28:08] 谁他妈给社会干活谁啊
[00:28:10] 缺你忙的都别
[00:28:11] 你自己把他带过自己教吧
[00:28:13] 这话有点不负责任好像
[00:28:14] 这个社会怎么了
[00:28:16] 所以上一次讲课
[00:28:18] 我就敢开一句话
[00:28:19] 人有病
[00:28:20] 天之否
[00:28:22] 这个社会被指责最多的
[00:28:23] 一批是中学老师
[00:28:24] 问题谁他妈高考能离开这批
[00:28:26] 我们自己经历的老师
[00:28:28] 哪个老师不是默默奉献
[00:28:30] 不是早上比学生起得还早
[00:28:32] 晚上睡觉比学生
[00:28:32] 他晚上给学生
[00:28:33] 屁股
[00:28:33] 做业
[00:28:34] 就拿着这破工资
[00:28:35] 给几千块钱
[00:28:36] 医生不识谋
[00:28:40] 值一个月半给爸母钱
[00:28:41] 记得给他高给上四十了不得了
[00:28:44] 这一晚上不能睡觉
[00:28:45] 吃饱泡面
[00:28:46] 吃了病人一包泡面
[00:28:48] 还把你搞到右处
[00:28:49] 说你先回来
[00:28:50] 回你妈呀
[00:28:51] 回你妈的
[00:28:52] what the fuck
[00:28:53] 下下就来气了
[00:28:55] 嗯
[00:28:55] 这个样子
[00:28:57] 嗯
[00:28:57] 刚才没事
[00:28:58] 讲了一下这个激素的风味
[00:29:00] 节律
[00:29:01] 再往下是激素作用机制
[00:29:02] 其实我刚才讲明白了
[00:29:04] 这主要看什么呀
[00:29:05] 看激素准备
[00:29:06] 激素如果水溶性的
[00:29:07] 你穿不过细胞膜
[00:29:08] 没办法
[00:29:09] 你只能是
[00:29:10] 第二性质去做防护作用
[00:29:12] 如果你只用激素
[00:29:13] 比如剩下的皮质激素和新鲜激素
[00:29:15] 只用新激素
[00:29:16] 哎
[00:29:16] 你就可以进入细胞膜内
[00:29:18] 这样在抛浆或细胞核内
[00:29:20] 合适的防护作用
[00:29:21] 因此说
[00:29:22] 当内部纯激素进入细胞内
[00:29:24] 与抛浆设计结合
[00:29:25] 结成复合物
[00:29:26] 再进入核内
[00:29:27] 发挥生物学效应
[00:29:28] 基因表达
[00:29:29] 全不同
[00:29:30] 是吧
[00:29:30] 很典型
[00:29:31] 嗯
[00:29:32] 水溶性激素
[00:29:32] 高斯专门9
[00:29:33] 讲到解锁
[00:29:34] 另外
[00:29:34] 他指的
[00:29:35] 高斯专门9
[00:29:36] 这个什么呀
[00:29:37] 交感神经腺风的时候
[00:29:38] 如何形成新激细胞
[00:29:40] GS代安白
[00:29:41] ACCMP
[00:29:43] PK
[00:29:43] 该通过代白磷酸化
[00:29:44] 这个系列
[00:29:45] 对了
[00:29:46] 第二性质和基因表达
[00:29:48] 此外
[00:29:51] 把细胞细胞模样的受体啊
[00:29:54] 它的数量和对于激素的亲和力
[00:29:58] 在集体生命功能发生改变数
[00:30:00] 是能发生相应调整的
[00:30:01] 所以一个激素合适结合以后
[00:30:04] 能够使得该受体
[00:30:05] 或另一种数字的亲和力和数量增加的
[00:30:08] 就叫上调
[00:30:08] 嗯
[00:30:09] upregulation
[00:30:11] 如果减少的就要
[00:30:13] 当regulation就下调
[00:30:14] 这样临床啊
[00:30:16] 你比如长期使用一柄肾
[00:30:17] 只要吃起火锈
[00:30:18] 这个一柄肾在早期
[00:30:20] 现在临床很少再用了
[00:30:22] 现在咱们一般
[00:30:23] 你就用谁啊
[00:30:23] 用沙丁安宠
[00:30:24] 被打热受的激动剂
[00:30:26] 实际上也会导致受体的敏感性和数量下调
[00:30:28] 这样有时候咱们给别人
[00:30:30] 还适当用点药物
[00:30:31] 嗯
[00:30:31] 你这药物来适当调整一下
[00:30:34] 嗯
[00:30:34] 糖皮质激素能够使得血管平滑
[00:30:36] 进而被打热受体的数增加
[00:30:38] 与去强势的亲和力加强
[00:30:40] 属于上调
[00:30:41] 是要包括刚才还谈
[00:30:42] 这里边有时候
[00:30:43] 月圈不太能讲明白
[00:30:44] 嗯
[00:30:45] 这个地方可能受体数目是增加了
[00:30:47] 实际上就是同样受体数目情况下
[00:30:49] 糖皮激素也能加强这么一个活动
[00:30:51] 我们称之为允许做高材酱糊
[00:30:54] 这儿没有讲允许
[00:30:55] 这儿讲了一个糖皮质激素
[00:30:57] 实际上是能增加被打热受体数量的
[00:30:59] 嗯
[00:31:00] 这个就属于上调
[00:31:01] 不增加数量增加能力的
[00:31:04] 允许受体的调节
[00:31:06] 这个没人听过就好
[00:31:07] 咱这不纠结
[00:31:08] 所以这个课就是讲一个所谓的第二性史学
[00:31:12] 说我不再啰嗦
[00:31:13] 刚才也口头叙述过了
[00:31:14] 嗯
[00:31:15] 专门叙述第二性史
[00:31:18] 第二性史就是世界上你能
[00:31:19] 慢慢通过咱们复习细胞那张第二节发现
[00:31:23] 在细胞内部生成第二性的路径
[00:31:26] 就曾经有两个例子
[00:31:27] 一个是刚才讲过的AC
[00:31:29] 血钙酸化合酶
[00:31:30] 另一个是谁是PLC
[00:31:32] 拎着没C
[00:31:32] 这样的话
[00:31:33] 那一组第二性史是IP3
[00:31:35] 对吧
[00:31:35] 和BG
[00:31:36] 那么AC这一组就是CMP
[00:31:39] 它不一样
[00:31:40] 两个不同的第二性史的路径
[00:31:43] 这就是咱们说的第二条PLC途径
[00:31:48] PLC
[00:31:49] 嗯
[00:31:50] 这么个途径
[00:31:51] 另外还有没有的兽体
[00:31:53] 咱们很熟悉
[00:31:54] 你还记得基础呢
[00:31:55] 在这个细胞内障讲信号转导时候说
[00:31:57] 这个膜表面受体是三大类四小类
[00:32:01] 没有的兽体还包括老氨酸基米受体和尿干酸化合酶受体
[00:32:05] 所以膜受体和酶是同一类的
[00:32:07] 同一个代表分子
[00:32:09] 本身具有酶的活性
[00:32:10] 就称之为兽体
[00:32:12] 老氨酸基米
[00:32:13] 生长基
[00:32:13] 生长因子
[00:32:14] 生长基素呀
[00:32:14] 一道素呀
[00:32:15] 都是和兽体老氨酸基米结合
[00:32:17] 结合之后发挥
[00:32:19] 宝内里一些生物效应
[00:32:20] 所以这花了很好的事业
[00:32:22] 生长因子
[00:32:23] 兽体老氨酸基米结合之后是吧
[00:32:25] GRB2
[00:32:26] 然后到SOS
[00:32:27] 然后这个RAS里边GDP失火
[00:32:29] 然后GDP就激活
[00:32:31] 激活之后再去激活IF
[00:32:33] 就4氨酸
[00:32:34] 4氨酸基酶
[00:32:35] 然后激活MAPK
[00:32:36] 4氨酸
[00:32:37] 4氨酸4氨酸基酶
[00:32:38] 这个东西
[00:32:38] 最后激活MAPK
[00:32:40] 然后转入因子
[00:32:42] 发生磷酸化
[00:32:43] 改变细胞内部的
[00:32:44] 这个转入过程
[00:32:46] 代表转入
[00:32:47] 来调节一个细胞代谢水平
[00:32:49] 没有的
[00:32:50] 这边没有啥
[00:32:51] 你读读就好了
[00:32:52] 然后就是刚才讲
[00:32:55] 植类基素的基因表达
[00:32:56] 血树
[00:32:57] 所以这也有详细的示意图
[00:32:59] 什么内骨成基素
[00:33:00] 穿过细胞门
[00:33:01] 正如现在能穿过细胞门
[00:33:02] 进了细胞门以后
[00:33:03] 然后
[00:33:03] 大多数都先在
[00:33:05] 抛浆肿和抛浆
[00:33:08] 成复合物
[00:33:09] 就具有一个
[00:33:10] 穿过细胞合模的能力
[00:33:12] 然后到细胞核内
[00:33:13] 调控DNA的转入过程
[00:33:16] 你看HR
[00:33:17] 这个复合物
[00:33:18] 与核内树体结合以后
[00:33:19] 次复合物
[00:33:20] 结合在染色质的
[00:33:22] 非蛋白质的
[00:33:22] 特异行为点上
[00:33:23] 调控DNA转入
[00:33:25] 所以叫基因表达
[00:33:26] 到这儿
[00:33:27] 咱们再稍微背一下
[00:33:28] 水溶性基素
[00:33:30] 第二性是
[00:33:31] 植溶性基素
[00:33:32] 基因表达
[00:33:33] 所以这个地方
[00:33:34] 还有大表格
[00:33:35] 愿意读的话
[00:33:36] 有兴趣
[00:33:36] 细细胞表格
[00:33:38] 就是这种
[00:33:38] 老师我背不下来
[00:33:39] 没让你背
[00:33:40] 就是你先来没事
[00:33:40] 读一读
[00:33:41] 这几个不同激素
[00:33:42] 敏感的什么
[00:33:43] ADH
[00:33:44] 是吧
[00:33:45] 曲甲生生长线素
[00:33:46] 这些敏感的激素
[00:33:47] 许化金钊素二
[00:33:48] 你回头一发现
[00:33:50] 你发现特别好玩
[00:33:51] 胜长线
[00:33:52] 曲甲胜长线素
[00:33:53] 这二查分胺
[00:33:54] 和心肌细胞结合之后
[00:33:56] 不但激活AC途径
[00:33:57] 还激活PLC
[00:33:59] 两次路径同时激活
[00:34:01] 按照这个表格
[00:34:02] 再往下读
[00:34:02] 发现金钊素二
[00:34:03] 也是这样
[00:34:04] 一
[00:34:05] 二查分胺
[00:34:06] 二
[00:34:06] 金钊素二
[00:34:08] 它第二性质的时候
[00:34:10] 都是同时激活
[00:34:11] 细胞内部
[00:34:12] 两条第二性质路径
[00:34:13] AC途径
[00:34:14] 和PLC途径
[00:34:16] 嗯
[00:34:18] 然后再读
[00:34:19] 都全共同这么发挥作用
[00:34:20] 加了些素
[00:34:20] 没事改积累吧
[00:34:22] 读着玩吧
[00:34:23] 所以这再说一次啊
[00:34:24] 这个东西
[00:34:25] 没人要求你背下来
[00:34:26] 读过
[00:34:27] 好玩
[00:34:28] 就说去背不下来
[00:34:29] 谁骂你背的
[00:34:30] 那么多东西
[00:34:31] 但是如果这本书读了好多遍
[00:34:33] 几十上百上千遍
[00:34:35] 时间久了
[00:34:35] 哎
[00:34:36] 我咋背灰了
[00:34:37] 哎
[00:34:37] 对了
[00:34:37] 你也不知道你怎么背灰的
[00:34:38] 你不知道你怎么背不灰
[00:34:40] 其实你也不知道怎么背灰的
[00:34:42] 重复重复重复
[00:34:43] 书读千遍
[00:34:46] 其一
[00:34:47] 自信
[00:34:48] 这款内容不要求背
[00:34:49] 大家听懂
[00:34:50] 为什么有第二性数学说
[00:34:52] 还有基因表达学说
[00:34:53] 听懂它
[00:34:54] 为什么不一样
[00:34:55] 就OK了
[00:34:56] 属性和指数性
[00:34:57] 这是根本的
[00:34:58] 嗯
[00:34:58] 大概
[00:34:59] 内分泌的第一一些
[00:35:01] 就是讲废话吧
[00:35:02] 所以这边最好玩的一个词
[00:35:04] 就是刚才讲过的
[00:35:05] 允许作用
[00:35:08] 词外很经常提出个词
[00:35:10] 嗯
