# 源音频：P68-生理学本科教学及考研基础课 p68 内分泌-第三节（甲状腺的调节）.m4a
# 时长：2340s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:11] 好,同学们,上一课咱们看了一下甲醛血素的合成、储存、运输以及甲醛血素的功能。
[00:22:20] 在认识过程中
[00:22:21] 突然喝病
[00:22:22] 糖尿病了
[00:22:23] 有一些这种情况
[00:22:24] 枫变以后
[00:22:25] 糖尿病就会好转
[00:22:27] 但有一些患者
[00:22:27] 就终身糖尿病了
[00:22:29] 所以什么要讲到这儿
[00:22:30] 自己心里觉得很沉重
[00:22:32] 做妈妈不容易
[00:22:33] 再不要谈说枫变过程中
[00:22:36] 羊水栓塞
[00:22:37] 这样一些致死的问题
[00:22:38] 其实妈妈在生孩子的时候
[00:22:40] 她把她的生命
[00:22:42] 就全部赋予她的孩子
[00:22:44] 要不我讲
[00:22:45] 我总改开一句话
[00:22:46] 讲到这儿了
[00:22:47] 说我梦长大了
[00:22:48] 都学会回家和妈妈吵架了
[00:22:50] 你好
[00:22:51] 好
[00:22:51] 显然不符合生物
[00:22:55] 谈不到伦理
[00:22:57] 生物你都不符合
[00:23:01] 你知道虎毒
[00:23:03] 谁教他的
[00:23:06] 所以你跟我谈素质教育
[00:23:11] 我在想
[00:23:11] 你谈素质教育的同时
[00:23:13] 你的素质在哪里
[00:23:17] 为什么这两年感慨说
[00:23:18] 失声之间
[00:23:19] 实际上
[00:23:20] 像神经肌肉结头处一样
[00:23:22] 是单向的
[00:23:24] 就是天涯式的
[00:23:25] 我讲了一天
[00:23:26] 你见过几个
[00:23:26] 家老乡下的病人
[00:23:28] 你处理过几例
[00:23:30] 心梗
[00:23:31] 脑出血
[00:23:32] 作弄了
[00:23:32] 说我想想出去
[00:23:33] 你见没见过外伤车祸
[00:23:35] 你见没有头皮撕裂伤
[00:23:36] 连辫子的头皮一块揪掉
[00:23:38] 把脑袋揪成光皮的
[00:23:40] 猫爪结膜
[00:23:41] 整个死脱了
[00:23:42] 你没见过
[00:23:43] 你为什么跟老师讲道理
[00:23:47] 就是你说的素质教育嘛
[00:23:49] 我咋感觉在这个世界上
[00:23:50] 最没有素质的一句话
[00:23:51] 就叫素质教育
[00:23:53] 这句话打了弹幕上啊
[00:23:55] 这个世界上
[00:23:55] 我坚决认为
[00:23:56] 最没有素质的一句话
[00:23:58] 就叫做素质教育
[00:24:00] 你们也先学会了东西
[00:24:03] 到一定高度
[00:24:05] 再去探讨
[00:24:06] 你能指望一个小学生
[00:24:08] 一个买白车的老大妈
[00:24:09] 我没有歧视老大妈的意思
[00:24:10] 我妈妈也不过是个农民
[00:24:12] 年轻手是个拖拉机手
[00:24:13] 开拖拉机的是个司机
[00:24:15] 当然也开过好多小车
[00:24:17] 我是说
[00:24:18] 你能指望他
[00:24:20] 和你谈讨医学吗
[00:24:22] 但是他不能跟你谈讨医学
[00:24:25] 他就不是你妈吗
[00:24:26] 你是他爹吗
[00:24:28] 没有问题
[00:24:30] 这门课快结束了
[00:24:32] 你得容许我作为一个老师
[00:24:34] 一个师者
[00:24:35] 敢开一点东西
[00:24:36] 记住
[00:24:37] 不要走偏啊
[00:24:39] 医学是神圣的
[00:24:44] 不允许你这样来糟蹋他
[00:24:47] 对了
[00:24:47] 接着往下读
[00:24:49] TSH作用
[00:24:50] 醋甲醣血素
[00:24:52] 是醋里甲醣血素的合成和释放
[00:24:54] 并且刺激甲醣血素
[00:24:56] 血泡细胞增生
[00:24:57] 血体增大
[00:24:58] 所以刚才就利用这么一个复返回原理
[00:25:00] 外周甲醣血素和他吃点油甲醣
[00:25:02] 这个激素水平越高
[00:25:04] 那么越复返回一直TSH
[00:25:06] TSH就少了
[00:25:07] 少了以后
[00:25:08] 他就不下刺激
[00:25:09] 血体增生
[00:25:10] 就不刺激绷维细胞复发了
[00:25:11] 嗯
[00:25:12] 当TSH
[00:25:13] 与甲醣血泡细胞模式的TSH受体结合以后
[00:25:16] 通过CMP和RP3
[00:25:18] 包括钙离子等的DL性质的模式
[00:25:21] 促进T3T4的合成和释放
[00:25:24] 同学好多人在这提问
[00:25:26] 说老师你不是刚刚跟人讲
[00:25:27] 甲醣血素是基因表达
[00:25:28] 对呀
[00:25:29] 我说的是甲醣血素吗
[00:25:30] 我这说的是醋甲醣血素
[00:25:32] 哥们
[00:25:33] 你串号呢
[00:25:34] 甲醣血素
[00:25:37] T4T3
[00:25:38] 4点和3点甲醣原酸
[00:25:40] 是以基因表达性释发挥作用的
[00:25:42] 但是醋甲醣血素
[00:25:44] 这次的甲醣血素
[00:25:44] 刺激甲醣血合成分泌
[00:25:46] T3T4的时候
[00:25:47] 是以DL性质模式
[00:25:49] 注意
[00:25:49] 不敢串号
[00:25:50] 胶感是磷性分
[00:25:53] 可以刺激甲醣血素的合成和释放
[00:25:55] 所以刚才讲了很多次
[00:25:57] 嗯
[00:25:58] 胶感是你的心脏作用
[00:25:59] 如果甲醣血功能太卡近的话
[00:26:01] 药物一下也没法起作用
[00:26:03] 它得慢慢消耗库存
[00:26:04] 那么这个情况下
[00:26:06] 可以歇给它
[00:26:06] 被它组织剂
[00:26:07] 完美的阻断症状发生
[00:26:09] 甚至包括了甲醣病人的突眼
[00:26:12] 被它组织剂都是可以解决的
[00:26:14] 所以
[00:26:14] 临床
[00:26:15] 啊
[00:26:15] 我也是强调
[00:26:15] 一个甲醣病人经过多年治疗
[00:26:17] 突眼依然很重
[00:26:18] 什么问题
[00:26:19] 一
[00:26:19] 它是男性
[00:26:20] 第二
[00:26:21] 它没解业
[00:26:22] 这回我讲明白了啊
[00:26:24] 那么母亲甲醣患者
[00:26:25] 血液中存在一些化学结构
[00:26:27] 与TS是相似的
[00:26:29] 黴缺蛋白
[00:26:29] 所以曾经叫做什么呀
[00:26:31] 叫做人类刺激甲醣黴缺蛋白
[00:26:33] 现在已经冰了
[00:26:34] 是什么东西
[00:26:35] 就是TS是数体抗体
[00:26:37] TPO抗体
[00:26:38] TRAB
[00:26:40] TSAB
[00:26:41] TS数体
[00:26:42] 抗体和TS数体
[00:26:43] 刺激
[00:26:44] 刺激样的抗体
[00:26:45] 也就是
[00:26:46] Agonist
[00:26:47] Tagonist
[00:26:47] 一种一些抗体
[00:26:49] 所以慢慢这个地方
[00:26:51] 我当故事跟你讲一下
[00:26:52] 这同学们无数次的给我提问
[00:26:54] 作为老师老师呀
[00:26:55] 你看我跟你说一下
[00:26:56] 你听对不对
[00:26:56] 甲醣腺
[00:26:57] 它的功能活动是
[00:26:58] 下秋脑
[00:26:59] 泄着体
[00:26:59] 甲醣腺肿
[00:27:00] 我说没错
[00:27:01] 从上往下促进
[00:27:02] 从下往上复返
[00:27:02] 我说没错
[00:27:03] 说你看啊
[00:27:04] 一个病人甲抗
[00:27:05] T3T4高了
[00:27:06] 高了吧
[00:27:07] 他对TS一时就复返
[00:27:08] 我说对呀
[00:27:09] TS一时就少了
[00:27:10] 没错呀
[00:27:11] 刚才刚讲完
[00:27:11] 那么没有TSH
[00:27:13] T3T4少
[00:27:14] 病人甲抗好了
[00:27:15] 死胸怀
[00:27:17] 甲抗了
[00:27:18] 高了
[00:27:18] 高了复返
[00:27:19] 复返会少了
[00:27:19] 少了好了
[00:27:20] 你扯的是生理性的
[00:27:22] 设想一下
[00:27:23] 一个甲抗病人体的
[00:27:24] T3T4
[00:27:25] 是TS是促进来的
[00:27:26] 是个屁
[00:27:27] 是谁
[00:27:28] 是各种各样的
[00:27:30] 自身抗体
[00:27:31] 英文叫
[00:27:31] Auto Antibody
[00:27:33] 这个Auto Antibody
[00:27:36] 怎么来的
[00:27:36] 我们现在还不得而知
[00:27:37] 但是从我个人的
[00:27:39] 从医经验上看
[00:27:40] 还是精神压力
[00:27:41] 应激
[00:27:42] 和应激造成的
[00:27:43] 因为免疫机制
[00:27:45] 免疫内蜂蜜的
[00:27:45] 人工网络
[00:27:46] 你跟我讲不明白机制
[00:27:47] 跟我讲不明白
[00:27:49] 所以到底怎么来
[00:27:51] 我不知道
[00:27:52] 但是我现在能测到
[00:27:53] 一个甲抗病人
[00:27:54] 到医院检查
[00:27:55] 不但是检查
[00:27:56] 甲装穴功能
[00:27:57] 甲装五项
[00:27:58] 什么TSH
[00:27:59] TT3T
[00:27:59] FT3T4
[00:28:01] FT4
[00:28:01] 这样一些东西
[00:28:02] 就是总的T3T4和
[00:28:04] 优历T3T4
[00:28:05] 以及TSH
[00:28:06] 刚才说STSH
[00:28:07] 这些东西
[00:28:08] 除它之外
[00:28:09] 我们实际上
[00:28:09] 你要在医院
[00:28:11] 见习试试
[00:28:11] 你看一下
[00:28:12] 它甲装穴单子下面
[00:28:13] 一般都有另外一项
[00:28:14] 就是有关抗体的检查
[00:28:16] 对
[00:28:16] 你比如说
[00:28:17] TG抗体
[00:28:18] 甲装穴球蛋白的抗体
[00:28:20] TSH受力抗体
[00:28:22] 特别是TRAB和TS
[00:28:24] 尤其是TSAB
[00:28:25] 刺激性甲装穴
[00:28:26] 这么一个抗体
[00:28:28] 也就是一个机动剂
[00:28:29] 实际上甲装穴
[00:28:31] 提的天然体质
[00:28:32] 为什么高
[00:28:32] 它不是把蟹肉
[00:28:34] 刺激而来的
[00:28:35] 是谁啊
[00:28:36] 是免疫球蛋白
[00:28:37] RGG
[00:28:38] 从旁路直接刺激来的
[00:28:40] 最后结果
[00:28:41] 天然体质高了以后
[00:28:42] 又回到把蟹肘上
[00:28:43] 又复返窥
[00:28:44] 把人家TIC
[00:28:45] 给压抑了
[00:28:46] 所以这儿
[00:28:46] 这儿体会一下
[00:28:47] 甲抗病人体内
[00:28:48] 谁最倒霉
[00:28:49] TSH
[00:28:50] 坏事不是他干的
[00:28:52] 坏事是
[00:28:52] 免疫球蛋白干的
[00:28:54] 但是他通过把蟹肉
[00:28:55] 把TSH给压抑了
[00:28:57] 羊毛
[00:28:57] 出在猪身上
[00:28:59] 他们狗死了
[00:29:01] 就这个意思
[00:29:01] TSH
[00:29:04] 招谁惹谁了
[00:29:05] 所以甲抗病人
[00:29:07] 好不了
[00:29:07] 怎么能好了
[00:29:08] 从理论上讲
[00:29:09] 你把免疫的
[00:29:10] 这个球蛋白
[00:29:11] 全部拿掉
[00:29:12] RGG
[00:29:13] 免疫抗体拿掉
[00:29:16] 那就好
[00:29:16] 因此这也是
[00:29:18] 林匡昊指导甲抗病人
[00:29:19] 一个指标
[00:29:19] 看看
[00:29:20] 抗体能不能转阴
[00:29:21] 实际上在
[00:29:22] 临床甲抗治疗过程中
[00:29:23] 他的抗体转阴
[00:29:24] 是相当相当困难的
[00:29:26] 那么这样的话
[00:29:26] 只要经过药物治疗
[00:29:28] 他的TSH
[00:29:29] 鼠平能正常
[00:29:30] T3 T4正常
[00:29:31] 正常消失
[00:29:31] 我们就姑且理解
[00:29:33] 为治愈了
[00:29:34] 但作为一个老师
[00:29:36] 我得多讲几句
[00:29:37] 在临床实践过程中
[00:29:39] 一个小姑娘
[00:29:39] 十八九岁
[00:29:40] 十八失恋
[00:29:41] 情绪激动
[00:29:42] 应激
[00:29:42] 这样一个甲抗
[00:29:44] 可能经过短期的
[00:29:45] ATD治疗
[00:29:47] 抗甲药物治疗
[00:29:47] 是能治愈
[00:29:49] 但实话实说
[00:29:49] 作为老师看过去
[00:29:50] 它的比例不是太大
[00:29:52] 因为一个人
[00:29:53] 很难长期的坚持
[00:29:54] 半夜到一年
[00:29:55] 甚至一年半的时间
[00:29:56] 归于服药
[00:29:57] 听从医生指挥
[00:29:58] 不会
[00:29:59] 症状一缓解了
[00:30:00] 就两个不想吃了
[00:30:01] 因为好多人
[00:30:01] 听里边是抗治吃药
[00:30:03] 当然也有人抢着吃药
[00:30:04] 有病没病
[00:30:05] 吃个药再说
[00:30:06] 也有
[00:30:07] 所以人分两种
[00:30:08] 一种是有病不吃药
[00:30:09] 一种是没病
[00:30:09] 瞎吃药
[00:30:10] 瞎他妈吃药
[00:30:11] 所以人们立场说
[00:30:12] 自我死
[00:30:12] 这样的话
[00:30:14] 我个人一直认为
[00:30:15] 当然一个孩子
[00:30:16] 如果是二十来岁
[00:30:17] 还没有结婚
[00:30:18] 还有生育的需求
[00:30:20] 将来要生孩子
[00:30:21] 我们不是特别介意
[00:30:22] 通一速点131
[00:30:23] 没有这些问题的话
[00:30:25] 131的治疗
[00:30:26] 我们并没有发现
[00:30:27] 任何副作用
[00:30:28] 传统的医学理论上
[00:30:30] 和世界还认为
[00:30:31] 131治疗之后
[00:30:32] 病人在五年之后
[00:30:34] 发生假解的几率
[00:30:35] 按1%的年增率会递增
[00:30:38] 但是从现在观点看过去
[00:30:40] 点131通一速治疗之后的假抗
[00:30:42] 它后期的假解
[00:30:44] 是紫线性的
[00:30:46] 过几年
[00:30:46] 就恢复了
[00:30:47] 就是不恢复也没关系
[00:30:49] 吃个瑜伽乐
[00:30:49] 80毫克
[00:30:51] 40毫克就OK了
[00:30:52] 或者50毫克
[00:30:53] 按几两个它走
[00:30:54] 化验一下
[00:30:54] 因此我个人一直谨慎
[00:30:57] 假抗通一速治疗就好
[00:31:00] 简单彻底
[00:31:01] 因为你知道
[00:31:02] 假解没事
[00:31:03] 补个瑜伽乐就完了
[00:31:04] 假抗有假性病
[00:31:06] 有假抗微向
[00:31:07] 假抗是要死人的
[00:31:09] 所以在这边咱不能抬杠
[00:31:10] 将来你们在临床
[00:31:12] 从事内部迷工作
[00:31:13] 一定要注意
[00:31:14] 要谨慎
[00:31:15] 这是TIC的作用
[00:31:16] 我多讲一点
[00:31:17] 到这儿你突然发现
[00:31:18] 咱们觉得例子非常多
[00:31:19] 对了
[00:31:20] 就像刚才讲过
[00:31:21] 说这个T3T4的反馈调解
[00:31:23] 血液中的优劣的T3T4
[00:31:25] 浓度增高时
[00:31:26] 与血液中的TSH
[00:31:27] 细胞核内的特异性受力结合
[00:31:30] 基因表达了呗
[00:31:31] 看见了
[00:31:31] 诱导某种意志性代表的
[00:31:33] 合成减少
[00:31:34] 或者TSH合成
[00:31:35] 实况就少了
[00:31:36] 意志TFH
[00:31:37] 就是它的受体的合成
[00:31:39] 应该说TRH
[00:31:41] TFH
[00:31:42] 然后TRH受体的数量下降
[00:31:45] TRH作用也减弱
[00:31:46] 反正不管怎么样
[00:31:47] 通过下丘脑的这个途径
[00:31:48] 第二次下丘脑
[00:31:49] 或者通过这个
[00:31:50] 直接刺激血水体
[00:31:52] 让血水体的TSH合成减少
[00:31:54] 让TH作用减弱
[00:31:56] 把这种功能减弱
[00:31:58] 从而保持T3T4浓度
[00:32:00] 相对
[00:32:00] 很病
[00:32:02] 这样的话你体会一下
[00:32:04] 讲的那些数
[00:32:04] T3T4
[00:32:05] 既能去复返回意志血水体
[00:32:07] 也能去意志下丘脑
[00:32:09] 我们称之为
[00:32:10] 长返回
[00:32:11] 嗯
[00:32:12] 从讲的那些
[00:32:12] 直接到血水体
[00:32:13] 到现在长返回
[00:32:14] 血水体
[00:32:15] 其实有时候
[00:32:16] 对于下丘脑
[00:32:17] 也有反馈作用
[00:32:18] 我们叫短反馈
[00:32:19] 而下丘脑内部
[00:32:20] 经常还有一些复返回存在
[00:32:22] 超短反馈
[00:32:23] 所以讲到复返回
[00:32:25] 来这儿讲一下
[00:32:25] 它的长反馈
[00:32:27] 短反馈
[00:32:27] 长短反馈
[00:32:28] 这些基本感觉
[00:32:29] 听过就OK了
[00:32:30] 就这样就是
[00:32:30] 就是一个说法
[00:32:32] 就是到底是自己
[00:32:33] 把自己意志了
[00:32:33] 还是别人把我意志了
[00:32:34] 还是很远的地方
[00:32:35] 把我意志了
[00:32:36] 有这么个意思
[00:32:37] 我们要的是那个劲儿
[00:32:40] 不是那个纠结
[00:32:41] 对了
[00:32:42] 嗯
[00:32:43] 长期缺乏点的话
[00:32:45] 在失误中
[00:32:46] 会导致T3T4
[00:32:47] 的合成和释放减少
[00:32:49] 那么这样
[00:32:49] T3T4的复返回存
[00:32:50] 减弱了以后
[00:32:51] 机体的TSH的合成
[00:32:53] 释放就增加
[00:32:54] 你知道激素
[00:32:55] 不但具有功能
[00:32:56] 这个支配作用
[00:32:57] 对吧
[00:32:58] 信息传递功能支配作用
[00:32:59] 而且还具有营养作用
[00:33:01] 讲了好多次了
[00:33:02] 那么一个体内TSH
[00:33:04] 含量增高的患者
[00:33:06] 甲状性带肠性增生
[00:33:07] 最后就表现出来
[00:33:09] 地方性甲状腺肿
[00:33:10] 就前面咱们讲
[00:33:11] 这个你看电视剧
[00:33:12] 技工
[00:33:13] 在现在也是一样
[00:33:15] 地方甲状腺肿
[00:33:15] 咱们经过寒点
[00:33:17] 盐的
[00:33:17] 就是把食盐
[00:33:19] 绿黄钠里边
[00:33:19] 强制加上点以后
[00:33:21] 地方甲状腺肿的
[00:33:22] 发生率已经很低了
[00:33:23] 否则的话
[00:33:24] 甲状腺
[00:33:24] 单从甲状腺肿
[00:33:25] 脖子上找个很大个包
[00:33:27] 就像个小脑袋一样
[00:33:28] 中医叫阴病
[00:33:30] 疾病的病字
[00:33:31] 里边一个阴
[00:33:32] 阴病
[00:33:33] 在技工里边
[00:33:34] 技工霍佛
[00:33:35] 说一个
[00:33:35] 好了
[00:33:36] 两个脑袋隔成一个了
[00:33:37] 就类似于这样
[00:33:38] 地甲病
[00:33:39] 地方甲状腺肿
[00:33:40] 这都是一个
[00:33:41] 激素的营养作用的
[00:33:44] 具体表现
[00:33:44] 另外就是甲状腺的
[00:33:48] 自身调节的话题
[00:33:49] 对一定范围内的
[00:33:51] 血点浓度的改变
[00:33:52] 甲状腺具有
[00:33:54] 自身射点
[00:33:55] 以及合成释放甲状腺素的
[00:33:57] 这种能力的适应调节
[00:33:58] 成为自身调节
[00:33:59] 你点太多了以后
[00:34:01] 它自己就控制了
[00:34:02] 机制咱们没有搞明白
[00:34:03] 但是这是独一
[00:34:05] 这是咱们有一个
[00:34:06] 非常著名的
[00:34:07] Wolf-Chuck效应
[00:34:08] 过两点产生的
[00:34:10] 抗甲状腺射点效应
[00:34:12] 就成为这个
[00:34:13] Wolf-Chuck效应
[00:34:15] 这个
[00:34:16] 这个效应
[00:34:16] 我们在外科学上
[00:34:18] 是一直拿来用的
[00:34:19] 所以你要是
[00:34:20] 大四大五的同学
[00:34:21] 你翻开外科学
[00:34:22] 甲状腺的手术去读
[00:34:23] 如果打了
[00:34:24] 大三小五一听到以后
[00:34:25] 你可以借一本电子版的
[00:34:26] 或者找一本电子版
[00:34:27] 或者借一本
[00:34:28] 这个大哥哥
[00:34:29] 大姐姐的外科学
[00:34:30] 你翻一下
[00:34:30] 甲状腺的
[00:34:32] 功能抗净患者
[00:34:33] 有一些
[00:34:34] 你正好他
[00:34:35] 现有
[00:34:36] 下部增生
[00:34:37] 下部增生以后
[00:34:38] 他在胸部后面
[00:34:39] 会压迫气管
[00:34:40] 造成呼吸的一些问题
[00:34:41] 所以除非是有
[00:34:43] 局部压迫
[00:34:44] 或者出血
[00:34:45] 或者
[00:34:45] 流便一些
[00:34:47] 倾向
[00:34:48] 一般单纯的
[00:34:48] 甲状腺的功能抗净
[00:34:50] 我们还是防内科之用的
[00:34:52] 所以讲科
[00:34:52] 我喜欢讲一句话
[00:34:53] 原发性甲抗
[00:34:55] 归内科
[00:34:55] 继发性甲抗
[00:34:57] 归外科
[00:34:58] 那么这么一个
[00:34:59] 你不是甲状腺泻流
[00:35:00] 甲状腺结结
[00:35:01] 结结
[00:35:01] 肿大
[00:35:02] 甲状腺结结肿
[00:35:03] 这样一些情报
[00:35:04] 甲状腺结结
[00:35:05] 需要手术
[00:35:06] 手术的话
[00:35:06] 数前两周
[00:35:07] 我们给他服用
[00:35:08] 这个鲁哥
[00:35:09] 就是
[00:35:09] 点化甲
[00:35:11] 口服液
[00:35:11] 从3D开始
[00:35:12] 每天加一滴
[00:35:13] 降到16D
[00:35:14] 这样给他服用
[00:35:15] 两周左右
[00:35:16] 服用这么一个
[00:35:17] 口服点剂以后
[00:35:19] 在外科角度看过去
[00:35:20] 最大一个好处是什么
[00:35:22] 会让人肿大甲状腺
[00:35:23] 回缩硬化
[00:35:26] 减少甲状腺
[00:35:27] 疏通或疏通的出血
[00:35:29] 所以有点医学常识的学生
[00:35:31] 当然不知道
[00:35:32] 但咱自己知道
[00:35:33] 甲状腺这个时候
[00:35:34] 最大讨厌
[00:35:34] 就是做完之后
[00:35:35] 支血不容易彻底
[00:35:36] 所以甲状腺的
[00:35:38] 手术以后的话
[00:35:39] 是床前
[00:35:40] 在床头
[00:35:40] 病床头上
[00:35:41] 都放一个小弯盘
[00:35:42] 当然拿布子包起来
[00:35:44] 拿去消毒的
[00:35:45] 里边有把小剪刀
[00:35:46] 有个小刀子
[00:35:47] 有个小支血钳
[00:35:48] 等等
[00:35:48] 这个东西
[00:35:50] 有几块大辅料
[00:35:51] 就打纱布
[00:35:52] 所以一旦我们
[00:35:53] 不管护士还是医生
[00:35:54] 在甲状腺受惠的病人身上
[00:35:56] 看到灭色青子
[00:35:57] 呼吸困难
[00:35:58] 谁也不要请示
[00:35:59] 直接把切口
[00:36:00] 砍
[00:36:01] 把它划开
[00:36:01] 解压
[00:36:02] 甲状腺这个手术
[00:36:04] 是我们能看到的
[00:36:05] 最容易发生
[00:36:06] 受惠出血
[00:36:07] 以至于止血
[00:36:08] 止息
[00:36:08] 造成死亡的一个问题
[00:36:11] 那么这样的话
[00:36:12] 在受惠能不能
[00:36:13] 减少出血
[00:36:14] 把它服用点击
[00:36:15] 就利用这么一个
[00:36:16] Wolf-Tex效应
[00:36:17] 过量点的时候
[00:36:19] 会降低甲状腺射电能力
[00:36:21] 甲状腺素合成减少
[00:36:23] 但一定注意
[00:36:24] 这个效应
[00:36:25] 是有失效性的
[00:36:27] 已过性的
[00:36:28] 在三周以后
[00:36:29] 这个效应就重新解除了
[00:36:30] 所以我要给它服用
[00:36:32] 这种歌
[00:36:33] 就是点化甲
[00:36:34] 口服液
[00:36:34] 溶液
[00:36:35] 给它口服这个方法
[00:36:36] 来缩小甲状腺
[00:36:38] 来减少甲状腺素
[00:36:39] 到合成这种
[00:36:40] 作用的机制
[00:36:42] 或者说手段
[00:36:43] 一般
[00:36:44] 是在
[00:36:45] 两周多
[00:36:46] 效果最好
[00:36:47] 在三周以前
[00:36:50] 正好你给它口服
[00:36:52] 两周多
[00:36:53] 快三周
[00:36:53] 效果最好的时候
[00:36:54] 病人出现别的问题
[00:36:55] 不能做手术
[00:36:56] 那你只能下一个
[00:36:57] 再说了
[00:36:57] 所以作为生理学的一个地方
[00:37:00] 咱们不讲太多
[00:37:01] 咱讲一个
[00:37:02] 讲一个什么
[00:37:02] Wolf-Tex效应
[00:37:04] 是很明确的
[00:37:05] 没有问题
[00:37:05] 外科学就拿来用
[00:37:06] 但这个效应要注意
[00:37:07] 它有失效性
[00:37:09] 所以两周多
[00:37:09] 咱们一般是在病人
[00:37:11] 已经提前
[00:37:12] 叫择期手术
[00:37:13] 安排好时间了
[00:37:14] 比如说
[00:37:14] 4月15号手术
[00:37:15] 那么
[00:37:16] 就3月28、9号
[00:37:17] 最晚
[00:37:18] 4月1号
[00:37:19] 4月1号有点晚
[00:37:19] 就3月28、9号
[00:37:21] 甚至3月25号
[00:37:22] 开始车上
[00:37:23] 到20天的时候
[00:37:23] 说好
[00:37:24] 现在开始服
[00:37:25] 每天加一滴
[00:37:26] 加到16滴
[00:37:26] 就停下来
[00:37:27] 你再往后算
[00:37:27] 把3滴、4滴、5滴往上算
[00:37:29] 到16滴
[00:37:30] 停下来
[00:37:30] 这样的话
[00:37:31] 把手术做完
[00:37:32] 不能做
[00:37:32] 不能做
[00:37:33] 就效应解除了
[00:37:34] 下回再说
[00:37:35] 这个样子
[00:37:36] 随着以后谈到
[00:37:38] 摄入大量点
[00:37:40] 暂时抑制
[00:37:41] 加强性素的
[00:37:41] 释放
[00:37:42] 减少腺体和血管容积
[00:37:44] 所行
[00:37:45] 所以这个作用
[00:37:46] 被用于
[00:37:48] 甲状腺
[00:37:49] 术前的准备
[00:37:50] 一个是用
[00:37:51] 降低甲工
[00:37:51] 第二个
[00:37:53] 最重要的是
[00:37:54] 缩小腺体
[00:37:55] 和血管容积
[00:37:56] 减少术工
[00:37:57] 和术后出血
[00:37:58] 窒息
[00:37:59] 是甲状腺
[00:38:00] 最大的一个麻烦
[00:38:01] 气管
[00:38:02] 插管
[00:38:03] 拔管的不当
[00:38:04] 是把气管
[00:38:06] 塌陷
[00:38:06] 后半生肌损伤
[00:38:07] 以至于
[00:38:09] 还有
[00:38:09] 这个
[00:38:10] 切口出血
[00:38:11] 术后出血
[00:38:12] 这都是常见的
[00:38:13] 甲状腺
[00:38:14] 术后窒息的
[00:38:15] 四大原因
[00:38:16] 所以为什么说
[00:38:18] 见识越广
[00:38:19] 学习的态度
[00:38:20] 越谦虚
[00:38:21] 什么都没见过
[00:38:23] 人才嘎嘎呼呼的
[00:38:24] 一旦读过内外课
[00:38:25] 才明白
[00:38:25] 生理学上
[00:38:26] 这个复返会这么重要呀
[00:38:27] 对了
[00:38:28] 比你想的还重要
[00:38:29] 嗯
[00:38:29] 这是甲状腺
[00:38:30] 自身的一个条件啊
[00:38:32] 我复查出效应
[00:38:33] 所以剩下还有
[00:38:36] 咱们刚才讲过
[00:38:37] 甲状腺功能的
[00:38:38] 交感和迷走的
[00:38:39] 一些调整作用
[00:38:40] 到了这儿
[00:38:41] 为止甲状腺
[00:38:41] 这个就结束了
[00:38:42] 我们学三条把线
[00:38:44] 就是甲状腺
[00:38:44] 上下皮质和性线者
[00:38:47] 所以第一条
[00:38:47] 就算结束了
[00:38:48] 下来就应该还有
[00:38:50] 人体非常重要
[00:38:51] 一个话题
[00:38:51] 叫甲状螃蟹
[00:38:53] 以及人体调节
[00:38:54] 该能代谢的
[00:38:55] 三大激素
[00:38:55] 这就另外一个东西了
[00:38:57] 咱们接下来往下看
