# 源音频：P17-生理学本科教学及考研基础课 p17 循环-心肌电1.m4a
# 时长：2157s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:09] 好同学们,咱们下来就是正式进入心肌电的正题。
[00:23:19] 二条钙外流,
[00:23:20] 二期平台期的时候,
[00:23:21] 有钙内流,
[00:23:22] 内下电流,
[00:23:23] 可能还有万下电流有关,
[00:23:24] 万下电流不用了,
[00:23:25] 就是钙,
[00:23:26] 钙在这儿,
[00:23:27] 按照教材描述,
[00:23:29] 既有IK,
[00:23:30] 也有IK1,
[00:23:32] IK1刚才刚刚学完,
[00:23:33] 哪个地方接了,
[00:23:34] 进系列为就是IK1了,
[00:23:36] 进系列为的时候,
[00:23:38] 摩列为在-90毫伏,
[00:23:39] 平台期的时候,
[00:23:40] 摩列为在0毫伏,
[00:23:41] 那么都是IK1,
[00:23:43] -90和0的时候有区别,
[00:23:45] 我们突然发现有,
[00:23:46] 我们发现IK1这个小通道呀,
[00:23:48] IK1,
[00:23:49] 内下电流架通道,
[00:23:50] 在-90毫伏的时候,
[00:23:51] 实验室测一下,
[00:23:52] 它的开放就很充分,
[00:23:54] 一扇门,
[00:23:55] 彻底敞开了,
[00:23:56] 说哥们儿把窗户打开,
[00:23:57] 抽烟枪的,
[00:23:58] 他把窗户全打开,
[00:24:01] 通通风,
[00:24:02] 来个穿插风,
[00:24:03] 这是在进系列为的时候,
[00:24:05] 平台期的时候,
[00:24:06] 你再测一下,
[00:24:07] IK1也开放了,
[00:24:08] 我们9板数没有给数字,
[00:24:10] 7板数给数字的,
[00:24:11] 说平台期的时候,
[00:24:12] IK1的开放程度,
[00:24:14] 只有进系列为是开放水平的,
[00:24:17] 五分之一,
[00:24:18] 到六分之一,
[00:24:20] IK1这个通道,
[00:24:21] 在摩儿发生区计化的时候,
[00:24:23] 它的开放程度会减小,
[00:24:25] 摩儿越区计化,
[00:24:27] IK1往回关,
[00:24:29] 到没有关死,
[00:24:30] 还关的剩下一个小缝隙,
[00:24:31] RK1通道,
[00:24:34] 伴随摩儿区计化的过程,
[00:24:36] 它的开放水平会下降,
[00:24:38] 开放程度会减小,
[00:24:40] 这个现象,
[00:24:42] 就叫做内向整流,
[00:24:47] 我的语速非常慢,
[00:24:48] 再听一下,
[00:24:49] RK1通道,
[00:24:50] 在平台期的时候,
[00:24:52] 开放小,
[00:24:53] 进系列为时候,
[00:24:54] 开放大,
[00:24:55] 摩儿越区计化,
[00:24:56] 它又往回关,
[00:24:57] 摩儿越负计化,
[00:24:58] 它又往开大,
[00:24:59] 那么它的开放程度大小,
[00:25:01] 呀,
[00:25:02] 伴随摩儿电位变化过程,
[00:25:04] 大小会发生变化,
[00:25:05] 这个RK1,
[00:25:07] 伴随摩儿电位的变化,
[00:25:10] 开放水平改变的这种生理特性,
[00:25:13] 我们起了个名字,
[00:25:14] 叫做内向整流,
[00:25:17] 结果这一句话,
[00:25:19] 把一半同学认可的,
[00:25:20] 把三年传不出来,
[00:25:21] 都内向整流了,
[00:25:23] 假的怎么不内流了是,
[00:25:24] 在这儿,
[00:25:25] 不信拿红笔记一句话,
[00:25:26] 内向整流,
[00:25:27] 可不是内向电流,
[00:25:30] 什么叫内向整流,
[00:25:31] 内向整流是摩儿区计化的时候,
[00:25:33] 假外流,
[00:25:34] 逐渐减小的过程,
[00:25:35] 小了也得是外流,
[00:25:37] 不是内流,
[00:25:38] 整个这一辈子学习,
[00:25:40] 不管学什么,
[00:25:41] 我们都是在把握,
[00:25:43] 掌握,
[00:25:44] 运用,
[00:25:45] 语言的过程,
[00:25:46] 这个嘴怎么都导不出来,
[00:25:48] 因为这个事儿,
[00:25:49] 这些年在网上,
[00:25:50] 微博上,
[00:25:51] B站上,
[00:25:52] 手机微信上,
[00:25:54] 可没少折腾呀,
[00:25:55] 再听一下,
[00:25:56] 什么是内向整流,
[00:25:57] 内向整流就是伴随摩儿的区计化,
[00:25:59] RK1通道逐渐关闭的过程,
[00:26:01] 这是RK1,
[00:26:02] 在这我们突然有多出一个词来,
[00:26:04] IK,
[00:26:05] IK中文叫延迟整流,
[00:26:07] 希望摩儿开始区计化的时候,
[00:26:12] 它就有反应,
[00:26:13] 但是因为叫延迟整流,
[00:26:15] 所以它动作比较慢,
[00:26:16] 慢吞吞的,
[00:26:17] 差不多应该是在平台器快结束的时候,
[00:26:20] IK,
[00:26:21] 打开,
[00:26:22] 所以说你要非得在这地方谈一下,
[00:26:24] 可以,
[00:26:25] 平台器的后半段,
[00:26:26] 就有IK参与了,
[00:26:28] 千万不要没有,
[00:26:29] 我们到了九板数的时候,
[00:26:32] 有关IK和RK1,
[00:26:33] 在平台器具体发布的,
[00:26:35] 它会怎么什么作用,
[00:26:36] 九板数几乎就抹去不再讲了,
[00:26:39] 没有实际意义,
[00:26:40] 其实在药理学上实际意义很大,
[00:26:42] 到底是药理学和神学老师在编教材的时候沟通一下,
[00:26:46] 把内容全放到药理学去研究了,
[00:26:48] 还是说咱们认为这块内容没有那么重要,
[00:26:50] 不管怎么样,
[00:26:51] 八年制的教材5加3,
[00:26:54] 本硕教材,
[00:26:56] 在新世纪细胞电影活动中,
[00:26:58] 几乎只看见名字IK和RK1,
[00:27:00] 没有做任何阐述,
[00:27:02] 差不多就变成那样的区计划,
[00:27:04] 加不得复计划,
[00:27:05] 这个地方你怎么讲,
[00:27:07] 它也讲不透彻,
[00:27:09] 因为新世纪细胞模式上,
[00:27:10] 九板数这加了一句话说,
[00:27:12] 其实对新基细胞来说,
[00:27:15] 特别交感神经腥风的时候,
[00:27:17] 东西的过程中,
[00:27:19] 氯离子的流动是相当重要的,
[00:27:23] 但是在我们这个图上,
[00:27:25] 到九板数这个图也没有变化,
[00:27:27] 离子没写进来,
[00:27:28] 没写进来的原因是咱们还没有搞明白,
[00:27:31] 所以你一定在这儿大耳的说处理一个概念,
[00:27:33] 什么概念,
[00:27:34] 我喜欢这样说,
[00:27:35] 你开口闭口,
[00:27:36] 你讲科学,
[00:27:37] 你的科学本身有那么多科学,
[00:27:39] 科学有待于进一步的探索,
[00:27:41] 我们现在谈到新基电的时候,
[00:27:43] 显然对于真正用于上新基电活动的一个奥秘,
[00:27:47] 我们并没有完全搞清楚,
[00:27:49] 我们只能是用于现在已经能够理解的,
[00:27:51] 泛出内部这个新基电,
[00:27:53] 在谈一些事情,
[00:27:54] 平台期总体上讲,
[00:27:56] 概念流和甲外流,
[00:27:59] 这个大的方向是没有问题的,
[00:28:01] 这我不过多讲了,
[00:28:03] 随将来所有的药理学学到卡西纳上药物,
[00:28:05] 这块没法研究,
[00:28:06] 因为实际上对于这个,
[00:28:07] 至少还有一个别的,
[00:28:08] 叫背景的纳内流,
[00:28:10] 教材不写,
[00:28:11] 我们不管,
[00:28:12] 你注意啊,
[00:28:13] 我当故事给你讲,
[00:28:14] 就是老师我学完这个以后,
[00:28:15] 药理学为啥解决不了,
[00:28:16] 因为药理学所需要使用的新基电知识,
[00:28:20] 比咱们这边叫做新基电知识,
[00:28:22] 要更复杂,
[00:28:23] 更深入,
[00:28:24] 换句话说,
[00:28:25] 咱们生理学里边谈的很多东西,
[00:28:27] 是谈这个基本原理,
[00:28:29] 好的内容呀,
[00:28:30] 限于教材篇幅就没写进去,
[00:28:33] 当然也限于咱们老师们的,
[00:28:35] 自身的医学修养,
[00:28:36] 但是,
[00:28:37] 就是写不了那么详细,
[00:28:39] 所以说你发现了,
[00:28:40] 学习不是一蹴而就的,
[00:28:43] 我在这讲这么多的原因是什么,
[00:28:44] 本科教学我也不着急,
[00:28:45] 慢慢讲,
[00:28:46] 你慢慢听,
[00:28:47] 不是专门给我的学生磨叽时间,
[00:28:48] 不是,
[00:28:49] 在这个地方第一次掌握过去,
[00:28:51] 记着,
[00:28:52] 平台系怎么实现的,
[00:28:53] 概内流,
[00:28:54] 确计化,
[00:28:55] 加外流复计化,
[00:28:56] OK,
[00:28:57] 加外流有哪些,
[00:28:58] 至少这有一个,
[00:28:59] RK1可能参与了,
[00:29:00] RK1什么特点,
[00:29:01] RK1进行电力的时候开放大,
[00:29:02] 平台系的时候开放小,
[00:29:03] 平台系开放就小了,
[00:29:05] 越往平台系走,
[00:29:07] 开放越小,
[00:29:08] 这个现象就叫做内向正流,
[00:29:11] 先掌握一个概念,
[00:29:12] 往前走再说,
[00:29:14] RK1内向正流,
[00:29:18] RK延迟正流,
[00:29:21] 它反应慢,
[00:29:22] 所以世界上磨在区区号道,
[00:29:24] 正20毫伏左右,
[00:29:26] 这大机会,
[00:29:27] 但是-6毫伏就失火了,
[00:29:29] -6毫伏失火,
[00:29:30] 咱们一会再讲,
[00:29:31] 所以你只要指示这张课表,
[00:29:33] 你听个名字,
[00:29:34] 平台系里边看起来,
[00:29:35] 有两个假电轴参与,
[00:29:36] 一个是内向正流,
[00:29:37] 内向正流的RK1,
[00:29:38] 一个是延迟正流的RK,
[00:29:40] 其实药理学上还有RK,
[00:29:42] R,
[00:29:43] RK,
[00:29:44] S,
[00:29:45] 这一些细分的亚型存在,
[00:29:47] 这些不研究了,
[00:29:48] 交给药理学再说,
[00:29:50] 平台系结束以后,
[00:29:55] 就该进入三期的复计化,
[00:29:56] 三期这一段,
[00:29:57] 我们又称之为快速复计的晚期,
[00:30:01] 其实到药理学,
[00:30:02] 第三段就写的尤为重要了,
[00:30:05] 所以大概将来你们硕士毕业的时候,
[00:30:07] 本科毕业别说了,
[00:30:08] 弄不了了,
[00:30:09] 硕士毕业时候,
[00:30:10] 会很纠缠于一个名字,
[00:30:12] 到底新学皇内科的后复计是什么鬼,
[00:30:15] 后复计就在三期发生的,
[00:30:18] 早后晚后,
[00:30:19] 这我就贴个名字不再讲了,
[00:30:21] 到内科学将来再说,
[00:30:22] 也不这一讲,
[00:30:23] 学生就疯了,
[00:30:24] 娃就疯了,
[00:30:25] 反应不过来,
[00:30:26] 太难了,
[00:30:27] 三期复计化是价格都实现的,
[00:30:29] 在这个地方提前听一下,
[00:30:30] 三期复计化两个价实现,
[00:30:33] 前半段就从平台系结束,
[00:30:36] 到了三期复计化到复60号复,
[00:30:38] 复60这一段,
[00:30:39] 复60,
[00:30:40] 是IK借到复计化的,
[00:30:44] 复60号复以后,
[00:30:45] 到复90号复这一段,
[00:30:47] 变成谁了?
[00:30:48] IK1,
[00:30:50] 所以要是想把第三期学明白的话,
[00:30:53] 记住,
[00:30:54] 想把三期怎么能学明白,
[00:30:56] 大,
[00:30:57] 把三期分为两段,
[00:30:58] 平台系结束,
[00:30:59] 开始复计化,
[00:31:00] 到复60号复这一段,
[00:31:02] 谁实现和参与了?
[00:31:04] IK,
[00:31:05] 复60到复90后半段,
[00:31:06] 谁实现的?
[00:31:07] IK1,
[00:31:08] 教材应该写的101一样吧,
[00:31:10] 101,98,
[00:31:11] 100,
[00:31:12] 100页,101,
[00:31:13] 应该是100页左右,
[00:31:14] 你打开看一下,
[00:31:15] 这一段,
[00:31:16] 教材在三期的后半段,
[00:31:20] 复60到复90这段,
[00:31:21] 很谨慎在这给了个名字,
[00:31:23] 我给你指出来,
[00:31:24] 你翻开书看,
[00:31:25] 教材说,
[00:31:26] 三期复计化的后半程,
[00:31:28] 是正反馈的,
[00:31:30] 你翻开书看有没有?
[00:31:32] 正,
[00:31:33] 反,
[00:31:34] 馈,
[00:31:35] 那你觉得为什么不?
[00:31:38] IK1什么特点?
[00:31:40] 那项论流,
[00:31:41] 摩月去计划,
[00:31:43] IK1,
[00:31:44] IK1,
[00:31:45] 越关闭,
[00:31:46] 123这段,
[00:31:47] 是摩在复计划,
[00:31:48] 设想一下,
[00:31:49] 从17开始复计划,
[00:31:50] 123,
[00:31:51] 从正3时回到复9时,
[00:31:53] 尽管是拐着玩下着坡,
[00:31:54] 好久抬街往下走,
[00:31:56] 但是不管怎么样,
[00:31:57] 摩电为越复计划,
[00:31:59] IK1,
[00:32:00] 就越不能向正流了,
[00:32:02] 开放是不是就越大了,
[00:32:04] 复周正好复开始,
[00:32:05] IK1就开始开放了,
[00:32:06] 那么你复60复70复80复90,
[00:32:08] 越往下走,
[00:32:09] IK1怎么样?
[00:32:10] 开放水平就越高,
[00:32:13] 在这个地方假认证越外流,
[00:32:15] IK1有开放,
[00:32:16] 越开放,
[00:32:17] 家具越外流,
[00:32:18] 外流复计划呗,
[00:32:20] 外流会打开,
[00:32:22] 让IK1开放程度更高,
[00:32:24] 开放程度越高,
[00:32:25] 假外流,
[00:32:26] 门开的敞亮了,
[00:32:27] 外流起来越痛快呗,
[00:32:28] 三期复计划的后半程,
[00:32:32] 是越复计划,
[00:32:33] 就越复计划,
[00:32:35] 谁决定的?
[00:32:36] IK1的内向整流特性,
[00:32:39] 在消失,
[00:32:40] 脚踩在这横倾是一个名字,
[00:32:42] 正反馈,
[00:32:44] 为什么要正反馈?
[00:32:47] 赶快复计划进行,
[00:32:48] 结束,
[00:32:49] 有一句中国老话,
[00:32:50] 你们知道不?
[00:32:51] 叫做君子不立,
[00:32:53] 为强之下,
[00:32:55] 这个强看着就快塌了,
[00:32:56] 刮大风,
[00:32:57] 你站在墙底下干嘛?
[00:32:58] 拍下来不把你拍过来,
[00:32:59] 所以我记得是今年,
[00:33:01] 去年,
[00:33:02] 在北京的事,
[00:33:03] 一次刮了一次,
[00:33:04] 市内短征刮了一次,
[00:33:05] 究竟还是十几大风,
[00:33:06] 就把朝阳区三个送外买的小哥,
[00:33:09] 被刮到的树和广告牌,
[00:33:11] 给活活砸死了,
[00:33:13] 石家庄那边也有出动生,
[00:33:15] 中考完了以后回家,
[00:33:16] 路上刮大风,
[00:33:17] 转到学校围墙底下,
[00:33:19] 最后风把围墙吹倒,
[00:33:21] 把孩子给活活砸死了,
[00:33:23] 都有吧?
[00:33:24] 你再听中国那个老话,
[00:33:26] 君子不立,
[00:33:27] 为强之下,
[00:33:28] 所以我们扯这儿去了,
[00:33:29] 老师,
[00:33:30] 73期的复旗话后半程,
[00:33:31] 这个地方因为很接近激烈烈,
[00:33:33] 你还记得细胞电脑学过,
[00:33:35] 这一段有段信奉性比平时还高,
[00:33:38] 叫超长期,
[00:33:39] 这地方一旦在斗芳界之外,
[00:33:42] 有一个异常波动,
[00:33:43] 心脏在这容易跳起来,
[00:33:46] 赶快躲开,
[00:33:47] 远离危险,
[00:33:48] 前方危险,
[00:33:49] 请学会躲闪,
[00:33:51] 怕过去就完了,
[00:33:52] 早点回家就安全了,
[00:33:54] 就这意思,
[00:33:55] 所以这段正反馈是有意义的,
[00:33:57] 为什么能实现正反馈?
[00:34:00] IK1的那项政策,
[00:34:02] 越复旗话,
[00:34:04] 越不整都开放就越大,
[00:34:06] 越复旗话就越快,
[00:34:07] 那么后半是为什么强调IK1,
[00:34:09] IK去哪呢?
[00:34:10] 再看,
[00:34:11] 从明三期结束以后,
[00:34:12] 开始到三期复旗话,
[00:34:13] 注意IK啊,
[00:34:14] 在60号附近左右逐渐就关了,
[00:34:16] 所以实际上到这地方,
[00:34:18] 严格听一下,
[00:34:19] 三期复旗话,
[00:34:20] 后半段比如复旗是何后这个位置,
[00:34:22] 有IK没有?
[00:34:23] IK在外面的那叫IK,
[00:34:24] 所以再听一下,
[00:34:26] 三期的复旗话,
[00:34:27] 前半段是IK,
[00:34:29] 后半段IK关了,
[00:34:30] 关了我怎么复旗话了?
[00:34:32] IK关了以后,
[00:34:33] 上帝给我关上一扇门,
[00:34:34] 又打开一扇窗,
[00:34:35] IK王真好奇,
[00:34:36] 不能下阵流了,
[00:34:37] 开吧,
[00:34:38] 特别好玩,
[00:34:40] 你发现了没有?
[00:34:41] 每一个通道,
[00:34:43] 每一个生理现象,
[00:34:44] 每一个活动,
[00:34:45] 每一个结构和功能,
[00:34:46] 匹配的都非常完美,
[00:34:48] 我老开玩笑,
[00:34:49] 薛之谦先生有首歌叫,
[00:34:50] 《刚刚好》,
[00:34:51] 所以他们有时候说,
[00:34:52] 说我喜欢老薛,
[00:34:53] 说我挺喜欢老薛唱歌的,
[00:34:55] 老师我们也喜欢,
[00:34:56] 我都知道你们喜欢,
[00:34:57] 老薛有首歌曲叫《刚刚好》,
[00:34:59] 就是出新积电的,
[00:35:00] 写的太他妈好了,
[00:35:01] 每个地方掌握着是,
[00:35:02] 你想要什么,
[00:35:03] 正好掌握着什么,
[00:35:04] 所以为什么说,
[00:35:05] 说老师,
[00:35:06] 这地方有什么这样,
[00:35:07] 我就想不通,
[00:35:08] 想不通背下来,
[00:35:09] 等你想明白,
[00:35:10] 你博士毕业了,
[00:35:11] 你哪有上帝聪明,
[00:35:12] 我人体的每一个结构,
[00:35:14] 每个通道,
[00:35:15] 每个受体,
[00:35:16] 每个雅兴,
[00:35:17] 快的慢的,
[00:35:18] 内向整流,
[00:35:19] 外向整流,
[00:35:20] 各种各样的东西,
[00:35:21] 都是在你需要的时候,
[00:35:22] 刚刚好,
[00:35:23] 长得太完美了,
[00:35:25] 记住,
[00:35:26] 你想不明白的是你笨,
[00:35:28] 你直接背,
[00:35:29] 越学越发泄,
[00:35:30] 天道不可为己,
[00:35:32] 是这样的,
[00:35:35] 嗯,
[00:35:36] 二期平台期,
[00:35:38] 三期复计划,
[00:35:40] 我应该啰啰啰嗦的,
[00:35:41] 小时免想讲,
[00:35:42] 明白了,
[00:35:43] 要一旦没有听懂,
[00:35:44] 你反过来多听两遍。
