# 源音频：P24-生理学本科教学及考研基础课 p24 循环-调节.m4a
# 时长：5777s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 好同学们,这样咱们就接下来安心的读一下心血管活动调节。
[00:25:05] 心脏的,
[00:25:06] 别活动时候,
[00:25:07] 你知道我们是斗性节律的,
[00:25:09] 斗方解美风的自动节律性是100次左右,
[00:25:13] 交接去50次左右,
[00:25:15] 但是安静的实力情况下,
[00:25:16] 我们的心率都达不到100次,
[00:25:19] 而且刚才刚刚学完,
[00:25:20] 交感神经心脏三个正性作用,
[00:25:22] 迷走是三个负性作用,
[00:25:24] 所以你实际上从这个现象里边能,
[00:25:26] 能够能够比较直白的看到迷走占优势,
[00:25:31] 其实将来咱们学到内科学的有机能动脑动读,
[00:25:36] 这个时候,
[00:25:36] 单节指纹抑制剂,
[00:25:39] 他把单节指纹破坏掉以后,
[00:25:40] 从节线线位看过去,
[00:25:42] 节线线位,
[00:25:44] 交感和迷走的心脏活动都会加强,
[00:25:46] 但血压在农药动作的时候,
[00:25:48] 是迷走心脏为主的,
[00:25:50] 血压这一块又是以交感为主,
[00:25:53] 所以为什么会这个样子,
[00:25:54] 你也发现血管是单一的神经支配,
[00:25:57] 心脏是迷走和交感双重支配,
[00:26:00] 血管的单一支配是相当具有个性,
[00:26:03] 因为咱们一谈内脏活动总是双重支配,
[00:26:06] 但血管就不是,
[00:26:08] 那么寒不够再往下读,
[00:26:10] 在血管神经支配第一条,
[00:26:12] 叫交感的缩血管线位,
[00:26:15] 交感缩血管,
[00:26:16] 这一条咱们教材很谨慎讲的一句话,
[00:26:19] 教材在这说,
[00:26:20] 人体大多数的血管都单一的接受交感缩血管线位支配,
[00:26:25] 不但是单一的,
[00:26:27] 而且是交感的,
[00:26:28] 所以它是两个定义,
[00:26:30] 那么交感缩血管线位哪来的,
[00:26:32] 咱们说来自于脊髓的胸端,
[00:26:34] 从胸一到腰三这一段,
[00:26:35] 这一段里边一部分是通过这个脊髓线位通过交感链,
[00:26:41] 就是在椎旁,
[00:26:42] 这时候你也交感链,
[00:26:44] 在这个地方交换神经元变成结核线位,
[00:26:46] 所以它从脊髓出来没多远,
[00:26:47] 在脊髓旁边就交换神经元了,
[00:26:50] 接前端,
[00:26:51] 结后肠,
[00:26:52] 出来之后去支配,
[00:26:54] 驱赶和死肢的血管平滑剂,
[00:26:57] 另外这一块呀,
[00:26:58] 是通过脊髓线位,
[00:26:59] 到追前神经节,
[00:27:01] 交换神经元变成结核线位,
[00:27:03] 支配内脏的血管平滑剂,
[00:27:05] 所以说,
[00:27:05] 像你在这边发现,
[00:27:07] 内脏血管平滑剂和驱赶与死肢的皮肤骨骼剂,
[00:27:10] 这些地方的血管平滑剂,
[00:27:12] 支配的神经线位,
[00:27:14] 尽管都是交感,
[00:27:15] 来源不太一样,
[00:27:17] 有追旁的,
[00:27:18] 也有追前的,
[00:27:19] 但不管怎么样吧,
[00:27:20] 作为一个交感缩去管线位,
[00:27:22] 它末梢释放是经典的一个地质,
[00:27:25] 去甲生长线素,
[00:27:27] 这个去甲生长线素释放以后呀,
[00:27:29] 在血管平滑剂上,
[00:27:30] 主要是和α受体,
[00:27:32] 一个意义上应该是α1,
[00:27:34] 但是九百数的时候,
[00:27:35] 我们这个1拿掉了,
[00:27:36] 写上ααα,
[00:27:37] 实际上,
[00:27:38] 读到神经系统,
[00:27:39] 神经系统内脏活动,
[00:27:40] 你会发现,
[00:27:41] α受体分为α1和α2,
[00:27:44] β受体分为β1,
[00:27:46] 1,2,3,
[00:27:47] 3重量性,
[00:27:48] 1,2,3,
[00:27:49] 那么心肌细胞膜长在β1,
[00:27:51] 刚才看见了,
[00:27:52] 血管平滑剂上是β2,
[00:27:54] 包括气管平滑剂上,
[00:27:56] 那么β3受体,
[00:27:58] 只长在脂肪细胞膜上,
[00:28:00] 到神经系统我看到,
[00:28:02] 虽然在外周血管上,
[00:28:03] 实际上既有α,
[00:28:04] 也有β2,
[00:28:06] 这个内容咱们放到一会儿,
[00:28:08] 放到心血管的,
[00:28:10] 提一条节目,
[00:28:11] 会专门讲这是重点话题,
[00:28:13] 这就写不啰嗦了,
[00:28:15] 那么交感缩血管线位的话,
[00:28:16] 主要作用到谁来,
[00:28:17] 作用到α受体,
[00:28:19] α受体会让血管平滑剂发生收缩,
[00:28:22] 是这个样子,
[00:28:23] 发生收缩的,
[00:28:24] 舒张在这地方,
[00:28:25] 不曾在舒张,
[00:28:26] 咱们一会儿要谈,
[00:28:27] 去加深不会有这个作用,
[00:28:29] 顺便想出采用,
[00:28:30] 一会儿再说,
[00:28:31] 这就很简单的体会,
[00:28:32] 交感缩血管线位怎么实现,
[00:28:34] 交感缩血管线位通过释放去加深,
[00:28:37] 作用到血管平滑剂的α一受体,
[00:28:39] 发生血管的收缩,
[00:28:41] 这就完了,
[00:28:42] 接着往下看,
[00:28:46] 缩血管线位在生命学上是一个非常有特征的一个知识体系,
[00:28:52] 第一个就是有关神经线位交感缩血管线位的分布,
[00:28:57] 分布在不同血管平滑剂的分布密度完全不一样,
[00:29:00] 皮肤的密度最大,
[00:29:01] 然后是骨骼肌,
[00:29:02] 内脏的包括冠冕和脑循环就很少,
[00:29:05] 冠冕脑循环,
[00:29:06] 所以我记得2020年考研的时候,
[00:29:08] 考研到B型体,
[00:29:10] 说交感缩血管线位在人体的血管分布密度最大的是皮肤,
[00:29:14] 密度最小的是内脏,
[00:29:16] 说是冠冕和脑循环,
[00:29:17] 冠冕和脑循环,
[00:29:18] 你可以理解为没有,
[00:29:20] 你说冠上动脉上长它干嘛呀,
[00:29:22] 实际上有没有读教材说也有的,
[00:29:24] 这是这一点一注意,
[00:29:25] 冠上动脉和脑血管上确实长了点交感缩血管线位,
[00:29:29] 但是生命情况下,
[00:29:31] 它就不发挥作用,
[00:29:32] 它是干嘛的,
[00:29:34] 冠冕和脑循环是最典型的自身,
[00:29:36] 病理情况下,
[00:29:39] 异常,
[00:29:40] 极端情况下,
[00:29:41] 可能会有点作用,
[00:29:43] 第二句话是说在同名情况下,
[00:29:45] 比如古动脉古经脉,
[00:29:46] 然后我随便打了个比方,
[00:29:48] 同名情况下,
[00:29:49] 动脉血管的复活密度比静脉血管大,
[00:29:51] 因为静脉血管主要是拿来容量血管,
[00:29:55] 储存血液,
[00:29:55] 你说它没有意义,
[00:29:57] 然后是细的血管,
[00:29:59] 小动脉比大动脉复活密度要大,
[00:30:02] 为什么,
[00:30:02] 咱们在血管分类说过,
[00:30:04] 大血管分布的血管比主要是弹力和交线线位,
[00:30:07] 小动脉微动脉上的才是平滑肌细胞为主,
[00:30:10] 所以大血管长没有用,
[00:30:11] 你没有平滑肌细胞长它干嘛,
[00:30:13] 它只会细胞收缩,
[00:30:15] 它也不能让它内血液收缩,
[00:30:17] 这是一个,
[00:30:18] 这是分布的特点,
[00:30:20] 作用特别在这儿,
[00:30:21] 实际上,
[00:30:22] 这儿读一下这句话,
[00:30:23] 松续活线位怎么了,
[00:30:24] 交换松续活线位,
[00:30:26] 持续发抖冲动,
[00:30:27] 维持血管的基础紧张性,
[00:30:29] 基础紧张性是咱们整个人体生理学,
[00:30:33] 极大的一个特点,
[00:30:34] 今天咱们这儿第一次看到了,
[00:30:36] 实际上到后面再看看,
[00:30:37] 提你这个内分泌体液调解呀,
[00:30:40] 看看神经系统很多活动,
[00:30:42] 很多活动都是具有基础紧张的,
[00:30:45] 基础紧张,
[00:30:46] 包括咱们在学细胞内障的时候,
[00:30:48] 神经进入结头,
[00:30:50] 结头前膜,
[00:30:51] 在发生动作点位的时候,
[00:30:52] 盖内流,
[00:30:53] 会触发一组,
[00:30:55] 一批量的,
[00:30:57] 囊泡为难为的单解释放,
[00:31:00] 事实上,
[00:31:00] 你没有神经支配冲动到达的时候,
[00:31:02] 它这个结头前膜呀,
[00:31:04] 散在的,
[00:31:05] 自发的,
[00:31:06] 也会释放一点,
[00:31:07] 一些单解,
[00:31:08] 来保持基本的一个肌肉张力,
[00:31:10] 维持姿势的,
[00:31:11] 那个事实上就是一个所谓的基础紧张,
[00:31:14] 基础紧张在人体,
[00:31:16] 无处不在,
[00:31:17] 它是这样,
[00:31:17] 所以咱们可以称为紧绝性,
[00:31:19] 我的意识活动也有基础紧张,
[00:31:21] 平时读书的时候,
[00:31:22] 教室的环境很安静,
[00:31:24] 很安全,
[00:31:25] 我紧绝性就不高,
[00:31:26] 我要一共往他走一夜路,
[00:31:28] 一夜生人静,
[00:31:29] 越黑风,
[00:31:30] 风高,
[00:31:32] 风高越黑夜,
[00:31:34] 正是杀人时,
[00:31:35] 人本身就毛骨损然的,
[00:31:37] 精损片似的,
[00:31:38] 紧张性就高,
[00:31:39] 这个样子,
[00:31:41] 分布特点和基础紧张,
[00:31:44] 这是交感缩血管协会很大的特征,
[00:31:47] 这一块,
[00:31:49] 这儿给了一个非常好的示意图,
[00:31:51] 我讲课喜欢这样,
[00:31:52] 说同学们,
[00:31:53] 你要从体内随便拿一条动脉血管出来,
[00:31:55] 放到桌子上,
[00:31:56] 让它离体,
[00:31:58] 没有身体体液调节,
[00:31:59] 大概血管应该这么粗,
[00:32:01] 但人这要活着,
[00:32:02] 长在体内,
[00:32:03] 就这个我从一目测一下,
[00:32:05] 这条血管就细一点,
[00:32:06] 这条就粗一点,
[00:32:07] 这条就更细,
[00:32:08] 所以实际上人在身体情况下,
[00:32:11] 他的血管有多粗,
[00:32:11] 这么粗,
[00:32:12] 为什么?
[00:32:12] 因为人这要活着,
[00:32:14] 永远保持一个基础紧张,
[00:32:16] 如果打麻醉药了,
[00:32:18] 或者将他神经系统学一个词,
[00:32:19] 叫急休克,
[00:32:20] 急休克了,
[00:32:21] 基础紧张性降低,
[00:32:23] 那么这个血管就会不恰当扩张,
[00:32:25] 咱们学完动脉血管和血压以后,
[00:32:28] 来学这个调节的,
[00:32:29] 体会一下,
[00:32:30] 一旦血管不恰当扩张以后,
[00:32:32] 每种阻力维持不了,
[00:32:34] 动脉血压就会下降,
[00:32:36] 所以学到神经系统,
[00:32:37] 你就会有个意识,
[00:32:38] 一旦脊髓和高背中处离断以后,
[00:32:41] 脊髓不放电,
[00:32:42] 支配血管的神经线位,
[00:32:43] 你还发现叫做缩血管线位,
[00:32:45] 来自于胸一到腰三,
[00:32:46] 追前追旁神经线,
[00:32:48] 它要不放电,
[00:32:49] 我的体内血管就不恰当扩张,
[00:32:51] 那我的血压就会下降,
[00:32:52] 所以脊髓损伤以后患者的血压是太低的,
[00:32:56] 甚至你要多过外科学,
[00:32:57] 你再听课就发现,
[00:32:58] 为什么休克病人不能打腰麻,
[00:33:00] 都是这个原因,
[00:33:02] 所以这样听起来太麻烦,
[00:33:04] 我讲课喜欢简单,
[00:33:05] 我说你这样听,
[00:33:06] 人活着血管就是这么粗,
[00:33:08] 但人要死了就这么粗,
[00:33:12] 现在这个血管还太粗,
[00:33:14] 能不能再细一点增加阻力呢?
[00:33:16] 只需要让交感缩血管线位,
[00:33:19] 放电频率高一点,
[00:33:20] 你看这个地方写了个time,
[00:33:22] 时间,
[00:33:23] time你可就紧张性,
[00:33:24] activate,
[00:33:25] 紧张性的活动就是紧张活动呗,
[00:33:27] 那么这个放电,
[00:33:29] 啪啪啪这样放电,
[00:33:30] 这个地方啪啪啪这样放,
[00:33:32] 放电频率高,
[00:33:33] 这个地方放电更低,
[00:33:36] 一条血管,
[00:33:37] 一条生链线位,
[00:33:39] 既能让血管变得更细,
[00:33:41] 也能让血管变得更粗,
[00:33:43] 人就这么聪明,
[00:33:44] 所以什么你都强调一句话说,
[00:33:46] 结构是这个简单的,
[00:33:48] 越简单越可靠,
[00:33:51] 简单的,
[00:33:53] 快乐是简单的,
[00:33:54] 美是复杂的,
[00:33:57] 结构简单,
[00:33:58] 我只需要找一条线位,
[00:34:00] 就能让一条血管变得更细,
[00:34:02] 或更粗,
[00:34:03] 所以就不需要再来一条线位,
[00:34:05] 让血管变得专门出来一个输血管线位,
[00:34:06] 不需要,
[00:34:07] 人体的一般情况下,
[00:34:09] 一个血管,
[00:34:10] 有一条小短输血管线位,
[00:34:12] 就能让这个血管变得既能变得更细,
[00:34:14] 也能变得更粗,
[00:34:15] 就完了,
[00:34:17] 谁造成的,
[00:34:18] 基础紧张,
[00:34:19] basic tonic activity,
[00:34:22] 就OK了,
[00:34:23] 就足够了,
[00:34:23] 这个地方你可以increase的,
[00:34:26] 这么一个signal rate,
[00:34:27] 一个增强的信号频率,
[00:34:31] 和一个decrease的signal rate,
[00:34:33] 一个降低的信号,
[00:34:36] 这么一个频率或者水平,
[00:34:38] 它是这样,
[00:34:39] 比例,
[00:34:40] 嗯,
[00:34:40] 所以一条神经,
[00:34:42] 完成两个作用,
[00:34:43] 聪明,
[00:34:45] 快的是简单的,
[00:34:46] 美是复杂的,
[00:34:47] 整个这一块就讲了一个人体绝大多数血管的一个神经支配,
[00:34:51] 就一条神经支配的交感缩血管线位,
[00:34:55] 满身基础紧张,
[00:34:57] 但是凡事都有例外,
[00:35:00] 人体除了最广泛普遍的交感缩血管线位之外,
[00:35:04] 在人体有一个地方,
[00:35:05] 就我们的骨骼肌,
[00:35:06] 骨骼肌要吃饭,
[00:35:07] 所以它也有血管,
[00:35:09] 这里边好多同学嘴唠绕不过来,
[00:35:10] 说了,
[00:35:10] 是不是骨骼肌,
[00:35:11] 骨骼肌不是,
[00:35:12] 支配骨骼肌的随意运动,
[00:35:14] 是运动神经,
[00:35:15] 是脊髓前脚二发神经元,
[00:35:18] 这个地方不是说骨骼肌,
[00:35:19] 这个地方做的是谁,
[00:35:20] 是骨骼肌的血管,
[00:35:21] 你骨骼肌要输出的血管功能呀,
[00:35:23] 谁功能的血管,
[00:35:24] 那么骨骼肌什么这个血管谁支配的,
[00:35:27] 这个就不一样,
[00:35:28] 叫做输血管线位,
[00:35:31] 叫做交感输血管线位,
[00:35:33] 这个线位也是一个交感,
[00:35:35] 交感的,
[00:35:37] 但是注意,
[00:35:37] 交感缩血管线位,
[00:35:39] 刚才说释放的是曲甲肾,
[00:35:40] N1,
[00:35:41] 作用的是α一受体,
[00:35:43] 交感输血管线位,
[00:35:44] 释放的就不是曲甲肾了,
[00:35:45] 是谁,
[00:35:46] 你看,
[00:35:47] 一些胆解,
[00:35:47] 这是个例外,
[00:35:49] 胆解作用的它自己的M受体,
[00:35:51] 然后骨骼肌血管输张,
[00:35:52] 到这暂停脑补一下,
[00:35:54] 交感神经兴奋了,
[00:35:55] 交感神经兴奋以后,
[00:35:57] 皮肤血管就是收缩的,
[00:35:59] 交感缩血管线位,
[00:36:00] 骨骼肌血管就是扩张的,
[00:36:01] 这一个收缩一个扩张,
[00:36:03] 把皮肤的血液挤出来,
[00:36:05] 挤压出来,
[00:36:05] 给谁,
[00:36:06] 给骨骼肌,
[00:36:07] 那么我一跑步,
[00:36:08] 就是这样,
[00:36:09] 进行血液重新分配的,
[00:36:11] 我不是拿脸去跑步,
[00:36:12] 我是拿骨骼肌去跑步,
[00:36:14] 所以跑步都是脸,
[00:36:15] 皮肤,
[00:36:16] 用不着血了,
[00:36:17] 你不带血是吧,
[00:36:18] 把血给骨骼肌,
[00:36:19] 让骨骼肌去用,
[00:36:20] 你要这样听一下,
[00:36:21] 一跑步,
[00:36:22] 还需要把血液重新分配一下,
[00:36:25] 才能够用,
[00:36:27] 你说我体内的血液循环,
[00:36:28] 这个量多还是少,
[00:36:30] 少,
[00:36:31] 刚刚够用,
[00:36:34] 说老师血干嘛不多一点,
[00:36:35] 血那么少,
[00:36:36] 心脏啪啪,
[00:36:37] 蹦得还那么累,
[00:36:38] 一分钟蹦个五六升,
[00:36:40] 如果说跑步的时候,
[00:36:41] 脸上血液多点,
[00:36:42] 骨骼肌都多一点,
[00:36:43] 多好啊老师,
[00:36:44] 不要重新分配了,
[00:36:46] 那么现在一分钟蹦五升血不够,
[00:36:47] 可能需要蹦十五升血,
[00:36:49] 你想这个心脏累不累,
[00:36:51] 所以人总是,
[00:36:53] 用最少的能量,
[00:36:56] 完成最大的生理活动,
[00:36:59] 我不是你妈妈感觉到了吗,
[00:37:00] 江河一直讲一句话,
[00:37:02] 说进化的唯一方向,
[00:37:06] 是让结构越来越简单,
[00:37:08] 那为什么人体要进化,
[00:37:09] 进化的唯一目标,
[00:37:10] 目的,
[00:37:11] 是让机体越来越艰难,
[00:37:14] 所以女生不太熟悉,
[00:37:15] 男生如果是还喜欢玩车,
[00:37:17] 或喜欢研究汽车,
[00:37:19] 就发现这三四年,
[00:37:21] 汽车的排量越来越小,
[00:37:23] 汽车的马力越来越大,
[00:37:25] 原来你做一个3.0,
[00:37:27] 那一个汽车排量,
[00:37:27] 大概就是二百多匹马力,
[00:37:29] 现在你看2.0T的,
[00:37:31] 宝马呀,
[00:37:31] 奔驰,
[00:37:32] 它的发动机,
[00:37:32] 2.0T,
[00:37:33] 四缸小发动机,
[00:37:34] 动力已经六百马力了,
[00:37:37] 缸容量越来越小,
[00:37:39] 发动机输出功率越来越大,
[00:37:42] 进步了,
[00:37:43] 发动机技术提高了,
[00:37:45] 人体一样,
[00:37:46] 我的结构越来越简单,
[00:37:47] 我的功能越来越强大,
[00:37:48] 因为简单之后,
[00:37:49] 你好控制,
[00:37:50] 一个开关就完了,
[00:37:52] 你弄二十个开关,
[00:37:53] 忘了拧开关了,
[00:37:54] 所以将来你们一定要做科研,
[00:37:55] 就发现,
[00:37:56] 有好多机器设备关的时候,
[00:37:58] 先关哪个开关,
[00:38:00] 后关哪个开关,
[00:38:01] 你把开关的关闭顺序给搬错了,
[00:38:04] 机器就烧了,
[00:38:05] 烧就烧了,
[00:38:06] 再买一个,
[00:38:06] 你吹牛,
[00:38:07] 一台设备一百万美元,
[00:38:08] 你买一台,
[00:38:09] 你能买几台,
[00:38:11] 一台一,
[00:38:12] 科研设备一点大,
[00:38:13] 比较法拉利还贵,
[00:38:15] 科研很奢侈,
[00:38:17] 这听下来不是我啰嗦,
[00:38:18] 体会一下,
[00:38:19] 交感神经兴奋的时候,
[00:38:21] 机体不同部位的血管反应不一样,
[00:38:24] 皮肤的肾脏的这些血管就收缩,
[00:38:27] 包括内脏血管就收缩,
[00:38:28] 但骨骼肌血管就扩张,
[00:38:30] 这样逼着我把皮肤的肾脏的,
[00:38:32] 是吧,
[00:38:33] 内脏的血液全拿出来,
[00:38:34] 给骨骼肌,
[00:38:35] 给心和脑,
[00:38:36] 这就叫做血液重新分配,
[00:38:39] 应急反应,
[00:38:40] 好路,
[00:38:40] 或打架,
[00:38:42] 防疫反射,
[00:38:43] 把血液分配了,
[00:38:44] 对了,
[00:38:46] 释放的是胆结,
[00:38:47] 最后是M受体,
[00:38:48] 名字叫做交感输血管线位,
[00:38:52] 血两条了,
[00:38:52] 第一条就是交感缩血管,
[00:38:54] 第二条是交感输血管,
[00:38:55] 还第三条,
[00:38:57] 嗯,
[00:38:57] 当然是要把第二条血管,
[00:38:59] 这个输血管线位没有紧张活动,
[00:39:01] 只有在惊恐呀,
[00:39:02] 激动呀,
[00:39:03] 具体运动,
[00:39:04] 才发放冲动,
[00:39:05] 使得血流重新分配,
[00:39:08] 交感缩血管线位,
[00:39:09] 永远在方便,
[00:39:11] 交感输血管线位,
[00:39:13] 偶尔,
[00:39:14] 才放电,
[00:39:15] 生经调节,
[00:39:16] 一阵子,
[00:39:17] 体液调节,
[00:39:18] 一辈子,
[00:39:19] 啊,
[00:39:19] 慢慢学习就发现,
[00:39:21] 咱们有时候变一个说法,
[00:39:22] 把生理学学活,
[00:39:24] 被死它,
[00:39:25] 被它越死,
[00:39:26] 用的越活,
[00:39:28] 你记住,
[00:39:28] 一阴一阳,
[00:39:30] 往下走啊,
[00:39:31] 除了交感输血管线位之后,
[00:39:34] 人体还一条什么线位,
[00:39:35] 叫副交感输血管线位,
[00:39:37] 这个咱们作为本科的学习,
[00:39:39] 这辈子几句话不要忘,
[00:39:40] 副小,
[00:39:41] 副交感的输血管线位,
[00:39:43] 与心血管活动无关,
[00:39:46] 为什么你读一下,
[00:39:47] 它只支配在,
[00:39:48] 比如说唾液线啊,
[00:39:49] 外生之气,
[00:39:50] 脑血管都很少,
[00:39:51] 几乎没有,
[00:39:52] 胃肠线,
[00:39:53] 有一点,
[00:39:53] 它就是这个消化线体,
[00:39:56] 和外生之气,
[00:39:57] 所以教材要强调,
[00:39:58] 副交感输血管线位,
[00:40:00] 放不放电,
[00:40:01] 不管它放电还是不放电,
[00:40:03] 对于心血管的外周阻力,
[00:40:05] 这四个字,
[00:40:06] 外周阻力,
[00:40:07] 是没有影响的,
[00:40:09] 所以副交感输血管线位,
[00:40:11] 信服不信奉,
[00:40:12] 和心血管活动无关,
[00:40:13] 它只是调节人质的消化吸收,
[00:40:16] 生殖活动,
[00:40:17] 你还记得孔子,
[00:40:18] 紫月,
[00:40:19] 石色,
[00:40:20] 星也,
[00:40:21] 哎呀,
[00:40:22] 挺有意思,
[00:40:22] 副交感,
[00:40:24] 与心血管无关,
[00:40:26] 末生生发结单解,
[00:40:27] 作用癌不受体,
[00:40:28] 使得血管疏张,
[00:40:29] 只调节器官组织局部血流,
[00:40:32] 对总的外周阻力,
[00:40:33] 没有明显影响,
[00:40:35] 交感输血管线位是人体的,
[00:40:38] 交感输血管线位,
[00:40:40] 是运动的,
[00:40:41] 副交感线,
[00:40:42] 这个输血管线位,
[00:40:44] 是石色,
[00:40:45] 星也,
[00:40:46] 嗯,
[00:40:46] 是它,
[00:40:47] 每一个活动都不一样,
[00:40:50] 天生我才必食用,
[00:40:52] 千金散尽,
[00:40:53] 还复来,
[00:40:54] 换而讲出还没久,
[00:40:56] 这个样子,
[00:40:57] 强精酒,
[00:40:58] 强精酒,
[00:40:58] 我是强精酒,
[00:40:59] 同学说的话说错了,
[00:41:00] 那强精酒,
[00:41:01] 强就免强强吧,
[00:41:02] 强精酒了啊,
[00:41:03] 嗯,
[00:41:06] 就像一条母亲之后,
[00:41:07] 什么高堂杯白饭,
[00:41:10] 嗯,
[00:41:11] 老李立白同学写的诗词还是很好的,
[00:41:13] 我突然一下动感情,
[00:41:15] 高堂明镜杯白饭,
[00:41:19] 嗯,
[00:41:21] 第三条,
[00:41:22] 还有一条输血管线位,
[00:41:23] 名字更有意思,
[00:41:24] 脊髓背根输血管线位,
[00:41:27] 所以这个咱们要举个例子了,
[00:41:29] 教材会这样写,
[00:41:30] 比方说,
[00:41:30] 哎,
[00:41:30] 我这个周末了,
[00:41:31] 没事感谢周末,
[00:41:32] 我在这儿入课,
[00:41:33] 你们周末玩去了,
[00:41:34] 还说洗劲小T恤,
[00:41:35] 是吗,
[00:41:35] 没事感谢洗衣服,
[00:41:36] 一洗不小心,
[00:41:37] 指甲把自己划了一下,
[00:41:39] 你就脑补一下,
[00:41:41] 这个指头一划,
[00:41:42] 手背往上就红了,
[00:41:44] 皮肤就红,
[00:41:45] 再横一点就肿了,
[00:41:47] 为什么呀,
[00:41:48] 除了疼之外,
[00:41:50] 教材这给了个说法,
[00:41:51] 皮肤这个伤害刺激,
[00:41:53] 第一个是通过感觉线位传入,
[00:41:55] 到中树上,
[00:41:56] 好疼,
[00:41:57] 这是一个,
[00:41:57] 第二个,
[00:41:58] 传入过程中,
[00:42:00] 它会发出一个小侧肢,
[00:42:01] 这个侧肢你注意,
[00:42:02] 不是往中树走,
[00:42:04] 是返回去了,
[00:42:05] 去哪里了,
[00:42:06] 去刚才受刺激的皮肤局部,
[00:42:09] 走到血管去了,
[00:42:10] 到这血管输张,
[00:42:11] 这条小线位是输张血管,
[00:42:13] 输张水,
[00:42:14] 你拿手,
[00:42:15] 抓呢,
[00:42:16] 那就受刺激,
[00:42:18] 有人认为可能释放的这个输血管物质,
[00:42:20] 是一个加盖素基因相关态,
[00:42:23] 所以这个差不多这个物质能定下来,
[00:42:24] 是什么不要紧,
[00:42:25] 就设想一下,
[00:42:26] 我手背,
[00:42:27] 对我的自己的手指挠了一下,
[00:42:29] 我的手背就红了,
[00:42:31] 这是个反射,
[00:42:32] 这个神经线位叫,
[00:42:34] 脊椎背部输血管线位,
[00:42:37] 除了让我产生痛觉之外,
[00:42:38] 局部含红肿,
[00:42:40] 它造成的,
[00:42:41] 这个反射特别好玩,
[00:42:42] 这是生理学上一个很大的特例,
[00:42:45] 因为我在中学,
[00:42:46] 接触生理学的时候就知道,
[00:42:48] 生理卫生,
[00:42:49] 说人体有一种功能调节叫反射,
[00:42:52] 反射结构基础叫反射弧,
[00:42:54] 反射弧五个结构,
[00:42:56] 感受器,
[00:42:57] 传入纤维,
[00:42:58] 反射中枢,
[00:43:00] 传出纤维,
[00:43:01] 效应器,
[00:43:02] 那么什么叫中枢,
[00:43:03] 生理学里边强调,
[00:43:05] 中枢就指的是脑和脊髓,
[00:43:08] 而脊髓背跟输血管这么一条小纤维,
[00:43:11] 在皮肤不小心被划了一下,
[00:43:13] 受伤害以后,
[00:43:14] 传入果成功,
[00:43:16] 发出测试回到,
[00:43:17] 受刺激的皮肤局部血管,
[00:43:19] 你发现,
[00:43:20] 它在感觉传入,
[00:43:21] 传入路上就返回去了,
[00:43:23] 就没有到达脊髓这个中枢,
[00:43:25] 所以注意,
[00:43:26] 脊髓背跟输血管纤维,
[00:43:28] 引发的这么一个血管疏张,
[00:43:31] 这个反射活动,
[00:43:32] 是没有中枢参与的,
[00:43:34] 这是个特例,
[00:43:37] 反射弧的要害在反射中枢,
[00:43:40] 脊髓背跟输血管纤维,
[00:43:41] 这个东西没有中枢参与,
[00:43:43] 那么这个反射叫什么,
[00:43:44] 叫它这个名字,
[00:43:45] 轴突反射,
[00:43:47] 竖突,
[00:43:47] 轴突,
[00:43:48] 包体,
[00:43:49] 轴突反射,
[00:43:50] 没有中枢,
[00:43:52] 如果可能的话,
[00:43:54] 如果可能的话呀,
[00:43:56] 至少把名字背一下,
[00:43:58] 嗯,
[00:43:59] 再下来还有第四款,
[00:44:00] 一些血管活性常态的一些神经,
[00:44:02] 有一些自主神经元里边,
[00:44:04] 有血管活性常态,
[00:44:05] 和一些蓝解共存,
[00:44:06] 这样的话,
[00:44:07] 你比如支配汗腺的,
[00:44:08] 支配唾液腺的,
[00:44:09] 这些副脚趋的穴位,
[00:44:10] 这是我们叫做地质共存原则,
[00:44:13] 这些内容也会扩张血管,
[00:44:15] 但是在循环系统中,
[00:44:17] 这些内容就不关心了,
[00:44:18] 在,
[00:44:18] 在心血管系统中,
[00:44:19] 有关血管神经支配,
[00:44:21] 你看啊,
[00:44:22] 我反复的给你数一下,
[00:44:23] 缩血管协会只有一条,
[00:44:25] 叫交感缩血管协会,
[00:44:26] 缩血管协会咱们谈的主要三条,
[00:44:29] 一,
[00:44:29] 交感缩血管协会,
[00:44:31] 在骨骼肌血管平化肌,
[00:44:32] 二,
[00:44:32] 副交感缩血管协会,
[00:44:34] 在唾液腺,
[00:44:35] 在消化腺体,
[00:44:36] 和外生肌器,
[00:44:38] 第三条,
[00:44:39] 是紧碎背部缩血管协会,
[00:44:40] 轴突反射,
[00:44:41] 它是长在皮肤,
[00:44:43] 前表的,
[00:44:44] 是一个保护性的活动,
[00:44:48] 因为每一个结构,
[00:44:50] 都对应着它相应的一些功能特征,
[00:44:53] 天生我才,
[00:44:55] 必实用,
[00:44:55] 嗯,
[00:44:56] 这是有关心脏和血管的神经支配,
[00:45:00] 接下来你知道,
[00:45:02] 神经条件唯一方式就是反射,
[00:45:03] 反射又有反射虎,
[00:45:05] 反射虎又有反射中枢,
[00:45:07] 所以也就是神经条件啊,
[00:45:08] 还得关心关心中枢是什么样子,
[00:45:10] 中枢这一节一开始说了,
[00:45:12] 心血管中枢的位置在咽喉,
[00:45:14] 咽喉既有心血管的这个交感的中枢,
[00:45:17] 还有谁啊,
