# 源音频：P04-生理学本科教学及考研基础课 p04 细胞3.m4a
# 时长：2812s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 好,同学们,咱们上节课在这个细胞的功能第二节,跨膜信号转导,我做了一个概述。
[00:20:31] 开灯关灯开灯关灯
[00:20:32] 所以很多时候我们喜欢把细胞膜
[00:20:34] G蛋白
[00:20:35] 偶然受体中
[00:20:36] 细胞膜里边这个G蛋白啊
[00:20:38] 叫做信号转导的分子开关switch
[00:20:43] 打开关上打开关上
[00:20:45] 打开的时候叫激活性
[00:20:48] 关上时候叫失活性
[00:20:51] 那么什么叫打开
[00:20:53] 什么叫关上
[00:20:54] 第三条写句话说
[00:20:56] G蛋白我这就GTP的活性
[00:20:58] 就像那甲棒就有ATP的活性
[00:21:01] 就是通过把ATP里边的高能量酸件
[00:21:03] 拿出来
[00:21:04] 使用
[00:21:05] 变成ADP
[00:21:06] 提供能量
[00:21:07] 蹦那蹦甲
[00:21:08] 这个地方其实一样
[00:21:09] G蛋白把GTP里边这个高能酸就拿出来
[00:21:12] 变成GDP消耗能量
[00:21:14] 把蛋白打开
[00:21:15] 那么什么叫打开
[00:21:16] 这儿画了一个很好的示意图
[00:21:19] 正常在受体
[00:21:21] 我们具体的啊
[00:21:22] 以心肌细胞Beta1受体为例
[00:21:24] 心肌细胞就是心肌细胞膜一片
[00:21:26] 找到Beta1受体
[00:21:27] 现在外面没有去甲醇
[00:21:29] 大家都相安无事
[00:21:30] 你看G蛋白是AlphaBetaGamma
[00:21:32] 三人保持一团
[00:21:33] 天冷了
[00:21:34] 保团去暖
[00:21:35] 一旦去甲胜上腺素
[00:21:37] 从脚感神经膜上释放出来
[00:21:40] B土ABCB转圈
[00:21:42] Beta1受体结合去甲胜的时候
[00:21:47] 受体就被激活了
[00:21:48] 你看刚才看这个视频图
[00:21:50] 受体和配体一结合
[00:21:52] 受体就打的信号被激活了
[00:21:54] excited
[00:21:55] 就激活了
[00:21:56] 那么激活之后呀
[00:21:58] 就刺激G蛋白
[00:21:59] 不再结合GDP
[00:22:01] 就告诉他说哥们活了啊
[00:22:03] 好活了
[00:22:04] 换一个结合GDP
[00:22:06] 而他本身刚才看第三条说
[00:22:08] 他具有GDP没的活性
[00:22:10] 就他有能力把GDP的能量拿出来用
[00:22:14] 然后能量拿掉了
[00:22:16] 少了一个磷酸碱就变成GDP了
[00:22:18] 说这个我不太懂
[00:22:19] 是好多同学呀
[00:22:20] 到了媒体时代
[00:22:21] 每天玩手机低头抬头坐车走路
[00:22:24] 多玩手机玩的一脑门都装舒适
[00:22:26] 所以不再关心身边事物
[00:22:28] 好多时候缺乏一个空间
[00:22:30] 或横向的想象力
[00:22:32] 这咱们讲一下同学
[00:22:33] 比如说你说汽油有能量没有
[00:22:36] 你点着试试
[00:22:37] 你看他手
[00:22:38] 他不能点呀
[00:22:39] 我是瞎说的
[00:22:41] 但是你喝汽油能取暖不
[00:22:43] 不能
[00:22:44] 汽油能量只能谁喝
[00:22:45] 汽车发动机
[00:22:47] 汽车发动机就具有把汽车里边余产的
[00:22:50] 把汽油里边的化学能
[00:22:51] 变成热能
[00:22:52] 变成动能
[00:22:54] 推动汽车走路
[00:22:55] 那么人有什么能力
[00:22:56] 人能把馒头变成能量
[00:22:58] 汽车能把汽油变成能量
[00:23:01] 柴油汽车能把柴油变成能量
[00:23:03] 你买了个柴油汽车
[00:23:04] 你往里边加汽油
[00:23:05] 你点不着
[00:23:06] 要没有这个GTP没的活性
[00:23:10] 这个鸡蛋白给你个GTP也白吃
[00:23:13] 就像扔给两瓶汽油汽油喝完
[00:23:15] 除了喝得你肚子疼
[00:23:17] 能喝的中毒
[00:23:18] 你并不能喝了保暖水
[00:23:19] 今天中午不吃饭了
[00:23:20] 哥们咱一人买两瓶汽油喝
[00:23:21] 95号的
[00:23:22] 那不可能
[00:23:23] 所以一定要体会
[00:23:24] GTP没的活性
[00:23:26] 这个词是有意义的
[00:23:28] 只有这个鸡蛋白才能把GTP能拿出来
[00:23:31] 你给个ATP没用
[00:23:32] 别的细胞拿ATP就好使了
[00:23:34] 这要听懂
[00:23:35] 那么这要把能量拿到以后
[00:23:36] 它把能量释放出来
[00:23:38] 获得能量
[00:23:39] 您看底下
[00:23:40] 这看见了
[00:23:41] 在原来没有能量的时候
[00:23:43] 哥儿三
[00:23:44] 阿尔法贝塔哈干嘛
[00:23:45] 老大老二和老三
[00:23:46] 抱团去呢
[00:23:47] 一旦阿尔法亚单位拿到能量之后
[00:23:50] 能量大了
[00:23:51] 三人一伙去乞讨
[00:23:52] 有人一要
[00:23:53] 别人说给你200美元花花
[00:23:54] 给你3000欧元吧
[00:23:55] 有钱了
[00:23:56] 哥们去理个法洗个澡
[00:23:57] 吃顿烧烤
[00:23:58] 走了
[00:23:59] 露瓶啤酒
[00:24:00] 露个窗
[00:24:02] 够富贵了
[00:24:04] 互相望
[00:24:05] 有钱之后
[00:24:06] 哥儿三就分家了
[00:24:08] 贝塔哈干嘛
[00:24:09] 俩穷哥们还在一块抱着一块
[00:24:10] 哥们给点吃的吧
[00:24:11] 阿尔法说我有钱了
[00:24:12] 我洗澡去了
[00:24:13] 上哪了
[00:24:14] 走了
[00:24:15] 打开了没有
[00:24:16] 打开了啊
[00:24:17] 恒星下
[00:24:18] 开
[00:24:19] 能量消耗完
[00:24:20] 怂了吧
[00:24:21] 哥们咱们还是做活吧
[00:24:22] 又回来了
[00:24:23] 你发现了没有
[00:24:24] 在受体和配体结合的时候
[00:24:27] 刺激鸡蛋白
[00:24:28] 也激活激活
[00:24:29] 它拿了磷酸键GTP
[00:24:31] 磷酸键有了以后
[00:24:33] 卡分开了
[00:24:34] 分开完
[00:24:35] 磷酸键消耗完了
[00:24:36] 月光组消耗完了
[00:24:37] 没能耐了
[00:24:38] 哭着又回家了
[00:24:39] 又合起来了
[00:24:40] 体会一下
[00:24:41] 鸡蛋白结合GTP的时候A图
[00:24:45] 那么哥儿三是一团是合起来的
[00:24:48] 结合GTP的时候又能耐了
[00:24:51] 就分开了
[00:24:52] 开
[00:24:53] 关
[00:24:54] 开
[00:24:55] 关
[00:24:56] 打开的时候
[00:24:58] 表明信号在往下传
[00:25:00] 就表明细胞膜外面
[00:25:02] 被它一受体
[00:25:03] 和去甲胜肠腺素在结合
[00:25:06] 所以你发现了
[00:25:07] 这两种状态
[00:25:08] 接合配体的时候
[00:25:09] 受体是激活的
[00:25:10] 不结合配体的时候
[00:25:11] 受体就不激活
[00:25:13] 找这个东西还有鸡蛋白消耗呢
[00:25:17] 这么麻烦干嘛
[00:25:18] 嘿
[00:25:19] 慢慢学完就明白了
[00:25:21] 去甲胜肠腺素
[00:25:23] 响而心脏兴奋
[00:25:25] 比如说咱们想去别人家串门
[00:25:27] 拜访一下
[00:25:28] 人家家门口
[00:25:29] 我们给两头大藏鳌
[00:25:31] 藏鳌老师我不怕
[00:25:32] 两头东北虎
[00:25:33] 咬不死你
[00:25:34] 你还怕
[00:25:35] 这个去甲胜
[00:25:37] 乙铅胆铁
[00:25:38] 属于生化学上会学生理学会讲
[00:25:41] 精给的水溶性物质
[00:25:43] 第一阶咱们学了
[00:25:44] 细胞膜有双层一质结构
[00:25:45] 水溶性的信息载体
[00:25:47] 没法进到膜内去表达信息
[00:25:50] 那哥们兴奋一下
[00:25:51] 他进不去
[00:25:52] 但是他又详细那兴奋
[00:25:54] 他只能在膜上找个代理
[00:25:56] 为什么找个黑中介
[00:25:57] 买房的找不着卖房的
[00:26:00] 卖房的找不着买房的
[00:26:01] 有人转门在网上挂个信息
[00:26:03] 黑中介呗
[00:26:05] 水溶性的信息载体
[00:26:08] 不能自由穿过信息
[00:26:10] 就需要在膜内另外找个代理
[00:26:13] 找个代言人帮我
[00:26:15] 给黄军捎个话
[00:26:17] 那个消贫一帮
[00:26:19] 所以在膜外传递信息的
[00:26:23] 叫第一信号分子
[00:26:25] 在膜内传递信息的载体
[00:26:27] 就叫第二信号分子
[00:26:30] 鸡蛋白他并不传信号
[00:26:32] 他说哥们有人给你捎话
[00:26:34] 你过来看他跟你说什么
[00:26:36] 说他是黑中介
[00:26:37] 中介完了以后往下走
[00:26:39] 谁才能是必要性使
[00:26:41] 结果你发现
[00:26:42] 鸡蛋白通过激活他自己的效应器酶
[00:26:45] 刚才说AC
[00:26:48] 线干造化酶
[00:26:49] 实际上我们细胞内部还有什么呀
[00:26:51] 不同细胞里边
[00:26:52] 还有PLC
[00:26:53] 另外还有一个重要的酶叫
[00:26:55] 磷酸二脂酶PDE
[00:26:57] 这个是干嘛
[00:26:58] 负责降解第二脂酶
[00:26:59] 哥们差不多得了
[00:27:00] 快快快
[00:27:01] 回吧回吧
[00:27:02] 看看就行了
[00:27:03] 类似于这样
[00:27:04] 所以两个合成的酶
[00:27:06] 一个降解的酶
[00:27:07] 这个内容将来在生化里面会详细阐述
[00:27:10] 咱们就不啰嗦了
[00:27:11] 咱们接着往下看生理学关系的事情
[00:27:13] Secondary
[00:27:14] 这是Semitary
[00:27:16] Secondary
[00:27:17] Message
[00:27:18] 第二性使
[00:27:19] 就细胞内部那个小性使
[00:27:21] 说话外面有人给你送信啊
[00:27:23] 哥们你过来取一下
[00:27:24] 谁说这个话的
[00:27:25] 鸡蛋白
[00:27:26] 黑中介白
[00:27:27] 那为什么就不让人外面把性拿进来送进去
[00:27:30] 顺丰小哥为啥不
[00:27:31] 你新冠疫情期间
[00:27:33] 学校大门是封闭的
[00:27:35] 所以顺丰小哥进不来
[00:27:36] 美团小哥进不来
[00:27:37] 学生也出不去
[00:27:39] 你只能有人帮你说
[00:27:40] 说话
[00:27:41] 师傅你这个老师这个门口有人给我送盒饭
[00:27:43] 您帮我取一下
[00:27:45] 哎
[00:27:46] 细胞内部在校园里边帮你取包裹
[00:27:49] 取的还是万万都同一个包裹
[00:27:51] 所以顺丰小哥只负责
[00:27:53] 从他这个顺丰这个总部
[00:27:55] 骑个电动车
[00:27:56] 光当光当光当到你学校门口
[00:27:57] 门口里边有授体保安
[00:27:59] 啊保安叔叔
[00:28:00] 里边有个孩子有个快递啊
[00:28:01] 首先我打电话叫他
[00:28:02] 老师你能不能不让我去大门口封闭了
[00:28:05] 西部人过来
[00:28:07] 顺丰快快把包裹给我
[00:28:09] 你看顺丰负责顺丰
[00:28:11] 送校园外面这一段
[00:28:13] 辅导员顺
[00:28:16] 负责
[00:28:17] 辅导员老师负责
[00:28:18] 从学校大门口门房那取上
[00:28:20] 授体在哪上
[00:28:21] 光当光当走到教室门口
[00:28:22] 还过来给你包裹
[00:28:23] 快吃吧吃吧饭热着啊快
[00:28:25] 你发现了没有
[00:28:26] 西部人这会儿
[00:28:28] 就担着这个顺丰小哥的接力赛
[00:28:30] 帮你把包裹从校园里边大门口取上
[00:28:33] 送到教室门口
[00:28:34] 你拿上光当光当吃的
[00:28:36] 这段时间里边
[00:28:37] 辅导员也是个送快递的
[00:28:40] 帮你送了一下
[00:28:41] 好
[00:28:42] 所以顺丰小哥是第一性识
[00:28:44] 辅导员老师临时客串一下
[00:28:46] 第二性识
[00:28:48] 第二性识
[00:28:50] 因为顺丰小哥进不来
[00:28:52] 那么这个地方怎么进不来
[00:28:54] 因为哥们是水溶性的
[00:28:56] 脂溶性就没这事了
[00:28:57] 脂溶性的信息载体
[00:28:59] 直接进膜内
[00:29:00] 内蜂蜜干膜血
[00:29:01] 基因表达血术
[00:29:04] 水溶性的信息物质才需要
[00:29:08] 第二性识血术
[00:29:10] 因为它进不来
[00:29:11] 那么在我们人体的细胞膜上
[00:29:13] 这么多受体
[00:29:14] 这么多血液
[00:29:15] 这么多类型
[00:29:16] 有哪些常见的第二性识
[00:29:18] 咱先往下读
[00:29:19] 刚才讲了半天
[00:29:20] 第一性识
[00:29:21] 知道就是膜外那些信息分子
[00:29:23] 激素
[00:29:24] 地质
[00:29:25] 细胞因子
[00:29:26] 都能细胞外信号
[00:29:27] 那么因为第一性识进不来
[00:29:30] 它是水溶性的
[00:29:31] 膜打着不让进来
[00:29:32] 只好在细胞内部
[00:29:33] 再找个待业人
[00:29:34] 找你系统客串
[00:29:35] 班长
[00:29:36] 班长出去之后
[00:29:37] 上次给我把顺丰的包裹拿进来
[00:29:39] 里边好吃的
[00:29:40] 给你分一包
[00:29:41] 傻子瓜子一人一包
[00:29:42] 咱俩都傻子
[00:29:43] 类似于这
[00:29:44] 所以需要找个代言人
[00:29:46] 细胞内部传递信息的化学物质
[00:29:50] 就叫第二性识
[00:29:51] 对了
[00:29:52] 这著名的第二性识学说
[00:29:54] 在人体细胞里包括着
[00:29:56] 华能酸解钙
[00:29:57] 刚才口头叙述过CMP
[00:29:59] 慢慢就熟悉这个词了
[00:30:00] 虽然还有CGMP
[00:30:02] 华能酸钥钢
[00:30:03] 这些就能看到
[00:30:04] 另外还有两个著名的
[00:30:05] 一个叫三磷酸基醇
[00:30:07] IP3
[00:30:08] 一个叫二鲜甘油
[00:30:09] DG
[00:30:10] 所以有些时候生化学上喜欢叫基醇三磷酸
[00:30:14] 这些人
[00:30:15] 这倒无所谓
[00:30:16] 反正你知道是IP3就完了
[00:30:17] 这不同学科呀
[00:30:18] 对同一个化学物的
[00:30:19] 经常名字不太一样
[00:30:20] 有人说老师
[00:30:21] 这个葡萄糖
[00:30:22] 为啥就叫碳水化合物
[00:30:24] 它就叫碳和水吧
[00:30:26] 而且这个意思
[00:30:27] 这个命名不一样
[00:30:28] 嗯
[00:30:29] 闲不啰嗦了
[00:30:30] 这儿一定要注意
[00:30:31] 我们在这儿有一个责任和义务
[00:30:33] 就是一定要熟悉和掌握
[00:30:35] 人体细胞膜内
[00:30:36] 常见的第二性识物
[00:30:38] 只有那些
[00:30:39] 所以教材这儿是这个意思
[00:30:41] 包括很多
[00:30:42] 甚至包括一氧化碳
[00:30:43] 一氧化氮
[00:30:44] 是什么
[00:30:45] 甚至包括钙离子
[00:30:46] 其实第二性识挺多
[00:30:48] 但总体上讲呀
[00:30:50] 在人体的细胞膜上
[00:30:51] 在生理学角度看过去
[00:30:53] 我们的第二性识
[00:30:54] 主要有两条线索
[00:30:55] 一条是环铃酸线杆
[00:30:57] 从哪来的
[00:30:58] 是血肝酸化化内AC催化而来的
[00:31:02] 一条呀
[00:31:03] 是IP3和DG
[00:31:04] 这哪来的
[00:31:05] 是PLC
[00:31:06] 零是AC
[00:31:08] 人体细胞膜内
[00:31:09] 经典的两条第二性识的路径
[00:31:14] AC途径
[00:31:15] PLC途径
[00:31:16] 哪怕这句话听完之后根本没有被回忌的
[00:31:18] 到大四大五的时候反过来重新听
[00:31:21] 背下来
[00:31:22] 到内蜂蜜会专门学一个内容
[00:31:24] 这儿我先不啰嗦了
[00:31:25] 有一些第一性识不讲究
[00:31:28] 通过脊带白物的射体到细胞内部
[00:31:30] 脊带白物的射体到细胞内部以后
[00:31:32] 既激活AC途径
[00:31:34] 也激活PLC
[00:31:36] 适合这个去甲胜就是考研究
[00:31:38] 你要这会儿感兴趣的话
[00:31:39] 你不妨把课停下来
[00:31:41] 打开咱们生理学的内蜂蜜那一章
[00:31:43] 看看
[00:31:44] 激素的作用机制中你翻一下
[00:31:46] RX蜂胺类的
[00:31:48] 血管加速
[00:31:50] VP类的
[00:31:51] 还包括血管紧张素
[00:31:53] 这个系列
[00:31:54] 这几种激素
[00:31:55] 在细胞内部
[00:31:56] 既能通过AC
[00:31:58] 激活细胞内部产生CMP第二性识
[00:32:00] 又能激活PLC
[00:32:02] 让细胞内部产生IPCV和DG
[00:32:05] 这样一组第二性识
[00:32:07] 所以这儿想给同学们听一句
[00:32:09] 认真
[00:32:10] 静下来听一句话
[00:32:11] 细胞外的信息
[00:32:14] 载体
[00:32:15] 性是分子
[00:32:16] B性是千千万
[00:32:18] 但细胞内部的第二性识
[00:32:20] 就两条路
[00:32:22] AC
[00:32:23] PLC
[00:32:25] 我这必然讲课就突然想起来
[00:32:27] 吴京先生拍那个电影叫《流浪地球》吧
[00:32:29] 道路千万条
[00:32:32] 安全第一条
[00:32:34] 长平区交安慰
[00:32:36] 来提醒
[00:32:37] 道路千万条
[00:32:39] 性集千万个
[00:32:41] 性识途径就两条
[00:32:43] AC
[00:32:44] PLC
[00:32:45] 嗯
[00:32:46] 一个人在这地方闭着眼啊
[00:32:48] 讲课不小心脑子里就会客串出来各种各样情景
[00:32:52] 有时候大老师也挺幸福的
[00:32:54] 下面咱们这张课就底下这儿就在谈什么呀
[00:32:57] 几种主要的信号转导途径
[00:33:00] 你看刚才第一个就是咱们刚才说
[00:33:02] 数集蛋白AC途径AC
[00:33:04] 将来细胞内部生成第二性是CMP
[00:33:07] CAMP
[00:33:08] 就它有这么一个详细的描述过程
[00:33:14] 以心基细胞为例
[00:33:16] 说心基细胞的
[00:33:18] 以它为例
[00:33:19] 被它意识地和去碱层结合以后
[00:33:21] 通过GS蛋白去激活
[00:33:24] 细胞内部的AC
[00:33:25] 你看这个小整合蛋白质AC在这儿长着
[00:33:27] 激活之后呀
[00:33:28] 就把细胞内部的ATPC
[00:33:30] 三氧化碳线杆
[00:33:31] 给它环化成CMP
[00:33:33] CMP刚才看了个词
[00:33:34] PDE
[00:33:35] 二磷酸二脂酶
[00:33:36] 它就能把这个第二性是降解掉
[00:33:38] 所以作用完之后就降解
[00:33:40] 你别合成好
[00:33:41] 还没作用你给它降解了
[00:33:42] 一般都是作用完成以后
[00:33:44] 第二步再降解它
[00:33:46] 所以这CMP就叫第二性是
[00:33:48] 它和细胞内的气甲胜
[00:33:50] 携带同一种信息
[00:33:52] 设法让心脏细胞活动加强
[00:33:54] 心率加快
[00:33:56] 创造加速
[00:33:57] 收缩率增大
[00:33:58] 它类似于这样
[00:33:59] 那么第二性是干嘛去了
[00:34:01] 就是激活内部细胞内部的一个
[00:34:04] 蛋白基酶叫PKA
[00:34:06] 为什么叫PKA
[00:34:07] A就是AC依赖的
[00:34:10] 蛋白基酶
[00:34:12] 咱们在学生化你知道
[00:34:13] 蛋白基酶的作用一般能干嘛
[00:34:15] 我们知道
[00:34:16] 能让它相应的底物蛋白质
[00:34:18] 发生连算化
[00:34:19] 在心脊细胞膜内
[00:34:20] PKA的作用底物是谁
[00:34:22] 是细胞膜上
[00:34:23] 盖通到那个蛋白质
[00:34:25] 它把这个蛋白质连算化了
[00:34:27] 这连算化不要紧
[00:34:28] 那么心脊细胞膜上
[00:34:29] 盖通的数量
[00:34:31] 以及盖通到开放的水平
[00:34:33] 就增大了
[00:34:35] 在第二节看不见
[00:34:36] 你们细胞这章肯定学晚了
[00:34:38] 我在这儿就暂停了
[00:34:39] 同学们体会一下
[00:34:41] 心脊细胞和骨骼脊细胞
[00:34:43] 在细胞这章的第四节
[00:34:45] 肌细胞收缩
[00:34:46] 它的机制一样不
[00:34:48] 不一样
[00:34:49] 骨骼脊细胞是变构效应
[00:34:51] 心脊细胞是CICR
[00:34:54] 叫盖诱导的
[00:34:56] 盖释放机制
[00:34:57] 兴奋
[00:34:58] 收缩的
[00:34:59] 偶连
[00:35:00] 这章如果第四节
[00:35:02] 你在学校里边课听完之后
[00:35:04] 应该有个印象
[00:35:05] 把心脏放在无盖的液体环境中
[00:35:08] 心脊细胞是不会收缩的
[00:35:10] 但你刺激它
[00:35:11] 它依然会产生动力内内
[00:35:13] 会产生电流
[00:35:14] 会产生电流
[00:35:15] 而不会发生激思滑行
[00:35:17] 生理学专业把它称之为
[00:35:19] 兴奋和收缩之间的脱偶连
[00:35:24] 如果做过学生实验
[00:35:26] 我讲别的可以
[00:35:27] 这个同学们讲
[00:35:28] 你慢慢做这个
[00:35:29] 离体挖心灌溜实验
[00:35:30] 你发现
[00:35:31] 你给心脏加一个高盖容颜
[00:35:32] 它停泊了
[00:35:33] 加个低盖容颜
[00:35:34] 它也停泊了
[00:35:35] 这个内容这是第二节
[00:35:36] 我先不啰嗦
[00:35:37] 第二节这个内容
[00:35:38] 在哪里能读明白的
[00:35:40] 在学班第四节返回来
[00:35:42] 心脊细胞的收缩
[00:35:44] 依赖膜外的盖
[00:35:45] 膜外的盖
[00:35:46] 换句话说
[00:35:47] 在心脊细胞兴奋动作连累的时候
[00:35:49] 膜外的盖内流越多
[00:35:51] 激发这个CICR
[00:35:53] 叫Calcium Induced Calcium Release
[00:35:56] 盖又到盖释放
[00:35:58] 膜外盖内流越多
[00:35:59] 细胞内部的二联管
[00:36:00] 继续往释放盖具越多
[00:36:02] 心脊细胞的收缩率就越大
[00:36:04] 我们这讲了半天
[00:36:05] 我再讲什么
[00:36:06] 在讲交感神经兴奋的时候
[00:36:08] 释放曲甲胜
[00:36:09] 如何让心脏活动加强的
[00:36:11] 问
[00:36:12] 亲
[00:36:13] 你看见了没有
[00:36:14] 看见了
[00:36:15] 曲甲胜结合心脊细胞
[00:36:16] 和β1受体
[00:36:17] β1激活GS蛋白
[00:36:18] GS蛋白激活细胞膜上的AC
[00:36:20] AC让细胞内部产生点CMP
[00:36:23] 发现了没有
[00:36:24] β1受体和曲甲胜结合以后
[00:36:26] 是让心脊细胞内部产生了生化反应
[00:36:29] 把ATP环化成了CMP
[00:36:33] 是不是一个代谢反应
[00:36:34] 那么加了CMP
[00:36:35] 再被PDE降低掉
[00:36:36] 是不是一个分解反应
[00:36:37] 所以GW的受体
[00:36:38] 还叫做促代谢性受体
[00:36:41] 听懂没有
[00:36:42] 这个受体和PDE结合
[00:36:44] 细胞内部拨解
[00:36:45] 开始合成分解
[00:36:46] 开始分解合成
[00:36:47] 是干这个事
[00:36:48] 那不用问
[00:36:49] 通道欧联受体干嘛
[00:36:51] 细胞这一块儿写完
[00:36:53] 通道欧联受体
[00:36:54] 是和一个配体结合之后
[00:36:56] 膜上啪
[00:36:57] 开放一个小通道
[00:36:59] 对不对
[00:37:00] 所以那个就叫
[00:37:01] 通道欧联受体
[00:37:03] 叫促离子性
[00:37:04] 离子流动
[00:37:05] 咱们这个G蛋白
[00:37:07] 就叫促代谢性
[00:37:09] 因为长的是七次胯膜
[00:37:10] 还叫七胯膜
[00:37:12] 那么胯完膜之后
[00:37:14] 以曲甲胜合心脊细胞为例
[00:37:15] 那么
[00:37:16] CMC就激活PKA
[00:37:18] PKA就把心脊细胞膜
[00:37:20] 盖通道给磷酸化了
[00:37:21] 这一磷酸化
[00:37:22] 通道把它打开了
[00:37:23] 打开
[00:37:24] 在这儿
[00:37:25] 你打开教材
[00:37:26] 第四节细胞质量体试
[00:37:27] 读一下
[00:37:28] 心脊细胞性不出所欧联的
[00:37:29] CICRO
[00:37:31] 膜外钙内瘤越多
[00:37:32] 膜内激发释放的
[00:37:34] 机制膜释放的钙也越多
[00:37:36] 释放钙越多
[00:37:37] 促起激丝
[00:37:38] 接触胃点
[00:37:39] G蛋白
[00:37:40] 胃点越多
[00:37:41] 肌肉输出力量就越大
[00:37:43] 曲甲肾上腺素
[00:37:44] 就是一这么啰嗦的一个过程顺序
[00:37:48] 让心脏的收缩力加强了它
[00:37:51] 胶感神经释放曲甲肾
[00:37:53] 心脏收缩卡就加强了
[00:37:55] 因为心脊细胞里面多了一组CAMP
[00:37:58] 通过PKA激活了
[00:38:00] 细胞膜上的钙通道
[00:38:02] 从胶感神经兴奋释放曲甲肾
[00:38:05] 到心脊细胞膜钙通道打开
[00:38:07] 这么多环节
[00:38:08] 就是咱们这一节的皮胶
[00:38:10] 胶感神经和心脊细胞之间的
[00:38:13] 跨膜
[00:38:14] 信号的转动
[00:38:16] 要有鸡蛋白
[00:38:17] 要有AC
[00:38:18] 要有CAMP
[00:38:19] 要有PKA
[00:38:20] 要有作用的结果
[00:38:22] 那个把组织把蛋白
[00:38:24] 就是
[00:38:25] 钙通道
[00:38:26] 蛋白制度
[00:38:28] 这就是鸡蛋白的一个
[00:38:31] 信号转动的详细过程
[00:38:33] 心脏收缩完了
[00:38:35] 加强了
[00:38:36] CAMP没有用了
[00:38:37] 就被PDE
[00:38:38] 拉到回收单位
[00:38:40] 砍掉
[00:38:41] 变成无品AMP了
[00:38:43] 零算二整位
[00:38:44] 所以在手上
[00:38:45] 所以在手上
[00:38:46] 我来看一下
[00:38:47] 刚才说
[00:38:48] 细胞外的信号千千万
[00:38:49] 细胞内部途径就两条
[00:38:51] 这一条是咱们说的AC途径
[00:38:53] 还一条
[00:38:54] 就是刚才说的PLC
[00:38:56] 0.1C途径
[00:38:57] 心脊细胞膜上
[00:38:59] 在去胭生和胶感神经
[00:39:01] 去胭生释放出来
[00:39:02] 和β一素体结合以后
[00:39:04] 不但能够激活AC那条途径
[00:39:06] 也能激活PLC途径
[00:39:10] 这是通过另一个亚绪诺的鸡蛋白
[00:39:12] 叫GKRON
[00:39:13] 它和细胞膜和PLC结合之后
[00:39:15] 就把PIP2
[00:39:17] 叫二磷酸
[00:39:18] 零脂鲜基醇
[00:39:20] 二磷酸两个磷酸
[00:39:22] 零脂鲜基醇
[00:39:24] 把它在PLC的作用下
[00:39:27] 分解成另外两个物质
[00:39:29] 一个叫DG
[00:39:30] 二线钙油
[00:39:31] 一个叫IP3
[00:39:32] 酸碳基醇
[00:39:33] 酸碳基醇
[00:39:34] 就能激活咱们心脊细胞里面
[00:39:36] 内脂网 气脂网呀
[00:39:37] 给它释放
[00:39:39] 这样来产生生理效应
[00:39:42] 另外DG
[00:39:43] 就可以通过作用于PKC
[00:39:45] PKC
[00:39:46] 上一个途径
[00:39:47] 你还在这激活的谁
[00:39:49] PKA
[00:39:50] 下面这个途径
[00:39:51] 为什么叫PKC
[00:39:52] 是PLC依赖的代白剂
[00:39:56] 它也相应让心脊绑毛代白质发生磷酸化
[00:39:59] 产生相应生理作用
[00:40:01] 生理效应
[00:40:02] 这两条途径
[00:40:04] 在细胞这一章提了一下名字
[00:40:06] 哪个地方会讲的稍微细一点
[00:40:08] 在每封密那一章
[00:40:09] 所以这几年大老师给同学们说呀
[00:40:11] 好读书不求圣洁
[00:40:13] 你把这本书读完之后
[00:40:15] 你至少是读完这一本书
[00:40:17] 好多课反回来听
[00:40:19] 就听明白了
[00:40:20] 说现在老师你讲微博
[00:40:21] 你在说什么
[00:40:22] 为什么
[00:40:23] 因为你信息的储备太少
[00:40:27] 所以我就讲个喜欢说这句话
[00:40:29] 您这个杨将老先生一句话叫做
[00:40:31] 我们总是读的太少
[00:40:33] 想他们还太多
[00:40:34] 往下背
[00:40:35] 实际上是个很好的办法
[00:40:37] 嗯
[00:40:38] 那么这样咱们拿了一个篇幅呀
[00:40:40] 给同学们专门阐述了一下
[00:40:42] 膜表面的第一大类受体
[00:40:44] G代白欧联
[00:40:45] G代白欧联的体会一下
[00:40:47] G代白中叫尿钙酸结合蛋白
[00:40:49] 它具有GTP酶的活性
[00:40:51] 有α,β,γ
[00:40:53] 这么三个亚单位
[00:40:55] 那么不同类型的G代白
[00:40:57] 区分差在哪里
[00:40:58] 差在α亚单位
[00:41:00] Gs代白
[00:41:01] Gi代白
[00:41:02] GQGT
[00:41:03] G12G0等等的它很多
[00:41:05] 所以把它称之为一个
[00:41:06] Super Family
[00:41:07] G代白的超大家族
[00:41:10] 一定要听懂它
[00:41:11] 信号转导的四个字
[00:41:13] 在说什么
[00:41:14] 就好大了
[00:41:15] 而不是几掌下背
[00:41:17] 所以这就说
[00:41:18] 我有时候给我学生说
[00:41:19] 年轻时候
[00:41:20] 也有年龄长的大哥们教你说
[00:41:22] 你不能只顾低头拉车
[00:41:24] 你还得学会抬头看道
[00:41:27] 你一味的背书是不行的
[00:41:29] 你要看看
[00:41:30] 为什么我要背它
[00:41:31] 它在说什么
[00:41:32] 一边琢磨一边背
[00:41:34] 所以说你只背书不思考
[00:41:36] 死定了
[00:41:37] 你只思考不背书
[00:41:39] 死定了
[00:41:40] 我那句话说
[00:41:41] 背书死定了
[00:41:42] 不背书死定了
