# 源音频：P02-生理学本科教学及考研基础课 p02 细胞1.m4a
# 时长：6441s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 好同学们,咱们接下来看生理学的本科教学这一块的内容,第二章,细胞的基本功能。
[00:21:42] 就是我们是要在临床看过去
[00:21:44] 体检的时候
[00:21:46] 学指的指标比现在别的指标偏高百分之十
[00:21:51] 反而比低百分之十更安全
[00:21:54] 一些
[00:21:55] 这个样子
[00:21:56] 那么我们不得不考虑一下
[00:21:57] 是不是学指的标准设置就不是那么理想
[00:22:02] 那么标准谁设置
[00:22:04] 为什么设置这么低
[00:22:06] 这是一个非常好玩的问题
[00:22:08] 大概有同学能听懂我的意思
[00:22:10] 我先不说了
[00:22:11] 我记得2019年初的时候
[00:22:13] 美国还给了一个新标准
[00:22:15] 说现在给的高血压的指标太高了
[00:22:17] 应该把高血压指标再放低十个毫米
[00:22:19] 我就开了个玩笑
[00:22:21] 又是把高血压的临床诊断标准再放低十个
[00:22:24] 比如说
[00:22:24] 从140毫米股的收缩压
[00:22:27] 放到130
[00:22:28] 那么人人都是高血压
[00:22:30] 人人都需要吃降压药
[00:22:31] 一猜这个指标对谁有好处
[00:22:34] 操
[00:22:35] 降压药的吧
[00:22:36] 你能听懂一点意思吗
[00:22:37] 也没有听懂就耽误讲故事
[00:22:39] 能听懂最好
[00:22:41] 把下饭啊
[00:22:42] 刚才讲细胞膜是一个液态向前模型
[00:22:45] 具有流动性
[00:22:46] 我们一般在教材会强调
[00:22:48] 细胞膜这个指制结构呀
[00:22:50] 是一种二维流体
[00:22:51] 二维就是一个平面的
[00:22:54] 什么叫二维
[00:22:55] 流体
[00:22:55] 你知道细胞膜是由内表和外表
[00:22:58] 两层
[00:22:59] 实际上流动起来以后
[00:23:00] 各流恶的
[00:23:01] 外层流外层
[00:23:02] 内层流
[00:23:03] 就像同学们我就说
[00:23:04] 像咱们搞一个这个集体的一个运动会
[00:23:06] 学校里边搞个秋季运动会
[00:23:08] 春季运动会
[00:23:09] 一个班级里边
[00:23:10] 男生拉着手
[00:23:11] 穿一身红色三颜草
[00:23:13] 女生拉着小手
[00:23:14] 穿一身白色的耐克
[00:23:15] 大家这个逆时针顺时针
[00:23:17] 跳个集体舞
[00:23:18] 广场舞了
[00:23:19] 大妈泪水滞
[00:23:20] 转来转去
[00:23:21] 男生拉着小手
[00:23:22] 在外圈管
[00:23:23] 女生拉着小手在内圈管
[00:23:24] 他这样集体舞
[00:23:25] 他这两层之间
[00:23:27] 很少发生交换
[00:23:29] 内层不管怎么转
[00:23:31] 还在内层
[00:23:32] 外层不管怎么流
[00:23:33] 还在外层
[00:23:34] 这样
[00:23:34] 细胞膜及液体相切模型
[00:23:37] 它具有的动性
[00:23:39] 流动性
[00:23:39] 那么后续
[00:23:40] 它对人体是极其重要的
[00:23:42] 那么这个细胞膜流动性好不好
[00:23:44] 有哪些因素影响
[00:23:46] 教材一般会专门强调一个
[00:23:48] 一个是
[00:23:49] 打鼓虫含量
[00:23:50] 所以刚才咱们谈的打鼓虫
[00:23:52] 说好多
[00:23:53] 成年人
[00:23:54] 中老年人
[00:23:55] 一体检发现打鼓虫高吓坏了
[00:23:57] 因为打鼓虫太高的话
[00:23:59] 影响膜的
[00:24:00] 变形能力流动性
[00:24:02] 第二个是脂肪酸
[00:24:04] 腔料的长度和不饱和度
[00:24:07] 这个内容不是大学学的
[00:24:09] 这个内容在中学就学过
[00:24:10] 我们知道
[00:24:11] 这植物酸和植物
[00:24:13] 油脂和动物油脂
[00:24:16] 吃猪肉
[00:24:17] 猪油肥肉
[00:24:19] 还是吃这个大豆油
[00:24:20] 花生油这些东西
[00:24:21] 植物的脂肪
[00:24:24] 更多是
[00:24:26] 腔料比较短的
[00:24:28] 不饱和脂肪酸
[00:24:29] 动物的油脂更多是饱和脂肪酸
[00:24:32] 所以一直有个说法说
[00:24:33] 动物的饱和的脂肪酸
[00:24:36] 大概对细胞膜的变形能力
[00:24:39] 是有影响的
[00:24:40] 不是说吃牛多不好
[00:24:43] 吃动物油脂太多不好
[00:24:44] 你注意啊
[00:24:45] 现代科学咱们有很多假说和说法
[00:24:48] 我就老开玩笑说
[00:24:50] 在我印象中的文化
[00:24:51] 因为我也常到南方去讲课
[00:24:53] 实际上在传统的
[00:24:55] 以上今天为止南方还有好多
[00:24:57] 好多人这样
[00:24:57] 是喜欢你不是湖南
[00:24:59] 因为喜欢来一碗米饭
[00:25:00] 南方就来一碗饭
[00:25:02] 北方因为吃面条
[00:25:03] 所以北方说来碗饭吧
[00:25:05] 吃饭不
[00:25:06] 就说了一般说的吃面食
[00:25:07] 南方的话几乎只吃大米
[00:25:10] 所以来碗饭就吃米饭
[00:25:11] 米饭正好中午没有菜
[00:25:13] 往里边倒点酱油
[00:25:15] 放点猪油一半就吃了
[00:25:17] 猪猪背背就这样吃
[00:25:18] 你也没见到南方的孩子
[00:25:20] 就没有北方孩子从里
[00:25:21] 对不对
[00:25:22] 实际上有时候在地理文化上看
[00:25:25] 南方的孩子反而更聪明
[00:25:27] 所以你说南方
[00:25:27] 你说湖南人你都高学制吗
[00:25:29] 你也不见得
[00:25:30] 我山西人民谁有少
[00:25:31] 也不见得你高学制他就少呀
[00:25:33] 所以这样的话看起来呀
[00:25:35] 很多所谓的科学的结论
[00:25:37] 你要注意
[00:25:38] 我记得我读研读博的时候
[00:25:40] 统计学老师就一直在讲
[00:25:41] 我们所接触的所谓的科学
[00:25:44] 它不是某一个事实
[00:25:46] 是对我们观察到的现象
[00:25:49] 一个数理统计的结果
[00:25:51] 我们更多时候谈的
[00:25:53] 所谓的scientific
[00:25:54] 一个科学
[00:25:55] science一个科学
[00:25:56] 其实不是一个事实
[00:25:58] 是一组数据
[00:26:01] 人类就是
[00:26:01] 人类就喜欢拿数据说话
[00:26:03] 人家说了
[00:26:03] 吃这个高油脂的
[00:26:05] 95%的人就会高血脂
[00:26:06] 人家说我不吃的人
[00:26:08] 就没有高血脂
[00:26:08] 你看说明是有用的
[00:26:10] 我们不能吃动物油
[00:26:11] 我们要吃瘦肉
[00:26:12] 所以这些年
[00:26:14] 作为一个医学老师
[00:26:15] 我总讲一句话
[00:26:16] 你开口闭口给人扯科学
[00:26:18] 你有意思吗
[00:26:19] 你说的科学是他哪个科学
[00:26:21] 我们不是反科学啊
[00:26:23] 我们真正进行了做科学了
[00:26:25] 我们是
[00:26:25] 是不是能够把那一组数据
[00:26:27] 再还原成事实
[00:26:29] 用事实说话
[00:26:32] 毛主席说
[00:26:33] 实事求是
[00:26:35] 要知道一件事物好不好
[00:26:38] 一只李子好吃不好吃
[00:26:40] 你要亲口尝一尝
[00:26:42] 你不要总是拿一个东西过来
[00:26:44] 大棒子
[00:26:44] 科学大棒吓唬人
[00:26:46] 这个意思
[00:26:47] 这个地方讲的啰嗦
[00:26:48] 我们听一下
[00:26:49] 答案的时候
[00:26:50] 我们还有足够的时间和精力
[00:26:52] 来研究点废话
[00:26:53] 第三个就是摩代贝茨
[00:26:56] 摩代贝茨
[00:26:56] 含量
[00:26:57] 所以世界上像刚才咱们看红细胞膜
[00:27:00] 那个代贝质含量
[00:27:01] 百分之四十左右
[00:27:02] 教程上会给你声明
[00:27:04] 一个细胞膜的代贝质的含量
[00:27:06] 大约它分布是在细胞膜重量的
[00:27:09] 百分之二十到四十
[00:27:10] 二十到四十
[00:27:11] 这个样子
[00:27:12] 所以根据集体细胞膜的功能需要
[00:27:14] 细胞膜和代贝质的含量
[00:27:16] 可以增多
[00:27:17] 也可以减少
[00:27:18] 我们把细胞膜和代贝质的含量增加
[00:27:21] 叫代贝质的上调
[00:27:23] 含量减少
[00:27:24] 叫下调
[00:27:26] 所以这本书
[00:27:27] 你往后读就发现
[00:27:28] 细胞膜上很多代贝质
[00:27:30] 是可以很快速发生上调下调的
[00:27:33] 为什么呀
[00:27:33] 因为细胞内部有一些代贝质已经合成好了
[00:27:36] 只是在细胞膜需要使用的时候
[00:27:38] 它把代贝质从膜里边拿出来
[00:27:40] 从袍甲里边拿出来
[00:27:42] 组装就像拧螺丝一样
[00:27:44] 拧到细胞膜上
[00:27:45] 拿来用
[00:27:46] 用完之后再回去
[00:27:48] 再回去
[00:27:50] 组装
[00:27:51] 再拿回去
[00:27:52] 这么一个过程
[00:27:53] 你打比方说
[00:27:55] 你学到圣藏生理学就发现
[00:27:57] 圣藏生理学
[00:27:58] 在人体有了抗力鸟激素
[00:28:01] 这个激素的时候
[00:28:02] 这个肌海管上皮细胞里边
[00:28:05] 这个二型水通道
[00:28:06] 通道是个代贝质
[00:28:07] 它就相切到细胞膜表面
[00:28:09] 开始引导水的流动
[00:28:11] 如果现在没有ADH
[00:28:14] 没有抗力鸟激素了
[00:28:15] 这个代贝质就内化了
[00:28:17] 就回到细胞
[00:28:18] 它不是分解掉了
[00:28:19] 它在细胞里边藏着
[00:28:20] 需要的时候钻出来
[00:28:22] 养兵千日
[00:28:23] 用兵一时
[00:28:25] 而且再往下学这个代贝质上调
[00:28:27] 再有时候
[00:28:28] 把细胞内部应有的蛋白质
[00:28:30] 阻光在细胞膜上
[00:28:31] 代贝质数量还不够
[00:28:32] 不够赶快动员细胞
[00:28:33] 造新的蛋白质
[00:28:35] 所以这个代贝质的上调有两种
[00:28:37] 一种快速上调
[00:28:39] 把细胞内部合成好的蛋白质
[00:28:40] 临时阻光在细胞膜上用
[00:28:42] 不够不够
[00:28:43] 赶快造
[00:28:43] 第二天造出来新的
[00:28:44] 再往上装
[00:28:45] 是这样
[00:28:46] 快速和慢速的上调
[00:28:49] 你才发现细胞膜结构这么复杂
[00:28:52] 细胞膜结构比你想的还复杂
[00:28:55] 它就像一样大机器
[00:28:57] 像一个工厂
[00:28:58] 你就能想象出来
[00:28:59] 这每一个细胞内部
[00:29:01] 巴拉巴拉忙的
[00:29:02] 你看你学生物化学
[00:29:03] 这个RNA DNA
[00:29:04] 是吧
[00:29:05] 这个解螺旋
[00:29:06] 一秒钟几千次的挣打
[00:29:08] 那个DNA合成
[00:29:10] 这样的速度里
[00:29:12] 把高速流程过程中
[00:29:13] 一旦有一个地方合成了
[00:29:14] 我怕出了一个突变
[00:29:16] 矮了吧
[00:29:17] 所以你想这个人的生命
[00:29:19] 得多精密
[00:29:20] 精密到不可思议的地步
[00:29:23] 所以我讲了一堂课
[00:29:24] 你听我逼道道说点废话
[00:29:26] 讲了一堂课
[00:29:26] 听一堂课
[00:29:27] 你听我逼道道说点废话
[00:29:27] 你看我细胞内部的
[00:29:28] 这个人体的组织内部的细胞
[00:29:30] 已经代谢了多少次了
[00:29:31] 巴拉巴拉的代谢
[00:29:32] 这里边还没有一次能出错
[00:29:35] 出错一次
[00:29:36] 就突变
[00:29:37] 突变
[00:29:37] 就挨变
[00:29:38] 所以说想
[00:29:42] 生命的存在
[00:29:43] 得多么神奇
[00:29:45] so surprised
[00:29:46] 吓死宝宝了
[00:29:48] 就这意思
[00:29:49] 不管它了
[00:29:51] 膜蛋白质
[00:29:52] 像咱们刚才强调一样
[00:29:54] 上面有表面蛋白
[00:29:55] 是吧
[00:29:55] 主要是细胞
[00:29:56] 那表面
[00:29:57] 整合蛋白
[00:29:58] 整合蛋白
[00:29:59] 还有所谓的
[00:30:00] 数数片段
[00:30:01] 我数数蛋白质
[00:30:02] 它这样上
[00:30:02] 有几段数数片段
[00:30:03] 说明这蛋白质
[00:30:04] 就贯穿细胞膜几次
[00:30:06] 它的特点
[00:30:07] 整合蛋白
[00:30:08] 就是太量
[00:30:09] 一次以上
[00:30:11] 穿越细胞膜
[00:30:12] 你想咱慢慢学这本书
[00:30:14] 乃至于别的学科里边
[00:30:15] 你会不断听到一些词
[00:30:16] 受体
[00:30:17] 都内蜂蜜全是受体了
[00:30:19] 这样细胞这张就开始
[00:30:20] 载体
[00:30:21] 这一节就要开始学
[00:30:22] 通道
[00:30:23] 离子温
[00:30:24] 包括细胞的一些酶
[00:30:26] 都是一些功能蛋白
[00:30:28] 这是功能蛋白
[00:30:29] 注意啊
[00:30:30] 蛋白
[00:30:30] 蛋白
[00:30:30] 蛋白还没有完
[00:30:31] 加了个faction
[00:30:31] 功能性的
[00:30:32] 蛋白只是有功能
[00:30:34] 不是长得好看的
[00:30:35] 一般这些功能蛋白
[00:30:37] 都属于整合蛋白
[00:30:39] 嗯
[00:30:40] 表面蛋白比较少
[00:30:41] 整合蛋白多
[00:30:42] 魔糖
[00:30:44] 你刚才说了
[00:30:45] 要么是糖质
[00:30:46] 要么是糖蛋白
[00:30:48] 它一般不会带走存在
[00:30:49] 而且糖粒
[00:30:50] 全部都分布于
[00:30:52] 质膜的外表面
[00:30:54] 哎
[00:30:54] 刚才阐述过了
[00:30:55] 往下走
[00:30:56] 这就是咱们
[00:30:58] 这个小示意图
[00:30:59] 你想这个小示意图
[00:31:00] 刚才看过
[00:31:01] 这个右侧这个示意图描述
[00:31:03] 整合蛋白和表面蛋白
[00:31:05] 与双层类比结构关系
[00:31:07] 左边这个图啊
[00:31:08] 就描述一个蛋白质
[00:31:10] 是一次穿过细胞膜
[00:31:12] 还是你想这画的是三次
[00:31:14] 一次两次三次
[00:31:16] 还是多次穿过细胞膜
[00:31:18] 那你穿过一次细胞膜的时候
[00:31:20] 你中间这一段
[00:31:21] 就是一段疏水片段
[00:31:23] 有这个概念
[00:31:24] 疏水
[00:31:25] 清水片段
[00:31:26] 而且你发现穿过以后啊
[00:31:28] 在穿到细胞膜内的时候
[00:31:31] 你这个示意图为例
[00:31:32] 这个安全胎链转了个圈
[00:31:33] 又往回穿
[00:31:34] 所以在多次穿过细胞膜的时候
[00:31:36] 胎链在细胞膜的内表面
[00:31:39] 外表面之间
[00:31:40] 就构成了一些
[00:31:42] 环
[00:31:42] 就像一根鼠标线
[00:31:44] 是吧
[00:31:44] 拿起来
[00:31:45] 在细胞膜内表
[00:31:46] 它有些环
[00:31:47] 这个环有个专业词汇
[00:31:49] LOOP
[00:31:50] 我们叫
[00:31:53] extracellular
[00:31:54] 细胞外的
[00:31:55] 第几个
[00:31:56] loop
[00:31:57] 细胞内部intracellular
[00:31:59] 第几个
[00:32:00] loop
[00:32:00] 这个地方
[00:32:00] 这个环
[00:32:01] 这个环
[00:32:01] 用的是一个专业词汇
[00:32:02] 不是平时说撒一口
[00:32:04] 不是这样的
[00:32:05] LOOP
[00:32:06] 你从专业文献就看到了
[00:32:08] 这些不啰嗦
[00:32:08] 咱也不是上英文课
[00:32:09] 说说就算了
[00:32:11] 翻过去
[00:32:11] 刚才咱们就拿一个
[00:32:14] 简单的时间
[00:32:15] 阐述了一下细胞膜
[00:32:17] 作为人体的一些
[00:32:18] 这个细胞膜
[00:32:19] 真核细胞膜的一些基本结构
[00:32:22] 有脂质
[00:32:23] 是吧
[00:32:23] 有蛋白质
[00:32:24] 有糖
[00:32:25] 脂质里边有很多
[00:32:27] 磷脂
[00:32:27] 蛋糕醇
[00:32:28] 是吧
[00:32:28] 这样一些窍质
[00:32:29] 一些东西
[00:32:30] 所以
[00:32:31] 这些内容
[00:32:32] 有一个双层磷质结构
[00:32:34] 镶嵌蛋白质的
[00:32:35] 液态镶嵌模型
[00:32:37] 这个内容原本
[00:32:38] 不属于生理学重点内容
[00:32:40] 它实际上
[00:32:41] 在组织配胎学
[00:32:42] 就要专门学习
[00:32:43] 生理学以后
[00:32:44] 这一节要用
[00:32:45] 所以咱们在这一节的时候
[00:32:46] 一般会
[00:32:47] 专门拿一个时间篇幅
[00:32:49] 来阐述一下膜结构
[00:32:51] 那么作为我们生理学
[00:32:53] 这门学科
[00:32:53] 细胞这张第一节
[00:32:55] 重点内容在哪里
[00:32:56] 在这儿
[00:32:56] 叫做物质的跨模转运
[00:32:58] 物质跨模转运
[00:33:00] 所以咱们就静下来
[00:33:02] 拿专门时间来看看
[00:33:03] 这个转运
[00:33:04] 是个什么样子的
[00:33:05] 物质的跨模转运
[00:33:08] 实际上
[00:33:09] 切的教材
[00:33:10] 它的描述和分类
[00:33:12] 有三大类
[00:33:13] 所以为什么在这一节
[00:33:15] 咱们一开始
[00:33:15] 先讲一下膜的结构
[00:33:17] 你能掌握下来
[00:33:18] 膜是一个
[00:33:19] 本质上是一个
[00:33:20] 质质结构
[00:33:21] 生活中
[00:33:22] 你有一些经验和常识
[00:33:23] 知道水股不交融
[00:33:25] 所以说
[00:33:25] 讲这个同学们老开玩笑
[00:33:27] 你比如说
[00:33:27] 咱们吃个水股鱼
[00:33:29] 是吧
[00:33:29] 吃个酸菜鱼
[00:33:30] 你发现
[00:33:31] 有时候这个菜
[00:33:32] 做的上面厚厚的一层油脂
[00:33:33] 我老说吃这个酸菜鱼
[00:33:35] 你水股鱼
[00:33:37] 你不能着急
[00:33:37] 烫嘴烫舌头
[00:33:39] 为什么烫舌头
[00:33:40] 它厚厚的一层油铺着
[00:33:41] 这个水股不交融
[00:33:43] 油看起来凉了
[00:33:44] 其实油下面那个水
[00:33:46] 长时间保持温度
[00:33:47] 很高八九十度
[00:33:48] 甚至更高的温度
[00:33:49] 甚至水几乎是开的
[00:33:51] 所以这个鱼拿出来
[00:33:52] 这个里边
[00:33:53] 什么小酸菜
[00:33:54] 小豆芽拿出来
[00:33:54] 放小碟里
[00:33:55] 小盘里
[00:33:56] 稍微凉着再吃
[00:33:57] 你说不是辣
[00:33:58] 是烫
[00:33:59] 他就利用
[00:34:01] 这个厚厚的一层油
[00:34:02] 油封的原理
[00:34:03] 把水的热气给封住
[00:34:05] 保持菜的温度
[00:34:07] 水股不交融
[00:34:08] 所以说咱们生殖
[00:34:10] 咱们吃一碗饭
[00:34:11] 随随随随随
[00:34:12] 随便来个什么汤
[00:34:13] 上面漂一层油
[00:34:14] 你看见水和油
[00:34:15] 是两层分开的
[00:34:16] 这个东西很重要
[00:34:18] 因为不管泡浆
[00:34:20] 还是组织液
[00:34:21] 它都是水溶液
[00:34:22] 但膜本身是脂质的
[00:34:24] 这么个好处是什么
[00:34:25] 他就用这么一个
[00:34:26] 脂质的原理
[00:34:27] 把细胞内外的两层水
[00:34:29] 给它隔开
[00:34:30] 这个隔开
[00:34:32] 你妈妈学这本书发现
[00:34:33] 膜本身是个屏障作用
[00:34:36] 但是膜吃屏障不行
[00:34:38] 细胞内外
[00:34:38] 对物质交换
[00:34:39] 细胞需要形成代谢
[00:34:41] 在屏障基础上
[00:34:42] 又对一些物质产生通透性
[00:34:44] 所以这个膜
[00:34:45] 最大特点
[00:34:46] 就是选择性通透
[00:34:48] 有些东西能通透
[00:34:50] 有些东西不能通透
[00:34:51] 比如说
[00:34:52] 钠钾粒子不能随便通透
[00:34:53] 所以我们学生理学
[00:34:55] 前提就是我知道
[00:34:57] 细胞膜内的生理情况下
[00:34:59] 钾浓度
[00:35:00] 钾粒子
[00:35:01] 钾浓度是膜外30倍
[00:35:02] 膜外钠子浓度是膜内123倍
[00:35:05] 这个浓度差怎么保持
[00:35:06] 膜的屏障
[00:35:07] 在某些需要的时候你才能通透
[00:35:10] 所以这样的话我们在这一节
[00:35:13] 研究物质转运的时候
[00:35:14] 这些物质在集体需要的时候
[00:35:16] 它怎么样从膜的一侧传到另一侧的
[00:35:19] 那么就带来第一个麻烦
[00:35:21] 因为膜本身是纸质的
[00:35:23] 所以这个被转运的物质
[00:35:25] 如果从膜外到膜内膜内到膜外
[00:35:26] 如果你本身纸融性就好办
[00:35:28] 水融性是否不较容易传播过去
[00:35:31] 所以
[00:35:31] 这样的话咱们第一个切入点是什么
[00:35:33] 为什么物质转运时候
[00:35:35] 有单纯扩散和膜蛋白
[00:35:37] 借导你这体会一下
[00:35:38] 膜蛋白借导借导什么
[00:35:40] 通过膜上长个蛋白质
[00:35:43] 能帮助水融性物质
[00:35:45] 传播细胞
[00:35:46] 因为膜是纸质的
[00:35:48] 城市有个大城墙有城门
[00:35:51] 门不开你进不去
[00:35:53] 除非人家这个是
[00:35:54] 比如说城市的保安
[00:35:56] 安保人员工作人员
[00:35:58] 无尽战士
[00:35:59] 人家出门是自由的
[00:36:01] 咱们老百姓不行
[00:36:02] 可以拿同情证
[00:36:02] 所以慢慢你发现
[00:36:06] 学习本身
[00:36:07] 学习的本质是什么
[00:36:09] 是把纷繁复杂的事物
[00:36:11] 给它归类打包
[00:36:13] 因此你学这一节不能急
[00:36:15] 你首先能明白分类就明白了
[00:36:17] 你要不明白为什么这样分类
[00:36:19] 你背到最后还是传好稀里糊涂的
[00:36:21] 所以单纯扩散转哪些物质
[00:36:23] 小分子的
[00:36:25] 纸融性物质
[00:36:26] 不需要人帮忙直接传
[00:36:28] 那么小分子水融性物质需要代表
[00:36:31] 这个物质的质量
[00:36:31] 要怎么帮忙呢
[00:36:31] 将膜代表借到
[00:36:32] 还有一些大分子物质
[00:36:35] 经常也需要出物细胞
[00:36:36] 这个情况传统视力上叫出包后股包
[00:36:39] 现在教材上第九版
[00:36:41] 是一位精硕老师写书
[00:36:42] 在齐金城教授在写的时候
[00:36:45] 给他用了一个
[00:36:46] 言语一个外蒙蒙线的一个原文
[00:36:49] 叫做膜泡转语
[00:36:50] 膜泡语书
[00:36:51] 所以实际上医学生这个学习学完之后
[00:36:54] 这辈子不会忘这太重要
[00:36:56] 大分子物质出物细胞膜怎么出
[00:36:59] 它不能自由在膜上传过
[00:37:00] 它必须要有一个
[00:37:01] 它必须得有一部分细胞膜
[00:37:02] 把这个物质包裹起来
[00:37:04] 形成一个所谓的囊泡
[00:37:07] 所以膜泡运输也好
[00:37:09] 出包入包也罢
[00:37:10] 这个生理活动转的是谁
[00:37:13] 大分子物质怎么转的
[00:37:15] 以囊泡形式
[00:37:17] 囊泡是特点
[00:37:19] 这是第一层分类
[00:37:22] 大分子的小分子的
[00:37:25] 水溶性的脂溶性的
[00:37:27] 反过来再看第二类
[00:37:28] 在水溶性的小分子物质里
[00:37:32] 还有两个转移方式
[00:37:33] 一种是
[00:37:34] 所谓的液化扩散
[00:37:35] Facilitated Deferred
[00:37:37] 一种是Active Transport
[00:37:39] 主动转运
[00:37:40] 那么液化扩散有分为两种
[00:37:43] 载体和通道
[00:37:44] 这是什么意思
[00:37:45] 先来看液化扩散本身
[00:37:47] 有些物质狂魔转运时候
[00:37:50] 是从高浓度到低浓度走的
[00:37:53] 所以你知道能量守恒的原则
[00:37:55] 就像这个低坝雪的三峡大坝一样
[00:37:58] 它建一个很大的一个大坝
[00:38:00] 把这个大坝里面的水蓄积的
[00:38:02] 比下游水高出150米的一个高度
[00:38:04] 就是说我开闸放水
[00:38:06] 这开闸放手
[00:38:07] 你打开水闸以后
[00:38:08] 水利用这个海拔
[00:38:09] 高度的差值水压
[00:38:11] 哗 往下冲
[00:38:12] 它造那么大一个大坝干嘛
[00:38:13] 几百米高
[00:38:14] 造那么高大坝水流
[00:38:16] 很宽急的往下冲的时候
[00:38:18] 冲进那个小叶片
[00:38:20] 所以三峡大坝的本质
[00:38:21] 是要搞水力发电的
[00:38:23] 长江那么大一个流量
[00:38:25] 这个水力发电发的电量
[00:38:27] 当时设计都差不多够半个钟
[00:38:29] 我使用
[00:38:29] 现在这个水电已经开始用了
[00:38:31] 那么是不是运作过程中
[00:38:33] 一定像咱们设想的那么晚
[00:38:34] 美
[00:38:35] 好的也不至于
[00:38:36] 但是水电肯定是人类
[00:38:38] 很高效节能的一个能量来源
[00:38:40] 低霸学说
[00:38:42] 1975年
[00:38:43] 我记得是1975的时候
[00:38:45] 就因为所谓的低霸学说
[00:38:47] 一个生化学家描述
[00:38:49] 摩内加比摩外高30倍
[00:38:51] 摩外纳比摩内高12 3倍
[00:38:53] 通过纳加默的主动转变
[00:38:54] 产生了浓度差
[00:38:55] 然后就像水电站一样
[00:38:58] 这个流动冲击
[00:38:59] 能量这种转化
[00:39:00] 是我们生命驱动的本质
[00:39:03] 生命需要
[00:39:04] 利用
[00:39:04] 力量来驱动
[00:39:05] 什么力量来驱动的
[00:39:07] 就像甲离子
[00:39:08] 浓度差朝外置
[00:39:09] 纳粒子浓度差朝内置
[00:39:11] 这种像三峡大坝一样
[00:39:14] 低霸学说
[00:39:14] 因为这个事
[00:39:15] 他专门获得诺贝尔生理和医学奖
[00:39:18] 生理学和医学奖
[00:39:19] 就说这个东西
[00:39:21] 是个很有意思的话题
[00:39:23] 我们在学到这一节的时候
[00:39:24] 第一次脑子里产生一个专业术
[00:39:26] 驱动力
[00:39:28] driving power
[00:39:30] 这个力量从哪来
[00:39:32] 是什么力量
[00:39:33] 把纳粒子推进来
[00:39:34] 把甲粒子推出来的驱动力
[00:39:38] 而咱们一开始分类的时候
[00:39:40] 谈这个小峰子脂溶性物的单纯扩散
[00:39:42] 小峰子水溶性物的血膜代表界的
[00:39:44] 为什么
[00:39:44] 因为膜天生的对脂溶性物通透
[00:39:48] 而对水溶性物的不通透
[00:39:52] 所以在这一节
[00:39:53] 如果可能的话
[00:39:54] 一辈子在这节的一个概念
[00:39:56] 什么概念
[00:39:56] 一个物质想从膜一侧到另一侧
[00:39:59] 跨膜转运的话
[00:40:00] 必须同时满足两个条件
[00:40:03] 通透性和驱动力
[00:40:06] 那么这个液化扩散是给谁写的
[00:40:09] 蛋白质有了
[00:40:10] 蛋白质能帮助你产生通透性
[00:40:12] 驱动力在哪里
[00:40:13] 哎
[00:40:14] 纳粒子如果往膜内走
[00:40:16] 顺从这个体育十二三倍
[00:40:17] 浓度把它推进去了
[00:40:19] 甲粒子要出来
[00:40:20] 浓度把它推出来
[00:40:22] 这个就叫驱动力
[00:40:23] 叫力量
[00:40:24] 顺着浓度差
[00:40:26] 跨膜运输的时候
[00:40:28] 不需要额外消耗生物呢
[00:40:30] 它只是把自己的浓度差消耗完就是了
[00:40:33] 所以自带的驱动力
[00:40:35] 那么这种东西呢
[00:40:36] 是一个运输方式
[00:40:38] 我们叫做被动转运
[00:40:40] 额外消耗生物呢
[00:40:41] 不消耗ADP
[00:40:42] 但是
[00:40:43] 你又需要蛋白质来帮助
[00:40:45] 所以按照蛋白质的类型
[00:40:47] 把你区分为
[00:40:48] 载体
[00:40:49] 液化扩散
[00:40:50] 还是通道
[00:40:52] 液化扩散
[00:40:52] 所以载体和通道是蛋白质的不同
[00:40:54] 液化扩散
[00:40:57] 是蛋白质
[00:40:58] 给膜
[00:40:59] 改变一下
[00:41:01] 对属溶性物的通透性
[00:41:03] 设备的一个结构
[00:41:06] 那么这个基础之上呀
[00:41:08] 好 课件这我返回来
[00:41:11] 这个地方
[00:41:12] 应该重新归纳一下
[00:41:13] 为什么归纳一下
[00:41:15] 一个物质狂魔转运时候
[00:41:17] 额外消耗不消耗生物能
[00:41:22] 如果它自己有浓度差
[00:41:24] 不需要生物能帮忙
[00:41:26] 这个就叫
[00:41:27] 被动转运
[00:41:28] passive
[00:41:29] 要按照这个角度看过去的话
[00:41:31] 单纯扩散
[00:41:33] 是脂溶性的小分子物质
[00:41:34] 顺着浓度梯度狂魔转运的
[00:41:36] 那么这样的话
[00:41:37] 它也应该属于
[00:41:39] 被动转运的
[00:41:41] 所以既然有主动转运
[00:41:42] 肯定是有被动的
[00:41:43] 谁是被动的
[00:41:45] 不额外消耗生物呢
[00:41:46] 你慢慢学习就发现了
[00:41:47] 不管载体化扩散
[00:41:48] 通道一化扩散
[00:41:49] 还是单纯扩散
[00:41:50] 它都是利用自己的浓度差在完成的
[00:41:53] 它不需要别人帮忙
[00:41:54] 那么这三个类型
[00:41:56] 我们就统成为被动扩散
[00:41:58] 而剩下还有一些物质
[00:42:00] 这一接往里边去你就发现了
[00:42:01] 钠离子浓度是膜外比膜内高12-3倍
[00:42:04] 从外面进去里边
[00:42:05] 瞅浓度差
[00:42:06] 把它推进去
[00:42:07] 那要从膜内出来
[00:42:09] 需要逆浓度提供进气
[00:42:11] 这就得有人帮忙了
